Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Mecklenburger Landpute Bio-Hähnchenbruststeaks,Mecklenburger Landpute Bio-Hähnchenbruststeaks,"€ 2,79",,"pro Einheit = 3,49","pro Einheit = 3,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_057.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_high_protein,tag_proteinreich",,,ref_000051,,,,
Cordon bleu,LandPrimus,"€ 1,29",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_058.jpg,"cat_fleisch_wurst,tag_ultra_processed",,,ref_000052,obs_0000002447|obs_0000001307|obs_0000011833|obs_0000034131|obs_0000003416|obs_0000029182|obs_0000013561|obs_0000006542|obs_0000007442|obs_0000009109|obs_0000007071|obs_0000034095|obs_0000010036|obs_0000006198|obs_0000005435|obs_0000001472|obs_0000008646|obs_0000027334|obs_0000010582|obs_0000012271|obs_0000009586|obs_0000029962|obs_0000020123|obs_0000026397|obs_0000011001|obs_0000029874|obs_0000016575|obs_0000020294|obs_0000020942|obs_0000018384|obs_0000029903|obs_0000025311|obs_0000031204|obs_0000032363|obs_0000021113|obs_0000025465|obs_0000008314|obs_0000031110|obs_0000030094|obs_0000031126|obs_0000004644|obs_0000000825|obs_0000029132|obs_0000005071|obs_0000032213|obs_0000000478|obs_0000030453|obs_0000004217|obs_0000030974|obs_0000006861,obs_0000002447|obs_0000001307|obs_0000011833|obs_0000034131|obs_0000003416|obs_0000029182,,
Bio-Rinderhackfleisch,Keine Marke,"€ 6,99",,"1 kg = 17,48","1 kg = 17,48",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_059.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_hackfleisch,sub_rind,tag_high_protein,tag_proteinreich,tag_whole_food",,BLS-U020100,ref_000053,obs_0000033894|obs_0000009367|obs_0000034728|obs_0000008675|obs_0000008682|obs_0000009203|obs_0000010999|obs_0000029512|obs_0000005246|obs_0000013853|obs_0000014160|obs_0000005990|obs_0000015350|obs_0000007438|obs_0000015745|obs_0000007982,obs_0000033894|obs_0000009367|obs_0000034728|obs_0000011425|obs_0000019685,,
T-Bone Rindersteak,T-Bone Rindersteak,"€ 3,99",,"pro Einheit = 4,99","pro Einheit = 4,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_060.jpg,"cat_fleisch_wurst,sub_rind,tag_ultra_processed",,,ref_000054,,,,
Hähnchenschenkel,tegut LandPrimus,"€ 0,99",,"pro Einheit = 1,49","pro Einheit = 1,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_061.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich",,BLS-Y599012,ref_000055,obs_0000006537|obs_0000004368|obs_0000000293|obs_0000004795|obs_0000034752|obs_0000027468|obs_0000007635|obs_0000031837|obs_0000003941|obs_0000026472|obs_0000034924|obs_0000002568|obs_0000033703|obs_0000023723|obs_0000029510|obs_0000024146|obs_0000003414|obs_0000024668|obs_0000031455|obs_0000031860|obs_0000030462|obs_0000018432|obs_0000025789,obs_0000006537|obs_0000004368|obs_0000000293|obs_0000004795|obs_0000034752|obs_0000027468|obs_0000007635|obs_0000031837|obs_0000003941|obs_0000026472,,
Griechisches Röllchen,Griechisches Röllchen,"€ 1,29",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_062.jpg,"cat_fleisch_wurst,diet_vegetarian",,,ref_000056,obs_0000034332,obs_0000034332,,
LaDöna - der Spieß,LaDöna - der Spieß,"€ 1,49",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_063.jpg,cat_non_food,,,ref_000057,,,,
Schweinemett,Schweinemett,"€ 0,69",,"pro Einheit = 0,69","pro Einheit = 0,69",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,,"cat_fleisch_wurst,diet_gluten_free,sub_schwein,tag_whole_food",,BLS-U622100,ref_000058,obs_0000034754|obs_0000034133|obs_0000029966|obs_0000012751,obs_0000034754|obs_0000034133,,
Rib-Eye-Steak,Rib-Eye-Steak,"€ 3,49",,"pro Einheit = 4,49","pro Einheit = 4,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_065.jpg,cat_fleisch_wurst,,,ref_000059,obs_0000033945|obs_0000015742|obs_0000034933|obs_0000034758,obs_0000033945,,
Makrele heißgeräuchert,Makrele heißgeräuchert,"€ 1,49",,"pro Einheit = 1,49","pro Einheit = 1,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_066.jpg,cat_fisch_meeresfruechte,,BLS-T107600,ref_000060,obs_0000033738|obs_0000034556|obs_0000011024,obs_0000033738|obs_0000034556,,
Sushi Big Set Hattatsu,MOWI,"€ 5,99",,"pro Einheit = 6,99","pro Einheit = 6,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,,"cat_non_food,diet_vegetarian",,,ref_000061,obs_0000034507,,,
Feinstes Graved Lachs,tegut,"€ 3,49",,"1 kg = 29,08","1 kg = 29,08",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_068.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_proteinreich,tag_whole_food",,,ref_000062,obs_0000018883|obs_0000034553|obs_0000034939|obs_0000033739,,,
Direktsaft,Innocent,"€ 2,99",,"1 l = 3,32","1 l = 3,32",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_069.jpg,"cat_getraenke,diet_vegan,tag_whole_food",,,ref_000063,obs_0000018760|obs_0000016210|obs_0000031250|obs_0000013459|obs_0000033834|obs_0000030153|obs_0000028124|obs_0000016111|obs_0000032379|obs_0000034433|obs_0000001687|obs_0000033688|obs_0000021146|obs_0000034852|obs_0000007471|obs_0000028600|obs_0000028490|obs_0000018765|obs_0000000866|obs_0000020327|obs_0000013831|obs_0000010908,obs_0000018760|obs_0000030153|obs_0000032379,,x
Bismarckhering-Brötchen,Bismarckhering-Brötchen,"€ 2,50",,"pro Einheit = 2,50","pro Einheit = 2,50",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_070.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000064,obs_0000034550|obs_0000009634|obs_0000033737,obs_0000034550,,
Saiblingsfilet,Saiblingsfilet,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_071.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_high_protein,tag_proteinreich",,,ref_000065,obs_0000034143,obs_0000034143,,
