Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Mucho Mas Rot,Felix Solis,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -","Spanien: Rot halbtrocken, je 0,75-l-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
H-Milch Laktosefrei,Rewe Frei Von,"€ 0,95",Kein vorheriger Preis,"€ 0,95 / l -","1,5% Fett, je 1-l-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Meistertorte Mandel-Bienenstich,Coppenrath & Wiese,"€ 5,49",Kein vorheriger Preis,"€ 6,86 / kg -","tiefgefroren, je 800-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Joghurt mild Laktosefrei,Rewe Frei Von,"€ 0,79",Kein vorheriger Preis,"€ 1,58 / kg -","3,8% Fett, je 500-g-Becher",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Orange,Capri Sun,"€ 0,99",Kein vorheriger Preis,"€ 3,00 / l -","versch. Sorten, je 0,33-l-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Wiener Würstchen,ja!,"€ 3,19",Kein vorheriger Preis,"€ 7,97 / kg -",je 8 x 50-g-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Mix-Sortiment,Coca-Cola,"€ 11,99",Kein vorheriger Preis,"€ 0,99 / l -","Coca-Cola Zero, Fanta oder Sprite Mischkasten versch. Sorten, koffeinhaltig, je 12 x 1-l-Fl.-Kasten ...",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Seelachsfilet,Keine Marke,"€ 1,59",Kein vorheriger Preis,"€ 15,90 / kg -","ideal zum Braten, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pils,Beck's,"€ 9,99",Kein vorheriger Preis,"€ 0,99 / l -","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Rosenheimer Chiemseer Hell,Chiemgauer Brauhaus,"€ 13,99",Kein vorheriger Preis,"€ 1,39 / l -","je 20 x 0,5-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Cookies Double Chocolate,ja!,"€ 1,49",Kein vorheriger Preis,"€ 6,62 / kg -",je 225-g-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Möhrenstifte,Keine Marke,"€ 0,79",Kein vorheriger Preis,"€ 3,95 / kg -",je 200-g-Btl.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Original Taste,Coca-Cola,"€ 3,99",Kein vorheriger Preis,"€ 2,01 / l -","koffeinhaltig, je 6 x 0,33-l-Fl.-Pckg. zzgl. 1.50 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Apfelsaft,ja!,"€ 1,09",Kein vorheriger Preis,"€ 1,09 / l -","aus Konzentrat, 100% Fruchtgehalt, je 1-l-Fl. zzgl. 0.25 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Muffin Blueberry,Rewe Back-Station,"€ 1,39",Kein vorheriger Preis,"€ 1,39 / Stk -",oder Chocolate Overkill je St.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Bärchen-Wurst,Reinert,"€ 1,49",Kein vorheriger Preis,"€ 12,95 / kg -","HINWEIS: MIT APP 0.10 € REWE BONUS Mortadella, je 115-g-Pckg. oder Bärchen-Streich cremiger Brotaufs...",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Frischeschale Sahne,Milkana,"€ 1,79",Kein vorheriger Preis,"€ 9,42 / kg -","HINWEIS: MIT APP 0.10 € REWE BONUS oder Käse Vielfalt Schmelzkäse, je 190-g-Pckg./Schale",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Premium Beer,Heineken,"€ 14,99",Kein vorheriger Preis,"€ 1,87 / l -","je 20 x 0,4/28 x 0,25-l-Fl.-Kasten zzgl. 3.10/3.74 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Weiße Riesenchampignons,Rewe Beste Wahl,"€ 1,59",Kein vorheriger Preis,"€ 3,98 / kg -","Kl. I, je 400-g-Schale",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Weißbier,Erdinger Weißbräu,"€ 13,99",Kein vorheriger Preis,"€ 1,39 / l -","oder Brauhaus je 20 x 0,5-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Seeteufel-Steaks,Keine Marke,"€ 4,29",Kein vorheriger Preis,"€ 42,90 / kg -","festes, weißes Fleisch, zart im Geschmack, grätenfrei, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Stremellachs,Keine Marke,"€ 3,69",Kein vorheriger Preis,"€ 36,90 / kg -","versch. Sorten, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Hundenahrung,Cesar,"€ 0,75",Kein vorheriger Preis,"€ 5,00 / kg -","versch. Sorten, je 150-g-Schale",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Damen Halbfinger-Handschuhe,Billie Eilish,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -","oder Herren, one size je Paar",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Sahne Joghurt,Zott,"€ 0,39",Kein vorheriger Preis,"€ 2,78 / kg -","versch. Sorten, je 140-g-Becher",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Entenschenkel,Keine Marke,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -","mit Haut, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
