Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Trennscheiben,FERREX,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_072.jpg
Abdeckfolien-Set,DECO CRAFT,"€ 3,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_073.jpg
Bodenreinigungs-Set mit Sprühfunktion,HOME CREATION,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_074.jpg
Polster- und Teppichreiniger,Ambiano,"€ 59,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_075.jpg
Schmutzfangmatte,HOME CREATION,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_076.jpg
Bodenwisch-Bezüge,HOME CREATION,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_077.jpg
Alkaline-Batterien AA,Activ Energy,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_078.jpg
2-in-1-Akku-Staubsauger,Ambiano,"€ 49,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_079.jpg
Schmutzfangmatte,HOME CREATION,"€ 12,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_080.jpg
Socken,UP2FASHION,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_081.jpg
Trekking-Boots,CRANE,"€ 19,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_082.jpg
Outdoorhose,Adventuridge,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_083.jpg
Faltbare Wanderstöcke,Adventuridge,"€ 16,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_084.jpg
Trekking-Rucksack,Adventuridge,"€ 12,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_085.jpg
Poloshirt,UP2FASHION,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_086.jpg
Arbeitssocken,TOPCRAFT,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_087.jpg
Handtücher oder Duschtuch,Novitesse,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_088.jpg
Bademantel,Novitesse,"€ 17,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_089.jpg
Rückenmassage-Roller,CRANE,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_090.jpg
Gästehandtücher,Novitesse,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_091.jpg
Badematte,NOVITESSE,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_092.jpg
Wellnesstuch,Novitesse,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_093.jpg
Haarschmuck 4er-Packung,Lacura,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_094.jpg
Expert Serum 3-Fach Booster,Lacura,"€ 3,99",,1 l = 133.00,,Nein,,,,images_aldi/aldi_offer_095.jpg
Badarmatur,Home Creation,"€ 19,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_096.jpg
Kaviar-Pflegecreme,Lacura,"€ 9,99",,333.00 bzw. 199.80,,Nein,,,,images_aldi/aldi_offer_097.jpg
Barrier-Boost Sanfter Toner,Lacura,"€ 3,99",,l-Preis 133.00,,Nein,,,,images_aldi/aldi_offer_098.jpg
Multifunktions-Duschkopf,Home Creation,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_099.jpg
Kunstpflanze im Topf Calathea,HOME CREATION,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_100.jpg
Kabellose Wandleuchte,CASALUX,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_101.jpg
Memory-Foam-Sitzkissen,HOME CREATION,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_102.jpg
Selbstwärmende Wärmepads,Vitalis,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_103.jpg
Magnesium 250 mg,Multinorm,"€ 2,95",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_104.jpg
Universalkorb oder -wanne,HOME CREATION,"€ 4,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_105.jpg
Clear Protein-Getränkepulver,ALDI SPORTS,"€ 10,99",,kg-Preis 40.70 bzw. 36.63,,Nein,,,,images_aldi/aldi_offer_106.jpg
Stimmung Plus Kapseln,Multinorm,"€ 3,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_107.jpg
Premium-Kollagenpulver,Lacura,"€ 7,49",,kg-Preis 29.96,,Nein,,,,images_aldi/aldi_offer_108.jpg
Darm-Vital,MULTINORM,"€ 9,95",,kg-Preis 41.46,,Nein,,,,images_aldi/aldi_offer_109.jpg
Sweatshirt,UP2FASHION,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_110.jpg
Socken,UP2FASHION,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_111.jpg
Bepflanzter Balkonkasten,Gardenline,"€ 0,69",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_112.jpg
Thermo-Strumpfhose,UP2FASHION,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_113.jpg
Steppjacke,UP2FASHION,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_114.jpg
Allwetterschuhe,UP2FASHION,"€ 17,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_115.jpg
Pyjama,UP2FASHION,"€ 12,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_116.jpg
Woklette,Ambiano,"€ 29,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_117.jpg
Wokpfanne,Crofton,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_118.jpg
Asia-Servierware,Crofton,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_119.jpg
Santokumesser,Crofton,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_120.jpg
