Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Almzeit oder Bavaria blu,Bergader,"€ 2,22",,"1 kg = 12,69",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_103.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000099,obs_0000014503|obs_0000012812|obs_0000006971|obs_0000015676|obs_0000030449|obs_0000014218|obs_0000006285|obs_0000007352|obs_0000005715|obs_0000031185|obs_0000029534|obs_0000028306|obs_0000008044,obs_0000006971|obs_0000030449
Schmelzkäse,Milkana,"€ 1,99",,"1 kg = 10,47",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000100,obs_0000024197|obs_0000020360|obs_0000017697|obs_0000018737|obs_0000021179|obs_0000023777|obs_0000021759|obs_0000009126|obs_0000018242|obs_0000021976|obs_0000010223|obs_0000019058|obs_0000034097|obs_0000028326|obs_0000012325|obs_0000014818|obs_0000013933|obs_0000014351|obs_0000022628,obs_0000024197|obs_0000020360|obs_0000017697|obs_0000009126|obs_0000018737|obs_0000021179|obs_0000018242|obs_0000021976|obs_0000023777|obs_0000010223|obs_0000019058|obs_0000021759
Echte Nürnberger Rostbratwurst,Schlütter s,"€ 2,99",,"1 kg = 14,95",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_106.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,,ref_000101,obs_0000023630|obs_0000020645|obs_0000021808|obs_0000021464|obs_0000013376|obs_0000014464,
Bierschinken,Jeden Tag,"€ 1,19",,"1 kg = 7,93",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_107.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-W271000,ref_000102,obs_0000033774|obs_0000009601|obs_0000021379|obs_0000001030|obs_0000024214|obs_0000031266|obs_0000025254|obs_0000010052|obs_0000020560|obs_0000009560|obs_0000022636|obs_0000023794|obs_0000001020|obs_0000005969|obs_0000029283|obs_0000005235|obs_0000010897|obs_0000013528|obs_0000012770|obs_0000014467|obs_0000007620,obs_0000009601|obs_0000021379|obs_0000001030|obs_0000024214|obs_0000031266|obs_0000025254|obs_0000010052|obs_0000020560|obs_0000009560|obs_0000022636|obs_0000033774|obs_0000023794|obs_0000001020
Curryking Classic,Meica,"€ 1,99",,"1 kg = 9,05",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_108.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000103,obs_0000034189|obs_0000034802|obs_0000025668|obs_0000028751|obs_0000001628|obs_0000001643|obs_0000020596|obs_0000015018|obs_0000026884|obs_0000011543|obs_0000024877|obs_0000035101|obs_0000034649|obs_0000021415|obs_0000031658,obs_0000034189|obs_0000034802
Kartoffelfreunde Fertiggericht,Popp,"€ 1,49",,"pro Einheit = 1,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_109.jpg,"cat_obst_gemuese,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,sub_tk_fertiggerichte,tag_ultra_processed",,,ref_000104,obs_0000001537|obs_0000013186|obs_0000010900|obs_0000006306|obs_0000010919|obs_0000015278|obs_0000012214|obs_0000013632|obs_0000023763|obs_0000011360|obs_0000023662|obs_0000014071|obs_0000024188|obs_0000012670,
Bio-Kartoffeltaschen Frischkäse,Bioland Schwarmstedter,"€ 2,49",,"1 kg = 8,30",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_110.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_kartoffeln,sub_milchprodukte,tag_ultra_processed",,,ref_000105,obs_0000001493|obs_0000031907|obs_0000000666|obs_0000033993|obs_0000030858|obs_0000031499|obs_0000000198|obs_0000024882|obs_0000000519|obs_0000016946|obs_0000025259|obs_0000017482|obs_0000017513|obs_0000009596|obs_0000017894|obs_0000018043|obs_0000010048|obs_0000026675|obs_0000018636|obs_0000018668|obs_0000002951|obs_0000019362|obs_0000027893|obs_0000019721|obs_0000003481|obs_0000003647|obs_0000028302|obs_0000020143|obs_0000020962|obs_0000022149|obs_0000022250|obs_0000022312|obs_0000022604|obs_0000023986|obs_0000024407,
Pizza,Gustavo Gusto,"€ 3,49",,"1 kg = 8,51",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_111.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed",,,ref_000106,obs_0000013341|obs_0000025810|obs_0000010530|obs_0000023186|obs_0000005867|obs_0000028924|obs_0000034187|obs_0000014967|obs_0000013826|obs_0000012815|obs_0000027151|obs_0000027155|obs_0000027666|obs_0000011305|obs_0000027726|obs_0000027728|obs_0000034384|obs_0000033886|obs_0000027771|obs_0000027783|obs_0000004744|obs_0000014988|obs_0000011919|obs_0000023189|obs_0000003232|obs_0000023201|obs_0000002723|obs_0000033957|obs_0000001727|obs_0000001728|obs_0000001729|obs_0000001730|obs_0000001731|obs_0000001732|obs_0000027844|obs_0000010444|obs_0000034001|obs_0000004317|obs_0000011499|obs_0000008442|obs_0000027902|obs_0000011520|obs_0000026375|obs_0000017705|obs_0000003890|obs_0000009035|obs_0000022877|obs_0000025445|obs_0000008069|obs_0000008618,obs_0000013341|obs_0000023186|obs_0000025810|obs_0000005867|obs_0000010530
Barnstorfer Bio-Suppenhuhn,Barnstorfer Bio-Suppenhuhn,"€ 4,99",,"1 kg = 4,54",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_113.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000107,,
Eiscreme,tegut,"€ 2,22",,"1 l = 2,47",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_114.jpg,cat_drogerie,,,ref_000108,obs_0000008734|obs_0000008291|obs_0000010899|obs_0000014505|obs_0000013609|obs_0000012668|obs_0000014210|obs_0000033687|obs_0000001525|obs_0000033788|obs_0000030509|obs_0000029166|obs_0000031993|obs_0000032641|obs_0000029167,obs_0000008734|obs_0000008291|obs_0000010899|obs_0000014505|obs_0000013609|obs_0000012668|obs_0000014210
