Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Cocktail-Strauchtomaten,Cocktail-Strauchtomaten,"€ 1,99",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_030.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Bio-Zucchini,demeter,"€ 3,99",,1 kg = 3.99,,Nein,,,,images_tegut/tegut_offer_031.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Frauentagsstrauß,Frauentagsstrauß,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_032.jpg,cat_non_food
Bio-Staudensellerie,tegut,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_033.jpg,cat_obst_gemuese
Bio-Kartoffeln,tegut,"€ 1,79",,"1 kg = 1,19 €",,Nein,,,,images_tegut/tegut_offer_034.jpg,cat_obst_gemuese
Champignons braun,tegut,"€ 1,79",,"1 kg = 7,16 €",,Nein,,,,images_tegut/tegut_offer_035.jpg,cat_obst_gemuese
Bio-Möhren,Bioland,"€ 1,79",,1 kg = 1.79,,Nein,,,,images_tegut/tegut_offer_036.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Orangen,Orangen,"€ 3,99",,"4,99 €",,Nein,,,,images_tegut/tegut_offer_037.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Zitronen,tegut,"€ 0,99",,1 kg = 1.98,,Nein,,,,images_tegut/tegut_offer_038.jpg,cat_obst_gemuese
Santoku-Messer,Santoku-Messer,"€ 11,99",,"UVP
49,99 €",,Nein,,,,images_tegut/tegut_offer_039.jpg,"cat_getraenke,diet_vegetarian"
Bio-Heidelbeeren,tegut,"€ 1,99",,"1 kg = 15,92 €",,Nein,,,,images_tegut/tegut_offer_040.jpg,cat_obst_gemuese
tegut Bio-Grapefruit,demeter,"€ 1,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_041.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Passionsfrucht,tegut,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_042.jpg,cat_grundnahrung
Weintrauben hell kernlos,Weintrauben hell kernlos,"€ 1,99",,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_043.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Gemüsemesser,Gemüsemesser,"€ 6,99",,"UVP
29,99 €",,Nein,,,,images_tegut/tegut_offer_044.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_gemuese"
Kasseler Nacken,LandPrimus,"€ 1,29",,"1,79 €",,Nein,,,,images_tegut/tegut_offer_045.jpg,"cat_fleisch_wurst,sub_schwein,tag_ultra_processed"
Bio-Rinderbraten,Bio-Rinderbraten,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_046.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_rind,tag_proteinreich,tag_whole_food"
Bio-Hähnchen ganz,Bio-Hähnchen ganz,"€ 1,49",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_047.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_whole_food"
Bio-Hackfleisch gemischt,Bio-Hackfleisch gemischt,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_048.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich"
Schweinenacken,Schweinenacken,"€ 0,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_049.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_schwein,tag_whole_food"
Schweinekrustenbraten,tegut LandPrimus,"€ 0,79",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_050.jpg,"cat_fleisch_wurst,sub_schwein,tag_whole_food"
Bio-Rindsbratwurst,tegut,"€ 5,99",,"6,99 €",,Nein,,,,images_tegut/tegut_offer_051.jpg,cat_fleisch_wurst
LandPrimus Schweinekotelett,tegut,"€ 1,29",,"1,79 €",,Nein,,,,images_tegut/tegut_offer_052.jpg,cat_fleisch_wurst
Spießbraten,Spießbraten,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_053.jpg,"cat_fleisch_wurst,sub_schwein,tag_whole_food"
Bio-Rinderhüftsteak,Bio-Rinderhüftsteak,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_054.jpg,"cat_fleisch_wurst,sub_rind,tag_proteinreich,tag_whole_food"
LandPrimus Hähnchenbrust,tegut,"€ 1,79",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_055.jpg,cat_fleisch_wurst
Lammlachse,Lammlachse,"€ 4,44",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_056.jpg,"cat_fisch_meeresfruechte,tag_proteinreich"
Iberische Duroc French Racks,Iberische Duroc French Racks,"€ 1,99",,"2,79 €",,Nein,,,,images_tegut/tegut_offer_057.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Fleischkäse Brötchen Leberkäse Semmel,Fleischkäse Brötchen Leberkäse Semmel,"€ 2,00",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_058.jpg,"cat_fleisch_wurst,sub_kaese,sub_milchprodukte,sub_schwein,sub_wurst,tag_ultra_processed"
Gefüllte Kirschpaprika,tegut,"€ 2,49",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_059.jpg,cat_obst_gemuese
Büsumer Heringsfilet,Büsumer Heringsfilet,"€ 2,49",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_060.jpg,cat_fisch_meeresfruechte
Heilbutt geräuchert,Heilbutt geräuchert,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_061.jpg,"cat_fisch_meeresfruechte,sub_milchprodukte"
Daily Salatschale Pasta Mozzarella,tegut,"€ 2,99",,"1 kg = 8,54 €",,Nein,,,,images_tegut/tegut_offer_062.jpg,cat_molkerei_kaese
Pellkartoffelsalat,tegut,"€ 1,99",,"1 kg = 5,69 €",,Nein,,,,images_tegut/tegut_offer_063.jpg,cat_obst_gemuese
Smoothie,true fruits,"€ 2,22",,1 l = 8.88,,Nein,,,,images_tegut/tegut_offer_064.jpg,"cat_getraenke,tag_ultra_processed"
Bio-Lachs,Meine Lieblinge,"€ 3,79",,"4,79 €",,Nein,,,,images_tegut/tegut_offer_065.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_high_protein,tag_proteinreich"
Saiblingsfilet,Saiblingsfilet,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_066.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_high_protein,tag_proteinreich"
Bio-Urkruste,Herzberger,"€ 3,79",,"4,29 €",,Nein,,,,images_tegut/tegut_offer_067.jpg,"cat_grundnahrung,diet_vegetarian"
Blumenbrot Bio-Knusperbrot,Le Pain des fleurs,"€ 2,49",,"1 kg = 16,60 €",,Nein,,,,images_tegut/tegut_offer_068.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Weizenbrötchen,Weizenbrötchen,"€ 1,50",,"1 kg = 2,31 €",,Nein,,,,images_tegut/tegut_offer_069.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
Butter Toast,Golden Toast,"€ 1,29",,"1 kg = 2,58 €",,Nein,,,,images_tegut/tegut_offer_070.jpg,"cat_grundnahrung,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed"
Comtess Kuchen,Bahlsen,"€ 1,99",,1 kg = 5.69,,Nein,,,,images_tegut/tegut_offer_071.jpg,"cat_grundnahrung,tag_ultra_processed"
Bio-Familienbaguette,Herzberger,"€ 3,49",,"1 kg = 8,73 €",,Nein,,,,images_tegut/tegut_offer_072.jpg,"cat_grundnahrung,diet_vegetarian"
Knusperstange,Knusperstange,"€ 1,29",,"2,29 €",,Nein,,,,images_tegut/tegut_offer_073.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
Salamiwurst-Aufschnitt,Salamiwurst-Aufschnitt,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_074.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
Bio Steinsalzkäse,Heiderbeck,"€ 2,00",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_075.jpg,"cat_molkerei_kaese,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed,tag_whole_food"
Bio-Fleischwurst,Bio-Fleischwurst,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_076.jpg,"cat_fleisch_wurst,sub_wurst,tag_proteinreich,tag_ultra_processed"
Fleischsalat,LandPrimus,"€ 0,99",,"1,79 €",,Nein,,,,images_tegut/tegut_offer_077.jpg,"cat_fleisch_wurst,sub_frisches_gemuese,sub_rind,sub_salate,sub_schwein,sub_wurst,tag_ultra_processed"
Farmlandschinken,Farmlandschinken,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_078.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed"
Pfefferbeißer,LandPrimus,"€ 1,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_079.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_wurst,tag_ultra_processed"
Alpenspeck,Alpenspeck,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_080.jpg,"cat_molkerei_kaese,sub_milchprodukte"
Bio-Manouri,bio-verde,"€ 1,99",,"2,79 €",,Nein,,,,images_tegut/tegut_offer_081.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Elsässer Winzerkäse,Elsässer Winzerkäse,"€ 1,99",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_082.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed"
50 Rabatt,50 Rabatt,"€ 2,00",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_083.jpg,cat_sonstiges
