Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Augustiner Helles Vollbier,Keine Marke,"€ 15,99",,"1 l = 1,60 €","20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,60 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/augustiner-helles-vollbier.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000167,obs_0000006721|obs_0000006926|obs_0000005229|obs_0000006010|obs_0000007449|obs_0000011038|obs_0000012318|obs_0000012817|obs_0000013614|obs_0000029293,obs_0000005229|obs_0000006010|obs_0000006721|obs_0000006926
Kaiserdom Helles Vollbier oder Alkoholfrei,Keine Marke,"€ 13,99",,"1 l = 1,40 €","Je nach Verfügbarkeit des Marktes., 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/kaiserdom-helles-vollbier-oder-alkoholfrei.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000168,obs_0000007449|obs_0000010596|obs_0000011038|obs_0000012318|obs_0000012817|obs_0000013614|obs_0000029293|obs_0000031689,
Krug-Bräu Breitenlesauer Hell,Keine Marke,"€ 13,99",,"1 l = 1,40 €","20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/krug-br-u-breitenlesauer-hell.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000169,obs_0000008104|obs_0000009231|obs_0000009361|obs_0000009987|obs_0000011440|obs_0000013179|obs_0000025477|obs_0000026677|obs_0000026794|obs_0000031939|obs_0000031951|obs_0000032327,
After Eight,Nestl,"€ 1,99",,"1 kg = 9,95 €","200 g Packung, (1 kg = 9,95 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/nestl-after-eight.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000170,obs_0000018218|obs_0000016852|obs_0000008137|obs_0000028800|obs_0000005256|obs_0000029620|obs_0000030164,obs_0000005256
Chio Tortillas,Keine Marke,"€ 1,11",,"1 kg = 10,09 €","verschiedene Sorten, 110 g Packung, (1 kg = 10,09 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/chio-tortillas.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000171,obs_0000029475|obs_0000015170|obs_0000018293,obs_0000029475
Crunchips Stackers,Lorenz,"€ 1,99",,"1 kg = 11,37 €","verschiedene Sorten, 175 g Dose, (1 kg = 11,37 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/lorenz-crunchips-stackers.jpg,"cat_knabbern_naschen,sub_kartoffeln,tag_ultra_processed",,ref_000172,obs_0000002096|obs_0000000817|obs_0000006552,
Schokolade,Milka,"€ 2,79",,Kein Mengenpreis,verschiedene Sorten,Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/milka-schokolade.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",BLS-S500000,ref_000173,obs_0000014418|obs_0000024683|obs_0000008307|obs_0000031872|obs_0000013979|obs_0000025827|obs_0000013551|obs_0000031477|obs_0000026359|obs_0000016130|obs_0000016680|obs_0000023866|obs_0000010558|obs_0000017223|obs_0000012629|obs_0000008056|obs_0000011665|obs_0000021504|obs_0000017954|obs_0000003112|obs_0000004659|obs_0000003637|obs_0000018997|obs_0000002122|obs_0000000091|obs_0000029313|obs_0000031875|obs_0000004232|obs_0000000138|obs_0000016064|obs_0000003805|obs_0000000230|obs_0000009968|obs_0000016120|obs_0000020224|obs_0000026371|obs_0000026376|obs_0000023348|obs_0000030520|obs_0000019816|obs_0000008041|obs_0000015216|obs_0000004491|obs_0000009612|obs_0000008595|obs_0000011211|obs_0000011229|obs_0000004064|obs_0000016382|obs_0000007703,obs_0000017954|obs_0000003112|obs_0000004659|obs_0000003637|obs_0000018997|obs_0000002122|obs_0000014418|obs_0000000091|obs_0000024683|obs_0000008307|obs_0000031872|obs_0000029313|obs_0000031875|obs_0000004232|obs_0000000138|obs_0000013979|obs_0000016064|obs_0000003805|obs_0000025827|obs_0000000230|obs_0000013551|obs_0000009968|obs_0000031477|obs_0000026359|obs_0000016120|obs_0000020224|obs_0000016130|obs_0000026371|obs_0000026376|obs_0000016680|obs_0000023348|obs_0000030520|obs_0000023866|obs_0000010558|obs_0000017223|obs_0000012629|obs_0000019816|obs_0000008041|obs_0000015216|obs_0000008056|obs_0000006015|obs_0000004491|obs_0000009612|obs_0000011665|obs_0000008595|obs_0000005065|obs_0000011211|obs_0000011229|obs_0000004064|obs_0000016382
Hase Harry,kinder,"€ 1,11",,"1 kg = 20,18 €","Nur solange der Vorrat reicht., 55 g Stück, (1 kg = 20,18 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/kinder-hase-harry.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,ref_000174,,
Rocher,Ferrero,"€ 2,99",,"1 kg = 14,95 €","200 g Packung, (1 kg = 14,95 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/ferrero-rocher.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",BLS-D771900,ref_000175,obs_0000014889|obs_0000010800|obs_0000029305|obs_0000015611|obs_0000017725|obs_0000013809|obs_0000016074|obs_0000016090|obs_0000002454|obs_0000017303|obs_0000005263|obs_0000028415|obs_0000006931|obs_0000006025|obs_0000006547|obs_0000011833|obs_0000013816,obs_0000014889|obs_0000010800|obs_0000029305|obs_0000005263|obs_0000015611|obs_0000017725|obs_0000006025|obs_0000013809
bueno,kinder,"€ 2,99",,"1 kg = 13,91 €","10er, 215 g Big Pack, (1 kg = 13,91 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/kinder-bueno.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000176,obs_0000011667|obs_0000010392|obs_0000013983|obs_0000021413|obs_0000021831|obs_0000006019|obs_0000005258|obs_0000016896|obs_0000017807|obs_0000021012|obs_0000029470|obs_0000014893|obs_0000009658|obs_0000015689|obs_0000020113|obs_0000006733|obs_0000028433|obs_0000019294|obs_0000013666|obs_0000023533|obs_0000030475|obs_0000027134|obs_0000008577|obs_0000009639|obs_0000017321|obs_0000015932|obs_0000024391|obs_0000026269,obs_0000006019|obs_0000005258|obs_0000011667|obs_0000010392|obs_0000013983|obs_0000021413|obs_0000021831
