Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Arla Buko Frischkäse oder -zubereitung,€ 1.00,"1 kg = 5,00 €","verschiedene Sorten und Fettstufen, 200 g Becher, (1 kg = 5,00 €)",2026-02-23,2026-02-28,images_edeka/arla-buko-frischk-se-oder-zubereitung.jpg
Gut & Günstig Reibekäse,€ 1.59,"1 kg = 6,36 €","verschiedene Sorten und Fettstufen, 250 g Packung, (1 kg = 6,36 €)",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-reibek-se.jpg
Dr. Oetker Löffelglück Grütze,€ 1.00,"1 kg = 6,25 €","verschiedene Sorten, 160 g Becher, (1 kg = 6,25 €)",2026-02-23,2026-02-28,images_edeka/dr-oetker-l-ffelgl-ck-gr-tze.jpg
Deli Reform Margarine,€ 1.29,"1 kg = 2,87 €","Das Original, vegan, 450 g Becher, (1 kg = 2,87 €)",2026-02-23,2026-02-28,images_edeka/deli-reform-margarine.jpg
Bären Marke Frische Schlag-Sahne,€ 2.49,"1 kg = 4,98 €","32 % Fett, 500 g Packung, (1 kg = 4,98 €)",2026-02-23,2026-02-28,images_edeka/b-ren-marke-frische-schlag-sahne.jpg
Emmi Caffè oder Choco Latte*,€ 1.00,"1 l = 4,35 €","verschiedene Sorten *Nur solange der Vorrat reicht., 230 ml Becher, (1 l = 4,35 €)",2026-02-23,2026-02-28,images_edeka/emmi-caff-oder-choco-latte.jpg
Ehrmann Robby MonsterBacke Früchte-Quark,€ 1.00,"1 kg = 3,33 €","verschiedene Sorten, 6er, 300 g Packung, (1 kg = 3,33 €)",2026-02-23,2026-02-28,images_edeka/ehrmann-robby-monsterbacke-fr-chte-quark.jpg
müller Frucht Butter Milch,€ 0.89,"1 kg = 1,78 €","verschiedene Sorten, 500 g Flasche + 0,25 Pfand, (1 kg = 1,78 €)",2026-02-23,2026-02-28,images_edeka/m-ller-frucht-butter-milch.jpg
Mövenpick Greek Style Joghurt mild,€ 1.79,"1 kg = 4,48 €","verschiedene Sorten, 4er, 400 g Packung, (1 kg = 4,48 €)",2026-02-23,2026-02-28,images_edeka/m-venpick-greek-style-joghurt-mild.jpg
Ehrmann Obstgarten,€ 0.39,,verschiedene Sorten,2026-02-23,2026-02-28,images_edeka/ehrmann-obstgarten.jpg
Bären Marke Frische Milch,€ 1.00,"1 l = 1,00 €","3,8 % Fett, 1 Liter Packung, (1 l = 1,00 €)",2026-02-23,2026-02-28,images_edeka/b-ren-marke-frische-milch.jpg
