Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Ricola Bonbons,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 23,87","versch. Sorten, je 75-g-Btl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_146.jpg,bamberg
Coca-Cola Fanta Sprite oder Mezzo Mix,Keine Marke,"€ 11,99",Kein vorheriger Preis,"1 l = 1,00","versch. Sorten, teilw. koffeinhaltig, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_147.jpg,bamberg
Powerade,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 l = 1,98","versch. Sorten, je 0,5-l-Fl, zzgl. 0,25 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_148.jpg,bamberg
Valensina Saft,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_149.jpg,bamberg
Franken Brunnen Mineralwasser,Keine Marke,"€ 5,49",Kein vorheriger Preis,"1 l = 0,46","versch. Sorten, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_150.jpg,bamberg
Gerolsteiner Mineralwasser,Keine Marke,"€ 0,69",Kein vorheriger Preis,"1 l = 0,92","versch. Sorten, je 0,75-l-Fl, zzgl. 0,25 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_151.jpg,bamberg
28 Black Energy Drink,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 l = 3,96","versch. Sorten, koffeinhaltig, je 0,25-l-Dose, zzgl. 0,25 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_152.jpg,bamberg
Knorr Gemüse Bouillon,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,"ausreichend für 7 Liter, je Glas",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_130.jpg,bamberg
Thomy Delikatess Mayonnaise oder Remoulade,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 l = 8,95",je 200-ml-Tube,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_129.jpg,bamberg
Knorr Spaghetteria Pasta Spinaci Käse,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 8,37",je 178-g-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_128.jpg,bamberg
La Espa ola Natives Olivenöl Extra,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 l = 11,98",je 500-ml-Fl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_127.jpg,bamberg
REWE Beste Wahl Dino Nuggets,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 6,76","vegan, tiefgefroren, je 250-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_105.jpg,bamberg
Gustavo Gusto Pizza Amore Napoli Rucola,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 8,93","tiefgefroren, je 335-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_106.jpg,bamberg
REWE Beste Wahl Burger Patties,Keine Marke,"€ 1,59",Kein vorheriger Preis,"1 kg = 6,91","vegan, tiefgefroren, je 230-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_107.jpg,bamberg
ja Frisches ganzes Hähnchen,Keine Marke,"€ 5,99",Kein vorheriger Preis,Kein Mengenpreis,"ohne Hals und Innereien, Hkl. A, SB-verpackt, je 1 kg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_108.jpg,bamberg
Jacobs Krönung,Keine Marke,"€ 6,99",Kein vorheriger Preis,"1 kg = 13,98","versch. Sorten, gemahlener Bohnenkaffee, je 500-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_109.jpg,bamberg
Meßmer Kräutertee Pfefferminze,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 30,04","je 56,25-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_110.jpg,bamberg
Corny Müsliriegel Milch Classic,Keine Marke,"€ 1,59",Kein vorheriger Preis,"1 kg = 13,25",je 4 x 30-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_111.jpg,bamberg
Bärenmarke Kaffee-Milch,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 2,91","versch. Sorten, je 340-g-Dose",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_112.jpg,bamberg
Nutella Plant Based,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 kg = 9,97",je 350-g-Glas,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_113.jpg,bamberg
Wasa Vollkorn Roggen,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 6,88",je 260-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_114.jpg,bamberg
Köstritzer Schwarzbier,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 1,40","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_153.jpg,bamberg
Zentis Frühstücks-Konfitüre,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 5,61","versch. Sorten, je 230-g-Glas",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_115.jpg,bamberg
REWE Beste Wahl Double Choc Cookie,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 7,96",je 225-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_117.jpg,bamberg
Wasa Sesam Vollkorn,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 8,95",je 200-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_118.jpg,bamberg
Meßmer Schwarztee Earl Grey,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 38,63","je 43,75-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_119.jpg,bamberg
Corny Müsliriegel Schoko,Keine Marke,"€ 1,59",Kein vorheriger Preis,"1 kg = 9,09",je 7 x 25-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_120.jpg,bamberg
REWE Bio Mehrkornbrötchen,Keine Marke,"€ 2,19",Kein vorheriger Preis,"1 kg = 7,30","4 knusprige Brötchen, zum Fertigbacken, mit Sonnen­blumen­kernen, Sesam, Leinsamen und Hafer­flocken, je 300-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_121.jpg,bamberg
Eduscho Caff Crema oder Espresso Intenso,Keine Marke,"€ 13,99",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, ganze Bohne, je 1000-g-Btl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_122.jpg,bamberg
REWE Bio Haferpops,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 5,31",je 375-g-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_123.jpg,bamberg
Heinz Tomato Ketchup oder Mayonnaise,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 l = 4,48",je 400-ml-Fl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_124.jpg,bamberg
Knorr Pasta Pot,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 15,71","Käse & Sahne, je 63-g-Becher",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_125.jpg,bamberg
3 Glocken Genuss Pur Pasta,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 1,98","versch. Ausformungen, je 500-g-Btl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_126.jpg,bamberg
Pema Bio Proteinbrot,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 7,96",je 250-g-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_116.jpg,bamberg
Iglo Würz-Spinat,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 3,98","tiefgefroren, je 500-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_104.jpg,bamberg
Zirndorfer Bier,Keine Marke,"€ 11,99",Kein vorheriger Preis,"1 l = 1,20","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_154.jpg,bamberg
Spaten Münchner Hell,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 1,40","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_156.jpg,bamberg
rotho Korb Country,Keine Marke,"€ 3,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 6 l 3,99 ca. 18 l 5,99, St",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_183.jpg,bamberg
UHU Klebestift XXL-Pack,Keine Marke,"€ 6,99",Kein vorheriger Preis,"1 kg = 55,48","6 x ca. 21 g, je Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_184.jpg,bamberg
Küchenläufer,Keine Marke,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 67 x 180 cm Oberseite: 100% Polyamid Unterseite: gummiert, je St",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_185.jpg,bamberg
Somat Excellence,Keine Marke,"€ 7,99",Kein vorheriger Preis,"1 Tab = 0,16","4 in 1, je 49-Tab-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_186.jpg,bamberg
Persil Colorwaschmittel Kraft-Gel,Keine Marke,"€ 16,99",Kein vorheriger Preis,"1 WL = 0,17",je 100-WL-Fl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_187.jpg,bamberg
Perwoll Fein- Wollwaschmittel,Keine Marke,"€ 4,99",Kein vorheriger Preis,"1 WL = 0,18","versch. Sorten, je 27-WL-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_188.jpg,bamberg
Nivea Deospray,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 l = 16,60","versch. Sorten, je 150-ml-Dose",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_189.jpg,bamberg
Nivea Deo Roll-On,Keine Marke,"€ 2,89",Kein vorheriger Preis,"1 l = 57,80","versch. Sorten, je 50-ml-Roller",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_190.jpg,bamberg
Schauma Shampoo,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 l = 3,73","7 Kräuter, je 400-ml-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_191.jpg,bamberg
Blend-a-med Zahncreme,Keine Marke,"€ 0,89",Kein vorheriger Preis,"1 l = 11,87","Classic oder Extra Frisch Clean, je 75-ml-Tube",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_192.jpg,bamberg
Schauma Spülung,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 l = 5,96","Repair & Pflege, je 250-ml-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_193.jpg,bamberg
Persil Universal 4 in 1 Discs,Keine Marke,"€ 16,99",Kein vorheriger Preis,"1 WL = 0,22",je 76-WL-Btl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_194.jpg,bamberg
Ariel Colorwaschmittel flüssig,Keine Marke,"€ 4,99",Kein vorheriger Preis,"1 WL = 0,25",je 20-WL-Fl,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_195.jpg,bamberg
Ariel Allin1 Pods Universal,Keine Marke,"€ 4,99",Kein vorheriger Preis,"1 WL = 0,33",je 15-WL-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_196.jpg,bamberg
Perfect Fit Katzentrockennahrung,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 3,99","versch. Sorten, je 750-g-Btl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_197.jpg,bamberg
Pedigree Hundenahrung,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 2,49","versch. Sorten, je 800-g-Dose",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_198.jpg,bamberg
Einkaufskorb,Keine Marke,"€ 9,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 44 x 25 x 23 cm rutschfeste Griffe mit Reißverschluss abwaschbarer Bezugsstoff max. Tragegewicht ca. 12 kg, je St",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_199.jpg,bamberg
Grünpflanze XL,Keine Marke,"€ 6,99",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, je Topf",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_200.jpg,bamberg
Narzisse Tete Tete,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"bringt Farbe in die kalte Jahreszeit, je Topf",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_201.jpg,bamberg
Primel,Keine Marke,"€ 1,00",Kein vorheriger Preis,Kein Mengenpreis,"versch. Farben, große Pflanze, eine herrlich bunte Blütenpracht, je Topf",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_202.jpg,bamberg
Tulpenstrauß,Keine Marke,"€ 3,33",Kein vorheriger Preis,Kein Mengenpreis,"versch. Farben, je Bund",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_203.jpg,bamberg
VIVESS Glas Frischhaltedosen,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,"quadratisch oder rechteckig inkl. Ventil, je Set",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_182.jpg,bamberg
Kesper Bambus Schneidebretter,Keine Marke,"€ 4,99",Kein vorheriger Preis,Kein Mengenpreis,je Set,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_181.jpg,bamberg
air up Pods,Keine Marke,"€ 5,99",Kein vorheriger Preis,Kein Mengenpreis,"versch. Aromen, Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_180.jpg,bamberg
air up Click Bottle,Keine Marke,"€ 29,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 600 ml, je St",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_179.jpg,bamberg
Beck s Pils,Keine Marke,"€ 11,99",Kein vorheriger Preis,"1 l = 1,20","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_157.jpg,bamberg
Warsteiner Pils,Keine Marke,"€ 10,99",Kein vorheriger Preis,"1 l = 1,10","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_158.jpg,bamberg
Karlsberg Mixery,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 2,02","versch. Sorten, teilw. koffeinhaltig, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_159.jpg,bamberg
Baileys Original Irish Cream Liqueur,Keine Marke,"€ 9,99",Kein vorheriger Preis,"1 l = 14,27","17% Vol., je 0,7-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_160.jpg,bamberg
MM Extra Sekt,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 l = 3,99","je 0,75-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_161.jpg,bamberg
Henkell Sekt,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 5,32","trocken, je 0,75-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_162.jpg,bamberg
Grand Sud Vin de France,Keine Marke,"€ 3,49",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, trocken, je 1-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_163.jpg,bamberg
Osborne Veterano,Keine Marke,"€ 9,99",Kein vorheriger Preis,"1 l = 14,27","30% Vol., je 0,7-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_164.jpg,bamberg
Gallo Family oder Barefoot,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 5,32","versch. Sorten, je 0,75-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_165.jpg,bamberg
Yellow Tail Shiraz,Keine Marke,"€ 4,49",Kein vorheriger Preis,"1 l = 5,99","trocken, je 0,75-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_166.jpg,bamberg
Paulaner Weißbier,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 1,40","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_155.jpg,bamberg
Hettinger Qualitätswein,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, trocken, halbtrocken, je 1-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_167.jpg,bamberg
Five Lakes Vodka,Keine Marke,"€ 9,99",Kein vorheriger Preis,"1 l = 14,27","40% Vol., je 0,7-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_169.jpg,bamberg
Baileys Chocolate Irish Cream Liqueur,Keine Marke,"€ 9,99",Kein vorheriger Preis,"1 l = 19,98","15,7% Vol., je 0,5-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_170.jpg,bamberg
WC Frisch Reiniger,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 27,90","versch. Sorten, je 2 x 50-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_172.jpg,bamberg
Meister Proper Reiniger,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"Citrusfrische, je 1-l-Fl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_173.jpg,bamberg
BRITA Wasserfilter Aluna,Keine Marke,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 2,4 l mit Klappdeckel zum Befüllen, je Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_174.jpg,bamberg
Kühlschrankorganizer,Keine Marke,"€ 5,99",Kein vorheriger Preis,Kein Mengenpreis,"Dosenhalter ca. 35 x 17 x 15,2 cm Drehteller Ø ca. 25,9 x 7,6 cm 3er-Set ca. 31 x 7,4/13/20,6 x 9,3 cm, je St./Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_175.jpg,bamberg
BRITA Wasserfilter-Kartuschen Maxtra Pro,Keine Marke,"€ 24,99",Kein vorheriger Preis,Kein Mengenpreis,"Pure Perfomance 5+1 24,99 UVP 37,99 extra Kalkschutz-Pack 5+1 26,99 UVP 41,79 für weicheres Wasser zum Schutz der Haushaltsgeräte, je Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_176.jpg,bamberg
air up Tumbler,Keine Marke,"€ 29,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 700 ml, je St",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_177.jpg,bamberg
air up Tumbler with Handle,Keine Marke,"€ 34,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 890 ml, je St",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_178.jpg,bamberg
Crodino alkoholfreier Spritz,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 l = 7,64",je 8 x 98-ml-Fl.-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_168.jpg,bamberg
Frosta Gemüsepfanne alla Toscana,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 4,15","tiefgefroren, je 480-g-Btl",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_103.jpg,bamberg
Kinder Country,Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 kg = 10,50","je 9 x 23,5-g-Pckg",Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_137.jpg,bamberg
REWE Beste Wahl Choviva Salted Caramel,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 l = 7,37",je 3 x 90-ml-Pckg,Nein,2026-01-05 bis 2026-01-11,2026-01-05,2026-01-11,images_rewe/bamberg_offer_101.jpg,bamberg
