Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
VALENSINA,Fruchtsaft,1.79,,1 l = 1.79 - 2.56 / 1 l = 1.49 - 2.13**,"nur; 1.49€, mit Kaufland Card","je 0,7 - 1-l-PET-Fl.",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_38.jpg
WATERDROP,Microdrink,5.99,7.49,1 kg = 249.59 / 1 kg = 207.92**,"-20%; 4.99€, mit Kaufland Card",je 12 St. = 24-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_39.jpg
HAVANA CLUB,Original 3 Años o. Especial,,,1 l = 21.42 / 1 l = 14.28**,"-33%; 9.99€, mit Kaufland Card","je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_40.jpg
ROTWILD,Dornfelder oder Riesling,,,1 l = 5.32 / 1 l = 3.32**,"-37%; 2.49€, mit Kaufland Card","je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_41.jpg
RED BULL,Energy Drink oder Erfrischungsgetränk,0.85,,1 l = 2.58 - 3.40 / 1 l = 2.40 - 3.16**,"nur; 0.79€, mit Kaufland Card","je 0,25 - 0,33-l-Dose",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_42.jpg
WEISSER RIESE,Voll- oder Colorwaschmittel,"12.99
*",,pro Anwendung = 0.13 - 0.17 / pro Anwendung = 0.12 - 0.15**,"nur; 11.99
*€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_43.jpg
TEMPO,Taschentücher,,,,"nur; 3.99
*€, mit Kaufland Card",je 42 x 10-St.-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_44.jpg
SCHWARZKOPF,"Taft Haarlack, -spray oder Schaumfestiger",,,1 l = 15.80 - 26.34 / 1 l = 11.52 - 19.20**,"-27%; 2.88€, mit Kaufland Card",je 150 - 250-ml-Dose,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_45.jpg
TEFAL,Paninigerät/Kontaktgrill »Inicio GC241D«,39.99,,,"nur; 34.99€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_46.jpg
CLEANMAXX,2-in-1-Akku-Handstaubsauger »15093«,,,,"-27%; 12.99€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_47.jpg
VTECH,Kinder-Kamera »Kidizoom«,39.99,UVP69.99,,"-42%; 34.99€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_48.jpg
LEIFHEIT,Fensterabzieher »Window Slider M«,5.99,UVP10.99,,"-45%; 5.09€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_49.jpg
LEIFHEIT,Wand- und Deckenbesen »Dusty«,5.99,UVP10.99,,"-45%; 5.09€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_50.jpg
LEIFHEIT,Teleskopstiel,5.99,UVP10.99,,"-45%; 5.09€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_51.jpg
LEIFHEIT,Staubwedel »Duster XL«,5.99,UVP11.99,,"-50%; 5.09€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_52.jpg
LEIFHEIT,Fliesenwischer »FlexiPad«,5.99,UVP11.99,,"-50%; 5.09€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_53.jpg
RÜGENWALDER MÜHLE,Vegane Pfannen- oder Grillprodukte,2.49,3.29,1 kg = 9.96 - 13.84 / 1 kg = 8.88 - 12.34**,"-24%; 2.22€, mit Kaufland Card",je 180 - 250-g-Packg.,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_54.jpg
RÜCKER,Alt-Mecklenburger oder Alter Schwede,1.49,2.19,1 kg = 14.90 / 1 kg = 12.90**,"-31%; 1.29€, mit Kaufland Card",je 100-g-Packg.,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_56.jpg
FUNNY-FRISCH,Linsen- oder Popchips,1.49,,1 kg = 16.56 - 18.63 / 1 kg = 14.34 - 16.13**,"nur; 1.29€, mit Kaufland Card",je 80 - 90-g-Packg.,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_57.jpg
WC-FRISCH,Kraft Aktiv,3.79,,1 kg = 25.27 / 1 kg = 21.94**,"nur; 3.29€, mit Kaufland Card",je 3 St. = 150-g-Packg.,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_58.jpg
,Miniromatomaten XXL,"2.99
*",,,nur,je 1-kg-Karton,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_59.jpg
,Span. Orangen,"4.99
*",,1 kg = 0.74,nur,je Eimer,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_60.jpg
,Span. Clementinen,2.99,3.49,1 kg = 2.00,-14%,"je 1,5-kg-Packg.",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_61.jpg
,Span. Bio-Zitronen,"1.29
*",,1 kg = 2.58,nur,je 500-g-Netz,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_63.jpg
,Dtsch. Multicolor-Salat oder Kopfsalat,1.29,1.59,,-18%,je Stück,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_65.jpg
,Speisekartoffeln Linella,1.99,2.99,1 kg = 1.33,-33%,"je 1,5-kg-Packg.",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_66.jpg
,Marokk. Buschbohnen,1.99,2.99,1 kg = 3.98,-33%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_67.jpg
,Dtsch. Cocktailrispentomaten,2.49,2.99,1 kg = 7.12,-16%,je 350-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_68.jpg
,Ital./span. Kräuter XXL,1.49,1.99,,-25%,je 75 - 200-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_69.jpg
,Dtsch. Grünkohl,1.99,2.99,1 kg = 3.07,-33%,je 650-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_70.jpg
,Span./ital. Bio-Blumenkohl,1.99,2.99,,-33%,je Stück,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_71.jpg
,Span./ital. Bio-Broccoli,1.49,1.99,1 kg = 4.26,-25%,je 350-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_72.jpg
,Span. Bio-Rispentomaten,1.99,2.49,1 kg = 3.98,-20%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_73.jpg
