Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Gartengerät für Kinder,Gardenline,"€ 2,49",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_112.jpg,"cat_non_food,tag_ultra_processed",,,ref_000112,obs_0000010787|obs_0000023931|obs_0000023937|obs_0000024357|obs_0000024358,
Holz-Sitzgarnitur für Kinder,Belavi,"€ 16,99",,"pro Einheit = 16,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_113.jpg,"cat_non_food,tag_ultra_processed",,,ref_000113,,
Hochbeet für Kinder,BELAVI,"€ 14,99",,"pro Einheit = 14,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_114.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000114,obs_0000010787|obs_0000013026,
DIY-Blumentöpfe,Belavi,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_115.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000115,,
Universelle Wetterschutzhülle,Universelle Wetterschutzhülle,"€ 7,99",,"pro Einheit = 7,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_116.jpg,cat_non_food,,,ref_000116,,
Gasgrill Boston Pro 4 KR Turbo II,Enders,"€ 279,00",,"pro Einheit = 279,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_117.jpg,"cat_non_food,tag_ultra_processed",,,ref_000117,,
Grillzange,JES COLLECTION,"€ 1,00",,"pro Einheit = 1,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_118.jpg,cat_getraenke,,,ref_000118,,
Bypass-Schere,Gardenline,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_119.jpg,"cat_non_food,diet_vegetarian",,,ref_000119,obs_0000012570,
Gehwegplattenreiniger,Power Force,"€ 1,99",,"pro Einheit = 1,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_120.jpg,cat_drogerie,,,ref_000120,,
Rasendünger,Gardenline,"€ 5,99",,"1 kg = 2,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_121.jpg,cat_non_food,,,ref_000121,,
Hortensienbusch,Gardenline,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_122.jpg,cat_non_food,,,ref_000122,,
Sport- und Spielrasen,Gardenline,"€ 11,99",,"1 kg = 6,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_123.jpg,"cat_non_food,diet_lactose_free,diet_vegetarian,tag_whole_food",,,ref_000123,,
Staudenmix,Gardenline,"€ 1,79",,"pro Einheit = 1,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_124.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000124,,
Boho-Hängesessel,BELAVI,"€ 15,99",,"pro Einheit = 15,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_125.jpg,"cat_non_food,diet_vegan,diet_vegetarian",,,ref_000125,,
Maler-Set,DECO CRAFT,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_126.jpg,cat_non_food,,,ref_000126,obs_0000008562|obs_0000000545|obs_0000025081|obs_0000021274|obs_0000013768|obs_0000014037|obs_0000020455,obs_0000008562
Profi-Ersatzwalzen,DECO CRAFT,"€ 1,99",,"pro Einheit = 1,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_127.jpg,cat_non_food,,,ref_000127,obs_0000003604|obs_0000000543,obs_0000003604|obs_0000000543
Einweg-Overall,DECO CRAFT,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_128.jpg,cat_non_food,,,ref_000128,,
Super Kleber Original,Loctite,"€ 2,49",,"1 kg = 57,91",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_129.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000129,obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987|obs_0000028429|obs_0000034575|obs_0000016167|obs_0000020298|obs_0000028516|obs_0000010117|obs_0000014249|obs_0000028630,
Profi-Pinselset,DECO CRAFT,"€ 2,49",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_130.jpg,cat_non_food,,,ref_000130,,
Malerkreppband,DECO CRAFT,"€ 2,49",,"pro Einheit = 0,02",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_131.jpg,cat_non_food,,,ref_000131,obs_0000000549,obs_0000000549
Abdeckfolien-Set,DECO CRAFT,"€ 3,49",,"pro Einheit = 3,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_132.jpg,cat_non_food,,,ref_000132,obs_0000001367,obs_0000001367
Sprühlack,HOME CREATION,"€ 2,99",,"pro Einheit = 7,48",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_133.jpg,cat_non_food,,,ref_000133,,
S O S Easy Wandfarbe,Molto,"€ 1,99",,"pro Einheit = 66,33",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_134.jpg,cat_non_food,,,ref_000134,,
