Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Hähnchenbrustfilet,Gut Günstig,"€ 5,29",,"1 kg = 8,82","ohne Haut und Knochen, Hkl. A, frisch, 600 g SB-Packung, (1 kg = 8,82 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/gut-g-nstig-h-hnchenbrustfilet.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich",NUTR-0002,ref_000086,obs_0000027673|obs_0000026273|obs_0000010961|obs_0000005613|obs_0000002542|obs_0000015747|obs_0000001034|obs_0000001543|obs_0000017292|obs_0000019089|obs_0000027025|obs_0000003223|obs_0000008599|obs_0000004253|obs_0000016926|obs_0000001079|obs_0000034103|obs_0000034108|obs_0000004680|obs_0000034510|obs_0000029652|obs_0000000109|obs_0000028783|obs_0000003826|obs_0000011003|obs_0000012279|obs_0000009849|obs_0000008219|obs_0000009388|obs_0000002222,obs_0000001034|obs_0000001543|obs_0000017292|obs_0000003223|obs_0000027673|obs_0000004253|obs_0000016926|obs_0000026273|obs_0000034108|obs_0000004680|obs_0000034510|obs_0000010961|obs_0000029652|obs_0000005613|obs_0000002542|obs_0000000109|obs_0000028783|obs_0000003826
Teewurst,Rügenwalder Mühle,"€ 1,59",,"1 kg = 15,90","verschiedene Sorten, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/r-genwalder-m-hle-teewurst.jpg,"cat_fleisch_wurst,diet_vegan,sub_fleischersatz,sub_wurst,tag_ultra_processed",,ref_000087,obs_0000009735|obs_0000010122|obs_0000034591|obs_0000014370|obs_0000012199|obs_0000009269|obs_0000006344|obs_0000013925|obs_0000001033|obs_0000012777|obs_0000010935|obs_0000007050|obs_0000005787|obs_0000028074|obs_0000030895|obs_0000006870|obs_0000029541|obs_0000007415|obs_0000032537|obs_0000032197,obs_0000009735|obs_0000001033|obs_0000010122|obs_0000005787|obs_0000034591|obs_0000014370|obs_0000012199|obs_0000009269|obs_0000006344|obs_0000013925|obs_0000012777
Unsere gute Fleischwurst,Keine Marke,"€ 0,99",,"1 kg = 9,90","im Ring, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/unsere-gute-fleischwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,ref_000088,obs_0000007216|obs_0000007623|obs_0000005968|obs_0000034472|obs_0000034703|obs_0000008871|obs_0000011863|obs_0000014928|obs_0000027764,obs_0000005968|obs_0000007216|obs_0000007623
Recla Porchetta Venosta,Keine Marke,"€ 1,49",,"1 kg = 14,90","original italienischer Spanferkelbraten mit Kruste, Genuss pur, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/recla-porchetta-venosta.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",,ref_000089,obs_0000007231,obs_0000007231
Mini Knabber-Kabanos,Keine Marke,"€ 1,99",,"1 kg = 19,90","herzhaft im Geschmack, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/mini-knabber-kabanos.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,ref_000090,obs_0000007223|obs_0000005225|obs_0000030911|obs_0000000616|obs_0000006379|obs_0000010932|obs_0000011011|obs_0000012328|obs_0000012778|obs_0000016109|obs_0000016216|obs_0000017530|obs_0000018128|obs_0000026024,obs_0000005225|obs_0000007223|obs_0000030911
Broccoli-Schinken- oder Schinken-Eierwurst,Keine Marke,"€ 1,29",,"1 kg = 12,90","pikant gewürzt, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/broccoli-schinken-oder-schinken-eierwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",,ref_000091,obs_0000005610|obs_0000010340|obs_0000014172|obs_0000030213|obs_0000031219|obs_0000034378|obs_0000016624|obs_0000017657|obs_0000028387,obs_0000005610
Rinder Salami,Keine Marke,"€ 2,19",,"pro Einheit = 2,19",100 g,Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/rinder-salami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,sub_wurst,tag_ultra_processed,tag_whole_food",BLS-W145000,ref_000092,obs_0000006181|obs_0000034176|obs_0000002285|obs_0000002611|obs_0000002957|obs_0000003239|obs_0000003307|obs_0000005781|obs_0000007987|obs_0000008039|obs_0000008425|obs_0000010234|obs_0000010316|obs_0000011010|obs_0000014932|obs_0000016328|obs_0000016602|obs_0000016755|obs_0000017184|obs_0000017375|obs_0000019030|obs_0000019666|obs_0000020407|obs_0000021226|obs_0000023205|obs_0000025355|obs_0000025934|obs_0000026898|obs_0000028273|obs_0000031198,obs_0000006181
Salami 1a,Keine Marke,"€ 1,59",,"1 kg = 15,90","mittelfein, mild-würzig, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/salami-1a.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,sub_salate,sub_tk_fertiggerichte,sub_wurst,tag_ultra_processed,tag_whole_food",BLS-W142000,ref_000093,obs_0000034176|obs_0000002285|obs_0000002611|obs_0000002957|obs_0000003239|obs_0000003307|obs_0000005781|obs_0000007987|obs_0000008039|obs_0000008425|obs_0000010234|obs_0000010316|obs_0000011010|obs_0000014932|obs_0000016328|obs_0000016602|obs_0000016755|obs_0000017184|obs_0000017375|obs_0000019030|obs_0000019666|obs_0000020407|obs_0000021226|obs_0000023205|obs_0000025355|obs_0000025934|obs_0000026898|obs_0000028273|obs_0000031198,
Bauernschätze Schinkenspeck,Keine Marke,"€ 1,49",,"pro Einheit = 1,49",100 g,Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/bauernsch-tze-schinkenspeck.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",BLS-W410400,ref_000094,obs_0000005959|obs_0000031719,obs_0000005959
Bauernschätze Schinkenfleischwurst im Ring,Keine Marke,"€ 1,49",,"1 kg = 14,90","grob mit viel magerer Einlage, 100 g",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/bauernsch-tze-schinkenfleischwurst-im-ring.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed",,ref_000095,obs_0000005595|obs_0000006524|obs_0000011006,obs_0000005595
