Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
K-GOLD EDITION,Antipasti-Variation,"€ 2,22","€ 2,79","1 kg = 10,58","1 kg = 10,58","mit grünen Peperoni, roten Paprikaglocken und Kirschpaprika",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_206.jpg,"cat_grundnahrung,sub_frisches_gemuese,tag_ultra_processed",,,ref_000012,obs_0000031514|obs_0000015834|obs_0000007945|obs_0000023208|obs_0000025005|obs_0000028103|obs_0000008008|obs_0000027889|obs_0000011506,obs_0000031514|obs_0000015834,,
MARTINI,Aperitif,"€ 7,77","€ 10,99","1 l = 10,36","1 l = 10,36","Weinaperitif Bianco, Rosso oder Fiero, 14,5 Vol. %, Floreale oder Vibrante, alkoholfrei",Nein,Dieses Angebot findest du vom 27.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-27,2026-04-29,../images/kaufland/kaufland_offer_626.jpg,cat_getraenke,,,ref_000013,obs_0000011143|obs_0000031400|obs_0000008084|obs_0000014632|obs_0000025009|obs_0000031671|obs_0000032742|obs_0000031405|obs_0000025650|obs_0000020042|obs_0000032739|obs_0000020861|obs_0000029439|obs_0000006560|obs_0000007257|obs_0000007651|obs_0000006014,obs_0000011143|obs_0000031400,,
Keine Marke,Apricot Peppers,"€ 1,59","€ 1,99","pro Einheit = 100,00","pro Einheit = 100,00",Mini-Paprika mit Aprikosenfrischkäse,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_223.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000014,obs_0000014227|obs_0000014543|obs_0000012840|obs_0000006660,obs_0000014227|obs_0000014543|obs_0000012840,,
TULIP,Bacon,"€ 1,49",,"1 kg = 11,92","1 kg = 11,92",in Scheiben,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_133.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000015,obs_0000014146|obs_0000012775|obs_0000011008|obs_0000026814|obs_0000001018|obs_0000001019|obs_0000015764|obs_0000002453|obs_0000013086|obs_0000011438|obs_0000025264|obs_0000032047|obs_0000014386|obs_0000010432|obs_0000013513|obs_0000014922|obs_0000019406|obs_0000001491|obs_0000013651|obs_0000024661|obs_0000028908|obs_0000003186|obs_0000007859|obs_0000023768|obs_0000032484|obs_0000024192|obs_0000025976|obs_0000030978|obs_0000007431|obs_0000029467|obs_0000007234|obs_0000029939,obs_0000032047|obs_0000026814|obs_0000014146|obs_0000012775|obs_0000001018|obs_0000001019|obs_0000011008,,
MEGGLE,Baguette,"€ 0,99","€ 1,59","1 kg = 6,19","1 kg = 6,19","mit Kräuter- oder Knoblauchbutter oder veganes Rustikal-Baguette mit feiner Kräuterfüllung, zum Aufbacken",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_195.jpg,"cat_grundnahrung,diet_vegetarian,sub_butter_margarine,sub_milchprodukte",,BLS-B781200,ref_000016,obs_0000012827|obs_0000013087|obs_0000029716|obs_0000007723|obs_0000006255|obs_0000007301|obs_0000008956|obs_0000014164|obs_0000012656|obs_0000028548|obs_0000028665|obs_0000014220|obs_0000026139|obs_0000005682|obs_0000009345|obs_0000009926|obs_0000001802|obs_0000031511|obs_0000013088|obs_0000032054|obs_0000030524|obs_0000024398|obs_0000006503|obs_0000007031|obs_0000022956|obs_0000023980|obs_0000027085|obs_0000007790|obs_0000032409|obs_0000034985|obs_0000034587|obs_0000029618|obs_0000006153|obs_0000007786|obs_0000007793|obs_0000032390|obs_0000010481|obs_0000011018|obs_0000032073|obs_0000030163|obs_0000001799|obs_0000030490|obs_0000032069|obs_0000032644|obs_0000030168|obs_0000029145,obs_0000029716|obs_0000012827|obs_0000007723|obs_0000006255|obs_0000007301|obs_0000008956|obs_0000013087|obs_0000032054|obs_0000030524|obs_0000014164|obs_0000012656|obs_0000007031|obs_0000028548|obs_0000028665,,
MELITTA,Barista Crema,"€ 12,99","€ 18,99","pro Einheit = 1,00","pro Einheit = 1,00",ganze Bohnen,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_253.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000017,obs_0000008868|obs_0000001683|obs_0000031315|obs_0000006463|obs_0000013521|obs_0000008359|obs_0000015446|obs_0000031925|obs_0000004856|obs_0000014103|obs_0000003392|obs_0000000331|obs_0000004429|obs_0000004002|obs_0000006642,obs_0000001683|obs_0000008868,,
ENERGIZER,Batterien AA oder AAA Max,"€ 5,99","€ 17,99","pro Einheit = 20,00","pro Einheit = 20,00",Vorteilspack mit 5 Extra-Batterien,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_373.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000018,obs_0000010795|obs_0000015153|obs_0000009062|obs_0000034870|obs_0000000583|obs_0000023567|obs_0000017567|obs_0000018730,obs_0000010795,,
K-PURLAND,Bauchscheiben Western Style,"€ 4,39","€ 5,59","1 kg = 6,28","1 kg = 6,28","vom Schwein, mariniert",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_098.jpg,"cat_fleisch_wurst,sub_rind",,,ref_000019,obs_0000011750|obs_0000009486|obs_0000009946,obs_0000011750,,
Bergader,Bavaria blu oder Bonifaz,"€ 1,79",,"pro Einheit = 100,00","pro Einheit = 100,00","Weichkäse mit Weiß- und Blauschimmel oder mit weißem Edelschimmelmantel, versch. Sorten, 70 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_179.jpg,"cat_molkerei_kaese,tag_ultra_processed",,,ref_000020,obs_0000014503|obs_0000012812|obs_0000015676|obs_0000031185|obs_0000029534|obs_0000014218|obs_0000005348|obs_0000006971|obs_0000030449,obs_0000014503|obs_0000012812|obs_0000005348|obs_0000015676,,x
Keine Marke,Beet- Balkonpflanzen,"€ 1,11",,"pro Einheit = 1,11","pro Einheit = 1,11","z. B. Bitterwurz, Efeu, Husarenknöpfchen, Nelke, Petunie, Polster-Phlox oder Zauberglöckchen, versch. Farben und Sorten, Topf Ø 9 - 13 cm, ab 1,11€",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_070.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000021,,,,
K-GOLD EDITION,Belg Meeresfrüchte,"€ 2,99",,"1 kg = 11,96","1 kg = 11,96",22 Pralinen mit Nuss-Nougat-Füllung,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_276.jpg,"cat_knabbern_naschen,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000022,obs_0000013092|obs_0000020286|obs_0000022354|obs_0000033502|obs_0000021105,,,
Bergader,Bergbauern-Käse gerieben,"€ 1,79","€ 2,69","1 kg = 11,94","1 kg = 11,94",herzhaft oder mild-nussig,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_173.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000023,obs_0000019500|obs_0000010376|obs_0000026022|obs_0000020651|obs_0000031444|obs_0000021743|obs_0000021470|obs_0000008883|obs_0000006457|obs_0000010631,,,x
SCHÄRDINGER,Bergfex oder Moosbacher,"€ 1,29",,"pro Einheit = 100,00","pro Einheit = 100,00","österr. Hart- oder Schnittkäse mit Rotkultur- oder Doppel-Reifung, 45 - 50 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_176.jpg,cat_molkerei_kaese,,,ref_000024,obs_0000014502|obs_0000011484|obs_0000014324,obs_0000014502|obs_0000011484,,
LIVARNO,Bettdecke,"€ 6,66",,"pro Einheit = 6,66","pro Einheit = 6,66","Aus recyceltem, GRS-zertifiziertem Polyester Ohne Bezug verwendbar Angenehm leicht und anschmiegsam Bauschig-weiche Füllung Mit Steppung gegen Verrutschen der Füllung Waschbar bis 30 °C, trocknergeeignet Größe ca. 135 x 200 cm",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_490.jpg,cat_non_food,,,ref_000025,obs_0000019018|obs_0000019191|obs_0000023336|obs_0000023339|obs_0000023340|obs_0000023143|obs_0000018087|obs_0000019182|obs_0000014005|obs_0000021069|obs_0000017077|obs_0000019187|obs_0000020250|obs_0000016264|obs_0000025508,obs_0000019018,,
BEYOND MEAT,Beyond Burger Original,"€ 2,99","€ 4,29","1 kg = 13,23","1 kg = 13,23","veganes Fleischersatzprodukt, ohne Soja",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_180.jpg,"cat_tiefkuehl,tag_high_protein,tag_ultra_processed",,,ref_000026,obs_0000014504|obs_0000029701|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000023609|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987|obs_0000028429|obs_0000034575|obs_0000016167|obs_0000020298|obs_0000028516|obs_0000010117|obs_0000014249|obs_0000028630,obs_0000014504,,
BITBURGER,Bier oder Biermischgetränk,"€ 3,99",,"1 l = 2,02","1 l = 2,02","versch. Sorten, z. T. auch alkoholfrei (+ 0.48 Pfand)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_326.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000027,obs_0000010753|obs_0000011145|obs_0000012444|obs_0000013527|obs_0000015091|obs_0000009190|obs_0000009359|obs_0000009403|obs_0000009768|obs_0000026797|obs_0000027326|obs_0000028288|obs_0000028492|obs_0000028602|obs_0000028805|obs_0000014056|obs_0000023315|obs_0000031616|obs_0000031827,obs_0000010753|obs_0000011145|obs_0000012444|obs_0000013527|obs_0000015091,,
FRECHE FREUNDE,Bio-Frucht-Snack,"€ 0,79",,"1 kg = 7,90","1 kg = 7,90","Quetschmus, ohne Zuckerzusatz, ab 6 Monaten, versch. Sorten",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_350.jpg,"cat_drogerie,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000028,obs_0000010771|obs_0000012462|obs_0000015516|obs_0000030143|obs_0000025802|obs_0000017698|obs_0000018804|obs_0000014824|obs_0000015693,obs_0000010771|obs_0000012462|obs_0000015516,,
HÜLSENREICH,Bio-Kichererbsensnack,"€ 1,99","€ 2,59","1 kg = 22,12","1 kg = 22,12","versch. Sorten, z. B. Sweet Onion",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_261.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",,,ref_000029,,,,
HIPP,Bio-Knabber-Snacks,"€ 0,99","€ 1,15","1 kg = 33,00","1 kg = 33,00","versch. Sorten, für Kinder ab 8 Monaten oder 1 Jahr",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_349.jpg,"cat_drogerie,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000030,obs_0000012886,obs_0000012886,,
KORO,Bio-Nut-Butter-Cups,"€ 1,99","€ 2,49","1 kg = 51,03","1 kg = 51,03","Cashew-Strawberry oder Salted Hazelnut, vegan",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_288.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_milchprodukte",,,ref_000031,obs_0000028832|obs_0000000669|obs_0000024620|obs_0000000107|obs_0000008456|obs_0000008556|obs_0000009075|obs_0000000997|obs_0000001425|obs_0000017835|obs_0000026359|obs_0000018391|obs_0000010409|obs_0000034970|obs_0000018644|obs_0000018772|obs_0000027049|obs_0000002620|obs_0000002676|obs_0000011042|obs_0000027517|obs_0000019493|obs_0000003267|obs_0000011467|obs_0000003591|obs_0000003636|obs_0000012797|obs_0000013125|obs_0000021984|obs_0000022502|obs_0000031786,,,
K-BIO,Bio-Schokolade,"€ 1,85",,"1 kg = 18,50","1 kg = 18,50",versch. Sorten,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_268.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000032,obs_0000000491|obs_0000011551|obs_0000004235|obs_0000028885|obs_0000004662|obs_0000005089|obs_0000031665|obs_0000000091|obs_0000000138|obs_0000000230|obs_0000033056|obs_0000016691|obs_0000008595|obs_0000008610|obs_0000025221|obs_0000008861|obs_0000009149|obs_0000017539|obs_0000025739|obs_0000017595|obs_0000017605|obs_0000034013|obs_0000017857|obs_0000001524|obs_0000034408|obs_0000034411|obs_0000018155|obs_0000010166|obs_0000026556|obs_0000018698|obs_0000010522|obs_0000002336|obs_0000011112|obs_0000019429|obs_0000027700|obs_0000003326|obs_0000011765|obs_0000011783|obs_0000028232|obs_0000028244|obs_0000028249|obs_0000003851|obs_0000004019|obs_0000012219|obs_0000020472|obs_0000004278|obs_0000004446|obs_0000004705|obs_0000004873|obs_0000021291,obs_0000000491|obs_0000011551|obs_0000004235|obs_0000028885|obs_0000004662|obs_0000005089,,
COMPO,Bio-Universalerde,"€ 5,99","€ 9,99","1 l = 0,30","1 l = 0,30","Ideal für Zierpflanzen, Gemüse, Obst und Kräuter Natürliche und rein organischen Inhaltsstoffe Besonders hoher Humusanteil Torffrei Verbesserte Wasseraufnahme und -verteilung Nährstoffversorgung für bis zu 5 Wochen",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_473.jpg,cat_drogerie,,,ref_000033,,,,
K-BIO,Bioland Bratwurst,"€ 3,49","€ 4,29","1 kg = 13,43 - 15,87","1 kg = 13,43 - 15,87","vom Schwein oder Geflügel, Spitzenqualität",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_129.jpg,"cat_fleisch_wurst,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed",,,ref_000034,obs_0000006701|obs_0000026247|obs_0000006539|obs_0000007634,,,
Bioland,dtsch Champignons braun,"€ 1,99",,"1 kg = 7,96","1 kg = 7,96",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_087.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food",,,ref_000035,obs_0000011411|obs_0000006419|obs_0000034111|obs_0000031799|obs_0000027747|obs_0000014978|obs_0000027283|obs_0000014046|obs_0000001277|obs_0000028450|obs_0000008021|obs_0000026991,,x,
Bioland,dtsch Kräuterseitlinge,"€ 1,99",,"1 kg = 13,27","1 kg = 13,27",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_086.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kraeuter,tag_whole_food",,,ref_000036,obs_0000011832|obs_0000011335|obs_0000010571|obs_0000012259|obs_0000012260|obs_0000026705,,x,
Bioland,dtsch Shitake-Pilze,"€ 1,99",,"1 kg = 13,27","1 kg = 13,27",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_085.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000037,obs_0000004626|obs_0000019039|obs_0000004199|obs_0000003213|obs_0000027349|obs_0000005053|obs_0000002545,,x,
Bioland,dtsch Spargel grün,"€ 5,99","€ 7,99","1 kg = 14,98","1 kg = 14,98",Kl. II,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_083.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000038,obs_0000034717|obs_0000006079,,x,
K-BIO,Bioland fettarmer Joghurt,"€ 0,95",,"1 kg = 1,90","1 kg = 1,90","mild, 1,8 % Fett, cremig gerührt",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_154.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_high_protein",,,ref_000039,obs_0000001772|obs_0000008077|obs_0000021506|obs_0000021508|obs_0000025171|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000025811|obs_0000017127|obs_0000023284|obs_0000034580|obs_0000028966|obs_0000025392|obs_0000015673|obs_0000019794|obs_0000033696|obs_0000009663|obs_0000009180|obs_0000023030|obs_0000008703,,,
