Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Haselnusscreme,Milka,"€ 2,29",,"1 kg = 6,54","1 kg = 6,54","mit Rapsöl, 350 g Glas, (1 kg = 6,54 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/milka-haselnusscreme.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,BLS-Y9A2020,ref_000064,obs_0000012369|obs_0000024198|obs_0000023782|obs_0000025836|obs_0000026373|obs_0000013243|obs_0000005186|obs_0000007966,obs_0000005186|obs_0000012369|obs_0000024198|obs_0000023782|obs_0000025836|obs_0000026373|obs_0000007966|obs_0000013243,,
Tradizionali oder Amore di Pesto Pasta,Giovanni Rana,"€ 2,79",,"1 kg = 11,16","1 kg = 11,16","verschiedene Sorten, 250 g Packung, (1 kg = 11,16 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/giovanni-rana-tradizionali-oder-amore-di-pesto-pasta.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_ultra_processed",,,ref_000065,obs_0000005569|obs_0000006836|obs_0000013936|obs_0000029097|obs_0000030803|obs_0000032540,obs_0000005569|obs_0000013936|obs_0000006836,x,
Pizza,Pizza Lorenzo,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99",verschiedene Sorten,Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/pizza-lorenzo-pizza.jpg,"cat_grundnahrung,sub_tk_pizza,tag_ultra_processed",,,ref_000066,obs_0000013341|obs_0000023186|obs_0000025810|obs_0000005867|obs_0000010530,,x,
Mein Knusperbrot,Leicht & Cross,"€ 1,00",,"pro Einheit = 1,00","pro Einheit = 1,00","verschiedene Sorten, vegan Je nach Verfügbarkeit des Marktes.",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/leicht-cross-mein-knusperbrot.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000067,obs_0000006658|obs_0000030338|obs_0000029359|obs_0000031337|obs_0000013744|obs_0000028344|obs_0000012365|obs_0000028629|obs_0000028515|obs_0000015867,obs_0000006658|obs_0000030338|obs_0000029359|obs_0000013744|obs_0000028344|obs_0000012365|obs_0000031337|obs_0000015867,x,
7Days Doub e x 4,Keine Marke,"€ 1,99",,"1 kg = 8,29","1 kg = 8,29","Croissants mit Füllung, verschiedene Sorten, 4er, 240 g Packung, (1 kg = 8,29 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/7days-doub-e-x-4.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000068,obs_0000005757,obs_0000005757,,
Golden Toast,Golden Toast,"€ 1,29",,"1 kg = 2,58","1 kg = 2,58","verschiedene Sorten Ausgenommen Dinkel 500 g., 500 g Packung, (1 kg = 2,58 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/golden-toast.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000069,obs_0000005383|obs_0000006478|obs_0000007383|obs_0000006657|obs_0000006144|obs_0000013453|obs_0000015428|obs_0000012646,obs_0000005383|obs_0000006478|obs_0000007383,,
Toasties,Golden Toast,"€ 1,00",,"1 kg = 3,33","1 kg = 3,33","verschiedene Sorten, vegan, 300 g Packung, (1 kg = 3,33 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/golden-toast-toasties.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000070,,,,
California Wraps Weizen XL,Mestemacher,"€ 2,00",,"1 kg = 7,14","1 kg = 7,14","Tortilla Wraps zum Füllen und Einwickeln, 280 g Packung, (1 kg = 7,14 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/mestemacher-california-wraps-weizen-xl.jpg,"cat_grundnahrung,diet_vegetarian",,,ref_000071,obs_0000028883|obs_0000034642,,,
MSC Backfisch Fischfrikadellen,Nordsee,"€ 2,49",,"pro Einheit = 2,49","pro Einheit = 2,49","2er, mit Dip, Matjesfilets oder Heringsfilet verschiedene Sorten",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/nordsee-msc-backfisch-fischfrikadellen.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000072,obs_0000006661|obs_0000005203,obs_0000006661|obs_0000005203,x,
Ristorante Pizza Piccola,Dr. Oetker,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99","verschiedene Sorten oder Bistro Flammkuchen Elsässer Art, tiefgefroren Ausgenommen glutenfrei.",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/dr-oetker-ristorante-pizza-piccola.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed",,,ref_000073,obs_0000006501|obs_0000012815|obs_0000011305|obs_0000017705|obs_0000034384|obs_0000000038|obs_0000026731|obs_0000016637|obs_0000028985|obs_0000031500|obs_0000031512|obs_0000019919|obs_0000003772|obs_0000010231|obs_0000007202|obs_0000005207|obs_0000007393|obs_0000010530|obs_0000023186|obs_0000013341|obs_0000025810|obs_0000005867,obs_0000006501|obs_0000007202|obs_0000005207|obs_0000007393,,x
