Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Brunch,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 6,97 €","verschiedene Sorten, 185 g Becher, (1 kg = 6,97 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/brunch.jpg
Président Meersalz Butter,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 11,16 €","250 g Becher, (1 kg = 11,16 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/pr-sident-meersalz-butter.jpg
Andechser Natur Bio Joghurt,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 3,23/2,58 €","verschiedene Sorten und Fettstufen, 400/500 g Becher, (1 kg = 3,23/2,58 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/andechser-natur-bio-joghurt.jpg
EDEKA Genussmomente Dessert,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45 €","verschiedene Sorten, 200 g Packung, (1 kg = 7,45 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-genussmomente-dessert.jpg
EDEKA Genussmomente Tiramisu,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 5,98 €","500 g Packung, (1 kg = 5,98 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-genussmomente-tiramisu.jpg
EDEKA Genussmomente Burrata di Stracciatella oder Bufala,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Fettstuffen,Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-genussmomente-burrata-di-stracciatella-oder-bufala.jpg
Milka Schokoladen Milch,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 l = 2,25 €","verschiedene Sorten, 750 ml Packung, (1 l = 2,25 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/milka-schokoladen-milch.jpg
Bären Marke Haltbare oder Frische Milch,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 l = 1,11 €","verschiedene Fettstufen Je nach Verfügbarkeit des Marktes., 1 Liter Packung, (1 l = 1,11 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/b-ren-marke-haltbare-oder-frische-milch.jpg
Landliebe Joghurt,Keine Marke,"€ 0,44",Kein vorheriger Preis,"1 kg = 2,93/2,20 €","verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes., 150/200 g Becher, (1 kg = 2,93/2,20 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/landliebe-joghurt.jpg
Zott Monte,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 3,73 €","verschiedene Sorten, 4er, 400 g Packung/Becher, (1 kg = 3,73 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/zott-monte.jpg
Haydi Salep,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 2,21 €","süße Milch-Spezialität nach türkischer Art mit Zimt, schmeckt heiß und kalt, 900 ml Packung, (1 kg = 2,21 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/haydi-salep.jpg
Berchtesgadener Land Rahm,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 kg = 4,76 €","verschiedene Sorten, 250 g Packung, (1 kg = 4,76 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/berchtesgadener-land-rahm.jpg
Galbani Mozzarella,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 kg = 9,52 €","45 % Fett i. Tr., 220 g Packung (Abtropfgewicht 125 g), (1 kg = 9,52 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/galbani-mozzarella.jpg
Aggenstein Emmentaler,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"deutscher Hartkäse, 45 % Fett i. Tr., aromatisch-nusskernartig, perfekt als Käsewürfel geeignet, 100 g",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/aggenstein-emmentaler.jpg
Blütenhof Frischcrème,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 15,92 €","zartschmelzende Creme, verschiedene Sorten und Fettstufen Ausgenommen Ziege., 125 g Becher, (1 kg = 15,92 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/bl-tenhof-frischcr-me.jpg
