Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Schöfferhofer Weizen,Keine Marke,"€ 3,99",,"1 l = 2,02","versch. Sorten, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_185.jpg,bamberg
Radeberger Pilsner,Keine Marke,"€ 11,99",,"1 l = 1,20","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_186.jpg,bamberg
Paulaner Münchner Hell,Keine Marke,"€ 0,79",,"1 l = 1,58","je 0,5-l-Dose, zzgl. 0,25 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_187.jpg,bamberg
Bundaberg Brew,Keine Marke,"€ 1,39",,"1 l = 4,21","versch. Sorten, je 0,33-l-Fl, zzgl. 0,08 Pfand",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_188.jpg,bamberg
Lambertz Bio Hafer Cookies,Keine Marke,"€ 1,99",,"1 kg = 9,95",je 200-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_160.jpg,bamberg
Treets Peanuts,Keine Marke,"€ 1,69",,"1 kg = 9,14","vegan, je 185-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_159.jpg,bamberg
Wick Hustenbonbons,Keine Marke,"€ 1,29",,"1 kg = 17,92","versch. Sorten, ohne Zucker, je 72-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_158.jpg,bamberg
Haribo Fruchtgummi Minis,Keine Marke,"€ 1,79",,"1 kg = 7,16","versch. Sorten, je 250-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_157.jpg,bamberg
Lavazza Crema e Gusto oder Espresso Italiano,Keine Marke,"€ 4,44",,"1 kg = 17,76","gemahlener Espresso, je 250-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_129.jpg,bamberg
Mövenpick Gourmet-Frühstück Fruchtaufstrich,Keine Marke,"€ 1,99",,"1 kg = 7,96","versch. Sorten, je 250-g-Glas",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_130.jpg,bamberg
Nescaf Brazil Kaffeekapseln,Keine Marke,"€ 2,49",,"1 kg = 56,59","Lungo, je 44-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_132.jpg,bamberg
Brandt Markenzwieback,Keine Marke,"€ 1,19",,"1 kg = 5,29",je 225-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_133.jpg,bamberg
Karottenkrüstchen,Keine Marke,"€ 0,49",,Kein Mengenpreis,je St,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_134.jpg,bamberg
Wasa Tasty Snacks Rounds,Keine Marke,"€ 1,99",,"1 kg = 8,47",je 235-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_135.jpg,bamberg
Wasa Tasty Snacks Crisps,Keine Marke,"€ 1,99",,"1 kg = 10,47",je 190-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_136.jpg,bamberg
Dr Oetker Vitalis Veganes Müsli,Keine Marke,"€ 2,49",,"1 kg = 6,07","Knusper Triple Chunks, je 410-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_137.jpg,bamberg
REWE Bio Bircher Müsli,Keine Marke,"€ 2,39",,"1 kg = 4,78",je 500-g-Btl,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_138.jpg,bamberg
Delverde Pasta,Keine Marke,"€ 0,89",,"1 kg = 1,78","versch. Ausformungen, je 500-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_139.jpg,bamberg
Bonduelle Goldmais,Keine Marke,"€ 1,11",,"1 kg = 3,89","je 300-g-Dose, 285-g-Abtropfgew.",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_140.jpg,bamberg
Knorr Suppenliebe,Keine Marke,"€ 0,69",,Kein Mengenpreis,"versch. Sorten, ausreichend für 750 ml, je Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_141.jpg,bamberg
Mionetto Prosecco Spumante DOC,Keine Marke,"€ 6,99",,"1 l = 9,32","versch. Sorten, je 0,75-l-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_189.jpg,bamberg
Miracel Whip Salatcreme,Keine Marke,"€ 1,79",,"1 l = 3,58",je 500-ml-Glas,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_142.jpg,bamberg
Ben s Original Reis im Kochbeutel,Keine Marke,"€ 1,79",,"1 kg = 3,58","versch. Sorten, je 4 x 125-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_144.jpg,bamberg
Deutsche See Thunfisch,Keine Marke,"€ 1,99",,"1 kg = 15,31","in nativem Olivenöl extra, je 185-g-Dosen-Pckg, 130-g-Abtropfgew.",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_145.jpg,bamberg
Maggi Gemüse Brühe,Keine Marke,"€ 1,59",,Kein Mengenpreis,"ausreichend für 7 Liter, je Glas",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_146.jpg,bamberg
Tartex Soo Cremig Avocado Abendbrotaufstrich,Keine Marke,"€ 1,99",,"1 kg = 14,21",je 140-g-Glas,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_147.jpg,bamberg
Bayola Rapsöl,Keine Marke,"€ 3,99",,"1 l = 5,32",je 750-ml-Fl,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_148.jpg,bamberg
Maggi Magic Asia Nudel Snack,Keine Marke,"€ 0,49",,"1 kg = 7,90","versch. Sorten, je 62-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_149.jpg,bamberg
Baumann s Hausmachersenf,Keine Marke,"€ 1,49",,"1 l = 4,45","süßlich-scharf mit Meerrettich, je 335-ml-Glas",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_150.jpg,bamberg
Bonduelle Kidney Bohnen,Keine Marke,"€ 1,11",,"1 kg = 4,44","je 400-g-Dose, 250-g-Abtropfgew.",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_151.jpg,bamberg
REWE Bio Couscous,Keine Marke,"€ 0,99",,"1 kg = 1,98",je 500-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_153.jpg,bamberg
Maggi Hühner Brühe,Keine Marke,"€ 1,59",,Kein Mengenpreis,"ausreichend für 4 Liter, je Glas",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_154.jpg,bamberg
Ferrero Kinder Riegel,Keine Marke,"€ 3,99",,"1 kg = 10,56",je 18 x 21-g-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_155.jpg,bamberg
Lorenz Naturals,Keine Marke,"€ 1,49",,"1 kg = 15,68","Rosmarin, je 95-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_156.jpg,bamberg
Altmühltaler Teigwaren,Keine Marke,"€ 2,29",,"1 kg = 4,58","versch. Ausformungen, je 500-g-Btl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_143.jpg,bamberg
Biorebe Merlot oder Chardonnay IGP,Keine Marke,"€ 3,99",,"1 l = 5,32","trocken, je 0,75-l-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_190.jpg,bamberg
Absolut Vodka,Keine Marke,"€ 10,99",,"1 l = 15,70","40% Vol., je 0,7-l-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_191.jpg,bamberg
Penninger Echter Blutwurz,Keine Marke,"€ 13,99",,"1 l = 19,99","Kräuter-Likör, 50% Vol., je 0,7-l-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_192.jpg,bamberg
Head Shoulders Shampoo,Keine Marke,"€ 3,79",,"1 l = 15,16","2in1, je 250-ml-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_225.jpg,bamberg
Cesar Hundenahrung,Keine Marke,"€ 0,75",,"1 kg = 5,00","versch. Sorten, je 150-g-Schale",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_226.jpg,bamberg
Vitakraft Po sie Katzennahrung,Keine Marke,"€ 0,49",,"1 kg = 5,76","versch. Sorten, je 85-g-Btl./Schale",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_227.jpg,bamberg
Sheba Fresh Fine,Keine Marke,"€ 1,99",,"1 kg = 6,63","versch. Sorten, je 6 x 50-g-Multipckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_228.jpg,bamberg
Bench Herren Hoodie,Keine Marke,"€ 24,99",,Kein Mengenpreis,"Größen: M-XL, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_229.jpg,bamberg
Bench Herren Jogginghose,Keine Marke,"€ 24,99",,Kein Mengenpreis,"Größen: M-XL, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_230.jpg,bamberg
Bench Herren T-Shirt,Keine Marke,"€ 14,99",,Kein Mengenpreis,"Größen: M-XL, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_231.jpg,bamberg
adidas Herren Boxershorts,Keine Marke,"€ 21,99",,Kein Mengenpreis,"Größen: M-XL, je Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_232.jpg,bamberg
adidas Damen oder Herren Sneaker- socken,Keine Marke,"€ 8,99",,Kein Mengenpreis,"Größen: 37/39-43/46, je Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_233.jpg,bamberg
adidas Damen oder Herren Cush Sportsocken,Keine Marke,"€ 9,99",,Kein Mengenpreis,"Größen: 37/39-43/46, je Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_234.jpg,bamberg
LED Leuchte Superbowl,Keine Marke,"€ 9,99",,Kein Mengenpreis,"inkl. USB-Kabel ca. 2 m, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_235.jpg,bamberg
NFL American Football Black Edition,Keine Marke,"€ 19,99",,Kein Mengenpreis,"ca. 26 cm, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_236.jpg,bamberg
Hyazinthen Trio,Keine Marke,"€ 2,49",,Kein Mengenpreis,"versch. Farben, je Bund",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_237.jpg,bamberg
Pantene Pro-V Spülung,Keine Marke,"€ 3,29",,"1 l = 16,45","Repair & Care, je 200-ml-Tube",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_224.jpg,bamberg
Frühlingsschale,Keine Marke,"€ 4,49",,Kein Mengenpreis,"bepflanzt mit Primel, Viola, Bellis, Hyazinthe, Narzisse, je Stück",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_238.jpg,bamberg
Tulpenstrauß Delight,Keine Marke,"€ 4,99",,Kein Mengenpreis,je Strauß,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_240.jpg,bamberg
Strauß Tulpen Festival,Keine Marke,"€ 6,49",,Kein Mengenpreis,je Bund,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_241.jpg,bamberg
Strauß Rosen Harlekin,Keine Marke,"€ 4,79",,Kein Mengenpreis,"versch. Farben, je Bund",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_242.jpg,bamberg
Blumenzwiebelmix in Schale,Keine Marke,"€ 3,99",,Kein Mengenpreis,"z.B. Hyazinthe, Muscari oder Narzisse, je Stück",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_243.jpg,bamberg
Blumenzwiebeln Mix in Keramik,Keine Marke,"€ 3,99",,Kein Mengenpreis,"bepflanzt mit versch. Zwiebeln, je Stück",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_244.jpg,bamberg
Frühjahrsschale Spring,Keine Marke,"€ 9,99",,Kein Mengenpreis,"farbige Zinkschale bepflanzt mit Deko, je Stück",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_245.jpg,bamberg
Narzissen,Keine Marke,"€ 1,89",,Kein Mengenpreis,"Sondersorten, je Topf",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_246.jpg,bamberg
Hyazinthen in Keramik Early Springtime,Keine Marke,"€ 6,99",,Kein Mengenpreis,"bepflanzt mit Hyazinthen, je Stück",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_247.jpg,bamberg
Frühlingskorb Jahresstarter,Keine Marke,"€ 5,99",,Kein Mengenpreis,"bepflanzt mit Primeln, Efeu und Narzisse, je Stück",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_248.jpg,bamberg
Blumenzwiebeln im Topf,Keine Marke,"€ 2,49",,Kein Mengenpreis,"versch. Sorten, z.B. Muscari, Tulpe, Hyazinthe oder Narzisse, je Topf",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_249.jpg,bamberg
Primeln,Keine Marke,"€ 3,99",,Kein Mengenpreis,"in farblich passender Schale, je Schale",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_250.jpg,bamberg
Blütenoffensive,Keine Marke,"€ 6,99",,Kein Mengenpreis,"dekorativer Korb, bepflanzt, z.B. mit Osterglocken, je Topf",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_251.jpg,bamberg
Feld-Narzissen,Keine Marke,"€ 0,99",,Kein Mengenpreis,"die ersten Frühlingsboten in klassischem Gelb, je Bund",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_252.jpg,bamberg
Strauß Schmuckstück,Keine Marke,"€ 8,99",,Kein Mengenpreis,"5 Premium Rosen mit Grün, je Bund",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_239.jpg,bamberg
Dr Oetker Vitalis Schoko Müsli,Keine Marke,"€ 2,49",,"1 kg = 5,53","Klassisch, je 450-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_128.jpg,bamberg
Ariel Allin1 Pods Universal,Keine Marke,"€ 4,99",,"1 WL = 0,33",je 15-WL-Pckg,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_223.jpg,bamberg
Always Discreet Inkontinenz-Einlagen,Keine Marke,"€ 2,99",,Kein Mengenpreis,"Normal, je 12-St.-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_221.jpg,bamberg
Volkacher Kirchberg,Keine Marke,"€ 4,99",,Kein Mengenpreis,"versch. Sorten, je 1-l-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_193.jpg,bamberg
Asbach Uralt Weinbrand,Keine Marke,"€ 9,99",,"1 l = 14,27","36% Vol., je 0,7-l-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_194.jpg,bamberg
Pril Geschirrspülmittel,Keine Marke,"€ 1,39",,"1 l = 2,06","Original, je 675-ml-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_195.jpg,bamberg
Sagrotan Bad-Reiniger,Keine Marke,"€ 2,79",,"1 l = 3,72","Ozeanfrische, je 750-ml-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_196.jpg,bamberg
Tower Heißluftfritteuse T17206RW,Keine Marke,"€ 89,00",,Kein Mengenpreis,"zwei separate Frittierkörbe je ca. 5,5 l digitales Bedienfeld 10 Programme Temperaturregelung von ca. 60-200°C Timer bis ca. 60 Min. ca. 2800 W, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_197.jpg,bamberg
Sagrotan Allzweck- Boden-Reiniger,Keine Marke,"€ 2,79",,"1 l = 1,86",je 1500-ml-Fl,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_199.jpg,bamberg
NFL Konturenkissen,Keine Marke,"€ 5,99",,Kein Mengenpreis,je St,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_200.jpg,bamberg
Trinkflaschen-Set,Keine Marke,"€ 9,99",,Kein Mengenpreis,"je 1x ca. 740 ml und 2 l mit Trinkhalm versch. Farben und Modelle, je Set",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_201.jpg,bamberg
VIVESS 3-in-1 Kontaktgrill,Keine Marke,"€ 59,00",,Kein Mengenpreis,"digitales Bedienfeld mit LED-Display 6 voreingestellte Programme mit Warmhalte- und Auftaufunktion abnehmbare Grillplatten je ca. 29 x 23 cm, ILAG® antihaftbeschichtet ca. 1800 W, je St",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_202.jpg,bamberg
NFL Handtuch aus Baumwolle ca 140 x 70 cm,Keine Marke,"€ 7,99",,Kein Mengenpreis,je St,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_203.jpg,bamberg
Snack-Bowl-Set,Keine Marke,"€ 4,99",,Kein Mengenpreis,je Set,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_204.jpg,bamberg
Swiffer Staubmagnet Nachfüllpackung,Keine Marke,"€ 2,99",,Kein Mengenpreis,"versch. Ausführungen, je Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_205.jpg,bamberg
Pampers Baby Dry Windeln Single Pack,Keine Marke,"€ 7,99",,Kein Mengenpreis,"Maxi Größe 4, je 30-St.-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_222.jpg,bamberg
Persil Colorwaschmittel Kraft-Gel,Keine Marke,"€ 16,99",,"1 WL = 0,17",je 100-WL-Fl,Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_206.jpg,bamberg
Lenor Weichspüler,Keine Marke,"€ 1,99",,"1 l = 2,63","versch. Sorten, je 756-ml-Fl",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_208.jpg,bamberg
Lenor Wäscheparfüm,Keine Marke,"€ 3,59",,"1 kg = 23,16","versch. Sorten, je 155-g-Pckg",Nein,2026-01-26 bis 2026-02-01,2026-01-26,2026-02-01,images_rewe/bamberg_offer_209.jpg,bamberg
