Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Struktur-Fußmatte,HOME CREATION,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_062.jpg,cat_non_food
Klett-Sneaker,Lily Dan,"€ 12,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_063.jpg,cat_non_food
Regenstiefel,LILY DAN,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_064.jpg,cat_non_food
Sneaker-Pflege,Power Force,"€ 1,49",,1-Preis 19.87,,Nein,,,,images_aldi/aldi_offer_065.jpg,cat_non_food
Tüll-Rock mit Leggings,LILY DAN,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_066.jpg,cat_non_food
Strumpfhosen,Lily Dan,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_067.jpg,cat_non_food
Outdoor-Jeans,Lily Dan,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_068.jpg,cat_non_food
Strickjacke,LILY DAN,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_069.jpg,cat_non_food
Stickerbuch,Stickerbuch,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_070.jpg,cat_non_food
Schlafsack,Lily Dan,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_071.jpg,cat_non_food
Vollwaschmittel Flowers,Tandil,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_072.jpg,cat_drogerie
Traktor Bagger Laster,Traktor Bagger Laster,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_073.jpg,cat_non_food
Wäscheduftperlen Rosa Blütenmeer,TANDIL,"€ 3,99",,kg-Preis 8.31,,Nein,,,,images_aldi/aldi_offer_074.jpg,cat_non_food
Meereswelt,Schlaubär,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_075.jpg,"cat_grundnahrung,diet_vegetarian"
Sensible-Bettdecke,Irisette,"€ 29,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_076.jpg,cat_non_food
Feinperkal-Bettwäsche,IRISETTE,"€ 29,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_077.jpg,cat_drogerie
Sensible-Kopfkissen,Irisette,"€ 19,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_078.jpg,cat_non_food
