Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market
Glückskäfer,REWE Beste Wahl,"€ 2,49",,"1 kg = 24,90","weiße Schokolade, je 100-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_168.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Pistazien Eier,REWE Beste Wahl,"€ 1,99",,"1 kg = 19,90",je 100-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_170.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Buona Crema Gebäckeier,REWE Beste Wahl,"€ 2,29",,"1 kg = 14,31",je 160-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_171.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Eierlikör Eier,REWE Beste Wahl,"€ 2,49",,"1 kg = 16,60",je 150-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_172.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Oster Cracker,REWE Beste Wahl,"€ 0,99",,"1 kg = 6,60",je 150-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_173.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Monster Energy Drink,Keine Marke,"€ 0,99",,"1 l = 1,98","versch. Sorten, koffeinhaltig, je 0,5-l-Dose, zzgl. 0,25 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_174.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,tag_ultra_processed",bamberg
Happy Day Saft oder Nektar,Keine Marke,"€ 1,99",,Kein Mengenpreis,"versch. Sorten, aus Konzentrat, je 1-l-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_175.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Bionade,Keine Marke,"€ 7,99",,"1 l = 2,02","versch. Sorten, je 12 x 0,33-l-Fl.-Kasten, zzgl. 2,46 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_176.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Valensina Saft,Keine Marke,"€ 1,79",,Kein Mengenpreis,"versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_177.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Mineralwasser,Adelholzener,"€ 5,49",,"1 l = 0,61","versch. Sorten, je 12 x 0,75-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_178.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg
Near Water,Hella,"€ 0,59",,"1 l = 0,79","versch. Sorten, je 0,75-l-Fl, zzgl. 0,25 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_179.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg
Vitamin Well Vitamindrink,Keine Marke,"€ 1,69",,"1 l = 3,38","versch. Sorten, je 0,5-l-Fl, zzgl. 0,25 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_180.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
28 Black Energy Drink,Keine Marke,"€ 0,99",,"1 l = 3,96","versch. Sorten, koffeinhaltig, je 0,25-l-Dose, zzgl. 0,25 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_181.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,tag_ultra_processed,tag_whole_food",bamberg
Baumstamm mit Eierlikör,REWE Beste Wahl,"€ 1,69",,"1 kg = 16,90",je 100-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_169.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Schokolade,Milka,"€ 1,11",,"1 kg = 12,33","versch. Sorten, je 90-g-Tafel",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_153.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg
Mondamin Lieblings-Grießbrei,Keine Marke,"€ 0,99",,"1 kg = 11,12",je 89-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_152.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Namdong Chicken Jjiage K-Noodles,Keine Marke,"€ 0,99",,"1 kg = 11,79",je 84-g-Becher,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_151.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg
Früchtetee Heiße Liebe,Teekanne,"€ 1,59",,"1 kg = 35,33",je 45-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_124.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Corny Müsliriegel Milch Classic,Keine Marke,"€ 1,59",,"1 kg = 13,25",je 4 x 30-g-Riegel-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_125.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_ultra_processed,tag_whole_food",bamberg
Zentis Erd-Bärchen Konfitüre Erdbeere,Keine Marke,"€ 1,99",,"1 kg = 7,96",je 250-g-Glas,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_126.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Sandwich,REWE Bio,"€ 1,89",,"1 kg = 5,04","Weizen­voll­korn­brot, je 375-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_127.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food",bamberg
Erasco Eintopf,Keine Marke,"€ 1,99",,"1 kg = 2,49","versch. Sorten, je 800-g-Dose",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_128.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg
5 Minuten Terrine Nudeln in Rahmsauce,Maggi,"€ 0,99",,"1 kg = 16,23",je 61-g-Becher,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_129.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Spaghetteria Pasta Spinaci Käse,Knorr,"€ 1,49",,"1 kg = 8,37",je 178-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_130.jpg,"cat_grundnahrung,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_nudeln",bamberg
Nissin Soba Cup,Keine Marke,"€ 1,29",,"1 kg = 14,33","Classic, je 90-g-Becher",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_131.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Feinschmecker Suppe,Knorr,"€ 0,79",,Kein Mengenpreis,"versch. Sorten, ausreichend für 500 ml, je Btl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_132.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg
Hellmann s Chunky Burger Sauce oder cremige Mayonnaise,Keine Marke,"€ 1,49",,"1 l = 5,96",je 250-ml-Fl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_133.jpg,"cat_grundnahrung,diet_vegetarian",bamberg
Salat Krönung,Knorr,"€ 0,79",,Kein Mengenpreis,"versch. Sorten, ausreichend für 5 x 90 ml, je 5er-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_134.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed",bamberg
Feinschmecker Sauce,Knorr,"€ 0,79",,Kein Mengenpreis,"versch. Sorten, ausreichend für 250 ml, je Btl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_135.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg
Mondamin Lieblings-Milchreis,Keine Marke,"€ 0,99",,"1 kg = 7,92",je 125-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_136.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_reis,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg
Heinz Beanz,Keine Marke,"€ 1,79",,"1 kg = 4,31",je 415-g-Dose,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_137.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_ultra_processed,tag_whole_food",bamberg
Bio Gemüse Bouillon,Maggi,"€ 1,59",,Kein Mengenpreis,"ausreichend für 5,5 Liter, je Glas",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_138.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_gemuese,tag_ultra_processed,tag_whole_food",bamberg
Lukull Sauce Hollandaise,Keine Marke,"€ 1,79",,"1 l = 7,16",je 250-ml-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_139.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Namdong Chicken Jjigae K-Noodles,Keine Marke,"€ 0,99",,"1 kg = 8,25",je 120-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_140.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_gefluegel,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg
Maille Senf,Keine Marke,"€ 1,99",,"1 l = 9,95","versch. Sorten, je 200-ml-Glas",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_141.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Tress Brüder Bio Indisches Curry,Keine Marke,"€ 2,49",,"1 kg = 6,23","Typ Butter Chicken mit Naturreis, je 400-g-Box",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_142.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Campo Verde Bio Tomatenmark,Keine Marke,"€ 1,99",,"1 kg = 9,95",je 200-g-Glas,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_143.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg
Campo Verde Demeter Kichererbsen,Keine Marke,"€ 1,49",,"1 kg = 6,48","je 350-g-Glas, 230-g-Abtropfgew.",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_144.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_huelsenfruechte,tag_whole_food",bamberg
Campo Verde Demeter Apfelmark,Keine Marke,"€ 1,39",,"1 kg = 3,86",je 360-g-Glas,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_145.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",bamberg
Grüne Erbsen,REWE Bio,"€ 1,39",,"1 kg = 2,78",je 500-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_146.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",bamberg
Kidney-Bohnen,REWE Bio,"€ 0,69",,"1 kg = 2,71","je 400-g-Dose, 255-g-Abtropfgew.",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_147.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,sub_huelsenfruechte,tag_whole_food",bamberg
Linseneintopf,REWE Bio,"€ 2,19",,"1 kg = 2,74",je 800-g-Dose,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_148.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",bamberg
Tahini Sesammus,REWE Bio,"€ 3,19",,"1 kg = 10,63",je 300-g-Glas,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_149.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Magic Asia Noodle Cup Chicken,Maggi,"€ 0,99",,"1 kg = 15,71",je 63-g-Becher,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_150.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_ultra_processed",bamberg
Förstina Limonade,Keine Marke,"€ 5,49",,"1 l = 0,61","versch. Sorten, je 12 x 0,75-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_182.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Tassimo Kaffeekapseln Caff Crema XL,Jacobs,"€ 4,44",,"1 kg = 33,43","je 132,8-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_123.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg
Fanta Sprite oder Mezzo Mix,Coca-Cola,"€ 11,99",,"1 l = 1,00","versch. Sorten, teilw. koffeinhaltig, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 + 0,30 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_183.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Budweiser Premium Czech Lager,Keine Marke,"€ 14,99",,"1 l = 1,50","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_185.jpg,"cat_getraenke,diet_gluten_free,diet_vegetarian",bamberg
Springform,Keine Marke,"€ 4,99",,Kein Mengenpreis,"Ø ca. 26 cm, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_217.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Gourmetmaxx Frischhaltedosen Klick-it,Keine Marke,"€ 9,99",,Kein Mengenpreis,je Set,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_218.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Domestos WC Stein Power 5,Keine Marke,"€ 1,00",,"1 kg = 20,00","Limette, je 50-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_219.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Scheuermilch,Viss,"€ 1,49",,"1 l = 2,98","Citrus, je 500-ml-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_220.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte",bamberg
Taschentücher,Tempo,"€ 1,99",,Kein Mengenpreis,je 15 x 10-St.-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_221.jpg,cat_drogerie,bamberg
Weißer Riese Megaperls,Keine Marke,"€ 3,49",,"1 WL = 0,20",je 17-WL-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_222.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Listerine Total Care Mundspülung,Keine Marke,"€ 3,99",,"1 l = 7,98","versch. Sorten, je 500-ml-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_223.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg
Rexona Deospray,Keine Marke,"€ 2,29",,"1 l = 15,27","versch. Sorten, je 150-ml-Dose",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_224.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Oral-B Zahncreme,Keine Marke,"€ 3,59",,"1 l = 47,87","Pro Expert, je 75-ml-Tube",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_225.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
KoRo Bio Flapjack,Keine Marke,"€ 1,49",,"1 kg = 24,83","Erdnuss-Schokolade, je 60-g-Riegel",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_226.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Odol-med 3 Zahncreme,Keine Marke,"€ 1,39",,"1 l = 11,12","versch. Sorten, je 125-ml-Tube",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_227.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Dove Pflegedusche,Keine Marke,"€ 1,99",,"1 l = 7,96","versch. Sorten, je 250-ml-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_228.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Kastenform,Keine Marke,"€ 4,99",,Kein Mengenpreis,"ca. 29,9 x 13,6 x 6,9 cm, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_216.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Coral Color,Keine Marke,"€ 3,49",,"1 WL = 0,13",je 26-WL-Fl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_229.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Taschentücher Box,Tempo,"€ 1,99",,Kein Mengenpreis,je 100-St.-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_231.jpg,cat_drogerie,bamberg
Nivea Q10 Anti-Falten Power,Keine Marke,"€ 11,99",,"1 l = 239,80","straffende Tagespflege, LSF 15, je 50-ml-Tiegel",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_232.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg
