Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
müller Müllermilch,€ 0.79,"1 l = 1,98 €","verschiedene Sorten Ausgenommen High Protein und Angel Hair Style., 400 ml Flasche + 0,25 Pfand, (1 l = 1,98 €)",2026-02-02,2026-02-07,images_edeka/m-ller-m-llermilch.jpg
Landliebe Butter,€ 1.29,"1 kg = 5,16 €","rahmig-frisch, 250 g Stück, (1 kg = 5,16 €)",2026-02-02,2026-02-07,images_edeka/landliebe-butter.jpg
Brunch,€ 1.29,"1 kg = 6,97 €","verschiedene Sorten, 185 g Becher, (1 kg = 6,97 €)",2026-02-02,2026-02-07,images_edeka/brunch.jpg
Arla Skyr,€ 1.49,,verschiedene Sorten,2026-02-02,2026-02-07,images_edeka/arla-skyr.jpg
Gut & Günstig Cheddar,€ 1.99,"1 kg = 11,37 €","in Scheiben, 50 % Fett i. Tr., 175 g Packung, (1 kg = 11,37 €)",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-cheddar.jpg
Goldsteig Almdammer,€ 0.99,,"deutscher Schnittkäse, 45 % Fett i. Tr., mild bis aromatisch, gut geeignet zur Brotzeit und als Käsewürfel, 100 g",2026-02-02,2026-02-07,images_edeka/goldsteig-almdammer.jpg
Switzerland Tête de Moine AOP,€ 3.99,"1 kg = 39,90 €","schweizer Schnittkäse mit Rohmilch, 51 % Fett i. Tr., 100 g Packung, (1 kg = 39,90 €)",2026-02-02,2026-02-07,images_edeka/switzerland-t-te-de-moine-aop.jpg
Frau Antje Pikantje Gouda mittelalt,€ 1.11,,"holländischer Schnittkäse, 51 % Fett i. Tr., 4 Monate gereift, herzhaft-pikant, 100 g",2026-02-02,2026-02-07,images_edeka/frau-antje-pikantje-gouda-mittelalt.jpg
Langenegger Blüten- oder Pfefferkäse,€ 1.99,,"österreichischer Schnittkäse mit Heumilch, 50 % Fett i. Tr., aromatisch, auch als SB Stück erhältlich Nur solange der Vorrat reicht., 100 g",2026-02-02,2026-02-07,images_edeka/langenegger-bl-ten-oder-pfefferk-se.jpg
Landliebe Joghurt oder Joghurt mild,€ 1.11,"1 kg = 2,22 €","verschiedene Sorten und Fettstufen, 500 g Glas + 0,15 Pfand, (1 kg = 2,22 €)",2026-02-02,2026-02-07,images_edeka/landliebe-joghurt-oder-joghurt-mild.jpg
"Saint Albray, Saint Agur oder Chaumes",€ 1.79,,"französischer Weich- oder Edelpilzkäse, verschiedene Fettstufen, 100 g",2026-02-02,2026-02-07,images_edeka/saint-albray-saint-agur-oder-chaumes.jpg
Milram Butter Milch Drink oder Kefir,€ 1.29,,verschiedene Sorten,2026-02-02,2026-02-07,images_edeka/milram-butter-milch-drink-oder-kefir.jpg
Dany Pudding oder Mousse,€ 0.99,,"verschiedene Sorten, 2er Je nach Verfügbarkeit des Marktes.",2026-02-02,2026-02-07,images_edeka/dany-pudding-oder-mousse.jpg
"Dr. Oetker Löffelglück Grütze, Pudding oder Milchreis",€ 1.99,,verschiedene Sorten Je nach Verfügbarkeit des Marktes.,2026-02-02,2026-02-07,images_edeka/dr-oetker-l-ffelgl-ck-gr-tze-pudding-oder-milchreis.jpg
Bären Marke Haltbare oder Frische Milch,€ 0.99,"1 l = 0,99 €","verschiedene Fettstufen Je nach Verfügbarkeit des Marktes., 1 Liter Packung, (1 l = 0,99 €)",2026-02-02,2026-02-07,images_edeka/b-ren-marke-haltbare-oder-frische-milch.jpg
EDEKA Herzstücke Frische Schlagsahne,€ 2.22,"1 kg = 4,44 €","32 % Fett, 500 g Flasche, (1 kg = 4,44 €)",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-frische-schlagsahne.jpg
Alpenhain original Obazda,€ 1.49,"1 kg = 11,92 €","verschiedene Sorten und Fettstufen oder Camembert Creme Je nach Verfügbarkeit des Marktes., 125 g Becher, (1 kg = 11,92 €)",2026-02-02,2026-02-07,images_edeka/alpenhain-original-obazda.jpg
Unbekannt_42,?,,"Normalpreise: Danone: € 3,99, 1kg = € 4,99; Melitta: € 4,99, 1kg = € 45,36",2026-02-02,2026-02-07,
Melitta Kaffee,€ 7.49,"1 kg = 14,98 €","verschiedene Sorten, 500 g Packung, (1 kg = 14,98 €)",2026-02-02,2026-02-07,images_edeka/melitta-kaffee.jpg
Eduscho Caffè Crema,€ 13.99,"1 kg = 13,99 €","verschiedene Sorten, ganze Bohnen Je nach Verfügbarkeit des Marktes., 1 kg Packung, (1 kg = 13,99 €)",2026-02-02,2026-02-07,images_edeka/eduscho-caff-crema.jpg
Eduscho Filterkaffee,€ 6.49,"1 kg = 12,98 €","Klassisch oder Mild Je nach Verfügbarkeit des Marktes., 500 g Packung, (1 kg = 12,98 €)",2026-02-02,2026-02-07,images_edeka/eduscho-filterkaffee.jpg
Meßmer Wohlfühltee,€ 1.59,,"verschiedene Sorten, 20er",2026-02-02,2026-02-07,images_edeka/me-mer-wohlf-hltee.jpg
Kühne Röstzwiebeln,€ 1.19,"1 kg = 11,90 €","100 g Becher, (1 kg = 11,90 €)",2026-02-02,2026-02-07,images_edeka/k-hne-r-stzwiebeln.jpg
Kühne Senf,€ 1.29,"1 l = 5,16 €","verschiedene Sorten, 250 ml Flasche, (1 l = 5,16 €)",2026-02-02,2026-02-07,images_edeka/k-hne-senf.jpg
Papa Joe's Feinkostsauce,€ 1.49,"1 l = 4,97 €","verschiedene Sorten, 300 ml Flasche, (1 l = 4,97 €)",2026-02-02,2026-02-07,images_edeka/papa-joe-s-feinkostsauce.jpg
De Cecco italienische Pasta,€ 1.29,"1 kg = 2,58 €","verschiedene Ausformungen, 500 g Packung, (1 kg = 2,58 €)",2026-02-02,2026-02-07,images_edeka/de-cecco-italienische-pasta.jpg
3 Glocken Genuss Pur Teigwaren,€ 0.99,"1 kg = 1,98 €","verschiedene Ausformungen, 500 g Packung, (1 kg = 1,98 €)",2026-02-02,2026-02-07,images_edeka/3-glocken-genuss-pur-teigwaren.jpg
Pfanni Teig für Kartoffel-Knödel oder Semmel Knödel,€ 1.49,,,2026-02-02,2026-02-07,images_edeka/pfanni-teig-f-r-kartoffel-kn-del-oder-semmel-kn-del.jpg
"Maggi Fix, Food Travel",€ 0.49,,verschiedene Sorten oder Herzens Küche Würzpaste Spaghetti,2026-02-02,2026-02-07,images_edeka/maggi-fix-food-travel.jpg
Hengstenberg Essig Spezialität,€ 2.49,"1 l = 4,98 €","verschiedene Sorten Ausgenommen Bio Apfelessig., 500 ml Flasche, (1 l = 4,98 €)",2026-02-02,2026-02-07,images_edeka/hengstenberg-essig-spezialit-t.jpg
Papa Joe´s Tomaten Ketchup,€ 1.59,"1 l = 3,18 €","verschiedene Sorten, 500 ml Flasche, (1 l = 3,18 €)",2026-02-02,2026-02-07,images_edeka/papa-joe-s-tomaten-ketchup.jpg
Hellmann's Mayonnaise,€ 2.99,,verschiedene Sorten,2026-02-02,2026-02-07,images_edeka/hellmann-s-mayonnaise.jpg
Meica Trueman's,€ 2.99,"1 kg = 8,54 €","verschiedene Sorten, 6+1 gratis, 540 g Glas (Abtropfgewicht 350 g), (1 kg = 8,54 €)",2026-02-02,2026-02-07,images_edeka/meica-trueman-s.jpg
Kühne Gurken,€ 1.59,,verschiedene Sorten oder Dänischer Gurken Salat,2026-02-02,2026-02-07,images_edeka/k-hne-gurken.jpg
Kühne Jalapeno,€ 1.79,"1 kg = 10,85 €","330 g Glas (Abtropfgewicht 165 g), (1 kg = 10,85 €)",2026-02-02,2026-02-07,images_edeka/k-hne-jalapeno.jpg
Mehlig & Heller Familien-Wurstkonserve,€ 1.99,"1 kg = 7,96 €","verschiedene Sorten, 250 g Glas, (1 kg = 7,96 €)",2026-02-02,2026-02-07,images_edeka/mehlig-heller-familien-wurstkonserve.jpg
Hengstenberg Mildessa Mildes Wein Sauer Kraut,€ 1.49,"1 kg = 1,94 €","810 g Dose (Abtropfgewicht 770 g), (1 kg = 1,94 €)",2026-02-02,2026-02-07,images_edeka/hengstenberg-mildessa-mildes-wein-sauer-kraut.jpg
Gut & Günstig Erdnuss-Creme,€ 1.49,"1 kg = 4,26 €","verschiedene Sorten, 350 g Glas, (1 kg = 4,26 €)",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-erdnuss-creme.jpg
Bienenwirtschaft Meissen Bienen Glück,€ 2.49,"1 kg = 9,96 €","verschiedene Sorten, 250 g Flasche, (1 kg = 9,96 €)",2026-02-02,2026-02-07,images_edeka/bienenwirtschaft-meissen-bienen-gl-ck.jpg
Rosenmehl Weizenmehl,€ 1.11,"1 kg = 1,11 €","Type 405, 1000 g Packung, (1 kg = 1,11 €)",2026-02-02,2026-02-07,images_edeka/rosenmehl-weizenmehl.jpg
Südzucker Puder Rüben Zucker,€ 0.39,"1 kg = 1,56 €","250 g Packung, (1 kg = 1,56 €)",2026-02-02,2026-02-07,images_edeka/s-dzucker-puder-r-ben-zucker.jpg
Südzucker Feiner Rüben Zucker,€ 0.69,"1 kg = 0,69 €","1000 g Packung, (1 kg = 0,69 €)",2026-02-02,2026-02-07,images_edeka/s-dzucker-feiner-r-ben-zucker.jpg
hilcona Pasta Originale,€ 2.99,"1 kg = 11,96 €","verschiedene Sorten, 250 g Packung, (1 kg = 11,96 €)",2026-02-02,2026-02-07,images_edeka/hilcona-pasta-originale.jpg
EDEKA Herzstücke Burger Buns,€ 1.49,,"verschiedene Sorten, 4er, vorgeschnitten",2026-02-02,2026-02-07,images_edeka/edeka-herzst-cke-burger-buns.jpg
Team Deutschland Das Pure,€ 1.79,"1 kg = 5,97 €","ohne Mehl & Hefe, verschiedene Sorten, vegan, 300 g Packung, (1 kg = 5,97 €)",2026-02-02,2026-02-07,images_edeka/team-deutschland-das-pure.jpg
wasa Knäckebrot,€ 1.79,,verschiedene Sorten,2026-02-02,2026-02-07,images_edeka/wasa-kn-ckebrot.jpg
Zum Dorfkrug Salatsauce oder Salatfrische,€ 1.49,"1 l = 5,96 €","verschiedene Sorten, 250 ml Flasche, (1 l = 5,96 €)",2026-02-02,2026-02-07,images_edeka/zum-dorfkrug-salatsauce-oder-salatfrische.jpg
Balsamico-Zwiebeln,€ 1.59,,"eingelegt in Öl, 100 g",2026-02-02,2026-02-07,images_edeka/balsamico-zwiebeln.jpg
Like Meat Fleischersatzprodukt,€ 2.49,"1 kg = 13,83 €","verschiedene Sorten, rein pflanzlich, vegan, 180 g Packung, (1 kg = 13,83 €)",2026-02-02,2026-02-07,images_edeka/like-meat-fleischersatzprodukt.jpg
Unbekannt_74,?,,"Normalpreise: XOX: € 2,39, 1kg = € 5,31; Erasco: € 3,29, 1kg = € 4,11",2026-02-02,2026-02-07,
"Dr. Oetker Ristorante Pizza, Piccola",€ 1.99,,"verschiedene Sorten oder Bistro Flammkuchen Elsässer Art, tiefgefroren Ausgenommen glutenfrei.",2026-02-02,2026-02-07,images_edeka/dr-oetker-ristorante-pizza-piccola.jpg
Costa Lachs Filets,€ 6.99,"1 kg = 31,77 €","natur, tiefgefroren, 220 g Packung, (1 kg = 31,77 €)",2026-02-02,2026-02-07,images_edeka/costa-lachs-filets.jpg
Frosta MSC Schlemmerfilet oder Fischstäbchen,€ 2.79,,"verschiedene Sorten, tiefgefroren",2026-02-02,2026-02-07,images_edeka/frosta-msc-schlemmerfilet-oder-fischst-bchen.jpg
Gut & Günstig Chicken Wings,€ 3.99,"1 kg = 5,32 €","verschiedene Sorten, tiefgefroren, 750 g Packung, (1 kg = 5,32 €)",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-chicken-wings.jpg
Block House Burger,€ 7.99,,"verschiedene Sorten, 2/4er, tiefgefroren",2026-02-02,2026-02-07,images_edeka/block-house-burger.jpg
Coppenrath & Wiese Unsere Goldstücke,€ 1.49,,"verschiedene Sorten, tiefgefroren",2026-02-02,2026-02-07,images_edeka/coppenrath-wiese-unsere-goldst-cke.jpg
iglo Chicken Nuggets,€ 2.99,,verschiedene Sorten oder Dippers tiefgefroren,2026-02-02,2026-02-07,images_edeka/iglo-chicken-nuggets.jpg
Cookie Bros. Cookie Dough Balls,€ 4.99,"1 kg = 27,72 €","verschiedene Sorten, 6er, tiefgefroren, 180 g Packung, (1 kg = 27,72 €)",2026-02-02,2026-02-07,images_edeka/cookie-bros-cookie-dough-balls.jpg
Coppenrath & Wiese American Bakery Kuchen,€ 3.99,,"verschiedene Sorten, tiefgefroren Nur solange der Vorrat reicht.",2026-02-02,2026-02-07,images_edeka/coppenrath-wiese-american-bakery-kuchen.jpg
Pizza Lorenzo Pizza,€ 2.99,,verschiedene Sorten,2026-02-02,2026-02-07,images_edeka/pizza-lorenzo-pizza.jpg
Meggle Baguette,€ 1.19,"1 kg = 7,44 €","verschiedene Sorten, 160 g Packung, (1 kg = 7,44 €)",2026-02-02,2026-02-07,images_edeka/meggle-baguette.jpg
Unbekannt_86,?,,"Normalpreise: Stieleis: € 3,99, 1l = € 14,78",2026-02-02,2026-02-07,
Garnelensalat Passion,€ 2.69,,"im süsslichen Dressing aus Kokosmilch, mit Mohn und Chili verfeinert, 100 g",2026-02-02,2026-02-07,images_edeka/garnelensalat-passion.jpg
Bernard Matthews Filetstreifen,€ 1.99,"1 kg = 15,92 €","verschiedene Sorten, 125 g Packung, (1 kg = 15,92 €)",2026-02-02,2026-02-07,images_edeka/bernard-matthews-filetstreifen.jpg
Skreifilet,€ 2.69,,"Winterkabeljau, besonders festes weißes Fleisch, mit Haut, 100 g",2026-02-02,2026-02-07,images_edeka/skreifilet.jpg
Räucherlocken,€ 3.19,,"aus Tilapia, nach Art der Schillerlocke heißgeräuchert, 100 g",2026-02-02,2026-02-07,images_edeka/r-ucherlocken.jpg
Argentinische Rotgarnelenschwänze,€ 2.99,,"getaut, 100 g",2026-02-02,2026-02-07,images_edeka/argentinische-rotgarnelenschw-nze.jpg
Unbekannt_92,?,,"Normalpreise: L‘Oréal: € 4,45, 1l = € 89,00; Cottonelle: € 1,55",2026-02-02,2026-02-07,
Bauernschätze Putenleberkäse,€ 1.19,,100 g,2026-02-02,2026-02-07,images_edeka/bauernsch-tze-putenleberk-se.jpg
Weißwürstchen,€ 0.99,,"milder Geschmack, 100 g",2026-02-02,2026-02-07,images_edeka/wei-w-rstchen.jpg
Original italienische Mortadella,€ 1.29,,"mit Pistazien verfeinert, 100 g",2026-02-02,2026-02-07,images_edeka/original-italienische-mortadella.jpg
Salamiaufschnitt,€ 1.79,,"aus vier beliebten Sorten, 100 g",2026-02-02,2026-02-07,images_edeka/salamiaufschnitt.jpg
Montorsi Salami Abruzzese,€ 2.89,,"luftgetrocknete Salamispezialität aus Italien, 100 g",2026-02-02,2026-02-07,images_edeka/montorsi-salami-abruzzese.jpg
Landgrafenschinken,€ 1.79,,"im eigenen Saft gegart, 100 g",2026-02-02,2026-02-07,images_edeka/landgrafenschinken.jpg
Recla Porchetta Venosta,€ 1.49,,"original italienischer Spanferkelbraten mit Kruste, Genuss pur, 100 g",2026-02-02,2026-02-07,images_edeka/recla-porchetta-venosta.jpg
Tiroler Käsewurst,€ 1.39,,"deftig im Geschmack, 100 g",2026-02-02,2026-02-07,images_edeka/tiroler-k-sewurst.jpg
Wiltmann Tafelspitz,€ 2.19,,"in Aspik, 100 g",2026-02-02,2026-02-07,images_edeka/wiltmann-tafelspitz.jpg
Landjäger,€ 1.99,,"luftgetrocknete Spezialität, herzhaft deftig, 100 g",2026-02-02,2026-02-07,images_edeka/landj-ger.jpg
Geflügelwiener,€ 1.19,,100 g,2026-02-02,2026-02-07,images_edeka/gefl-gelwiener.jpg
Frischwurstsaufschnitt,€ 0.99,,"reich sortiert, mit Bierschinken, 100 g",2026-02-02,2026-02-07,images_edeka/frischwurstsaufschnitt.jpg
Zwiebling,€ 0.99,,100 g,2026-02-02,2026-02-07,images_edeka/zwiebling.jpg
Winzervesper,€ 0.99,,"eine fränkische Wurstspezialität im köstlichen Sülzmantel, 100 g",2026-02-02,2026-02-07,images_edeka/winzervesper.jpg
Gänsefleischleberwurst,€ 1.79,,"cremig fein, mit abgestimmten Gewürzen im Wachsdarm, 100 g",2026-02-02,2026-02-07,images_edeka/g-nsefleischleberwurst.jpg
Fleischsalat nach Metzger Art,€ 0.89,,"fein geschnittene Schinkenwurst mit Gewürzgurken und einer cremig-klassischen Salatmayonnaise, 100 g",2026-02-02,2026-02-07,images_edeka/fleischsalat-nach-metzger-art.jpg
Original italienischer Parma Schinken,€ 2.99,,"luftgetrocknet, 100 g",2026-02-02,2026-02-07,images_edeka/original-italienischer-parma-schinken.jpg
Gut & Günstig Delikatess Bacon,€ 1.11,"1 kg = 11,10 €","zum Braten und Backen, 100 g Packung, (1 kg = 11,10 €)",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-delikatess-bacon.jpg
Rügenwalder Mühle Pommersche Leberwurst,€ 1.49,"1 kg = 11,92 €","verschiedene Sorten, 125 g Becher, (1 kg = 11,92 €)",2026-02-02,2026-02-07,images_edeka/r-genwalder-m-hle-pommersche-leberwurst.jpg
Rügenwalder Mühle Teewurst,€ 1.49,"1 kg = 11,92 €","verschiedene Sorten, 125 g Becher, (1 kg = 11,92 €)",2026-02-02,2026-02-07,images_edeka/r-genwalder-m-hle-teewurst.jpg
Bifi The Original,€ 1.99,,verschiedene Sorten,2026-02-02,2026-02-07,images_edeka/bifi-the-original.jpg
Gut & Günstig Jausenstangerl,€ 1.79,"1 kg = 19,89 €","verschiedene Sorten, 90 g Packung, (1 kg = 19,89 €)",2026-02-02,2026-02-07,images_edeka/gut-g-nstig-jausenstangerl.jpg
Schweinesaft-/Krustenbraten,€ 0.69,,"aus der Schulter, 100 g",2026-02-02,2026-02-07,images_edeka/schweinesaft-krustenbraten.jpg
Irisches falsches Filet,€ 1.69,,"vom Rind, 100 g",2026-02-02,2026-02-07,images_edeka/irisches-falsches-filet.jpg
Hähnchenoberschenkel „Pollo Fino“,€ 0.99,,"entbeint auch in gewürzt erhältlich, 100 g = 1,09 €, 100 g",2026-02-02,2026-02-07,images_edeka/h-hnchenoberschenkel-pollo-fino.jpg
Römerbraten/Kasseler Kamm,€ 0.88,,"ohne Knochen, roh, geräuchert, 100 g",2026-02-02,2026-02-07,images_edeka/r-merbraten-kasseler-kamm.jpg
Schweineschäufele,€ 0.66,,"mit Schwarte, 100 g",2026-02-02,2026-02-07,images_edeka/schweinesch-ufele.jpg
Bratwurst,€ 0.99,,"grob im Bändel, mit oder ohne Majoran, 100 g",2026-02-02,2026-02-07,images_edeka/bratwurst.jpg
Bauernschätze Schweinebraten,€ 1.11,,"aus der Keule, 100 g",2026-02-02,2026-02-07,images_edeka/bauernsch-tze-schweinebraten.jpg
Bauernschätze Schweineschnitzel,€ 1.11,,"aus der Keule, 100 g",2026-02-02,2026-02-07,images_edeka/bauernsch-tze-schweineschnitzel.jpg
Bauernschätze Geschnetzeltes Gyros,€ 1.29,,"vom Schwein, 100 g",2026-02-02,2026-02-07,images_edeka/bauernsch-tze-geschnetzeltes-gyros.jpg
Bauernschätze Putenunterkeule oder Putenflügel,€ 0.69,,100 g,2026-02-02,2026-02-07,images_edeka/bauernsch-tze-putenunterkeule-oder-putenfl-gel.jpg
Rinder Hamburger XL,€ 6.99,"1 kg = 15,89 €","gewürzt, 440 g SB-Packung, (1 kg = 15,89 €)",2026-02-02,2026-02-07,images_edeka/rinder-hamburger-xl.jpg
Hähnchen Flügel,€ 7.23,"1 kg = 7,23 €","ohne Spitze, frisch, gewürzt, verschiedene Gewichte, z. B. 400 g SB-Packung, (1 kg = 7,23 €)",2026-02-02,2026-02-07,images_edeka/h-hnchen-fl-gel.jpg
Schweine Schälrippe,€ 6.49,,"natur, ca. 1,5 kg XXL SB-Packung, 1 kg",2026-02-02,2026-02-07,images_edeka/schweine-sch-lrippe.jpg
Unbekannt_128,?,,*Rabatt bereits bei der Preisauszeichnung im Markt berücksichtigt. Produkte können je nach Marktausstattung variieren.,2026-02-02,2026-02-07,
Mönchshof Bier,€ 13.99,"1 l = 1,40 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 20 x 0,5 Liter Kasten + 4,50 Pfand, (1 l = 1,40 €)",2026-02-02,2026-02-07,images_edeka/m-nchshof-bier.jpg
"Coca-Cola*, Mezzo Mix*, Fanta, Sprite oder Lift",€ 11.99,"1 l = 1,00 €","verschiedene Sorten *koffeinhaltige Limonade, 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 1,00 €)",2026-02-02,2026-02-07,images_edeka/coca-cola-mezzo-mix-fanta-sprite-oder-lift.jpg
Jack Daniel’s Tennessee Whiskey,€ 15.99,"1 l = 22,84 €","verschiedene Sorten, 35/40 % Vol., 0,7 Liter Flasche, (1 l = 22,84 €)",2026-02-02,2026-02-07,images_edeka/jack-daniel-s-tennessee-whiskey.jpg
Three Sixty Vodka,€ 9.99,"1 l = 14,27 €","37,5 % Vol., 0,7 Liter Flasche, (1 l = 14,27 €)",2026-02-02,2026-02-07,images_edeka/three-sixty-vodka.jpg
Southern Comfort Likör mit Whiskey,€ 9.99,"1 l = 14,27 €","35 % Vol., 0,7 Liter Flasche, (1 l = 14,27 €)",2026-02-02,2026-02-07,images_edeka/southern-comfort-lik-r-mit-whiskey.jpg
Jägermeister Kräuterlikör,€ 11.99,"1 l = 17,13 €","verschiedene Sorten, 33/35 % Vol. Je nach Verfügbarkeit des Marktes., 0,7 Liter Flasche, (1 l = 17,13 €)",2026-02-02,2026-02-07,images_edeka/j-germeister-kr-uterlik-r.jpg
"Faber Sekt, Light live alkoholfreier Sekt, Wein oder Cocktail",€ 2.79,"1 l = 3,72 €","verschiedene Sorten, 0,75 Liter Flasche, (1 l = 3,72 €)",2026-02-02,2026-02-07,images_edeka/faber-sekt-light-live-alkoholfreier-sekt-wein-oder-cocktail.jpg
Aperol Spritz,€ 6.99,"1 l = 11,65 €","10,5 % Vol., 3er, 0,6 Liter Packung, (1 l = 11,65 €)",2026-02-02,2026-02-07,images_edeka/aperol-spritz.jpg
Wein Schorle,€ 1.49,"1 l = 1,49 €","verschiedene Sorten oder Bio Wein Schorle Weiss prickelnd, 1 Liter Flasche, (1 l = 1,49 €)",2026-02-02,2026-02-07,images_edeka/wein-schorle.jpg
Rotkäppchen Secconade,€ 1.69,"1 l = 5,12 €","verschiedene Sorten, 0,33 Liter Flasche, (1 l = 5,12 €)",2026-02-02,2026-02-07,images_edeka/rotk-ppchen-secconade.jpg
