Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Original Le Gruyère AOP,Keine Marke,"2,49 €",,,"Schweizer Hartkäse, mind. 49% Fett i.Tr, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_034.jpg,bamberg
Grünländer Käsescheiben mild & nussig oder Naturfreunde Tilsiterscheiben,Keine Marke,"1,69 €",,"1 kg = 12,07",je 140-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_035.jpg,bamberg
Alpenhain Opflanzda oder Obazda klassisch,Keine Marke,"1,49 €",,"1 kg = 11,92",je 125-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_036.jpg,bamberg
Arla Buko Frischkäse,Keine Marke,"0,99 €",,"1 kg = 4,95","versch. Sorten, je 200-g-Becher",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_037.jpg,bamberg
Dr. Oetker High Protein Milchreis,Keine Marke,"1,99 €",,"1 kg = 4,98",je 400-g-Becher,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_038.jpg,bamberg
Alpro Soya Alternative,Keine Marke,"1,69 €",,"1 kg = 4,23","versch. Sorten, je 400-g-Becher",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_039.jpg,bamberg
Berchtesgadener Land Frische oder haltbare Bergbauern Milch,Keine Marke,"0,99 €",,,"3,5% Fett, je 1-l-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_040.jpg,bamberg
Wiesenhof Geflügel Mortadella,Keine Marke,"1,19 €",,"1 kg = 11,90","versch. Sorten, je 100-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_041.jpg,bamberg
Goldsteig Emmentaler am Stück,Keine Marke,"3,99 €",,"1 kg = 9,98",je 400-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_042.jpg,bamberg
Rougette Ofenkäse fein-würzig,Keine Marke,"2,49 €",,"1 kg = 13,83","Weichkäse, 60% Fett i.Tr., je 180-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_043.jpg,bamberg
Goldsteig Emmentaler,Keine Marke,"1,49 €",,"1 kg = 11,92","hauchdünn, je 125-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_044.jpg,bamberg
Milkana Frischeschale Sahne oder Käse Vielfalt,Keine Marke,"1,99 €",,"1 kg = 10,47","Schmelzkäse, je 190-g-Pckg./Schale",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_045.jpg,bamberg
Aoste Ringsalami,Keine Marke,"3,99 €",,"1 kg = 15,96","luftgetrocknet, je 250-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_046.jpg,bamberg
Schiller GQB Strohschwein Leberwurst,Keine Marke,"1,49 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_033.jpg,bamberg
Landliebe Sahnepudding,Keine Marke,"0,49 €",,"1 kg = 3,27","Schokolade, je 150-g-Becher",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_047.jpg,bamberg
Aoste Edel-Salami,Keine Marke,"3,29 €",,"1 kg = 21,93","luftgetrocknet, je 150-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_049.jpg,bamberg
Soto Bio Süßkartoffel Burger,Keine Marke,"2,49 €",,"1 kg = 15,56",je 160-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_050.jpg,bamberg
Meine Lieblinge Bio-Graved Lachs oder Bio-Lachs,Keine Marke,"3,69 €",,"1 kg = 46,13",je 80-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_051.jpg,bamberg
Wiesbauer Käsewurst oder Beskada,Keine Marke,"1,79 €",,"1 kg = 22,38","gebraten, fein-würziger Rauchgeschmack, je 80-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_052.jpg,bamberg
"Rama zum Streichen, Backen & Kochen",Keine Marke,"1,49 €",,"1 kg = 3,73",je 400-g-Becher,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_053.jpg,bamberg
Bauer Der Große Bauer,Keine Marke,"0,49 €",,"1 kg = 1,96","Erdbeere, je 250-g-Becher",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_054.jpg,bamberg
Goldsteig Mozzarella,Keine Marke,"0,99 €",,"1 kg = 7,92","versch. Sorten, je 200-g-Pckg, 125-g-Abtropfgew.",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_055.jpg,bamberg
Berchtesgadener Land Körniger Frischkäse,Keine Marke,"1,29 €",,"1 kg = 6,45",je 200-g-Becher,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_056.jpg,bamberg
Yakult,Keine Marke,"2,99 €",,"1 l = 7,67",je 6 x 65-ml-Fl.-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_057.jpg,bamberg
