Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
Feine Käsescheiben,Bayernkrone,"€ 0,99",,"pro Einheit = 2,29",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_102.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte",,ref_000102,obs_0000025113|obs_0000027170|obs_0000024639|obs_0000020051|obs_0000002664|obs_0000026217|obs_0000025206|obs_0000027787|obs_0000001181|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000021231|obs_0000017666|obs_0000018205|obs_0000002335|obs_0000020870|obs_0000031123|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000000993,,ref_000102,obs_0000025113|obs_0000027170|obs_0000024639|obs_0000020051|obs_0000002664|obs_0000026217|obs_0000025206|obs_0000027787|obs_0000001181|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000021231|obs_0000017666|obs_0000018205|obs_0000002335|obs_0000020870|obs_0000031123|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000000993,
Edelgeranie Pelargonium grandiflorum,Edelgeranie Pelargonium grandiflorum,"€ 2,49",,"pro Einheit = 2,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_103.jpg,cat_getraenke,,ref_000103,,,ref_000103,,
Bepflanzte Eierschale,Bepflanzte Eierschale,"€ 5,99",,"pro Einheit = 5,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_104.jpg,cat_non_food,,ref_000104,,,ref_000104,,
Schmetterlingsorchideen in Keramik,Schmetterlingsorchideen in Keramik,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_105.jpg,"cat_non_food,tag_ultra_processed",,ref_000105,obs_0000017608|obs_0000020679|obs_0000021498,,ref_000105,obs_0000017608|obs_0000020679|obs_0000021498,
Bepflanzte Osterkeramik,Bepflanzte Osterkeramik,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_106.jpg,cat_non_food,,ref_000106,,,ref_000106,,
Kalanchoe im Colour Cup Vasentopf Geschenkverpackung,Kalanchoe im Colour Cup Vasentopf Geschenkverpackung,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_107.jpg,"cat_non_food,tag_ultra_processed",,ref_000107,obs_0000011402|obs_0000027150|obs_0000002726|obs_0000017724|obs_0000018750|obs_0000002121|obs_0000014827,,ref_000107,obs_0000011402|obs_0000027150|obs_0000002726|obs_0000017724|obs_0000018750|obs_0000002121|obs_0000014827,
Italienisches Kräuterstämmchen,Italienisches Kräuterstämmchen,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,,"cat_fleisch_wurst,sub_hackfleisch,tag_high_protein,tag_proteinreich",,ref_000108,,,ref_000108,,
Lavendel Anouk,Lavendel Anouk,"€ 2,89",,"pro Einheit = 2,89",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_109.jpg,cat_knabbern_naschen,,ref_000109,,,ref_000109,,
Reine Buttermilch,Milbona,"€ 0,49",,"pro Einheit = 0,59",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_110.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_fleischersatz,sub_milchprodukte,sub_tk_gemuese",,ref_000110,obs_0000020581|obs_0000023023|obs_0000025375|obs_0000021400|obs_0000004257|obs_0000034968|obs_0000010621|obs_0000012703|obs_0000002539|obs_0000004684|obs_0000031440|obs_0000000794|obs_0000003207|obs_0000015653|obs_0000009520|obs_0000013847|obs_0000003830|obs_0000009981|obs_0000030180,obs_0000020581|obs_0000004257|obs_0000034968|obs_0000010621|obs_0000012703|obs_0000002539|obs_0000023023|obs_0000004684|obs_0000031440|obs_0000000794|obs_0000025375|obs_0000021400|obs_0000003207|obs_0000015653|obs_0000009520|obs_0000013847|obs_0000003830|obs_0000009981,ref_000110,obs_0000020581|obs_0000023023|obs_0000025375|obs_0000021400|obs_0000004257|obs_0000034968|obs_0000010621|obs_0000012703|obs_0000002539|obs_0000004684|obs_0000031440|obs_0000000794|obs_0000003207|obs_0000015653|obs_0000009520|obs_0000013847|obs_0000003830|obs_0000009981|obs_0000030180,obs_0000020581|obs_0000004257|obs_0000034968|obs_0000010621|obs_0000012703|obs_0000002539|obs_0000023023|obs_0000004684|obs_0000031440|obs_0000000794|obs_0000025375|obs_0000021400|obs_0000003207|obs_0000015653|obs_0000009520|obs_0000013847|obs_0000003830|obs_0000009981
Cremiger Joghurt mild,Bioland,"€ 1,43",,"pro Einheit = 1,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_111.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,ref_000111,obs_0000021558|obs_0000020739|obs_0000011458|obs_0000017128|obs_0000015790|obs_0000002511|obs_0000027610|obs_0000023026|obs_0000000620|obs_0000031944|obs_0000006440|obs_0000023380|obs_0000026021|obs_0000001980|obs_0000031735|obs_0000021506|obs_0000021508|obs_0000025171|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000025811|obs_0000017127|obs_0000023284|obs_0000034580|obs_0000028966|obs_0000025392|obs_0000015673|obs_0000019794|obs_0000033696|obs_0000009663|obs_0000009180|obs_0000023030|obs_0000008703,obs_0000021558|obs_0000020739,ref_000111,obs_0000021558|obs_0000020739|obs_0000011458|obs_0000017128|obs_0000015790|obs_0000002511|obs_0000027610|obs_0000023026|obs_0000000620|obs_0000031944|obs_0000006440|obs_0000023380|obs_0000026021|obs_0000001980|obs_0000031735|obs_0000021506|obs_0000021508|obs_0000025171|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000025811|obs_0000017127|obs_0000023284|obs_0000034580|obs_0000028966|obs_0000025392|obs_0000015673|obs_0000019794|obs_0000033696|obs_0000009663|obs_0000009180|obs_0000023030|obs_0000008703,obs_0000021558|obs_0000020739
