Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
CATHEDRAL CITY,English Cheddar,"€ 2,99","€ 3,99","1 kg = 14,95","Hartkäse, kräftig-würzig, 14 Monate gereift, 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_141.jpg,"cat_molkerei_kaese,diet_vegetarian,tag_ultra_processed",,,ref_000102,obs_0000012806|obs_0000023809|obs_0000010630|obs_0000015389|obs_0000018212|obs_0000012197|obs_0000019626|obs_0000024233|obs_0000013135|obs_0000010460|obs_0000028382|obs_0000022379|obs_0000024569,obs_0000012806
GOURMET P RE FILS,Entrec te Merlot Cabernet Syrah,"€ 3,99",,"1 l = 5,32","Frankreich, kraftvoller Wein mit Noten von reifen Früchten, passt zu Lammkeule und Rinderbraten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_261.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,tag_proteinreich",,,ref_000103,obs_0000015079|obs_0000013176|obs_0000009986|obs_0000009523|obs_0000009027|obs_0000028128|obs_0000015746|obs_0000031116|obs_0000015347|obs_0000030463|obs_0000008375|obs_0000026185,obs_0000009986|obs_0000009523|obs_0000009027|obs_0000028128|obs_0000015079|obs_0000013176
ÜLTJE,Erdnüsse,"€ 1,69","€ 2,49","1 kg = 9,39 - 11,27",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_229.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_high_protein,tag_proteinreich",,BLS-Q210000,ref_000104,obs_0000000013|obs_0000003728|obs_0000011550|obs_0000008481|obs_0000001319|obs_0000013618|obs_0000027959|obs_0000019397|obs_0000019492|obs_0000026796|obs_0000032179|obs_0000031681|obs_0000026308|obs_0000027867|obs_0000010727|obs_0000018211|obs_0000028549|obs_0000028666|obs_0000018565|obs_0000003465|obs_0000009228|obs_0000022799|obs_0000008092|obs_0000004647|obs_0000022065|obs_0000007489|obs_0000010439|obs_0000006602|obs_0000030669|obs_0000005074|obs_0000012244|obs_0000018136|obs_0000006234|obs_0000026588|obs_0000015325|obs_0000008186|obs_0000000481|obs_0000027115|obs_0000030315|obs_0000009709|obs_0000004220|obs_0000007188|obs_0000001449|obs_0000008876|obs_0000001722|obs_0000031609,obs_0000000013|obs_0000003728|obs_0000011550|obs_0000008481|obs_0000019492|obs_0000001319|obs_0000026796|obs_0000013618|obs_0000032179|obs_0000027959|obs_0000031681|obs_0000007489|obs_0000026308|obs_0000019397|obs_0000030669|obs_0000006234|obs_0000027867|obs_0000010727
MEIN T,Erfrischungsgetränk,"€ 0,59","€ 0,79","1 l = 1,18","mit Tee-Extrakt und Fruchtgeschmack, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_277.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000105,obs_0000011154|obs_0000017948|obs_0000010013|obs_0000014624|obs_0000015906|obs_0000009895|obs_0000009513|obs_0000022058|obs_0000022185|obs_0000023728|obs_0000013619|obs_0000008378|obs_0000011968|obs_0000023744|obs_0000015052|obs_0000023247|obs_0000009431|obs_0000024155|obs_0000012664|obs_0000024168|obs_0000010736|obs_0000015479|obs_0000018552|obs_0000013177|obs_0000012413|obs_0000012451|obs_0000011560|obs_0000013620|obs_0000014659|obs_0000010759|obs_0000026061|obs_0000014298|obs_0000006024|obs_0000005272|obs_0000015296|obs_0000016089|obs_0000012000|obs_0000007679|obs_0000006900,obs_0000011154|obs_0000017948|obs_0000010013|obs_0000014624|obs_0000015906|obs_0000009895|obs_0000011560|obs_0000009513|obs_0000022058|obs_0000022185|obs_0000023728|obs_0000013619|obs_0000008378|obs_0000011968|obs_0000023744|obs_0000015052|obs_0000023247|obs_0000009431|obs_0000024155|obs_0000012664|obs_0000024168|obs_0000010736|obs_0000015479|obs_0000018552|obs_0000013177|obs_0000012413
Keine Marke,Essig- und Öl-Spender,"€ 4,99",,"pro Einheit = 4,99","Aus Soda-Lime-Glas und Kunststoff Größe je ca. B 8,5 x H 20 x T 6,5 cm Fassungsvermögen je ca. 300 ml",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_375.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000106,obs_0000028767|obs_0000015850,
BEN S ORIGINAL,Expressreis,"€ 1,49","€ 2,29","1 kg = 6,78",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_205.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_reis,tag_ultra_processed",,,ref_000107,obs_0000012686|obs_0000010042|obs_0000017388|obs_0000009592|obs_0000030331,obs_0000021252|obs_0000012686|obs_0000021686|obs_0000010042|obs_0000019005|obs_0000002754|obs_0000020433|obs_0000031848|obs_0000017388|obs_0000009076|obs_0000023286|obs_0000009592
LINDT,Exquisite Vielfalt,"€ 5,99",,"1 kg = 47,92","Pralinés, versch. Sorten, oder Spezialitäten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_235.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000108,obs_0000011352,
KRÜGER,Family Cappuccino,"€ 2,49",,"1 kg = 4,98",versch. Sorten,Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_563.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000109,obs_0000013182|obs_0000011107|obs_0000000149|obs_0000001780|obs_0000010263|obs_0000027508|obs_0000005172|obs_0000007361|obs_0000027211,obs_0000013182|obs_0000000149|obs_0000005172|obs_0000007361|obs_0000011107|obs_0000001780
COPPENRATH WIESE,Feinste Sahne,"€ 7,99",,"1 kg = 9,99",Unsere Besten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_159.jpg,"cat_tiefkuehl,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,,ref_000110,obs_0000015677|obs_0000013184,obs_0000015677|obs_0000013184
PERWOLL,Feinwaschmittel,"€ 4,99",,"pro Einheit = 0,19","flüssig, versch. Sorten, = 27 Anwendungen",Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_541.jpg,cat_drogerie,,,ref_000111,obs_0000010248|obs_0000014365|obs_0000028457|obs_0000015946|obs_0000012649|obs_0000007112|obs_0000023262|obs_0000005479|obs_0000033659|obs_0000032137,obs_0000010248|obs_0000026760|obs_0000014365|obs_0000033445|obs_0000028457|obs_0000017352|obs_0000007112|obs_0000015946|obs_0000016462|obs_0000005479
ABUS,Fenstergriff abschließbar,"€ 9,99",,"pro Einheit = 9,99","Für Kindersicherung oder Einbruchsschutz An Alu-, Kunststoff- und Holzfenstern montierbar Mit Druckzylinder mit Wendeschlüssel Auch in Kippstellung abschließbar Vierkantstift 7 mm, Schraubenabstand 43 mm Einstellbarer Vierkantstift 28 - 44 mm Inkl. 1 Schlüssel",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_327.jpg,cat_non_food,,,ref_000112,obs_0000010112,
FROSTA,Fertiggericht,"€ 1,99",,"1 kg = 5,31","Rahm-Geschnetzeltes, Paprika-Sahne-Hähnchen, Thai-Style-Hähnchen oder Rotes Curry",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_158.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,tag_ultra_processed",,,ref_000113,obs_0000001537|obs_0000013186|obs_0000010919|obs_0000015278|obs_0000013632|obs_0000012670|obs_0000010900|obs_0000006306|obs_0000012214|obs_0000023763|obs_0000011360|obs_0000023662|obs_0000014071|obs_0000024188|obs_0000019329|obs_0000009803|obs_0000018132|obs_0000009331|obs_0000022985|obs_0000027145|obs_0000005393|obs_0000007209|obs_0000013099|obs_0000005947|obs_0000005568|obs_0000005585|obs_0000023011|obs_0000019308|obs_0000006655|obs_0000015097|obs_0000006831|obs_0000006323|obs_0000005214|obs_0000029810|obs_0000026782|obs_0000034004|obs_0000034413,obs_0000001537|obs_0000013186|obs_0000019329|obs_0000026768|obs_0000010900|obs_0000005393|obs_0000006306|obs_0000010919|obs_0000015278|obs_0000012214|obs_0000008118|obs_0000013632|obs_0000008649|obs_0000009803|obs_0000005585|obs_0000023763|obs_0000018132|obs_0000011360|obs_0000023662|obs_0000009331|obs_0000014071|obs_0000016377|obs_0000017403|obs_0000024188|obs_0000012670
COTTONELLE,Feuchtes Toilettenpapier,"€ 1,19","€ 1,55","pro Einheit = 1,19",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_281.jpg,cat_drogerie,,,ref_000114,obs_0000008297|obs_0000031364|obs_0000014068|obs_0000006588|obs_0000033222|obs_0000026585|obs_0000015949|obs_0000028827|obs_0000033456|obs_0000001788|obs_0000013633|obs_0000007710|obs_0000029735|obs_0000032929|obs_0000032150|obs_0000033229|obs_0000000527|obs_0000003599|obs_0000001568|obs_0000010282|obs_0000033855|obs_0000002116|obs_0000026693|obs_0000024163|obs_0000013932|obs_0000004745|obs_0000013454|obs_0000027323|obs_0000023741|obs_0000034994|obs_0000028373|obs_0000025816|obs_0000028891|obs_0000026332|obs_0000004318|obs_0000033514|obs_0000000748|obs_0000033004|obs_0000000261|obs_0000008992|obs_0000000809|obs_0000003891|obs_0000001341|obs_0000014665|obs_0000033636|obs_0000033135|obs_0000028024|obs_0000006587|obs_0000011770|obs_0000032934,obs_0000007710|obs_0000029735|obs_0000015949|obs_0000008297|obs_0000031364|obs_0000028827|obs_0000033456|obs_0000014068|obs_0000001788|obs_0000013633|obs_0000032150|obs_0000006588|obs_0000033222|obs_0000033229|obs_0000026585
IGLO,Fischstäbchen,"€ 2,22","€ 4,89","1 kg = 4,94 - 6,17",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_162.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,tag_ultra_processed",,,ref_000115,obs_0000017420|obs_0000012340|obs_0000025168|obs_0000021599|obs_0000026262|obs_0000009919|obs_0000034006|obs_0000009455|obs_0000019723|obs_0000010512|obs_0000020780|obs_0000027473|obs_0000019848|obs_0000022963|obs_0000012822|obs_0000033884|obs_0000028371|obs_0000008173|obs_0000018467|obs_0000022596|obs_0000011904|obs_0000032385|obs_0000029344|obs_0000016574|obs_0000017244|obs_0000028007|obs_0000006665|obs_0000029781|obs_0000005766|obs_0000032630|obs_0000007597|obs_0000032212|obs_0000007207|obs_0000005208,obs_0000006665|obs_0000017420|obs_0000012822|obs_0000012340|obs_0000025168|obs_0000029781|obs_0000033884|obs_0000021599|obs_0000005766|obs_0000026262|obs_0000009919|obs_0000028371|obs_0000034006|obs_0000009455|obs_0000019723|obs_0000010512|obs_0000020780|obs_0000027473|obs_0000032630|obs_0000019848|obs_0000007597|obs_0000022963|obs_0000008173
EXQUISA,Fitline Protein Skyr Vanille oder Zero,"€ 1,49",,"1 kg = 3,73","Frischkäsezubereitung oder Quark-Joghurt-Creme, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_130.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_high_protein,tag_proteinreich,tag_ultra_processed",,,ref_000116,obs_0000011883|obs_0000016130|obs_0000029109|obs_0000028831|obs_0000017572|obs_0000004900|obs_0000028990|obs_0000001901|obs_0000004473|obs_0000003453|obs_0000009118|obs_0000004046|obs_0000002541,obs_0000011883|obs_0000016130
BEN S ORIGINAL,Fix Sauce,"€ 1,49","€ 2,79","1 kg = 3,73",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_202.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,tag_high_protein,tag_ultra_processed",,,ref_000117,obs_0000012203|obs_0000021014|obs_0000026187|obs_0000013386|obs_0000012367|obs_0000034889|obs_0000011915|obs_0000015001|obs_0000016596|obs_0000020195|obs_0000010474|obs_0000009999|obs_0000008982|obs_0000006464|obs_0000009537|obs_0000026433|obs_0000017240|obs_0000013189|obs_0000010701|obs_0000025048|obs_0000018941|obs_0000010238,obs_0000008914|obs_0000005926|obs_0000012203
MAGGI,Fix Airfryer oder Würzpaste,"€ 0,39",,"1 kg = 4,59 - 15,00",für versch. Gerichte,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_201.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000118,obs_0000011798|obs_0000012852|obs_0000014563|obs_0000025048|obs_0000026433|obs_0000010238|obs_0000018941|obs_0000020195|obs_0000021014|obs_0000016596|obs_0000017240|obs_0000009537|obs_0000026187|obs_0000009999|obs_0000010701|obs_0000012367|obs_0000013189|obs_0000006464|obs_0000015001,obs_0000011798|obs_0000012852|obs_0000014563
VILEDA,Flat Mop System H2PrO,"€ 34,99","€ 59,99","pro Einheit = 34,99","Eimer mit 2-Tank-System Zur Trennung von Frisch- und Schmutzwasser Frischwassertank ca. 1,2 l Flachwischer mit 4-teiligem Stiel (ca. 132 cm) Mikrofaser-Bezug maschinenwaschbar bis 60 °C Geeignet für versch. Bodenarten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_356.jpg,cat_non_food,,,ref_000119,obs_0000016012|obs_0000016028|obs_0000016030|obs_0000029384,obs_0000016012
VILEDA,Flat-Mop-Ersatzbezug H2PrO,"€ 6,99","€ 11,99","pro Einheit = 6,99",Aus Polyester und Polyamid Mit saugstarken Mikrofasern Maschinenwaschbar bis 60 °C Geeignet für versch. Bodenarten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_347.jpg,cat_non_food,,,ref_000120,obs_0000016028|obs_0000016012|obs_0000029384,obs_0000016028
PALMOLIVE,Flüssigseife,"€ 1,19","€ 1,45","1 l = 3,97",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_299.jpg,"cat_drogerie,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000121,obs_0000015973|obs_0000009084|obs_0000009217|obs_0000034059|obs_0000009697|obs_0000011621|obs_0000032398|obs_0000033295,obs_0000009217|obs_0000034059|obs_0000009697|obs_0000015973|obs_0000011621|obs_0000009084
K-FAVOURITES,Franz Camembert,"€ 1,99","€ 2,59","1 kg = 7,96 - 8,30","Caractère, Classique, oder 8 Portionen, 45 - 49 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_136.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000122,obs_0000034979|obs_0000026982|obs_0000010626|obs_0000031154,
SAINT ALBRAY oder CHAUMES,Franz Weichkäse,"€ 1,79","€ 2,59","pro Einheit = 1,79","cremig und mild-würzig, 51 - 56 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_149.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000123,obs_0000011050|obs_0000013202|obs_0000012324|obs_0000015800|obs_0000013638|obs_0000014416|obs_0000011898|obs_0000022418|obs_0000010262|obs_0000018456|obs_0000028718|obs_0000023373|obs_0000009810|obs_0000023007|obs_0000017509|obs_0000028005|obs_0000009341|obs_0000012800,obs_0000013202|obs_0000012324|obs_0000011050|obs_0000015800|obs_0000013638|obs_0000014416|obs_0000011898
NESCAF,Frapp,"€ 2,69","€ 3,79","1 kg = 9,79","Typ Eiskaffee, Getränkepulver mit löslichem Bohnenkaffee",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_223.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000124,,
K-WERTSCHÄTZE,Freiland-Hähnchen natur,"€ 5,99","€ 7,49","pro Einheit = 7,79","aus Freilandhaltung, natur, ohne Hals und Innereien, HKL A",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_093.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich",,,ref_000125,obs_0000012277|obs_0000028889|obs_0000001347|obs_0000009644,obs_0000012277
AIR WICK,Freshmatic,"€ 6,49",,"1 l = 12,98 - 25,96","Lufterfrischer Nachfüllpack, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_285.jpg,cat_drogerie,,,ref_000126,obs_0000010765|obs_0000012883|obs_0000013204|obs_0000031838|obs_0000019017|obs_0000005666,obs_0000010765|obs_0000012883|obs_0000013204
K-CLASSIC,Frischeiwaffeln,"€ 1,29","€ 1,49","1 kg = 5,16",mit 32 % Eiern,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_198.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-F110100,ref_000127,,
BRESSO,Frischkäse oder Frischkäsezubereitung,"€ 1,11","€ 2,39","1 kg = 7,40 - 9,25","51 - 70 % Fett i. Tr., versch. Sorten, auch portioniert",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_144.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000128,obs_0000012663|obs_0000014954|obs_0000024882|obs_0000000519|obs_0000017482|obs_0000009596|obs_0000010048|obs_0000034707|obs_0000018668|obs_0000022312|obs_0000023986|obs_0000024407|obs_0000008279|obs_0000008600|obs_0000016946|obs_0000025259|obs_0000017513|obs_0000017894|obs_0000018043|obs_0000026675|obs_0000018636|obs_0000027022|obs_0000002951|obs_0000019362|obs_0000011478|obs_0000027893|obs_0000019721|obs_0000003481|obs_0000011892|obs_0000028302|obs_0000020143|obs_0000012209|obs_0000020962|obs_0000013644|obs_0000022149|obs_0000022250|obs_0000022604|obs_0000015674,obs_0000012663|obs_0000014954
FRIENDS OF ASIA,Frozen Dessert,"€ 1,99","€ 2,99","1 l = 22,12","gefrorenes Dessert in realistischer Fruchtform, gefüllt mit Eis mit Fruchtgeschmack, versch. Sorten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_150.jpg,"cat_tiefkuehl,sub_tk_eis",,,ref_000129,obs_0000010273|obs_0000015398|obs_0000034511|obs_0000011488|obs_0000033998|obs_0000013586|obs_0000015382|obs_0000018839|obs_0000014488|obs_0000005029|obs_0000010617|obs_0000009519|obs_0000012336|obs_0000015792|obs_0000017969|obs_0000022199|obs_0000000443|obs_0000017731|obs_0000004175|obs_0000016979|obs_0000009845|obs_0000018932|obs_0000004602,obs_0000010273|obs_0000015398|obs_0000034511|obs_0000011488
SANPELLEGRINO,Fruchtsaftgetränk,"€ 0,89",,"1 l = 2,70","aus Italien, mit Kohlensäure, versch. Sorten (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_244.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,BLS-N210000,ref_000130,obs_0000010737|obs_0000028293|obs_0000033833|obs_0000009933|obs_0000011567|obs_0000008761|obs_0000005441|obs_0000005999|obs_0000006549|obs_0000006360|obs_0000006889|obs_0000007668|obs_0000006204,obs_0000028293|obs_0000033833|obs_0000009933|obs_0000011567|obs_0000010737|obs_0000008761
ROTKÄPPCHEN,Fruchtsecco,"€ 0,99","€ 1,69","1 l = 4,95",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_269.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,,ref_000131,obs_0000011144|obs_0000020626|obs_0000012441|obs_0000015935|obs_0000021445|obs_0000012870|obs_0000023384|obs_0000015084|obs_0000025209|obs_0000008252|obs_0000009450|obs_0000029437|obs_0000030392|obs_0000029767|obs_0000005625|obs_0000007450|obs_0000007078|obs_0000007657|obs_0000005998,obs_0000011144|obs_0000020626|obs_0000012441|obs_0000015935|obs_0000021445|obs_0000012870|obs_0000023384|obs_0000015084|obs_0000025209
GUTES AUS DER BÄCKEREI,Frühstücksbrötchen,"€ 1,11",,"1 kg = 1,99","Mehrkornbrötchen, zum Fertigbacken",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_194.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000132,,
K-CLASSIC,Gartenerbsen,"€ 1,29","€ 1,49","1 kg = 2,44",zart,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_173.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-G280100,ref_000133,obs_0000014531|obs_0000015840|obs_0000009841|obs_0000011913|obs_0000029315,obs_0000014531|obs_0000015840|obs_0000009841|obs_0000011913
Keine Marke,Gemüsepflanzen,"€ 2,49",,"pro Einheit = 2,49","versch. Varianten und Sorten,12er-Pack oder Einzeltopf, Topf Ø 9 cm, ab 1,19€",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_047.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_gemuese,tag_whole_food",,,ref_000134,,
SOMAT,Geschirrreiniger XXL,"€ 6,99","€ 9,45","pro Einheit = 0,16","Tabs 58 - 67 St., Caps 44 - 54 St. oder Gel 0,96 - 1,072 l, = 44 - 67 Anwendungen",Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_567.jpg,cat_drogerie,,,ref_000135,obs_0000015255|obs_0000015957|obs_0000012763|obs_0000013967,obs_0000015255|obs_0000015957
FIT,Geschirrspülmittel,"€ 1,49","€ 1,95","1 l = 1,99 - 3,73",versch. Sorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_286.jpg,cat_drogerie,,,ref_000136,obs_0000010271|obs_0000015118|obs_0000034453|obs_0000011161|obs_0000013986|obs_0000028221|obs_0000034995|obs_0000008401|obs_0000011604|obs_0000013654|obs_0000015958|obs_0000008305|obs_0000031355|obs_0000013052|obs_0000032274|obs_0000006050|obs_0000005293|obs_0000020019|obs_0000016850|obs_0000029778|obs_0000005857|obs_0000006247|obs_0000006763|obs_0000030063|obs_0000032757|obs_0000007927|obs_0000013224|obs_0000024713|obs_0000025820,obs_0000015118|obs_0000034453|obs_0000011161|obs_0000010271|obs_0000013986|obs_0000006050|obs_0000005293|obs_0000020019|obs_0000028221|obs_0000034995|obs_0000008401|obs_0000016850|obs_0000029778|obs_0000011604|obs_0000013654|obs_0000015958|obs_0000006763|obs_0000008305|obs_0000032757|obs_0000031355|obs_0000013052
AIR UP,Geschmack-Pods,"€ 8,99",,"pro Einheit = 8,99",Fruchtig duftende Pods Zum Einsetzen in Air-up-Trinkflaschen Mit natürlichen Inhaltsstoffen Keine künstlichen Aromen Ohne Zucker und Kalorien Je Pod ca. 5 l Geschmack Versch. Geschmackssorten,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_390.jpg,cat_drogerie,,,ref_000137,obs_0000007994,obs_0000007994
AIR UP,Geschmack-Pods Cherry,"€ 5,99",,"pro Einheit = 5,99",Fruchtig duftende Pods Zum Einsetzen in Air-up-Trinkflaschen Mit natürlichen Inhaltsstoffen Keine künstlichen Aromen Ohne Zucker und Kalorien Je Pod ca. 5 l Geschmack,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_407.jpg,"cat_drogerie,diet_vegetarian",,,ref_000138,obs_0000007994|obs_0000027304|obs_0000026189,
AIR UP,Geschmack-Pods Waldbeere,"€ 7,99",,"pro Einheit = 7,99",Fruchtig duftende Pods Zum Einsetzen in Air-up-Trinkflaschen Mit natürlichen Inhaltsstoffen Keine künstlichen Aromen Ohne Zucker und Kalorien Je Pod ca. 5 l Geschmack,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_355.jpg,"cat_drogerie,diet_vegetarian",,,ref_000139,obs_0000007994,
