Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
ROBERTO GEISSINI,Spannbettlaken ca 140 - 160 x 200 cm,"€ 9,99",,"pro Einheit = 9,99",Aus Baumwolle Mit Rundum-Gummizug für faltenfreien Sitz Für Steghöhen bis 20 cm Größe ca. 140 - 160 x 200 cm,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_423.jpg,"cat_non_food,diet_vegetarian,tag_whole_food",,,ref_000340,obs_0000016045|obs_0000011246|obs_0000016060|obs_0000011238,obs_0000016045|obs_0000011246
ROBERTO GEISSINI,Spannbettlaken ca 180 - 200 x 200 cm,"€ 19,99",,"pro Einheit = 19,99",Aus Baumwolle Bedruckt mit versch. Motiven Mit Rundum-Gummizug für faltenfreien Sitz Für Steghöhen bis 20 cm Größe ca. 180 - 200 x 200 cm,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_412.jpg,"cat_non_food,diet_vegetarian",,,ref_000341,obs_0000016060|obs_0000011238|obs_0000011277|obs_0000011301|obs_0000016045|obs_0000016052|obs_0000011246,obs_0000016060|obs_0000011238
ROBERTO GEISSINI,Spannbettlaken ca 90 - 100 x 200 cm,"€ 7,99",,"pro Einheit = 7,99",Aus Baumwolle Mit Rundum-Gummizug für faltenfreien Sitz Für Steghöhen bis 20 cm Größe ca. 90 - 100 x 200 cm,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_427.jpg,"cat_non_food,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000342,obs_0000011277|obs_0000016052|obs_0000016060|obs_0000011238,obs_0000011277|obs_0000016052
PAULANER,Spezi oder Limo,"€ 0,59","€ 0,95","1 l = 1,79","Orangenlimonade mit Cola, Original oder Zero, koffeinhaltig, oder Limo Orange oder Zitrone (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_017.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000343,obs_0000015662|obs_0000012187|obs_0000006363|obs_0000031347|obs_0000034439|obs_0000022812|obs_0000027152|obs_0000012863|obs_0000000637|obs_0000010907|obs_0000033836|obs_0000027903|obs_0000013907|obs_0000026321,obs_0000006363|obs_0000031347|obs_0000007080|obs_0000005257|obs_0000015662|obs_0000005812|obs_0000012187
VILEDA,Spin Mop System H2PrO,"€ 39,99","€ 79,99","pro Einheit = 39,99",Eimer mit 2-Tank-System Zur Trennung von Frisch- und Schmutzwasser Mit Powerschleuder mit Fußpedal Spin Mop mit Teleskopstiel bis 123 cm Dreieckiger Mikrofaser-Wischkopf Wischkopf maschinenwaschbar bis 30 °C Geeignet für alle Hartböden,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_352.jpg,cat_non_food,,,ref_000344,obs_0000016030|obs_0000016012|obs_0000016013|obs_0000029384,obs_0000016030
VILEDA,Spin-Mop-Ersatzkopf H2PrO,"€ 6,99","€ 11,99","pro Einheit = 6,99",Aus Polyester Mit Mikrofasern und blauen Kraftfasern Maschinenwaschbar bis 30 °C Geeignet für alle Hartböden,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_361.jpg,cat_drogerie,,,ref_000345,obs_0000016013|obs_0000016030,obs_0000016013
Keine Marke,Spraynelken,"€ 2,29",,"pro Einheit = 2,29","versch. Farben, ohne Deko",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_060.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000346,obs_0000013422,obs_0000013422
COCA-COLA FANTA,SPRITE oder MEZZO MIX Erfrischungsgetränk,"€ 0,79","€ 1,59","1 l = 0,64","z. T. koffeinhaltig, versch. Sorten (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_243.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000347,obs_0000015905|obs_0000011120|obs_0000031043|obs_0000028043|obs_0000032258|obs_0000034906|obs_0000032019|obs_0000029984|obs_0000029010|obs_0000032704|obs_0000030679|obs_0000013322|obs_0000015049|obs_0000017948|obs_0000015906|obs_0000022058|obs_0000024155|obs_0000024168|obs_0000015479|obs_0000018552|obs_0000012413|obs_0000024700|obs_0000009895|obs_0000022185|obs_0000023728|obs_0000008378|obs_0000011968|obs_0000023744|obs_0000015052|obs_0000023247|obs_0000009431|obs_0000010013|obs_0000014624|obs_0000009513|obs_0000013619|obs_0000012664|obs_0000013177|obs_0000011154|obs_0000010736,obs_0000015905|obs_0000011120
GLÜCKSKLEE,Sprüh-Sahne Finesse,"€ 1,99","€ 2,99","1 l = 7,96","für Kuchen, Eis und mehr, 30 % Fett",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_133.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_sahne_creme,tag_ultra_processed",,,ref_000348,obs_0000001327|obs_0000031285|obs_0000024171|obs_0000020077|obs_0000002709|obs_0000023749|obs_0000023266|obs_0000021835|obs_0000020896|obs_0000001982,
ROTHO,Stapelbox A3 COMPACT,"€ 7,99","€ 20,99","pro Einheit = 7,99",Aus zu über 96 % wiederverwertetem Kunststoff Verschließ- und stapelbar Versch. Farben Größe ca. B 57 x H 25 x T 40 cm (ca. 38 l),Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_367.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000349,,
ROTHO,Stapelbox A4 COMPACT,"€ 3,99","€ 11,49","pro Einheit = 3,99",Aus zu über 96 % wiederverwertetem Kunststoff Verschließ- und stapelbar Versch. Farben Größe ca. B 28 x H 18 x T 40 cm (ca. 13 l),Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_351.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000350,,
K-GOLD EDITION,Steirisches Kürbiskernöl g g A,"€ 3,99","€ 4,99","1 l = 15,96","ideal zum Würzen von Salaten, Suppen und Saucen",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_184.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000351,obs_0000017479|obs_0000015853|obs_0000008175|obs_0000018962|obs_0000018711|obs_0000013432|obs_0000027168|obs_0000001927|obs_0000007362,obs_0000015853|obs_0000013432
