Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Mazola Keimöl,Keine Marke,"€ 3,49","€ 4,49",4.65 / l,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_370.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_tk_gemuese,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",,ref_000370,obs_0000028814|obs_0000007791|obs_0000011798|obs_0000014639|obs_0000024892,obs_0000028814
Mineralwasser,Adelholzener,"€ 11,98","€ 15,98",0.50 / l,Classic oder SanftEinzelpreis: 7.99 (0.67 / l),Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_371.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000371,obs_0000026968|obs_0000026664|obs_0000026154|obs_0000008247|obs_0000012857|obs_0000029261|obs_0000011860|obs_0000008799|obs_0000008287|obs_0000014433|obs_0000026730|obs_0000032348|obs_0000024697|obs_0000023689|obs_0000029331|obs_0000011415|obs_0000029335|obs_0000026781|obs_0000031901|obs_0000025780|obs_0000014006|obs_0000007883|obs_0000009431|obs_0000009965|obs_0000019710|obs_0000024332|obs_0000031507|obs_0000031508|obs_0000007983|obs_0000026927|obs_0000010569|obs_0000013150|obs_0000025963|obs_0000025983|obs_0000003475|obs_0000027058|obs_0000018891|obs_0000031699|obs_0000031702|obs_0000027095|obs_0000025075|obs_0000026620|obs_0000027141|obs_0000022613|obs_0000027760|obs_0000029298|obs_0000028811|obs_0000007326|obs_0000006336|obs_0000017600,obs_0000026664|obs_0000026154|obs_0000008247|obs_0000012857|obs_0000029261|obs_0000011860|obs_0000008799|obs_0000008287|obs_0000014433|obs_0000026730|obs_0000032348|obs_0000024697|obs_0000023689|obs_0000029331|obs_0000011415|obs_0000029335|obs_0000026781|obs_0000031901|obs_0000025780|obs_0000014006|obs_0000007883|obs_0000009431|obs_0000009965|obs_0000019710|obs_0000024332|obs_0000031507|obs_0000031508|obs_0000007983|obs_0000026927|obs_0000010569|obs_0000026968|obs_0000013150|obs_0000025963|obs_0000025983|obs_0000003475|obs_0000027058|obs_0000018891|obs_0000031699|obs_0000031702|obs_0000027095|obs_0000025075|obs_0000026620
Löwenbräu Original oder Kulmbacher Edelherb Pils,Keine Marke,"€ 21,98","€ 31,9836,98",1.70 / l,je nach regionaler VerfügbarkeitEinzelpreis: 15.99 - 18.49 (1.60 - 1.85 / l),Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_372.png,"cat_getraenke,diet_gluten_free,tag_ultra_processed",,ref_000372,obs_0000027887|obs_0000028528|obs_0000024879|obs_0000000370|obs_0000002827|obs_0000003854|obs_0000004281|obs_0000004708|obs_0000007913|obs_0000008223|obs_0000008352|obs_0000008780|obs_0000008971|obs_0000009433|obs_0000009563|obs_0000009566|obs_0000009611|obs_0000010201|obs_0000010595|obs_0000011869|obs_0000011894|obs_0000012317|obs_0000012727|obs_0000012774|obs_0000013182|obs_0000013576|obs_0000014027|obs_0000014466|obs_0000014692|obs_0000015103|obs_0000015772|obs_0000015909|obs_0000016324|obs_0000018030|obs_0000018181|obs_0000018706|obs_0000018823|obs_0000019136|obs_0000019525|obs_0000019642|obs_0000019955|obs_0000020283|obs_0000020393|obs_0000020709|obs_0000022281|obs_0000022701|obs_0000023674|obs_0000023832|obs_0000024162|obs_0000024189,
Schneider Weisse Original,Keine Marke,"€ 14,99","€ 20,99",1.50 / l,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_373.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000373,obs_0000027548|obs_0000008223|obs_0000008352|obs_0000008780|obs_0000008971|obs_0000009433|obs_0000009563|obs_0000011869|obs_0000012774|obs_0000013576|obs_0000014027|obs_0000014692|obs_0000015909|obs_0000016324|obs_0000018030|obs_0000018706|obs_0000018823|obs_0000019136|obs_0000019525|obs_0000019642|obs_0000019955|obs_0000020283|obs_0000020393|obs_0000020709|obs_0000023674|obs_0000023832|obs_0000024162|obs_0000024899|obs_0000024959|obs_0000025132|obs_0000025175|obs_0000025918|obs_0000026556|obs_0000026643|obs_0000026757|obs_0000026857|obs_0000027023|obs_0000029264|obs_0000031227|obs_0000031439|obs_0000032025|obs_0000032039|obs_0000032341,obs_0000027548
Karamalz,Keine Marke,"€ 11,99","€ 13,99",1.20 / l,alkoholfreies Malzgetränk,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_374.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000374,obs_0000028331|obs_0000028681|obs_0000029906,obs_0000028331|obs_0000028681|obs_0000029906
Albi Saft oder Nektar,Keine Marke,"€ 1,49","€ 2,49",Kein Mengenpreis,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_375.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000375,obs_0000006172|obs_0000006538|obs_0000005611|obs_0000005227|obs_0000005785|obs_0000013579|obs_0000028428|obs_0000029905|obs_0000009646|obs_0000015478|obs_0000015631|obs_0000016440|obs_0000017667|obs_0000018748|obs_0000019567|obs_0000020961|obs_0000023112|obs_0000023745|obs_0000024271|obs_0000024510|obs_0000024912|obs_0000025269|obs_0000025801|obs_0000026109|obs_0000026558|obs_0000030382|obs_0000031336|obs_0000031511|obs_0000031902,obs_0000005611|obs_0000006172|obs_0000006538
Chiemseer Hell,Keine Marke,"€ 1,2","€ 1,29",2.- / l,,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_376.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000376,obs_0000008222|obs_0000024442|obs_0000025838|obs_0000029205|obs_0000008104|obs_0000009231|obs_0000009361|obs_0000009987|obs_0000011440|obs_0000013179|obs_0000025477|obs_0000026677|obs_0000026794|obs_0000031939|obs_0000031951|obs_0000032327,obs_0000008222|obs_0000024442
Spezi Cola oder Limonaden,Paulaner,"€ 0,69","€ 0,85",2.09 / l,"teilw. koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_377.png,"cat_getraenke,tag_ultra_processed",,ref_000377,obs_0000012309|obs_0000010353|obs_0000031300|obs_0000000637|obs_0000025279|obs_0000021337|obs_0000026030|obs_0000024448|obs_0000008218|obs_0000008367|obs_0000024773|obs_0000012503|obs_0000008469|obs_0000004390|obs_0000008565|obs_0000020863|obs_0000000445|obs_0000016900|obs_0000025142|obs_0000025164|obs_0000029364|obs_0000004817|obs_0000002828|obs_0000000810|obs_0000015211|obs_0000019369|obs_0000015279|obs_0000001014|obs_0000025941|obs_0000015771|obs_0000017889|obs_0000026099|obs_0000026153|obs_0000007851|obs_0000026303|obs_0000020188|obs_0000026353|obs_0000016164|obs_0000024414|obs_0000003963|obs_0000024450|obs_0000024565,obs_0000005043|obs_0000005598
Capri Sun,Keine Marke,"€ 3,49","€ 4,29",1.75 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_378.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,ref_000378,obs_0000005244,obs_0000005244
Fanta Sprite oder Mezzo Mix,Keine Marke,"€ 1,29","€ 1,59",1.03 / l,"teilw. koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_379.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000379,obs_0000026170|obs_0000027137|obs_0000028111|obs_0000028806|obs_0000029483|obs_0000029722|obs_0000030168|obs_0000006697|obs_0000006897|obs_0000032195|obs_0000010566|obs_0000014430|obs_0000005228|obs_0000000515|obs_0000021501|obs_0000021832|obs_0000023925|obs_0000013574,obs_0000026170
