Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
MILKA,Schokolade,"€ 0,99",,1 kg = 10.43 - 11.65) / (1 kg = 8.95 - 10.00)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_028.jpg
MILKA,Pralin s oder Hauchzarte Herzen,"€ 1,79",3.49,1 kg = 13.77 - 16.28) / (1 kg = 10.70 - 12.64)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_029.jpg
KINDER,Bueno,"€ 2,22",3.29,1 kg = 17.21 - 18.98) / (1 kg = 14.66 - 16.16)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_030.jpg
STORCK,Nimm2 Lachgummi,"€ 0,99",1.29,1 kg = 3.05 - 4.95) / (1 kg = 2.71 - 4.40)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_031.jpg
COCA-COLA,Original oder Zero,"€ 5,99",,1 l = 1.82) / (1 l = 1.69)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_032.jpg
KOBER S,Liköre,"€ 7,99",12.49,1 l = 15.98) / (1 l = 13.98)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_033.jpg
WINE VIBES,Qualitätswein,"€ 3,99",4.99,1 l = 5.32) / (1 l = 3.99)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_034.jpg
DOMESTOS,WC-Stein,"€ 1,29",,1 kg = 25.80 - 26.88) / (1 kg = 19.80 - 20.63)**,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_036.jpg
MY PROJECT,Starthilfekabel Typ 25,"€ 12,99",12.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_037.jpg
Keine Marke,Bettwäsche-Set Stitch,"€ 17,99",17.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_038.jpg
WALSER,Kfz-Verbandtasche,"€ 4,99",12.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_039.jpg
Keine Marke,Bettwäsche-Set Naruto,"€ 17,99",17.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_040.jpg
Keine Marke,Span marokk Paprika rot,"€ 1,79",2.49,1 kg = 3.58,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_043.jpg
Keine Marke,Südafrik Nektarinen lose,"€ 3,99",5.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_044.jpg
Keine Marke,Span Erdbeeren,"€ 3,33",3.99,1 kg = 8.33,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_045.jpg
Keine Marke,Dtsch Tafeläpfel Cameo,"€ 1,99",2.79,1 kg = 2.49,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_046.jpg
Keine Marke,Niederl span Rispentomaten lose,"€ 1,79",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_047.jpg
Keine Marke,Dtsch Speisekartoffeln,"€ 1,99",2.99,1 kg = 0.80,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_048.jpg
Keine Marke,Dtsch Cocktailrispentomaten,"€ 2,99",3.99,1 kg = 8.55,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_049.jpg
Keine Marke,Span dtsch Kräuter XXL,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_050.jpg
Keine Marke,Span Staudensellerie,"€ 0,99",1.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_051.jpg
Keine Marke,Dtsch Chicor e,"€ 1,49",1.99,1 kg = 2.98,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_052.jpg
Keine Marke,Miniromatomaten,"€ 0,99",1.19,1 kg = 3.96,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_053.jpg
Keine Marke,Ägypt südafrik Süßkartoffeln lose,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_054.jpg
Keine Marke,Ital Kohlrabi lose,"€ 0,59",0.69,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_055.jpg
Keine Marke,Amerik Erdnüsse,"€ 1,49",2.29,1 kg = 3.73,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_056.jpg
Keine Marke,Chil amerik Walnüsse,"€ 1,99",2.25,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_057.jpg
Keine Marke,Alpenveilchen,"€ 2,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_058.jpg
Keine Marke,Glockenblume,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_059.jpg
Keine Marke,Zwiebelpflanzen,"€ 0,88",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_060.jpg
Keine Marke,Zwiebelpflanze in Vogeltränke,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_061.jpg
Keine Marke,Narzissenstrauß,"€ 1,79",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_064.jpg
Keine Marke,Südafrik Tafeltrauben hell oder rot,"€ 2,99",3.99,1 kg = 4.99,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_065.jpg
Keine Marke,Fensterblatt,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_067.jpg
Keine Marke,Türk Aprikosen getrocknet,"€ 2,49",3.49,1 kg = 12.45,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_068.jpg
Keine Marke,Tulpe,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_069.jpg
Keine Marke,Kolumb guatem Avocado lose,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_070.jpg
Keine Marke,Chin Shimeji braun oder weiss,"€ 1,49",1.99,1 kg = 9.94,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_071.jpg
Keine Marke,VitaSafe Früchte-Mix Melonen-Mix oder Ananasstücke,"€ 2,29",2.79,1 kg = 6.94,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_072.jpg
Keine Marke,Orchidee im Potcover,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_073.jpg
Keine Marke,Bioland dtsch Speisekartoffeln,"€ 1,49",1.99,1 kg = 1.00,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_074.jpg
Keine Marke,Bioland dtsch Zwiebeln,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_075.jpg
Keine Marke,Ital Bio-Kiwis,"€ 1,99",2.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_076.jpg
K-PURLAND,Schnelle Küche Geschnetzeltes Mango-Curry,"€ 3,99",,1 kg = 7.98,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_077.jpg
K-PURLAND,Kasseler Nacken Kamm XXL,"€ 5,79",,"entspr. z. B. für eine 2,3-kg-Packg. 13.32",,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_078.jpg
K-PURLAND,Halbes Schwein grob zerlegt,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_079.jpg
K-PURLAND,Schweinemedaillons,"€ 8,29",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_080.jpg
K-PURLAND,Kasseler Lachs,"€ 5,99",8.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_081.jpg
K-PURLAND,Steak Mexico Style,"€ 4,99",6.19,1 kg = 6.66,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_082.jpg
K-PURLAND,Bierzelt-Haxe gepökelt,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_083.jpg
K-PURLAND,Kasseler Frühstücksbauch,"€ 5,99",7.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_084.jpg
BECK,Spanferkel-Keule,"€ 11,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_085.jpg
SCHWAMM,Cordon-Bleu-Braten,"€ 8,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_086.jpg
K-PURLAND,Schinkenbraten,"€ 5,49",8.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_087.jpg
K-PURLAND,Burgunder-Braten,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_088.jpg
K-PURLAND,Rinderbraten Hals Hohe Rippe vom Jungbullen,"€ 14,99",17.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_089.jpg
K-PURLAND,Sauerbraten vom Rind,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_090.jpg
K-PURLAND,Pfeffer-Hüftsteak vom Jungbullen mariniert,"€ 18,95",23.49,entspr. z. B. für eine 200-g-Packg. 3.79,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_091.jpg
K-WERTSCHÄTZE,Freiland-Hähnchen natur,"€ 5,99",7.49,"entspr. z. B. für ein 1,3-kg-Stück 7.79",,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_092.jpg
K-PURLAND,Hähnchen-Unterschenkel XXL,"€ 4,39",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_093.jpg
K-PURLAND,Hähnchenbrustfilet- Teilstücke,"€ 4,99",,1 kg = 8.32,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_094.jpg
Keine Marke,Chicken Nuggets Herzen XXL,"€ 5,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_095.jpg
BARD,Hähnchenbrust im Baconmantel,"€ 15,98",,entspr. z. B. für eine 500-g-Packg. 7.99,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_096.jpg
K-PURLAND,Hackfleisch gemischt,"€ 3,49",,1 kg = 6.98,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_097.jpg
BÖKLUNDER,Aspik-Spezialität,"€ 1,69",2.19,1 kg = 8.45,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_098.jpg
MONTORSI,Mortadella 4 Castelli,"€ 1,99",2.99,1 kg = 16.59,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_099.jpg
WIESBAUER,Österr Wurstspezialitäten,"€ 1,49",2.39,1 kg = 18.63,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_100.jpg
K-CLASSIC,Weißwurst,"€ 1,99",,1 kg = 6.64,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_101.jpg
MONTORSI,Prosciutto Cotto,"€ 2,99",3.99,1 kg = 24.92,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_102.jpg
NEGRONI,Gran Crudo,"€ 3,99",4.99,1 kg = 49.88,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_103.jpg
WILTMANN,Bio-Salami,"€ 1,89",,1 kg = 23.63 - 37.80,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_104.jpg
SNACK IT,Salamistangen,"€ 1,45",1.99,1 kg = 18.13,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_105.jpg
TULIP,Frühstücksfleisch,"€ 1,99",2.49,1 kg = 5.86,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_106.jpg
K-WERTSCHÄTZE,Rinder-Entrec te,"€ 26,90",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_108.jpg
K-WERTSCHÄTZE,Rindertafelspitz vom Jungbullen,"€ 17,90",19.90,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_109.jpg
K-WERTSCHÄTZE,Rinderhackfleisch vom Jungbullen,"€ 12,90",15.90,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_110.jpg
HAGEN,Frikadellen,"€ 0,99",1.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_111.jpg
Aus eigener Herstellung,Krakauer,"€ 1,29",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_112.jpg
WIESENHOF,Geflügelwurst,"€ 1,29",1.89,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_113.jpg
NOTHWANG,Honigschinken,"€ 1,69",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_114.jpg
REINERT,Würzica,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_115.jpg
PICK,Echt ungar Salami,"€ 1,69",3.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_116.jpg
Kalbsbraten,aus der Keule,"€ 19,90",23.90,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_117.jpg
K-BLUE BAY,Knusperbackfisch XXL,"€ 4,99",,1 kg = 8.92,,Nein,Dieses Angebot findest du vom 05.02. bis 11.02. in deiner Kaufland-Filiale.,2026-02-05,2026-02-11,images_kaufland/kaufland_offer_118.jpg
