Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Rinder-Hackfleisch,,8.49 €,statt 9.49,10.61 / kg,zum Braten,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_044.png
Schweine-Schnitzel,,7.98 €,statt 9.98,7.– / kg,aus der Oberschale Einzelpreis: 4.99 (9.98 / kg),Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_045.png
Brust vom Jungbullen,,1.39 €,UVP 1.69,13.90 / kg,"ohne Knochen, vakuumverpackt, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_046.png
Filetsteak vom Jungbullen,,3.69 €,statt 4.39,36.90 / kg,"zart, garantiert 14 Tage gereift, ca. 200 g",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_047.png
Gulasch vom Rind,,9.99 €,UVP 12.49,13.32 / kg,zart und saftig,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_048.png
Salami,,1.49 €,statt 1.69,9.93 / kg,geräuchert,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_049.png
Bayerischer Leberkäse,,2.50 €,statt 3.58,7.81 / kg,fein Einzelpreis: 1.79 (11.19 / kg),Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_050.png
Prosciutto Cotto,,4.78 €,statt 4.78,11.95 / kg,Einzelpreis: 2.39 (11.95 / kg),Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_051.png
Rohschinken Spezialitäten,,3.33 €,statt 3.87,13.88 / kg,versch. Sorten Einzelpreis: 1.29 (16.13 / kg),Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_052.png
Echt ungarische Salami,,4.49 €,statt 4.99,11.23 / kg,,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_053.png
