Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Zott Monte Snack,"€ 1,99","1 kg = 8,58 €","verschiedene Sorten, 8er, 232 g Packung, (1 kg = 8,58 €)",2026-02-09,2026-02-14,images_edeka/zott-monte-snack.jpg
Frankenland Schmand,"€ 0,99","1 kg = 4,95 €","24 % Fett, 200 g Becher, (1 kg = 4,95 €)",2026-02-09,2026-02-14,images_edeka/frankenland-schmand.jpg
Weihenstephan Schlagsahne Sahne zum Kochen oder Kochcreme,"€ 1,29","1 kg = 5,16 €","verschiedene Fettstufen Je nach Verfügbarkeit des Marktes., 250 g/ml Packung, (1 kg = 5,16 €)",2026-02-09,2026-02-14,images_edeka/weihenstephan-schlagsahne-sahne-zum-kochen-oder-kochcreme.jpg
Milram Gewürz Quark,"€ 0,99","1 kg = 5,35 €","verschiedene Sorten und Fettstufen, Sour Cream, Zaziki oder Aioli, 185 g Becher, (1 kg = 5,35 €)",2026-02-09,2026-02-14,images_edeka/milram-gew-rz-quark.jpg
Gut Günstig H-Vollmilch,"€ 0,79","1 l = 0,79 €","3,5 % Fett, 1 Liter Packung, (1 l = 0,79 €)",2026-02-09,2026-02-14,images_edeka/gut-g-nstig-h-vollmilch.jpg
Unbekannt 50,"€ ,00",Kein Mengenpreis,,2026-02-09,2026-02-14,
Melitta Bella Crema,"€ 13,99","1 kg = 13,99 €","ganze Bohnen, 100 % Arabica, verschiedene Sorten, 1000 g Packung, (1 kg = 13,99 €)",2026-02-09,2026-02-14,images_edeka/melitta-bella-crema.jpg
Teekanne Ländertee,"€ 1,69",Kein Mengenpreis,"verschiedene Sorten, 18/20er",2026-02-09,2026-02-14,images_edeka/teekanne-l-ndertee.jpg
EDEKA Herzstücke Röstkaffee,"€ 5,99","1 kg = 11,98 €","gemahlen, verschiedene Sorten, 100% Arabica, 500 g Packung, (1 kg = 11,98 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-r-stkaffee.jpg
Starbucks by Nespresso Kaffeekapseln,"€ 3,69","1 kg = 64,74-69,62 €","verschiedene Sorten, 10er Für die Verwendung in Nespresso?* Kaffeemaschinen geeignet. *Markenzeichen eines Dritt-Unternehmens., 53-57 g Packung, (1 kg = 64,74-69,62 €)",2026-02-09,2026-02-14,images_edeka/starbucks-by-nespresso-kaffeekapseln.jpg
EDEKA Herzstücke original italienische Pasta,"€ 0,99","1 kg = 1,98 €","verschiedene Ausformungen Ausgenommen Tagliatelle N.71, N.70 und Lasagne., 500 g Packung, (1 kg = 1,98 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-original-italienische-pasta.jpg
Maggi 5 Minuten Terrine oder Magic Asia Noodle Cup,"€ 0,99",Kein Mengenpreis,verschiedene Sorten,2026-02-09,2026-02-14,images_edeka/maggi-5-minuten-terrine-oder-magic-asia-noodle-cup.jpg
Thomy Les Sauces,"€ 0,99","1 l = 3,96 €","verschiedene Sorten, 250 ml Packung, (1 l = 3,96 €)",2026-02-09,2026-02-14,images_edeka/thomy-les-sauces.jpg
Ben s Original Sauce,"€ 1,79",Kein Mengenpreis,verschiedene Sorten,2026-02-09,2026-02-14,images_edeka/ben-s-original-sauce.jpg
Ben s Original Kochbeutel Reis,"€ 1,79","1 kg = 3,58 €","verschiedene Sorten Ausgenommen Basmati Reis., 500 g Packung, (1 kg = 3,58 €)",2026-02-09,2026-02-14,images_edeka/ben-s-original-kochbeutel-reis.jpg
Bertolli Olivenöl,"€ 5,99","1 l = 11,98 €","verschiedene Sorten Ausgenommen Brat- und Grill Olivenöl., 500 ml Flasche, (1 l = 11,98 €)",2026-02-09,2026-02-14,images_edeka/bertolli-oliven-l.jpg
Knorr Bouillon Bouillon Pur,"€ 1,49",Kein Mengenpreis,verschiedene Sorten oder Delikatess Brühe,2026-02-09,2026-02-14,images_edeka/knorr-bouillon-bouillon-pur.jpg
Meica Mini Wini,"€ 3,49","1 kg = 18,37 €","verschiedene Sorten, 380 g Glas (Abtropfgewicht 190/260 g), (1 kg = 18,37 €)",2026-02-09,2026-02-14,images_edeka/meica-mini-wini.jpg
Kölln Müsli,"€ 2,59",Kein Mengenpreis,verschiedene Sorten,2026-02-09,2026-02-14,images_edeka/k-lln-m-sli.jpg
EDEKA Herzstücke Fruchtaufstrich,"€ 1,99","1 kg = 8,65 €","verschiedene Sorten, 230 g Glas, (1 kg = 8,65 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-fruchtaufstrich.jpg
EDEKA Herzstücke Macarons,"€ 3,69","1 kg = 25,63 €","Vanille, Schokolade, Himbeere, Zitrone, Pistazie und Salted Caramel, 12er, 144 g Packung, (1 kg = 25,63 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-macarons.jpg
EDEKA Herzstücke Frische Ravioli,"€ 2,49","1 kg = 9,96 €","in Herzform, verschiedene Sorten, 250 g Packung, (1 kg = 9,96 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-frische-ravioli.jpg
EDEKA Herzstücke Waffeln,"€ 1,59","1 kg = 9,64 €","verschiedene Sorten, 3er, 165 g Packung, (1 kg = 9,64 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-waffeln.jpg
Dermaris Frühstücksherzen,"€ 1,49","1 kg = 6,62 €","verschiedene Sorten Nur solange der Vorrat reicht., 225 g Packung, (1 kg = 6,62 €)",2026-02-09,2026-02-14,images_edeka/dermaris-fr-hst-cksherzen.jpg
Lantmännen Finn Crisp,"€ 1,49",Kein Mengenpreis,"verschiedene Sorten, vegan",2026-02-09,2026-02-14,images_edeka/lantm-nnen-finn-crisp.jpg
Gut Günstig Berliner,"€ 1,79","1 kg = 3,98 €","mit Vierfrucht-Konfitüre Extra, 6er, 450 g Packung, (1 kg = 3,98 €)",2026-02-09,2026-02-14,images_edeka/gut-g-nstig-berliner.jpg
Gemüsemix,"€ 1,19",Kein Mengenpreis,"in Aspik, 100 g",2026-02-09,2026-02-14,images_edeka/gem-semix.jpg
Champignon-Köpfe,"€ 1,99",Kein Mengenpreis,"gefüllt mit Frischkäsezubereitung, 100 g",2026-02-09,2026-02-14,images_edeka/champignon-k-pfe.jpg
Grüne Peperoni,"€ 1,79",Kein Mengenpreis,"mit Frischkäse gefüllt, pikant, 100 g",2026-02-09,2026-02-14,images_edeka/gr-ne-peperoni.jpg
Rügenwalder Mühle veganer Schinken Spicker Hauchgenuss Mühlen Salami,"€ 1,29",Kein Mengenpreis,verschiedene Sorten oder Abenteuer Mortadella,2026-02-09,2026-02-14,images_edeka/r-genwalder-m-hle-veganer-schinken-spicker-hauchgenuss-m-hlen-salami.jpg
Unbekannt 75,"€ ,00",Kein Mengenpreis,,2026-02-09,2026-02-14,
Original Wagner Die Backfrische Big City Pizza oder Piccolinis,"€ 1,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-02-09,2026-02-14,images_edeka/original-wagner-die-backfrische-big-city-pizza-oder-piccolinis.jpg
Mövenpick Eis,"€ 1,99",Kein Mengenpreis,verschiedene Sorten,2026-02-09,2026-02-14,images_edeka/m-venpick-eis.jpg
Gustavo Gusto Steinofenpizza,"€ 3,69",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren Je nach Verfügbarkeit des Marktes.",2026-02-09,2026-02-14,images_edeka/gustavo-gusto-steinofenpizza.jpg
iglo Fertiggericht,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-02-09,2026-02-14,images_edeka/iglo-fertiggericht.jpg
Langnese Family Eis,"€ 2,79",Kein Mengenpreis,verschiedene Sorten,2026-02-09,2026-02-14,images_edeka/langnese-family-eis.jpg
EDEKA Herzstücke Butter Croissants,"€ 2,99","1 kg = 8,31 €","zum Fertigbacken, 6er, tiefgefroren, 360 g Packung, (1 kg = 8,31 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-butter-croissants.jpg
Frosta Gemüse Pfanne oder -Mix,"€ 1,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-02-09,2026-02-14,images_edeka/frosta-gem-se-pfanne-oder-mix.jpg
followfood MSC Kabeljau Filets,"€ 4,49","1 kg = 22,45 €","2-3 Stück, ohne Haut, praktisch grätenfrei, tiefgefroren, 200 g Packung, (1 kg = 22,45 €)",2026-02-09,2026-02-14,images_edeka/followfood-msc-kabeljau-filets.jpg
Coppenrath Wiese Meister Torte,"€ 5,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-02-09,2026-02-14,images_edeka/coppenrath-wiese-meister-torte.jpg
EDEKA Herzstücke Himbeertorte,"€ 4,49","1 kg = 7,48 €","Sahne-Joghurtfüllung mit dunklem Biskuitboden, tiefgefroren, 600 g Packung, (1 kg = 7,48 €)",2026-02-09,2026-02-14,images_edeka/edeka-herzst-cke-himbeertorte.jpg
Unbekannt 86,"€ ,00",Kein Mengenpreis,,2026-02-09,2026-02-14,
Hamburger Heringstopf,"€ 0,99",Kein Mengenpreis,"klassischer Heringssalat mit Äpfeln und Zwiebeln in einem Joghurt Dressing, 100 g",2026-02-09,2026-02-14,images_edeka/hamburger-heringstopf.jpg
Räucherlachs,"€ 3,99",Kein Mengenpreis,"klassisch geräuchert, 100 g",2026-02-09,2026-02-14,images_edeka/r-ucherlachs.jpg
Regenbogenforelle,"€ 1,39",Kein Mengenpreis,"rotfleischig natur oder mariniert, ideal zum Braten, 100 g",2026-02-09,2026-02-14,images_edeka/regenbogenforelle.jpg
Pangasiusfilet,"€ 1,19",Kein Mengenpreis,"natur, getaut, 100 g",2026-02-09,2026-02-14,images_edeka/pangasiusfilet.jpg
Bauernschätze Schinkenspeck,"€ 1,49",Kein Mengenpreis,100 g,2026-02-09,2026-02-14,images_edeka/bauernsch-tze-schinkenspeck.jpg
Mendel Südtiroler Schinken,"€ 1,79",Kein Mengenpreis,"gekocht, 100 g",2026-02-09,2026-02-14,images_edeka/mendel-s-dtiroler-schinken.jpg
Schwarzgeräucherte Schlegelstücke,"€ 1,99",Kein Mengenpreis,100 g,2026-02-09,2026-02-14,images_edeka/schwarzger-ucherte-schlegelst-cke.jpg
Imperial Virginia-Pfefferschinken,"€ 2,59",Kein Mengenpreis,"geräuchert, 100 g",2026-02-09,2026-02-14,images_edeka/imperial-virginia-pfefferschinken.jpg
Sportsalami,"€ 1,79",Kein Mengenpreis,"mit Truthahnfleisch, mild im Geschmack, 100 g",2026-02-09,2026-02-14,images_edeka/sportsalami.jpg
Bergsalami Salametti,"€ 1,99",Kein Mengenpreis,"voll ausgereift, 100 g",2026-02-09,2026-02-14,images_edeka/bergsalami-salametti.jpg
Geflügelfrikadellen,"€ 1,19",Kein Mengenpreis,"herzhaft, 100 g",2026-02-09,2026-02-14,images_edeka/gefl-gelfrikadellen.jpg
Hähnchenfilet Florida,"€ 1,39",Kein Mengenpreis,"in Apsik, 100 g",2026-02-09,2026-02-14,images_edeka/h-hnchenfilet-florida.jpg
Lasagne Bolognese,"€ 4,29","1 kg = 10,73 €","400 g Schale, (1 kg = 10,73 €)",2026-02-09,2026-02-14,images_edeka/lasagne-bolognese.jpg
Unsere gute Fleischwurst,"€ 0,99",Kein Mengenpreis,"im Ring, 100 g",2026-02-09,2026-02-14,images_edeka/unsere-gute-fleischwurst.jpg
Bierschinken oder Kaiserjagdwurst,"€ 0,99",Kein Mengenpreis,"mit viel magerer Einlage, 100 g",2026-02-09,2026-02-14,images_edeka/bierschinken-oder-kaiserjagdwurst.jpg
Presssack rot weiß,"€ 1,09",Kein Mengenpreis,"gut gewürzt im Magen oder Kunstdarm Je nach Verfügbarkeit des Marktes., 100 g",2026-02-09,2026-02-14,images_edeka/presssack-rot-wei.jpg
Mettwurst,"€ 0,99",Kein Mengenpreis,"grob, herzhaft deftig, 100 g",2026-02-09,2026-02-14,images_edeka/mettwurst.jpg
Heidjer Landleberwurst,"€ 1,49",Kein Mengenpreis,"im Ring, herzhaft deftig, 100 g",2026-02-09,2026-02-14,images_edeka/heidjer-landleberwurst.jpg
Blut- oder Leberwurst,"€ 0,99",Kein Mengenpreis,"nach Hausmacher Art, herzhaft, deftig, 100 g",2026-02-09,2026-02-14,images_edeka/blut-oder-leberwurst.jpg
Vesperbauch,"€ 1,99",Kein Mengenpreis,"vom Schwein, mit Bacongewürz, gegart, 100 g",2026-02-09,2026-02-14,images_edeka/vesperbauch.jpg
Wiltmann Bio Salami,"€ 2,22","1 kg = 27,75 €","verschiedene Sorten, 80 g Packung, (1 kg = 27,75 €)",2026-02-09,2026-02-14,images_edeka/wiltmann-bio-salami.jpg
Wiesbauer Aufschnitt,"€ 1,49","1 kg = 18,63 €","verschiedene Sorten, 80 g Packung, (1 kg = 18,63 €)",2026-02-09,2026-02-14,images_edeka/wiesbauer-aufschnitt.jpg
Gugel mild würzige Lyoner,"€ 1,99","1 kg = 6,63 €","300 g Packung, (1 kg = 6,63 €)",2026-02-09,2026-02-14,images_edeka/gugel-mild-w-rzige-lyoner.jpg
Gulasch gemischt,"€ 1,11",Kein Mengenpreis,"Schwein und Rind, 100 g",2026-02-09,2026-02-14,images_edeka/gulasch-gemischt.jpg
Schweinekammbraten,"€ 0,66",Kein Mengenpreis,"ohne Knochen, 100 g",2026-02-09,2026-02-14,images_edeka/schweinekammbraten.jpg
Deutscher Schmorbraten,"€ 1,69",Kein Mengenpreis,"aus dem Rinderbug, vom Jungbullen, 100 g",2026-02-09,2026-02-14,images_edeka/deutscher-schmorbraten.jpg
Schweinekammsteaks,"€ 0,79",Kein Mengenpreis,"natur auch in gewürzt erhältlich, 100 g = 0,89 €, 100 g",2026-02-09,2026-02-14,images_edeka/schweinekammsteaks.jpg
Putenschnitzel -brustbraten -steaks oder -gulasch,"€ 1,19",Kein Mengenpreis,"auch in gewürzt erhältlich, 100 g = 1,29 €, 100 g",2026-02-09,2026-02-14,images_edeka/putenschnitzel-brustbraten-steaks-oder-gulasch.jpg
Kalbsleber,"€ 1,88",Kein Mengenpreis,"in Scheiben, 100 g",2026-02-09,2026-02-14,images_edeka/kalbsleber.jpg
Halbe Schweine,"€ 0,33",Kein Mengenpreis,"wie gewachsen, auf Wunsch grob zerlegt, Hkl. E, 100 g",2026-02-09,2026-02-14,images_edeka/halbe-schweine.jpg
Schweineschlegel,"€ 0,59",Kein Mengenpreis,"zugeschnitten, ohne Oberschale, ohne Knochen oder Schweinerücken mit Speck und Schwarte, 100 g",2026-02-09,2026-02-14,images_edeka/schweineschlegel.jpg
Schweinebauch,"€ 0,55",Kein Mengenpreis,"mit Rippen, zugeschnitten, 100 g",2026-02-09,2026-02-14,images_edeka/schweinebauch.jpg
Schweineleber -nieren oder -herzen,"€ 0,33",Kein Mengenpreis,100 g,2026-02-09,2026-02-14,images_edeka/schweineleber-nieren-oder-herzen.jpg
Schweinezunge,"€ 0,59",Kein Mengenpreis,"frisch, 100 g",2026-02-09,2026-02-14,images_edeka/schweinezunge.jpg
Schweineköpfe,"€ 0,39",Kein Mengenpreis,"frisch, ohne Backen, 100 g",2026-02-09,2026-02-14,images_edeka/schweinek-pfe.jpg
Rinderhackfleisch,"€ 1,44",Kein Mengenpreis,100 g,2026-02-09,2026-02-14,images_edeka/rinderhackfleisch.jpg
Bauernschätze Vordereisbein,"€ 0,59",Kein Mengenpreis,"frisch, 100 g",2026-02-09,2026-02-14,images_edeka/bauernsch-tze-vordereisbein.jpg
Bauernschätze Putenspieße,"€ 1,89",Kein Mengenpreis,"verschieden gewürzt, 100 g",2026-02-09,2026-02-14,images_edeka/bauernsch-tze-putenspie-e.jpg
Kohlroulade,"€ 6,99","1 kg = 11,65 €","verschiedene Gewichte, auch in Bedienung erhältlich, z. B. 600 g SB-Packung, (1 kg = 11,65 €)",2026-02-09,2026-02-14,images_edeka/kohlroulade.jpg
Rinderbeinscheiben,"€ 6,29","1 kg = 12,58 €","verschiedene Gewichte, z. B. 500 g SB-Packung, (1 kg = 12,58 €)",2026-02-09,2026-02-14,images_edeka/rinderbeinscheiben.jpg
Frische deutsche Ente,"€ 8,99",Kein Mengenpreis,"Hkl. A, ca. 2 kg SB-Packung, 1 kg",2026-02-09,2026-02-14,images_edeka/frische-deutsche-ente.jpg
Freixenet Premium Sparkling Wine,"€ 3,99","1 l = 5,32 €","verschiedene Sorten, 0,75 Liter Flasche, (1 l = 5,32 €)",2026-02-09,2026-02-14,images_edeka/freixenet-premium-sparkling-wine.jpg
Doppio Passo Primitivo Bio Wein,"€ 4,99","1 l = 6,65 €","verschiedene Sorten oder Alkoholfrei aus Italien Ausgenommen Doppio Passo Primitivo di Manduria Riserva DOC und Appassimento., 0,75 Liter Flasche, (1 l = 6,65 €)",2026-02-09,2026-02-14,images_edeka/doppio-passo-primitivo-bio-wein.jpg
Rotkäppchen Sekt Fruchtsecco oder Alkoholfrei,"€ 1,11","1 l = 5,55 €","verschiedene Sorten, 0,2 Liter Piccolo-Flasche, (1 l = 5,55 €)",2026-02-09,2026-02-14,images_edeka/rotk-ppchen-sekt-fruchtsecco-oder-alkoholfrei.jpg
