Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Riesengarnelen,Keine Marke,"€ 3,29",,"1 kg = 32,90 €","getaut, mit Schale, ohne Kopf, natur, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/riesengarnelen.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Gutfried Geflügel-Fleischwurst,Keine Marke,"€ 2,79",,Kein Mengenpreis,"fein würzig, verschiedene Sorten Je nach Verfügbarkeit des Marktes.",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/gutfried-gefl-gel-fleischwurst.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_ultra_processed"
Bauernschätze Brotzeitwürstchen,Keine Marke,"€ 1,39",,"1 kg = 13,90 €","deftig, herzhaft gewürzt, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/bauernsch-tze-brotzeitw-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food"
Bauernschätze Mettwurst Braunschweiger Art,Keine Marke,"€ 1,19",,"1 kg = 11,90 €","fein zerkleinert oder Appetiter, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/bauernsch-tze-mettwurst-braunschweiger-art.jpg,"cat_fleisch_wurst,sub_wurst"
Krustenschinken,Keine Marke,"€ 1,79",,"1 kg = 17,90 €","heißgegart, saftige Scheiben, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/krustenschinken.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed,tag_whole_food"
Hähnchengrillbrust,Keine Marke,"€ 1,79",,"1 kg = 17,90 €","gegart, saftig, magere Scheiben, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/h-hnchengrillbrust.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,tag_proteinreich,tag_whole_food"
Aktiv Salami,Keine Marke,"€ 1,79",,"1 kg = 17,90 €","für die bewusste Ernährung, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/aktiv-salami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_wurst,tag_ultra_processed,tag_whole_food"
Bauernsalami,Keine Marke,"€ 1,69",,"1 kg = 16,90 €","herzhaft gewürzt, ca. 200 g Stücke, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/bauernsalami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food"
Zwiebelmettwurst Vesperwürstchen,Keine Marke,"€ 1,39",,"1 kg = 13,90 €","herzhaft deftig, mit kräftiger Zwiebelnote, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/zwiebelmettwurst-vesperw-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_wurst,tag_ultra_processed,tag_whole_food"
Original italienische Mortadella,Keine Marke,"€ 1,29",,"1 kg = 12,90 €","mit Pistazien verfeinert, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/original-italienische-mortadella.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_gemuese,tag_high_protein,tag_proteinreich,tag_ultra_processed"
Mini Salami Brezen,Keine Marke,"€ 2,99",,"1 kg = 29,90 €","mild, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/mini-salami-brezen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_wurst,tag_ultra_processed,tag_whole_food"
Frischwurstsaufschnitt,Keine Marke,"€ 0,99",,"1 kg = 9,90 €","reich sortiert, mit Bierschinken, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/frischwurstsaufschnitt.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
Rot- oder Weißgelegter,Keine Marke,"€ 1,29",,"1 kg = 12,90 €","nach überlieferter Rezeptur, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/rot-oder-wei-gelegter.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food"
Delikatess Leberwurst,Keine Marke,"€ 1,19",,"1 kg = 11,90 €","fein, im Fettdarm, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/delikatess-leberwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food"
Weißwürstchen,Keine Marke,"€ 0,89",,"1 kg = 8,90 €","milder Geschmack, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/wei-w-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food"
Bayerischer Speck-Kartoffelsalat,Keine Marke,"€ 0,69",,"1 kg = 6,90 €","feine Kartoffelscheiben, mild geräucherter Speck und Zwiebeln, in einer fein würzigen Vinaigrette, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/bayerischer-speck-kartoffelsalat.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,sub_salate,tag_ultra_processed,tag_whole_food"
Teewurst,Rügenwalder Mühle,"€ 1,29",,"1 kg = 10,32 €","verschiedene Sorten, 125 g Becher, (1 kg = 10,32 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/r-genwalder-m-hle-teewurst.jpg,"cat_fleisch_wurst,diet_vegan,sub_fleischersatz,sub_wurst,tag_ultra_processed"
Pommersche Leberwurst,Rügenwalder Mühle,"€ 1,29",,"1 kg = 10,32 €","verschiedene Sorten, 125 g Becher, (1 kg = 10,32 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/r-genwalder-m-hle-pommersche-leberwurst.jpg,"cat_fleisch_wurst,sub_fleischersatz,sub_schwein,sub_wurst,tag_ultra_processed"
Schweinekammbraten,Keine Marke,"€ 5,90",,"1 kg = 59,00 €","ohne Knochen, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/schweinekammbraten.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_schwein,tag_whole_food"
Gulasch gemischt,Keine Marke,"€ 1,11",,"1 kg = 11,10 €","Schwein und Rind, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/gulasch-gemischt.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,sub_schwein,tag_ultra_processed,tag_whole_food"
Hähnchenoberschenkel Pollo Fino,Keine Marke,"€ 0,99",,"1 kg = 10,90 €","entbeint auch in gewürzt erhältlich, 100 g = 1,09 €, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/h-hnchenoberschenkel-pollo-fino.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Rinderbrust,Keine Marke,"€ 1,59",,"1 kg = 15,90 €","ohne Knochen oder Rinderwade vom Jungbullen, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/rinderbrust.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Schweinekammsteaks,Keine Marke,"€ 0,79",,"1 kg = 8,90 €","natur auch in gewürzt erhältlich, 100 g = 0,89 €, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/schweinekammsteaks.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,tag_whole_food"
Schweineroulade oder -schnitzel,Keine Marke,"€ 0,79",,"1 kg = 7,90 €","aus der Oberschale, natur, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/schweineroulade-oder-schnitzel.jpg,"cat_fleisch_wurst,sub_schwein,tag_ultra_processed,tag_whole_food"
