Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Norwegischer Räucherlachs,Nautica,"5,79 €",,1 kg = 19.30,,Nein,,,,images_lidl/lidl_offer_072.jpg
Überraschung Classic-Ei,Kinder,"4,19 €",,1 kg = 52.38,,Nein,,,,images_lidl/lidl_offer_073.jpg
Schokolade Großtafel,Milka,"3,29 €",,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_074.jpg
Eiscreme,Langnese Cremissimo,"1,99 €",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_075.jpg
Milchschnitte/ Pingui,Kinder,"2,19 €",,1 kg = 11.17/12.17,,Nein,,,,images_lidl/lidl_offer_076.jpg
Der Große Bauer Joghurt,Bauer,"0,49 €",,"UVP
0,99 €",,Nein,,,,images_lidl/lidl_offer_077.jpg
Ziegenkäse/ -Frischkäse,Altenburger,"2,29 €",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_078.jpg
Waschmittel,Dash,"8,49 €",,"UVP
14,49 €",,Nein,,,,images_lidl/lidl_offer_079.jpg
Torte,Dovgan,"2,29 €",,"UVP
3,49 €",,Nein,,,,images_lidl/lidl_offer_080.jpg
Wäscheparfüm XL,Lenor,"7,99 €",,"UVP
11,99 €",,Nein,,,,images_lidl/lidl_offer_081.jpg
Zarte Filets vom Hering,Appel,"1,11 €",,"2,29 €",,Nein,,,,images_lidl/lidl_offer_082.jpg
"4-Käse-Mix XXL, gerieben",Milbona,"2,99 €",,1 kg = 7.48,,Nein,,,,images_lidl/lidl_offer_083.jpg
Sensation White,Colgate,"4,99 €",,"UVP
7,49 €",,Nein,,,,images_lidl/lidl_offer_084.jpg
Fischstäbchen XXL,Nordsee,"4,49 €",,"UVP
7,29 €",,Nein,,,,images_lidl/lidl_offer_085.jpg
Country,Kinder,"3,29 €",,1 kg = 14.00,,Nein,,,,images_lidl/lidl_offer_086.jpg
Schokolade,Kinder,"1,69 €",,1 kg = 13.52,,Nein,,,,images_lidl/lidl_offer_087.jpg
Fruchtzwerge,Danone,"2,99 €",,1 kg = 4.98,,Nein,,,,images_lidl/lidl_offer_088.jpg
Schinken XXL,Herta,"1,99 €",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_089.jpg
Extra Clean Zahnbürste,Colgate,"2,99 €",,,,Nein,,,,images_lidl/lidl_offer_090.jpg
Nutella,Nutella,"3,79 €",,1 kg = 7.58,,Nein,,,,images_lidl/lidl_offer_091.jpg
Küchentücher,Floraly's,"3,99 €",,,,Nein,,,,images_lidl/lidl_offer_092.jpg
Joghurt XXL,Nestlé,"3,99 €",,1 kg = 5.54,,Nein,,,,images_lidl/lidl_offer_093.jpg
Milchdrink,Milbona,"0,89 €",,1 l = 1.78,,Nein,,,,images_lidl/lidl_offer_094.jpg
Lockerer Softpudding,Milbona,"0,49 €",,1 kg = 2.45,,Nein,,,,images_lidl/lidl_offer_095.jpg
Milchreis,Milbona,"0,49 €",,1 kg = 2.45,,Nein,,,,images_lidl/lidl_offer_096.jpg
High Protein Quarkriegel,Milbona,"0,79 €",,1 kg = 19.75,,Nein,,,,images_lidl/lidl_offer_097.jpg
Crème Fraîche,Milbona,"0,99 €",,1 kg = 4.95,,Nein,,,,images_lidl/lidl_offer_098.jpg
Schlagsahne,Milbona,"0,89 €",,1 kg = 4.45,,Nein,,,,images_lidl/lidl_offer_099.jpg
Saure Sahne,Milbona,"0,59 €",,1 kg = 2.95,,Nein,,,,images_lidl/lidl_offer_100.jpg
High Protein Pudding,Milbona,"0,99 €",,1 kg = 4.95,,Nein,,,,images_lidl/lidl_offer_101.jpg
Sprühfertige Sahne,Milbona,"2,19 €",,1 kg = 8.59/8.76,,Nein,,,,images_lidl/lidl_offer_102.jpg
Haltbare Kochsahne,Milbona,"0,59 €",,1 kg = 2.95,,Nein,,,,images_lidl/lidl_offer_103.jpg
Laktosefreie H-Vollmilch,Milbona,"1,15 €",,,,Nein,,,,images_lidl/lidl_offer_104.jpg
Cool Snack Kakaoschnitte,Milbona,"1,99 €",,1 kg = 8.29,,Nein,,,,images_lidl/lidl_offer_105.jpg
Kondensmilch,Milbona,"0,89 €",,1 kg = 2.62,,Nein,,,,images_lidl/lidl_offer_106.jpg
