Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Smart Tools,Keine Marke,"€ 7,99","€ 12,99","pro Einheit = 7,99","Reinigungstücher, 150 Stück: entfernt mühelos Öl, Fett, Tinte, Farbe, Dichtungsmittel, 2 Magnetstäbe, flexibler Greiferund Teleskopinspektionsspiegel (Ausziehbar bis zu 91 cm), Innensechskantschlüssel-Set mit Sechskant- Kugelkopf: Größen 1,27 / 1,5 / 2 / 2,5 / 3 / 3,5 / 4 / 4,5 / 5 / 5,5 / 6 / 8 / 10",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_237.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000237,obs_0000017563|obs_0000018814|obs_0000017629,
Oktopus-Arme,Keine Marke,"€ 7,99","€ 9,99","1 kg = 39,95","gekocht, küchenfertig",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_238.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000238,,
Kingfish,Keine Marke,"€ 1,99","€ 3,29","1 kg = 19,90","küchenfertig, mit Kopf, aus nachhaltiger Aquakultur, ca. 750 g",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_239.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000239,,
Regenbogen-Forelle,Keine Marke,"€ 1,19",,"1 kg = 11,90","küchenfertig, ausgenommen, ca. 500 g",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_240.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000240,obs_0000020898|obs_0000007046|obs_0000007610|obs_0000020079|obs_0000034141|obs_0000009595|obs_0000025693|obs_0000010047,obs_0000013360|obs_0000014970
Bio Lachsfilet-Portion,Keine Marke,"€ 4,99","€ 6,99","1 kg = 24,95","mit Haut, praktisch grätenfrei",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_241.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_whole_food",,,ref_000241,obs_0000023816|obs_0000024237|obs_0000033948|obs_0000027591|obs_0000023815|obs_0000023817|obs_0000024235|obs_0000024238|obs_0000008391|obs_0000034280|obs_0000010175|obs_0000028347|obs_0000014208|obs_0000031809,obs_0000000001|obs_0000018244|obs_0000018881|obs_0000003705|obs_0000023816|obs_0000023817|obs_0000024237|obs_0000024238
Dorade-Royal,Keine Marke,"€ 1,29","€ 1,69","1 kg = 12,90","küchenfertig, ausgenommen, ca. 400 g",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_242.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000242,obs_0000015374|obs_0000011023|obs_0000008996|obs_0000011870|obs_0000023721|obs_0000024139|obs_0000005405|obs_0000006853,obs_0000015374|obs_0000011023|obs_0000008996|obs_0000028219|obs_0000010182|obs_0000011870
Thunfischsteaks,Keine Marke,"€ 4,49","€ 6,99","1 kg = 22,45","mariniert, ohne Haut, praktisch grätenfrei",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_243.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-T121100,ref_000243,,
Crevettes roses,Keine Marke,"€ 2,49","€ 2,99","1 kg = 9,96","mit Kopf und Schale, vorgesalzen und gekocht",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_244.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",,,ref_000244,obs_0000008355|obs_0000011021|obs_0000012303,obs_0000008355|obs_0000011021|obs_0000012303
Sushibox Osterei,Keine Marke,"€ 5,99","€ 7,99","1 kg = 14,09","mit Essstäbchen, Ingwer, Sojasauce, Wasabicreme",Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_245.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000245,obs_0000013810,
Meerrettich,Schamel,"€ 1,49","€ 2,39","1 kg = 7,84",versch. Sorten,Nein,"Wochenendangebote gültig von Mittwoch, 01.04.26 - Samstag, 04.04.26",01.04.26,04.04.26,../images/netto/netto_offer_246.jpg,"cat_molkerei_kaese,diet_vegetarian,tag_ultra_processed",,BLS-G630100,ref_000246,obs_0000009351|obs_0000015845|obs_0000022850|obs_0000023016,obs_0000009351
