Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market
Tulpenbund Kunterbunt,Keine Marke,"€ 5,00",,Kein Mengenpreis,"versch. Farben, je Bund",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_286.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Alpenveilchen Djix,Keine Marke,"€ 5,55",,Kein Mengenpreis,"in hochwertiger Keramik, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_285.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Bastelartikel,Kinder,"€ 2,99",,Kein Mengenpreis,"Chenilledraht Bastelset Perlen Mix versch. Ausführungen Hexentreppen Bastelset »Charming Friends«, je Pckg",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_284.jpg,cat_non_food,bamberg
VIVESS Kniestrümpfe oder Feinstrumpfhosen,Keine Marke,"€ 3,99",,Kein Mengenpreis,"versch. Größen und Ausführungen, Pckg",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_283.jpg,cat_non_food,bamberg
Kreative Kinderbücher,Keine Marke,"€ 2,99",,Kein Mengenpreis,"rund um Ostern, St",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_282.jpg,cat_non_food,bamberg
Hornveilchen Trio,Keine Marke,"€ 1,49",,Kein Mengenpreis,"klassisch schön, drei versch. Farben im Topf, je Topf",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_272.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Blumen strauß Pink Dream,Keine Marke,"€ 7,99",,Kein Mengenpreis,"versch. Zusammen­stellungen, mit Flora­life Schnitt­blumen­nahrung, je Bund",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_281.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Tulpenstrauß Frühlingswind,Keine Marke,"€ 5,79",,Kein Mengenpreis,"versch. Farben, je Bund",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_279.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg
Blumenstrauß Oh Lady,Keine Marke,"€ 15,00",,Kein Mengenpreis,"mit Floralife Schnittblumennahrung, je Strauß",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_278.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Premium Rosen,Keine Marke,"€ 3,99",,Kein Mengenpreis,"versch. Farben, mit Floralife Schnittblumennahrung, je Bund",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_277.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
