Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Rohschinkenspezialitäten,,1.19 €,,14.88 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_045.png
Schinkenwürfel,,1.99 €,statt 2.39,7.96 - 13.27 / kg,versch. Sorten Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_046.png
Salami-Sortiment,,1.29 €,statt 2.29,16.13 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_047.png
Zwiebeln,,2.49 €,,0.50 / kg,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_048.png
Speisekartoffeln,,3.99 €,,0.40 / kg,Deutschland,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_049.png
Mini-Romana Salat,,0.99 €,,,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_050.png
Champignon braun,,1.79 €,,4.48 / kg,"Polen, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_051.png
Suppengemüse,,1.11 €,statt 1.29,2.22 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_052.png
Mini Cherryrispentomaten,,2.49 €,,12.45 / kg,"Niederlande, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_053.png
Möhren,,1.11 €,,0.56 / kg,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_054.png
Kiwi grün,,0.29 €,,,"Italien/Griechenland, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_055.png
Mandarinen,,2.49 €,statt 2.99,,"Spanien/Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_056.png
Erdbeeren,,1.99 €,statt 2.49,7.96 / kg,"Griechenland/Ägypten, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_057.png
Chiquita Bananen,,1.99 €,,,"Costa Rica, Ecuador",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_058.png
Trauben hell,,1.99 €,,3.98 / kg,"Peru/Brasilien, Kl. I, kernlos",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_059.png
Chiquita Mango,,0.79 €,,,"Brasilien, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_060.png
Pomelo Sweetie,,0.99 €,,,"Israel, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_061.png
