Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Actimel Drink,Danone,"€ 2,22",,"1 kg = 2,78 €","versch. Sorten, je 8 x 100-g-Fl.-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_052.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",bamberg,,ref_000146,obs_0000008468|obs_0000029179|obs_0000006242|obs_0000015930|obs_0000011326|obs_0000009288|obs_0000008828|obs_0000017094|obs_0000014179|obs_0000025714|obs_0000031447|obs_0000010065|obs_0000011756|obs_0000005322|obs_0000005887|obs_0000028606|obs_0000024548,obs_0000011326|obs_0000009288|obs_0000006242|obs_0000008828|obs_0000005322|obs_0000005887|obs_0000008468|obs_0000014179|obs_0000029179
Like vegane Fleischalternative,Keine Marke,"€ 2,49",,"1 kg = 13,83 €","versch. Sorten, je 180-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_051.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz",bamberg,,ref_000147,obs_0000027579|obs_0000028927|obs_0000029448|obs_0000030003|obs_0000027577|obs_0000028271|obs_0000026452,obs_0000026452|obs_0000027579|obs_0000028927|obs_0000029448|obs_0000030003
Emmi Caff Latte,Keine Marke,"€ 1,39",,"1 l = 6,04 €","versch. Sorten, koffeinhaltig, je 230-ml-Becher",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_050.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000148,obs_0000028934|obs_0000011757|obs_0000013468|obs_0000032226|obs_0000012737|obs_0000019267|obs_0000020086|obs_0000023798|obs_0000024800|obs_0000025605,
Landkäse sanft-aromatisch,Landliebe,"€ 1,49",,"1 kg = 9,93 €","Schnittkäse, 48% Fett i.Tr., je 150-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_049.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",bamberg,,ref_000149,obs_0000026853|obs_0000012899|obs_0000026870|obs_0000009204,obs_0000026853
Alpenhain Camembert CremeNatur oder Obazda klassisch,Keine Marke,"€ 1,49",,"1 kg = 11,92 €",je 125-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_048.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte",bamberg,,ref_000150,obs_0000028578|obs_0000010072|obs_0000010348|obs_0000011768|obs_0000013471|obs_0000025109|obs_0000026893|obs_0000031745|obs_0000032268,obs_0000028578
Rügenwalder Vegane Mühlen Salami oder Veganer Schinken Spicker Mortadella,Keine Marke,"€ 1,11",,"1 kg = 13,88 €",je 80-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_047.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,sub_schwein,sub_wurst,tag_ultra_processed",bamberg,,ref_000151,obs_0000027572|obs_0000028926|obs_0000029559|obs_0000030000|obs_0000004990|obs_0000005728|obs_0000007636|obs_0000012527|obs_0000026596|obs_0000008061|obs_0000013883,obs_0000027572|obs_0000028926|obs_0000029559|obs_0000030000
K rg rden,Arla,"€ 2,29",,"1 kg = 6,54 €","versch. Sorten, je 350-g-Becher",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_053.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_high_protein,tag_ultra_processed",bamberg,,ref_000152,obs_0000032045|obs_0000001798|obs_0000000818|obs_0000006235|obs_0000007004,obs_0000032045
Exquisa Der Sahnige,Keine Marke,"€ 1,11",,"1 kg = 5,55 €","65% Fett i.Tr., je 200-g-Becher",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_046.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed,tag_whole_food",bamberg,,ref_000153,obs_0000029663|obs_0000012844|obs_0000032056|obs_0000000086,obs_0000029663
Eiersalat,Keine Marke,"€ 1,49",,Kein Mengenpreis,je 100-g-,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_044.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",bamberg,BLS-G103100,ref_000154,obs_0000028064|obs_0000017445,obs_0000007987|obs_0000027837|obs_0000029983
Bille Geflügel Salami,Keine Marke,"€ 1,79",,Kein Mengenpreis,"versch. Sorten, je 100-g-",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_043.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000155,obs_0000028922|obs_0000018072|obs_0000002071|obs_0000002397|obs_0000002743|obs_0000003025|obs_0000003093|obs_0000005567|obs_0000007433|obs_0000007485|obs_0000007871|obs_0000009680|obs_0000009762|obs_0000010456|obs_0000013457|obs_0000014853|obs_0000015127|obs_0000015280|obs_0000015709|obs_0000015900|obs_0000017555|obs_0000018191|obs_0000018932|obs_0000019751|obs_0000021730|obs_0000023482|obs_0000024061|obs_0000025025|obs_0000026400|obs_0000031640,obs_0000028922|obs_0000029990
