Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Waffeleisen,Silvercrest,"€ 12,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_226.jpg,cat_non_food,BLS-D621200,ref_000226,obs_0000002278|obs_0000004375|obs_0000031009|obs_0000004802|obs_0000003146|obs_0000003948|obs_0000024529|obs_0000030781|obs_0000021654|obs_0000018818|obs_0000023305|obs_0000019637|obs_0000018085|obs_0000018327|obs_0000020642|obs_0000016561|obs_0000009753,obs_0000002278|obs_0000004375|obs_0000031009|obs_0000004802|obs_0000003146|obs_0000003948|obs_0000024529
Gusseisen-Topf,Silvercrest,"€ 29,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,,cat_non_food,,ref_000227,obs_0000017480|obs_0000017695|obs_0000012418|obs_0000012442|obs_0000008482,obs_0000017480|obs_0000017695
Gusseisen-Topf-Set,SilverCrest,"€ 49,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_228.jpg,cat_non_food,,ref_000228,obs_0000014916|obs_0000017480|obs_0000017695|obs_0000017928|obs_0000015943|obs_0000013698,obs_0000017480|obs_0000017695
Gusseisen-Servierpfanne,Silvercrest,"€ 29,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_229.jpg,cat_non_food,,ref_000229,obs_0000017899|obs_0000016510|obs_0000012440|obs_0000012452,obs_0000016510|obs_0000017899
Gusseisen-Grillpfanne,Silvercrest,"€ 9,99",,"14,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_230.jpg,cat_non_food,,ref_000230,,
Gusseisen-Bräter,Silvercrest,"€ 29,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_231.jpg,cat_non_food,,ref_000231,obs_0000024000|obs_0000017113|obs_0000008389,obs_0000030751|obs_0000017113|obs_0000024000
Servierschale Snackschalen-Set,Silvercrest,"€ 4,99",,"7,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_232.jpg,cat_non_food,,ref_000232,,
Smart-Tamping-Espressomaschine,Silvercrest,"€ 249,00",,"299,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_233.jpg,cat_non_food,,ref_000233,obs_0000022903|obs_0000022481|obs_0000002569,
Kaffeevollautomat,Krups,"€ 299,00",,"UVP
819,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_234.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000234,obs_0000022485|obs_0000022907|obs_0000021660|obs_0000022060|obs_0000023998|obs_0000016918|obs_0000020464|obs_0000017780|obs_0000020117|obs_0000016465|obs_0000015444|obs_0000020320|obs_0000019298|obs_0000016359|obs_0000021226|obs_0000019114|obs_0000019933|obs_0000023389|obs_0000023611|obs_0000009660|obs_0000014531|obs_0000009992|obs_0000013685|obs_0000016582|obs_0000023409|obs_0000018039|obs_0000016346,obs_0000021660|obs_0000022060|obs_0000023998|obs_0000022485|obs_0000022907
Pfannen-Set,Tefal,"€ 39,99",,"UVP
94,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_235.jpg,"cat_non_food,diet_lactose_free,diet_vegan",,ref_000235,obs_0000022906|obs_0000022480|obs_0000008621|obs_0000009104,
Kaffeemaschine,Philips,"€ 54,99",,"99,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_236.jpg,cat_non_food,,ref_000236,obs_0000022908|obs_0000022483|obs_0000022057|obs_0000022064|obs_0000015951|obs_0000017219|obs_0000021656|obs_0000023878|obs_0000019535|obs_0000015446|obs_0000023627|obs_0000017559|obs_0000017118|obs_0000018716|obs_0000020457|obs_0000015955|obs_0000016665|obs_0000017354|obs_0000014072|obs_0000022922|obs_0000022498|obs_0000019060|obs_0000016516|obs_0000017140|obs_0000020741|obs_0000019879|obs_0000020466|obs_0000023678|obs_0000017772,obs_0000022057|obs_0000022064|obs_0000022091|obs_0000015951|obs_0000017219|obs_0000022908|obs_0000022483
Nicer Dicer Smart-Set,Genius,"€ 24,99",,"UVP
89,95 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_237.jpg,cat_non_food,,ref_000237,obs_0000022183|obs_0000008898|obs_0000009362,obs_0000022183
