Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
K-GOLD EDITION,Antipasti,"€ 1,49","€ 1,99","1 kg = 9,94",versch. Sorten mit Frischkäsecreme gefüllte Paprika oder Peperoni oder getrocknete Tomaten,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_211.jpg,"cat_grundnahrung,sub_frisches_gemuese,tag_ultra_processed",,BLS-X572212,ref_000011,obs_0000028103|obs_0000023208|obs_0000007945|obs_0000008008|obs_0000025005|obs_0000027889|obs_0000011506|obs_0000007946|obs_0000023214|obs_0000025834|obs_0000008596|obs_0000031514|obs_0000015834|obs_0000030651|obs_0000006188|obs_0000032508|obs_0000002173,obs_0000028103|obs_0000023208|obs_0000007945|obs_0000008008|obs_0000025005|obs_0000027889|obs_0000011506
LILLET,Aperitif-Drink,"€ 6,99","€ 8,99","1 l = 11,65","Berry, White Peach oder Grapfruit, 10,3 Vol. %",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_354.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000012,obs_0000014632|obs_0000031400|obs_0000026421|obs_0000011143,obs_0000014632
ODENWALD,Apfel-Fruchtmus,"€ 1,59","€ 2,39","1 kg = 4,48","versch. Sorten, z. B. mit Aprikose oder Mango",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_218.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000013,obs_0000010667,obs_0000010667|obs_0000005372
NEUHÖFER,Apfelsaft,"€ 1,19","€ 1,55","pro Einheit = 1,19",klar oder naturtrüb (+ 0.15 Pfand),Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_342.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F110600,ref_000014,obs_0000031745|obs_0000027820|obs_0000031216|obs_0000009982|obs_0000012415|obs_0000003589|obs_0000008232|obs_0000027495|obs_0000029410|obs_0000034232|obs_0000016646|obs_0000013831|obs_0000010908,obs_0000031745|obs_0000027820|obs_0000031216|obs_0000009982|obs_0000012415
SWITZERLAND,Appenzeller kräftig-würzig,"€ 2,29","€ 2,99","pro Einheit = 2,29","schweiz. Schnittkäse aus Rohmilch, 4 - 5 Monate gereift, mit Kräutersulz behandelt, 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_181.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000015,obs_0000012811|obs_0000011051|obs_0000013070|obs_0000015395|obs_0000015815|obs_0000011483|obs_0000011897|obs_0000009221|obs_0000008102|obs_0000028620|obs_0000028506|obs_0000009701|obs_0000031242|obs_0000034288,obs_0000012811|obs_0000011051
KIDLAND,Babypuppe,"€ 5,99","€ 7,99","pro Einheit = 5,99","Zum Liebhaben, Kuscheln und Einschlafen Anschmiegsamer weicher Körper Strampler und abnehmbares Mützchen Höhe ca. 30 cm Für Kinder ab 1 Jahr 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_552.jpg,cat_non_food,,,ref_000016,,
ERICH BARTH,Bacchus Altmannsdorfer Sonnenwinkel,"€ 4,79","€ 5,99","pro Einheit = 4,79","Qualitätswein, Franken, leicht, fruchtig, blumig, ausgeprägtes Beerenaroma, passt zu Brotzeit, mildem Käse, Asia-Küche",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_375.jpg,"cat_getraenke,diet_vegan,diet_vegetarian",,,ref_000017,obs_0000015495|obs_0000011987|obs_0000008993,obs_0000015495|obs_0000011987
GUTHAUS,Backerbsen,"€ 0,69","€ 0,89","1 kg = 3,45",die ideale Suppeneinlage,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_278.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,BLS-D011000,ref_000018,obs_0000015435|obs_0000015873|obs_0000034298,obs_0000015873|obs_0000034298|obs_0000015435
K-CLASSIC,Backofen-Snacks,"€ 1,69","€ 2,19","1 kg = 6,76",versch. Sorten,Nein,Dieses Angebot findest du vom 30.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-30,2026-04-01,../images/kaufland/kaufland_offer_642.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000019,obs_0000014507|obs_0000012634|obs_0000008760,obs_0000014507|obs_0000012634|obs_0000008760
TANNENHOF,Backschinken,"€ 1,79",,"pro Einheit = 1,79",verfeinert mit Bärlauch oder Spargel,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_132.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-W443000,ref_000020,obs_0000008963|obs_0000010606|obs_0000012785|obs_0000011836,obs_0000008963|obs_0000010606|obs_0000012785|obs_0000011836
TULIP,Bacon,"€ 1,59","€ 1,99","1 kg = 12,72",in Scheiben,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_114.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000021,obs_0000014146|obs_0000012775|obs_0000011008|obs_0000026814|obs_0000001018|obs_0000001019|obs_0000015764|obs_0000002453|obs_0000013086|obs_0000011438|obs_0000025264|obs_0000032047|obs_0000014386|obs_0000010432|obs_0000013513|obs_0000014922|obs_0000019406|obs_0000001491|obs_0000013651|obs_0000024661|obs_0000028908|obs_0000003186|obs_0000007859|obs_0000023768|obs_0000032484|obs_0000024192|obs_0000025976|obs_0000030978|obs_0000007431|obs_0000029467|obs_0000007234|obs_0000029939,obs_0000032047|obs_0000026814|obs_0000014146|obs_0000012775|obs_0000001018|obs_0000001019|obs_0000011008
WILSON,Basketball MVP,"€ 14,99","€ 19,99","pro Einheit = 14,99",Geeignet als Spiel- und Trainingsball Strukturierte Oberfläche für mehr Ballkontrolle Offizielle Spielballgröße 7 (ca. Ø 24 cm) Gewicht ca. 600 g,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_547.jpg,cat_non_food,,,ref_000022,,
NEWCENTIAL,Basketballkorb,"€ 39,99","€ 49,99","pro Einheit = 39,99",Zur Verwendung im Außenbereich Schnell und einfach aufgebaut Standfuß mit Sand oder Wasser befüllbar Mit Rollen für einen einfachen Transport Höhenverstellbar von ca. 170 bis 210 cm Brett ca. 71 x 45 cm Ring ca. Ø 43 cm Größe ca. B 55 x H 210 x T 75 cm Für Kinder ab 6 Jahren 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_549.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000023,,
MANGAROCA,Batida de C co,"€ 7,99","€ 9,99","1 l = 11,42","Likör mit Kokosnuss-Geschmack, 16 Vol. %",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_351.jpg,"cat_getraenke,diet_vegan,diet_vegetarian",,,ref_000024,obs_0000016133,obs_0000030761|obs_0000016133
Keine Marke,Bauernbrötchen,"€ 0,39",,"pro Einheit = 0,39","mit knuspriger Kruste und saftiger Krume, mit Mehl aus dtsch. Anbau und Natursauerteig",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_264.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-B531000,ref_000025,obs_0000011524|obs_0000014151|obs_0000010693|obs_0000012652|obs_0000008399|obs_0000014549,obs_0000011524|obs_0000014151
BERGADER,Bavaria blu oder Bonifaz,"€ 1,79","€ 2,69","pro Einheit = 1,79","Weichkäse mit Weiß- und Blauschimmel oder mit weißem Edelschimmelmantel, versch. Sorten, 70 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_184.jpg,"cat_molkerei_kaese,tag_ultra_processed",,,ref_000026,obs_0000014503|obs_0000012812|obs_0000015676|obs_0000031185|obs_0000029534|obs_0000014218|obs_0000005348|obs_0000006971|obs_0000030449,obs_0000014503|obs_0000012812|obs_0000005348|obs_0000015676
SCHAMEL,Bayer Meerrettich,"€ 1,49","€ 2,69","1 kg = 11,04",Alpensahne,Nein,Dieses Angebot findest du vom 26.03. bis 04.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-04,../images/kaufland/kaufland_offer_227.jpg,"cat_grundnahrung,diet_vegetarian",,BLS-X348360,ref_000027,obs_0000015845|obs_0000009351,obs_0000015845
K-CLASSIC,Bayr Leberkäse,"€ 2,79",,"1 kg = 6,98","ofengebacken, versch. Sorten",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_105.jpg,"cat_fleisch_wurst,sub_kaese,sub_milchprodukte,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-W256100,ref_000028,obs_0000011431|obs_0000027097|obs_0000008701|obs_0000027967|obs_0000026147,obs_0000011431
HEINZ,Beanz,"€ 1,99","€ 2,49","1 kg = 4,80","weiße, gebackene Bohnen in pikant gewürzter Tomatensoße, Original oder ohne Zuckerzusatz",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_219.jpg,"cat_grundnahrung,diet_vegetarian,sub_huelsenfruechte,tag_ultra_processed",,,ref_000029,obs_0000010003|obs_0000014532|obs_0000009542|obs_0000024704|obs_0000032679|obs_0000031027,obs_0000010003|obs_0000032679|obs_0000031027|obs_0000014532|obs_0000009542
Keine Marke,Becherprimel,"€ 2,69",,"pro Einheit = 2,69","versch. Farben, Topf Ø 12 cm, ohne Übertopf",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_083.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000030,,
MELITTA,BellaCrema,"€ 12,99","€ 19,99","pro Einheit = 12,99","Röstkaffee in ganzen Bohnen, La Crema oder Speciale",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_299.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000031,obs_0000012702|obs_0000010720|obs_0000017536|obs_0000018728|obs_0000026442|obs_0000009932|obs_0000025041|obs_0000024679|obs_0000018034|obs_0000027637,obs_0000006300|obs_0000012702|obs_0000025809|obs_0000010720|obs_0000017536
PARKSIDE,Benzin-Gartenkultivator PBGK 1400 E5,"€ 199,00",,"pro Einheit = 199,00","Zur kraftvollen, komfortablen Bodenlockerung Zum Substrat-Einarbeiten und Saat-Vorbereiten Mit 24 Fräsklingen aus gehärtetem Stahl Anpassbare Arbeitsbreite (ca. 36 oder 60 cm) Arbeitstiefe max. 26 cm Leistungsstarker 4-Takt-Benzinmotor (144,3 m3) Motornennleistung 2,5 kW (3,94 PS) Leerlaufdrehzahl 2.000 min-1 Wartungsfreie Zündung mit Seilzugstarter Benzintank ca. 0,8 l (Öltank ca. 0,5 l) Mit gummiertem Klappgriff Einfacher Transport durch ausklappbares Frontrad Inkl. 2 Messererweiterungen, Befestigungssplinte Inkl. 2 Maulschlüssel, 1 Zündkerzenschlüssel 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_511.jpg,cat_non_food,,,ref_000032,obs_0000013093,obs_0000013093
PARKSIDE,Benzin-Kettensäge PBKS 46 B2,"€ 79,99","€ 79,99","pro Einheit = 79,99","2-Takt-Benzinmotor mit 1,8 kW (2,4 PS) Motordrehzahl max. 11.000 min-1 Wartungsfreie Zündung mit Seilzugstarter Anti-Vibrationsausrüstung Rückschlagbremse »Anti-Kickback« Hochwertiges Schwert Schnittlänge ca. 36 cm Langlebige und schnittstarke Kette Kettenteilung 0,325 Zoll Kettengeschwindigkeit max. 22 m/s Automatisches Kettenölsystem Robuster Krallenanschlag Inkl. Schutzhülle, Kombi-Werkzeug, Mischflasche Inkl. Bio-Sägekettenöl 500 ml 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_513.jpg,cat_non_food,,,ref_000033,obs_0000023694|obs_0000024116,
PARKSIDE PERFORMANCE,Benzin-Rasenmäher 20 V PPBRM 46 B2,"€ 249,00",,"pro Einheit = 249,00","Ideal für Flächen bis 1.000 m2 Mit Elektro-Start und zuschaltbarem Heckantrieb Laufruhiger 4-Takt-Motor mit 144 cm3 Motorleistung 2,5 kW (3,4 PS) bei 3.600 min-1 Start auch per Seilzug möglich Extragroße Schnittbreite (ca. 46 cm) Schnitthöhe 7-fach einstellbar (ca. 25 - 75 mm) Fangbox ca. 60 l Gartenschlauchanschluss zur Mähwerk-Reinigung Klappfunktion mit Schnellverschlüssen Kompatibel mit Akkus der Serie »X 20 V Team« Inkl. Akku (2 Ah) und Ladegerät Inkl. Mulchkit, Seitenauswurf und Zubehör 5 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_505.jpg,cat_non_food,,,ref_000034,obs_0000023699|obs_0000024122,
Keine Marke,Bepflanzte Osterarrangements,"€ 5,99",,"pro Einheit = 5,99","versch. Ausführungen, Topf Ø 12 - 14 cm, ab 5,99€",Nein,Dieses Angebot findest du vom 30.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-30,2026-04-01,../images/kaufland/kaufland_offer_626.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000035,,
BERCHTESGADENER LAND,Bergbauern-Milch 3 5 Fett,"€ 1,11","€ 1,49","pro Einheit = 1,11","länger haltbar, 3,5 % Fett",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_146.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte",,,ref_000036,obs_0000028840|obs_0000031717|obs_0000033695|obs_0000014372|obs_0000001632|obs_0000010924|obs_0000033979|obs_0000003614|obs_0000026178|obs_0000000796,
SCHÄRDINGER,Bergfex oder Moosbacher,"€ 0,99",,"pro Einheit = 0,99","österr. Hart- oder Schnittkäse mit Rotkultur- oder Doppel-Reifung, 45 - 50 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_182.jpg,cat_molkerei_kaese,,,ref_000037,obs_0000014502|obs_0000011484|obs_0000014324,obs_0000014502|obs_0000011484
K-CLASSIC,Bierwurst,"€ 4,59","€ 5,19","pro Einheit = 4,59",Bierwurst Spitzenqualität,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_104.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_wurst,tag_ultra_processed",,BLS-W380400,ref_000038,obs_0000005790|obs_0000010897|obs_0000005421,obs_0000010597|obs_0000012655|obs_0000013053|obs_0000013762|obs_0000005790
K-CLASSIC,Bio-Anzucht- Kräuterdünger,"€ 1,49","€ 1,99","pro Einheit = 1,49",Organischer Dünger Vollnahrung für Anzucht- und Kräuterpflanzen Versorgung mit allen wichtigen Nährstoffen Für gesundes Wachstum und aromatische Kräuter Erhöht der Widerstandsfähigkeit gegen Krankheit,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_502.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000039,,
COUNTRYSIDE,Bio-Beerendünger,"€ 3,99",,"1 kg = 2,00",Für alle Beerensorten Mit natürlicher Langzeitwirkung Für schmackhafte und gesunde Früchte,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_497.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000040,,
K-BIO,Bio-Blütenhonig,"€ 2,99","€ 3,75","1 kg = 5,98","streichzart, cremig",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_284.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,BLS-S121000,ref_000041,obs_0000014565|obs_0000034204|obs_0000018957|obs_0000020087|obs_0000020906|obs_0000021848|obs_0000019585|obs_0000017371|obs_0000013110|obs_0000015439|obs_0000024043,obs_0000034204|obs_0000018957|obs_0000020087|obs_0000020906|obs_0000021848|obs_0000014565
HIPP,Bio-Fruchtsnack,"€ 2,99","€ 3,65","1 kg = 7,48 - 8,31","im Quetschbeutel, versch. Sorten, dem 5. Monat oder ab 1 Jahr",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_410.jpg,"cat_drogerie,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000042,,obs_0000010771|obs_0000012462|obs_0000015516
K-BIO,Bio-Hafer-Cookies,"€ 1,89","€ 2,19","1 kg = 9,45",mit Vollmilch- oder Zartbitterschokolade,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_327.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000043,obs_0000011117|obs_0000017610|obs_0000020132|obs_0000020951|obs_0000021920|obs_0000029228|obs_0000029995|obs_0000030857|obs_0000024042|obs_0000029319|obs_0000030203|obs_0000009092|obs_0000001696|obs_0000025068|obs_0000002400|obs_0000020539|obs_0000021358,obs_0000017610|obs_0000002292|obs_0000011117|obs_0000003296|obs_0000020132|obs_0000020951|obs_0000021920
K-BIO,Bio-Hanföl nativ,"€ 3,19","€ 3,95","1 l = 12,76","kaltgepresst, reich an Omega-3-Fettsäuren",Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_249.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000044,,
COUNTRYSIDE,Bio-Hochbeetdünger,"€ 3,99",,"1 kg = 2,00",Für alle Kräuter- und Gemüsesorten Verbessert Reife und Geschmack Mit natürlicher Langzeitwirkung,Nein,Dieses Angebot findest du vom 26.03. bis 01.04. in deiner Kaufland-Filiale.,2026-03-26,2026-04-01,../images/kaufland/kaufland_offer_500.jpg,"cat_non_food,diet_vegetarian",,,ref_000045,,
