Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
SEVERIN,Back- und Toastofen TO 9560,"€ 49,99",,Kein Mengenpreis,"Garraum ca. 20 l Auch für große Pizzen und Kuchenformen geeignet Temperaturbereich von 100 bis 230 °C 4-Stufen-Schalter (Ober-/Unterhitze/Kombi/Aus) 60-min-Timer Herausnehmbares Krümelblech Größe ca. B 44 x H 30 x T 40 cm 1.500 W Inkl. Pizzastein, Grillrost und Backblech",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_382.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
K-CLASSIC,Back-Camembert oder Mozzarella-Sticks,"€ 2,39",2.99,1 kg = 6.83 - 7.97,mit Preiselbeer- bzw. Tomaten- Paprika-Dip,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_143.jpg,cat_molkerei_kaese
IGLO,Backfisch-Stäbchen oder Filegro XXL,"€ 3,99",,1 kg = 5.49 - 8.32,100 % Fischfilet in knusprigem Backteig,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_175.jpg,cat_tiefkuehl
TOPPITS,Backpapier,"€ 1,79",2.25,Kein Mengenpreis,mit rutschfester Unterseite,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_324.jpg,cat_drogerie
K-CLASSIC,Baguette mit Kräuterbutter,"€ 0,79",0.99,1 kg = 4.52,"mit Kräuter- oder Knoblauchbutterzubereitung, vorgebacken",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_181.jpg,cat_grundnahrung
REIS-FIT,Basmati-Reis,"€ 2,22",3.29,1 kg = 4.44,im Kochbeutel,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_237.jpg,"cat_grundnahrung,diet_vegan,sub_reis,tag_ultra_processed"
ENERGIZER,Batterien AA oder AAA Max,"€ 6,99",UVP 17.99,Kein Mengenpreis,Vorteilspack mit 5 Extra-Batterien,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_358.jpg,"cat_getraenke,tag_ultra_processed"
HÄNDLMAIER,Bayerischer Senf,"€ 1,49",1.79,1 l = 4.45,"süßer Hausmacher-, Altbayerischer- oder Weißwurst-Senf",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_209.jpg,cat_grundnahrung
COBURGER,Bayr Landkäse,"€ 2,99",3.59,1 kg = 8.55,"cremig-würziger Weichkäse mit Rotkulturen, Doppelrahmstufe",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_137.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
K-CLASSIC,Bayr Leberkäse,"€ 2,79",3.49,1 kg = 6.98) / (1 kg = 6.23)**,"ofengebacken, versch. Sorten",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_044.jpg,cat_fleisch_wurst
K-CLASSIC,Beerenmischung mit Sauerkirschen XXL,"€ 3,99",,Kein Mengenpreis,Aktion erntefrisch tiefgefroren,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_160.jpg,cat_tiefkuehl
SALZBURGMILCH,Bergkäse,"€ 1,99",,1 kg = 13.27,"österr. Premium-Hartkäse in Scheiben, 50 % Fett. i. Tr.",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_675.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte"
K-BIO,Bio-Apfelessig,"€ 1,55",,1 l = 2.07,"naturtrüb oder klar, aus 100 % Direktsaft",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_212.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
WHOLEY,Bio-A ai,"€ 2,99",3.95,1 kg = 11.96,Smoothie-Bowl mit weiteren Früchten oder Drops aus reinem Açai-Fruchtpüree,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_162.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
HÜLSENREICH,Bio-Kichererbsensnack,"€ 1,99",2.59,1 kg = 22.12,"versch. Sorten, z. B. Sweet Onion",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_265.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food"
LITTLE LUNCH,Bio-Suppe,"€ 2,49",3.49,1 l = 7.12,"vegetarisch, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_207.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
PUKKA,Bio-Tee,"€ 2,99",3.95,1 kg = 74.75 - 149.50,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_261.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
K-BIO,Bio-Tomatenmark,"€ 1,15",,1 kg = 5.75,2-fach konzentriert,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_198.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
K-BIO,Bioland Brechbohnen,"€ 2,69",,1 kg = 3.59,erntefrisch tiefgefroren,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_157.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food"
Keine Marke,Bioland dtsch Champignons braun,"€ 1,99",,1 kg = 7.96,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_074.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food"
Keine Marke,Bioland dtsch Kräuterseitlinge,"€ 1,99",,1 kg = 13.27,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_073.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kraeuter,tag_whole_food"
Keine Marke,Bioland dtsch Möhren,"€ 1,29",1.79,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_072.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
Keine Marke,Bioland dtsch Shitake-Pilze,"€ 1,99",,1 kg = 13.27,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_075.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
K-BIO,Bioland Erbsen,"€ 2,69",,1 kg = 3.59,erntefrisch tiefgefroren,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_158.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
K-BIO,Bioland Rinderhackfleisch,"€ 5,79",6.49,1 kg = 14.48,zum Braten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_085.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich"
LOTUS,Biscoff Doppelkeks,"€ 1,59",1.99,1 kg = 10.60) / (1 kg = 9.27)**,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_283.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
TECHNAXX,Bluetooth-Soundbar TX-311,"€ 34,99",UVP 59.99,Kein Mengenpreis,"Equalizer mit 7 Voreinstellungen Bluetooth, HDMI-ARC, OPT-IN, 2 x AUX-in Bluetooth-Version 5.0 Lautsprecher 2 x 15 W Größe ca. B 78 x H/T 6 cm Inkl. Fernbedienung",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_356.jpg,cat_non_food
Keine Marke,Blühpflanzen,"€ 5,55",,Kein Mengenpreis,"versch. Sorten und Farben, Topf Ø 6 - 14 cm, ab 2,49€",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_694.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
PARKSIDE,Bohr- und Meißelhammer PBH 1050 D4,"€ 49,99",49.99,Kein Mengenpreis,"Pneumatisches Hammerwerk mit hoher Schlagkraft Einstellung des Meißels stufenlos Einstellrad für Drehzahlbegrenzung Leerlaufdrehzahl 0 - 1.100 min-1 Schlagzahl 0 - 5.300 min-1 Schlagkraft 3 J Schnellspannbohrfutter mit SDS-Plus-System Bohrer-Ø Beton/Metall/Holz 26/13/32 mm Rutschhemmende Softgrip-Ausstattung Frontgriff um 360° drehbar Mit Spannungsanzeigenleuchte Kabel ca. 4 m Bemessungsaufnahme 1.050 W Inkl. Koffer, 2 Meißel und 3 SDS-Bohrer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_387.jpg,cat_non_food
PARKSIDE,Bohr- und Schneidöl,"€ 2,99",,1 l = 9.97,"Für Stahl, Guss, Kupfer, Messing, Alu etc. Aktiviert den Bearbeitungsvorgang Vermindert Fertigungsausschuss Verlängert Standzeit von Bearbeitungswerkzeugen Gute Haftfähigkeit – kein Abgleiten von Bohrern Sehr ergiebig und sparsam im Gebrauch Leicht dosierbar und sparsam im Gebrauch",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_396.jpg,cat_non_food
DR OETKER,Bourbon-Vanille-Soße Löffelglück,"€ 1,29",1.69,1 l = 5.16,aus frischer Sahne,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_124.jpg,"cat_molkerei_kaese,tag_ultra_processed"
Keine Marke,Brasil Riesenpapaya lose,"€ 4,99",5.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_056.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
LA BELLE LAITI RE,Brie,"€ 0,99",1.29,Kein Mengenpreis,"franz. Weichkäse, 50 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_155.jpg,"cat_molkerei_kaese,diet_vegetarian,tag_ultra_processed"
K-PURLAND,Bruschetta-Braten,"€ 5,99",,Kein Mengenpreis,"vom Schweinerücken, mit Tomaten-Paprika-Füllung",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_080.jpg,cat_fleisch_wurst
KNACK BACK,Brötchen zum Selberbacken,"€ 1,69",2.49,1 kg = 4.23 - 7.05,Frischteig für versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_182.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
K-CLASSIC,Brühe,"€ 0,99",,1 kg = 7.86,"versch. Sorten, z. B. Gemüsebrühe",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_232.jpg,cat_grundnahrung
MUSICMAN,BT-Lautsprecher BT-X61,"€ 9,99",UVP 49.99,Kein Mengenpreis,"Eingebauter FM-Radio-Tuner TWS-Funktion zum Koppeln eines zweiten »BT-X61« Bluetooth-Reichweite bis zu 10 m Eingänge: AUX-In, USB-A, microSD Lautsprecher 2 x 5 W Akkulaufzeit bis zu 10 h Größe ca. 17 x Ø 6,7 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_357.jpg,cat_non_food
BUDWEISER,Budvar,"€ 14,99",,1 l = 1.50,orig. tschech. Lagerbier (+ 3.10 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_313.jpg,"cat_getraenke,diet_vegetarian"
KINDER,Bueno,"€ 2,99",4.99,1 kg = 13.91,"Milch-Haselnuss-Creme in luftiger Knusperwaffel, umhüllt von feiner Milchschokolade",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_276.jpg,cat_knabbern_naschen
ORAL-B,Bürstenköpfe,"€ 11,99",13.45,Kein Mengenpreis,"oszillierend-rotierend, für elektrische Oral-B-Zahnbürsten, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_342.jpg,cat_drogerie
KÄFER,Caff Crema Lungo oder Espresso Forte,"€ 11,99",14.99,Kein Mengenpreis,"milder Crema-Kaffee oder kräftiger Espresso, ganze Bohnen",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_043.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian"
KINDER,Cards,"€ 1,99",,1 kg = 15.55,"dünne Waffeln, gefüllt mit Milch- und Kakao-Creme",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_281.jpg,cat_knabbern_naschen
K-CLASSIC,Cashewkerne,"€ 1,99",2.89,1 kg = 9.95,naturbelassen,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_248.jpg,cat_grundnahrung
KRÜGER,Chai Latte,"€ 2,22",2.99,1 kg = 8.88) / (1 kg = 7.96)**,"Zubereitungen für Milchtee-Getränke, Typ Vanille-Zimt oder Schoko",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_262.jpg,"cat_knabbern_naschen,sub_kaese,sub_milchprodukte"
MCCAIN,Chef Frites,"€ 3,00",3.98,1 kg = 2.00,besonders knusprig durch Wellenform,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_172.jpg,"cat_tiefkuehl,sub_kartoffeln,tag_ultra_processed"
Keine Marke,Chia-Skyr-Brötchen,"€ 0,29",0.45,Kein Mengenpreis,"Weizenkleingebäck mit Skyr, Chiasamen und Haferflocken",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_223.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
IGLO,Chicken-Nuggets,"€ 2,99",3.99,1 kg = 11.96 - 13.00,"Classic, Safari-Mix oder Backteig",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_166.jpg,cat_tiefkuehl
Keine Marke,Chin brasil Bio-Ingwer,"€ 1,49",2.29,1 kg = 7.45,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_063.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
KABA,Choco,"€ 1,99",3.19,1 kg = 4.98,Getränkepulver mit Kakao und Traubenzucker,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_259.jpg,"cat_knabbern_naschen,tag_ultra_processed"
LINDT,Chocolade Riegel Tokyo Style,"€ 3,99",,1 kg = 99.75,Matcha Strawberry,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_275.jpg,"cat_knabbern_naschen,tag_ultra_processed"
NESCAF,Classic oder Classic Mild,"€ 5,99",,1 kg = 29.95,löslicher Bohnenkaffee,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_254.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed"
SCHWARTAU,Coffee Shop Sirup,"€ 1,99",2.79,1 l = 9.95,"versch. Sorten, ideal zum Verfeinern von Milchschaumkaffee",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_258.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Keine Marke,Costa-rican chilen Avocado lose,"€ 0,88",1.49,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_071.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
