Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Kochtopf-Set Rigo 13-tlg.,GSW,"€ 59,99",Kein vorheriger Preis,"€ 4,61 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Kofferset Rom,Juskys,"€ 69,99",Kein vorheriger Preis,"€ 69,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt – Preis variiert je nach Größe und Variante,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Bio-Orangensaft,BioBio,"€ 3,49",Kein vorheriger Preis,"€ 4,65 / l -","0,75 Liter",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Polsterbett Nizza,Juskys,"€ 249,99",Kein vorheriger Preis,"€ 249,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt – Preis variiert je nach Größe und Variante,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Kinderbett Naya,Juskys,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt – Preis variiert je nach Größe und Variante,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Mikrofasertuchrolle,Priva,"€ 2,99",Kein vorheriger Preis,"€ 0,03 / Stk -",Details im Prospekt,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Schminktisch Zoey,Juskys,"€ 69,99",Kein vorheriger Preis,"€ 69,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt – Preis variiert je nach Größe und Variante,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Erdnüsse,Ültje,"€ 5,00",Kein vorheriger Preis,"€ 9,26 / kg -",3 x 180 g versch. Sorten,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Kinder Crunchy Cookies,Ferrero,"€ 5,00",Kein vorheriger Preis,"€ 18,38 / kg -",2 x 136 g Einzelpreis: 3.19,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Minipflaumen Tomaten XXL,Keine Marke,"€ 4,00",Kein vorheriger Preis,"€ 4,00 / kg -","1 kg Schale Marokko/Spanien, Kl. I",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Schweine Hackfleisch,Gut Ponholz,"€ 3,50",Kein vorheriger Preis,"€ 4,38 / kg -","800 g, zum Braten",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Lauch,Keine Marke,"€ 2,00",Kein vorheriger Preis,"€ 2,00 / kg -","Deutschland/ Niederlande, Kl. l 1 kg Bund",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Gold Kaffee,Dallmayr,"€ 5,49",Kein vorheriger Preis,"€ 27,45 / kg -","200 g, löslicher Bohnenkaffee",Nein,02.10. - 02.10.,2025-10-02,2025-10-02
Carta Premium Sparkling Wine,Freixenet,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / l -","HINWEIS: MIT NETTO APP 3.79 € oder Selected Sparkling 0,0 % Alkoholfrei 0,75 l versch. Sorten",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Geschnetzeltes Gyros Art,Keine Marke,"€ 5,00",Kein vorheriger Preis,"€ 6,25 / kg -","vom Schwein, mit Zwiebeln und leichter Knoblauchnote 800 g",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Leberkäse,Keine Marke,"€ 7,00",Kein vorheriger Preis,"€ 7,78 / kg -","900 g, fein, ofengebacken",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Weizenbaguette,Netto Backstube,"€ 1,00",Kein vorheriger Preis,"€ 2,00 / kg -","2 x 250 g, Einzelpreis: 0.65",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Schinken-Krustenbraten,Keine Marke,"€ 4,44",Kein vorheriger Preis,"€ 4,44 / kg -","vom Schwein, mit Schwarte, vakuumverpackt, ca. 1,6 kg, pro kg",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Nürnberger Rostbratwürste,Wolf,"€ 8,00",Kein vorheriger Preis,"€ 8,89 / kg -","3 x 300 g, Einzelpreis: 3.29",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Bio-Vitalrusti,BioBio,"€ 1,11",Kein vorheriger Preis,"€ 0,37 / Stk -","3 Stück, Einzelpreis: 0.55",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Cola,Star Drink,"€ 3,00",Kein vorheriger Preis,"€ 0,67 / l -","oder Limonaden ohne Zucker 6 x 1,5 l teilweise koffeinhaltig, versch. Sorten",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Rouladen vom Rind,Keine Marke,"€ 15,90",Kein vorheriger Preis,"€ 15,90 / kg -","zart, aus der Keule 1 kg",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Sooo Buttrig,Rama,"€ 2,00",Kein vorheriger Preis,"€ 5,00 / kg -","400 g, gekühlt, versch. Sorten",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Monastrell,Venta Morales,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","DO 0,75 Liter",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Herren-Freizeitsocken 5er-Pack,Spirit of Colours,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Outdoor Leuchten,Maximus,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Piccolinis Salami XXL,Original Wagner,"€ 8,50",Kein vorheriger Preis,"€ 6,67 / kg -","tiefgekühlt, versch. Sorten 1,2 kg. 40 Stück",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Mandeldrink,Alpro,"€ 4,00",Kein vorheriger Preis,"€ 2,00 / l -",2 x 1 l versch. Sorten,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Stapelchips,Surf Chips,"€ 3,00",Kein vorheriger Preis,"€ 9,38 / kg -",2 x 160 g versch. Sorten,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Rosenkohl,Keine Marke,"€ 1,00",Kein vorheriger Preis,"€ 1,00 / kg -","1 kg Netz Belgien/Niederlande, Kl. I",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Saft,Hohes C,"€ 1,44",Kein vorheriger Preis,"€ 1,44 / l -",versch. Sorten 1 Liter zzgl. Pfand 0.25,Nein,02.10. - 02.10.,2025-10-02,2025-10-02
Brote,Lieken Urkorn,"€ 2,00",Kein vorheriger Preis,"€ 2,50 / kg -",2 x 400 – 500 g versch. Sorten Einzelpreis: 1.49 – 1.99,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Chicken Box Chicken Wings mariniert,Keine Marke,"€ 4,00",Kein vorheriger Preis,"€ 4,00 / kg -","Hähnchen-Flügel geteilt, pikant gewürzt, ca. 1,8 kg, pro kg",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Eistee,Fuze Tea,"€ 7,00",Kein vorheriger Preis,"€ 0,93 / l -","versch. Sorten 6 x 1,25 Liter zzgl. Pfand 1.50 Einzelpreis: 1.69, zzgl. Pfand 0.25",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Speisekartoffeln,Heimat,"€ 4,50",Kein vorheriger Preis,"€ 0,45 / kg -",Deutschland 10 kg Sack,Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Nuss-Nougat-Croissant,Netto Backstube,"€ 1,00",Kein vorheriger Preis,"€ 0,50 / Stk -","2 Stück, Einzelpreis: 0.69",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Brechbohnen,Beste Ernte,"€ 4,00",Kein vorheriger Preis,"€ 1,82 / kg -",4 x 455 g Einzelpreis: 1.19,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Eintopf,Sonnen-Bassermann,"€ 9,00",Kein vorheriger Preis,"€ 1,87 / kg -","versch. Sorten, 6 x 800 g Einzelpreis: 1.99",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Laugenstange mit Käse,Netto Backstube,"€ 1,00",Kein vorheriger Preis,"€ 0,50 / Stk -","2 Stück, Einzelpreis: 0.59",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Joghurt nach Griechischer Art,Elinas,"€ 1,49",Kein vorheriger Preis,"€ 2,48 / kg -","gekühlt, versch. Sorten 4 x 150 g",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Damen Trekkingschuhe,Keine Marke,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Birnen,Keine Marke,"€ 2,50",Kein vorheriger Preis,"€ 1,67 / kg -","1,5 kg Beutel Belgien/Niederlande, Kl. II",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Norwegisches Lachsfilet,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 14,90 / kg -","mit Haut, praktisch grätenfrei, ca. 1,1 kg pro 100 g",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Äpfel,Ein Herz für Erzeuger,"€ 3,00",Kein vorheriger Preis,"€ 1,50 / kg -","Deutschland, Kl. Il 2 kg Beutel",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Blumenerde,Garten Magie,"€ 0,99",Kein vorheriger Preis,"€ 0,05 / l -",Details im Prospekt,Nein,02.10. - 02.10.,2025-10-02,2025-10-02
Junge Ente,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / kg -","pro kg, küchenfertig, ohne Innereien, ca. 2 kg",Nein,02.10. - 02.10.,2025-10-02,2025-10-02
Leberwurst XXL,Hofmaier,"€ 3,00",Kein vorheriger Preis,"€ 4,29 / kg -","700 g, fein, streichzart",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
