Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
WZG MÖGLINGEN,Süß Fruchtig,"€ 3,49",,1 l = 4.66,"Qualitätsweine, Württemberg, versch. Sorten, z. B. Samtrot: samtig, elegant, Aromen von Beeren, passt zu Desserts und Kuchen",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_295.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
K-PURLAND,Tafelspitz vom Jungbullen,"€ 15,99",,Kein Mengenpreis,vom Jungbullen,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_108.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_rind,tag_whole_food"
ARIZONA,Teegetränk,"€ 1,39",1.89,1 l = 0.93,"Erfrischungsgetränk auf Teebasis, versch. Sorten (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_616.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
PARKSIDE,Teleskop-Baumschere mit Säge,"€ 12,99",,Kein Mengenpreis,Schneidwerkzeuge aus Karbonstahl Baumschere mit Hebel-Seilzugsystem Schneidklinge antihaftbeschichtet (ILAFLON®) Schnittstärke ca. Ø 30 mm Klinge verriegelbar Sägeblatt mit Zughaken ca. 30 cm Schnittstärke ca. Ø 60 mm Teleskopstange ca. 160 - 265 cm (5-stufig) Ergonomisch geformter T-Griff 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_505.jpg,cat_non_food
PARKSIDE,Teleskop-Heckenschere,"€ 9,99",14.99,Kein Mengenpreis,Präziser Wellenschliff für optimalen Schnitt Oberklinge mit Antihaftbeschichtung Teleskoparme 4-stufig ca. 62 - 77 cm Mit integrierter Teleskop-Arretierung Mit Sicherheits-Schnellverschlüssen Rutschfeste Komfortgriffe Schnittstärke bis Ø 6 mm Klinge mit Transportsicherung Inkl. Anleitung 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_504.jpg,cat_non_food
RASG N,Tempranillo Rosado Syrah,"€ 2,99",3.99,1 l = 3.99,"Spanien, z. B. Tempranillo: würzig, rund, Aromen von Brombeere und Schwarzkirsche, passt zu würzigem Käse, mediterraner Küche",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_297.jpg,cat_getraenke
SIERRA,Tequila Blanco o Reposado,"€ 10,99",,1 l = 15.70,"mexikanische Tequila-Spirituose, 35 Vol. %",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_282.jpg,cat_getraenke
EMSA,Thermobecher Travel Mug Essential,"€ 12,99",UVP 33.99,Kein Mengenpreis,"Aus doppelwandigem Edelstahl Mit Quick-Press-Verschluss Manschette aus Silikon Hält bis zu 4 h heiß und 8 h kalt Spülmaschinengeeignet Fassungsvermögen ca. 360 ml Größe ca. Ø 8,3 x 20 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_386.jpg,cat_non_food
SAUPIQUET,Thunfisch,"€ 2,49",2.99,1 kg = 13.46 - 17.79,Naturale (Abtropfgewicht 140 g) oder in Sonnenblumenöl,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_204.jpg,"cat_grundnahrung,sub_salate,tag_ultra_processed"
HARRY,Toast,"€ 1,59",,1 kg = 3.18,"Butter, Vollkorn oder Balance",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_229.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
HAKLE,Toilettenpapier,"€ 5,00",5.98,Kein Mengenpreis,"Klassisch weiß oder Jasmin, 3-lagig",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_322.jpg,cat_drogerie
K-CLASSIC,Tomatenmark,"€ 0,69",0.89,1 kg = 3.45,3-fach konzentriert,Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_619.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food"
Keine Marke,Tortenbehälter rund,"€ 3,99",,Kein Mengenpreis,"Aus Kunststoff Runde, hohe Form - auch für höhere Torten Deckel mit 2 ausklappbaren Tragegriffen Größe ca. B 38 x H 17 x T 33 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_375.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Keine Marke,Tortencontainer rechteckig,"€ 3,99",,Kein Mengenpreis,Aus Kunststoff Deckel mit praktischem Tragegriff Spülmaschinengeeignet Größe ca. B 38 x H 15 x T 33 cm,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_373.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
