Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Käserei Champignon Original Illertaler,"€ 1,49",Kein Mengenpreis,"deutscher Hartkäse, 45 % Fett i. Tr., mild-nussig, 100 g",2026-01-26,2026-01-31,images_edeka/k-serei-champignon-original-illertaler.jpg
Switzerland Appenzeller Appenzellerin,"€ 2,29",Kein Mengenpreis,"schweizer Hartkäse mit Rohmilch, kräftig-würzig bis elegant oder Rahmkäse verschiedene Fettstufen, 100 g",2026-01-26,2026-01-31,images_edeka/switzerland-appenzeller-appenzellerin.jpg
Blütenhof Frischcr me,"€ 1,99","1 kg = 15,92 €","zartschmelzende Creme, verschiedene Sorten und Fettstufen Ausgenommen Ziege., 125 g Becher, (1 kg = 15,92 €)",2026-01-26,2026-01-31,images_edeka/bl-tenhof-frischcr-me.jpg
Kaiseralm Tiroler Bergkäse g U,"€ 2,29",Kein Mengenpreis,"österreichischer Hartkäse, 45 % Fett i. Tr., Rohmilcherzeugnis, 10 Monate in der Felsenhöhle gereift, geschmeidiger Schmelz, kräftig-würziges Aroma, auch als SB Stück erhältlich, 100 g",2026-01-26,2026-01-31,images_edeka/kaiseralm-tiroler-bergk-se-g-u.jpg
Petri Petrella Frischkäsezubereitung,"€ 1,49",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-01-26,2026-01-31,images_edeka/petri-petrella-frischk-sezubereitung.jpg
frischli Haltbare Milch,"€ 0,88","1 l = 0,88 €","verschiedene Fettstufen, 1 Liter Packung, (1 l = 0,88 €)",2026-01-26,2026-01-31,images_edeka/frischli-haltbare-milch.jpg
Landliebe Joghurt,"€ 0,44",Kein Mengenpreis,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,2026-01-26,2026-01-31,images_edeka/landliebe-joghurt.jpg
Danone FruchtZwerge,"€ 1,49","1 kg = 4,97 €","verschiedene Sorten, 300 g Packung, (1 kg = 4,97 €)",2026-01-26,2026-01-31,images_edeka/danone-fruchtzwerge.jpg
Bären Marke Frische Schlag-Sahne oder Weihenstephan Schlag-Rahm,"€ 2,49","1 kg = 4,98 €","32 % Fett Je nach Verfügbarkeit des Marktes., 500 g Packung, (1 kg = 4,98 €)",2026-01-26,2026-01-31,images_edeka/b-ren-marke-frische-schlag-sahne-oder-weihenstephan-schlag-rahm.jpg
Starbucks Milchmischgetränk,"€ 1,49","1 l = 6,77 €","verschiedene Sorten, 220 ml Becher, (1 l = 6,77 €)",2026-01-26,2026-01-31,images_edeka/starbucks-milchmischgetr-nk.jpg
Deli Reform Margarine,"€ 1,29","1 kg = 2,87 €","Das Original, vegan, 450 g Becher, (1 kg = 2,87 €)",2026-01-26,2026-01-31,images_edeka/deli-reform-margarine.jpg
Andechser Natur Bio-Speisequarkzubereitung,"€ 1,09","1 kg = 4,36 €","verschiedene Fettstufen, 250 g Becher, (1 kg = 4,36 €)",2026-01-26,2026-01-31,images_edeka/andechser-natur-bio-speisequarkzubereitung.jpg
Frankenland Deutsche MarkenButter,"€ 1,29","1 kg = 5,16 €","mildgesäuert, 250 g Stück, (1 kg = 5,16 €)",2026-01-26,2026-01-31,images_edeka/frankenland-deutsche-markenbutter.jpg
Olympus Feta,"€ 1,99","1 kg = 13,27 €","verschiedene Sorten und Fettstufen oder Schafskäse, 30 % Fett i. Tr. Je nach Verfügbarkeit des Marktes., 150 g Packung, (1 kg = 13,27 €)",2026-01-26,2026-01-31,images_edeka/olympus-feta.jpg
Goldsteig Mozzarella oder Protinella,"€ 1,29","1 kg = 10,32 €","200 g Packung (Abtropfgewicht 125 g), (1 kg = 10,32 €)",2026-01-26,2026-01-31,images_edeka/goldsteig-mozzarella-oder-protinella.jpg
Unbekannt 51,"€ ,00",Kein Mengenpreis,"Normalpreise: G&G Back-Camembert: € 2,99; 1kg = € 8,54; G&G Pfannengericht: € 3,49; 1kg = € 4,65",2026-01-26,2026-01-31,
Lavazza Caff Crema oder Espresso,"€ 14,99","1 kg = 14,99 €","ganze Bohnen, verschiedene Sorten Ausgenommen Qualita Rossa, Espresso Barista und Tierra Organic., 1000 g Packung, (1 kg = 14,99 €)",2026-01-26,2026-01-31,images_edeka/lavazza-caff-crema-oder-espresso.jpg
Mövenpick Kaffee Der Himmlische,"€ 7,49","1 kg = 14,98 €","verschiedene Sorten, der Milde oder El Auténtico, 500 g Packung, (1 kg = 14,98 €)",2026-01-26,2026-01-31,images_edeka/m-venpick-kaffee-der-himmlische.jpg
Barilla italienische Pasta,"€ 0,99","1 kg = 1,98 €","verschiedene Ausformungen Ausgenommen Al Bronzo, Collezione und Integrale., 500 g Packung, (1 kg = 1,98 €)",2026-01-26,2026-01-31,images_edeka/barilla-italienische-pasta.jpg
Lavazza Kaffeekapseln,"€ 2,99","1 kg = 52,46-54,36 €","verschiedene Sorten, 10er Für die Verwendung in Nespresso?* Kaffeemaschinen geeignet. *Markenzeichen eines Dritt-Unternehmens. Je nach Verfügbarkeit des Marktes., 55-57 g Packung, (1 kg = 52,46-54,36 €)",2026-01-26,2026-01-31,images_edeka/lavazza-kaffeekapseln.jpg
Dallmayr Gold,"€ 7,49","1 kg = 37,45 €","löslicher Kaffee, 200 g Glas, (1 kg = 37,45 €)",2026-01-26,2026-01-31,images_edeka/dallmayr-gold.jpg
Knorr Feinschmecker oder Pasta Sauce,"€ 0,79",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/knorr-feinschmecker-oder-pasta-sauce.jpg
Knorr Feinschmecker Suppe,"€ 0,79",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/knorr-feinschmecker-suppe.jpg
Barilla Pastasauce Spezialitäten,"€ 2,29",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/barilla-pastasauce-spezialit-ten.jpg
Barilla Pesto,"€ 1,99",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/barilla-pesto.jpg
Thomy Reines Sonnenblumenöl,"€ 2,79","1 l = 3,72 €","0,75 Liter Flasche, (1 l = 3,72 €)",2026-01-26,2026-01-31,images_edeka/thomy-reines-sonnenblumen-l.jpg
Barilla Pastasauce Klassik,"€ 1,99","1 kg = 4,98 €","verschiedene Sorten, 400 g Glas, (1 kg = 4,98 €)",2026-01-26,2026-01-31,images_edeka/barilla-pastasauce-klassik.jpg
Oryza Reis Spezialität,"€ 1,79","1 kg = 3,58 €","verschiedene Sorten, 500 g Packung, (1 kg = 3,58 €)",2026-01-26,2026-01-31,images_edeka/oryza-reis-spezialit-t.jpg
Bonduelle Goldmais und Goldmais Mix verschiedene Sorten,"€ 1,39",Kein Mengenpreis,oder Kidney Bohnen Ausgenommen Bio Goldmais,2026-01-26,2026-01-31,images_edeka/bonduelle-goldmais-und-goldmais-mix-verschiedene-sorten.jpg
EDEKA Herzstücke Tomaten,"€ 0,99","1 kg = 2,54 €","verschiedene Sorten, 390 g Packung, (1 kg = 2,54 €)",2026-01-26,2026-01-31,images_edeka/edeka-herzst-cke-tomaten.jpg
Kühne Schlemmer Töpfchen,"€ 2,39","1 kg = 7,97 €","verschiedene Sorten, 530 g Glas (Abtropfgewicht 300 g), (1 kg = 7,97 €)",2026-01-26,2026-01-31,images_edeka/k-hne-schlemmer-t-pfchen.jpg
alpro Nuss Drink,"€ 1,99","1 l = 1,99 €","verschiedene Sorten, haltbar, vegan, 1 Liter Packung, (1 l = 1,99 €)",2026-01-26,2026-01-31,images_edeka/alpro-nuss-drink.jpg
Zentis Frühstücks-Konfitüre,"€ 1,49",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/zentis-fr-hst-cks-konfit-re.jpg
Dr Oetker Paradies Creme,"€ 0,79",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/dr-oetker-paradies-creme.jpg
Tante Fanny Frischer Butter Blätterteig,"€ 1,99","1 kg = 7,11 €","backfertig auf Backpapier, 280 g Packung, (1 kg = 7,11 €)",2026-01-26,2026-01-31,images_edeka/tante-fanny-frischer-butter-bl-tterteig.jpg
7Days Doub e x 4,"€ 1,99","1 kg = 8,29 €","Croissants mit Füllung, verschiedene Sorten, 4er, 240 g Packung, (1 kg = 8,29 €)",2026-01-26,2026-01-31,images_edeka/7days-doub-e-x-4.jpg
jaus Premium Protein Buns,"€ 1,79","1 kg = 4,97 €","mit Ölsaaten, vorgeschnitten, 4er, 360 g Packung, (1 kg = 4,97 €)",2026-01-26,2026-01-31,images_edeka/jaus-premium-protein-buns.jpg
Waldore Salat,"€ 0,79",Kein Mengenpreis,"nach Waldorf Art, mit Walnüssen, Früchten und Sellerie, 100 g",2026-01-26,2026-01-31,images_edeka/waldore-salat.jpg
Peppadew,"€ 2,69",Kein Mengenpreis,"Piquanté Früchte, gefüllt mit Frischkäse, 100 g",2026-01-26,2026-01-31,images_edeka/peppadew.jpg
Nadler Heringsfilets,"€ 2,49","1 kg = 6,23 €","verschiedene Sorten, 400 g Becher, (1 kg = 6,23 €)",2026-01-26,2026-01-31,images_edeka/nadler-heringsfilets.jpg
Gut Günstig 10 frische Eier,"€ 2,49",Kein Mengenpreis,"aus Deutschland, Bodenhaltung, Gkl. A, Gr. M/L, Packung",2026-01-26,2026-01-31,images_edeka/gut-g-nstig-10-frische-eier.jpg
Unbekannt 77,"€ ,00",Kein Mengenpreis,"Normalpreise: Brandt: € 1,49, 1kg = € 6,62; Teekanne: € 2,49, 1kg = € 69,17",2026-01-26,2026-01-31,
Dr Oetker Die Ofenfrische Pizza oder Pizza Tradizionale,"€ 2,22",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-26,2026-01-31,images_edeka/dr-oetker-die-ofenfrische-pizza-oder-pizza-tradizionale.jpg
Dr Oetker la Mia Pinsa,"€ 2,22",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-26,2026-01-31,images_edeka/dr-oetker-la-mia-pinsa.jpg
iglo MSC Fischstäbchen,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren Ausgenommen Fischstäbchen 300 g und glutenfrei 360 g.",2026-01-26,2026-01-31,images_edeka/iglo-msc-fischst-bchen.jpg
Langnese Cremissimo Eis,"€ 1,99",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/langnese-cremissimo-eis.jpg
Langnese Magnum Eis,"€ 2,79",Kein Mengenpreis,"3er oder Minis 6er, verschiedene Sorten",2026-01-26,2026-01-31,images_edeka/langnese-magnum-eis.jpg
Coppenrath Wiese Unsere Goldstücke kernig kräftig,"€ 1,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-26,2026-01-31,images_edeka/coppenrath-wiese-unsere-goldst-cke-kernig-kr-ftig.jpg
Dr Oetker la Mia Grande oder la Mia Familia Pizza,"€ 3,29",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-26,2026-01-31,images_edeka/dr-oetker-la-mia-grande-oder-la-mia-familia-pizza.jpg
Costa MSC Wildlachs Filets,"€ 5,99","1 kg = 29,95 €","ohne Haut, 2er, tiefgefroren, 200 g Packung, (1 kg = 29,95 €)",2026-01-26,2026-01-31,images_edeka/costa-msc-wildlachs-filets.jpg
iglo Gemüse Frisch vom Feld,"€ 1,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-26,2026-01-31,images_edeka/iglo-gem-se-frisch-vom-feld.jpg
Coppenrath Wiese Sahne Rolle,"€ 2,99","1 kg = 7,48 €","verschiedene Sorten, tiefgefroren, 400 g Packung, (1 kg = 7,48 €)",2026-01-26,2026-01-31,images_edeka/coppenrath-wiese-sahne-rolle.jpg
Unbekannt 88,"€ ,00",Kein Mengenpreis,"Normalpreise: Chupa Chups: € 1,79, 1kg = € 14,92; Coral: € 5,99, 1WL = € 0,29",2026-01-26,2026-01-31,
Victoriabarschfilet,"€ 1,89",Kein Mengenpreis,"ohne Haut, ideal zum Braten, 100 g",2026-01-26,2026-01-31,images_edeka/victoriabarschfilet.jpg
Buttermakrelenfilet,"€ 2,99",Kein Mengenpreis,"geräuchert, mild gesalzen, 100 g",2026-01-26,2026-01-31,images_edeka/buttermakrelenfilet.jpg
Sherrymatjes,"€ 1,99",Kein Mengenpreis,"zarte Matjesfilets, mariniert mit einer würzigen Sherrybeize, 100 g",2026-01-26,2026-01-31,images_edeka/sherrymatjes.jpg
Unbekannt 92,"€ ,00",Kein Mengenpreis,"Normalpreise: Purina: € 3,99, 1kg = € 5,32; Cesar: € 0,89, 1kg = € 5,93",2026-01-26,2026-01-31,
Bauernschätze Putenfleischwurst,"€ 1,29",Kein Mengenpreis,100 g,2026-01-26,2026-01-31,images_edeka/bauernsch-tze-putenfleischwurst.jpg
Prosciutto cotto alta Qualita,"€ 1,59",Kein Mengenpreis,"italienischer Kochschinken, im eigenen Saft gegart, 100 g",2026-01-26,2026-01-31,images_edeka/prosciutto-cotto-alta-qualita.jpg
Salami,"€ 1,89",Kein Mengenpreis,"mittelgrob, extra scharf gewürzt, 100 g",2026-01-26,2026-01-31,images_edeka/salami.jpg
Aktiv Salami,"€ 1,79",Kein Mengenpreis,"für die bewusste Ernährung, 100 g",2026-01-26,2026-01-31,images_edeka/aktiv-salami.jpg
Berger Toast-Schinken,"€ 1,29",Kein Mengenpreis,"gekocht, 100 g",2026-01-26,2026-01-31,images_edeka/berger-toast-schinken.jpg
Geflügel Gutswurst,"€ 1,89",Kein Mengenpreis,100 g,2026-01-26,2026-01-31,images_edeka/gefl-gel-gutswurst.jpg
Delikatess Sülze,"€ 1,49",Kein Mengenpreis,"herzhaft, 100 g",2026-01-26,2026-01-31,images_edeka/delikatess-s-lze.jpg
Frikadelle,"€ 0,99",Kein Mengenpreis,"verzehrfertig gebraten, 100 g",2026-01-26,2026-01-31,images_edeka/frikadelle.jpg
Rügenwalder Mühle Teewurst,"€ 1,49",Kein Mengenpreis,"verschiedene Sorten, 100 g",2026-01-26,2026-01-31,images_edeka/r-genwalder-m-hle-teewurst.jpg
Debrecziner,"€ 1,39",Kein Mengenpreis,"herzhaft gewürzt, 100 g",2026-01-26,2026-01-31,images_edeka/debrecziner.jpg
Wiener Würstchen,"€ 0,89",Kein Mengenpreis,100 g,2026-01-26,2026-01-31,images_edeka/wiener-w-rstchen.jpg
Bierwurst,"€ 1,29",Kein Mengenpreis,"in Blasen, 100 g",2026-01-26,2026-01-31,images_edeka/bierwurst.jpg
Delikatess Leberwurst,"€ 0,99",Kein Mengenpreis,"mit Kalbfleisch, im Golddarm, zart und cremig, 100 g",2026-01-26,2026-01-31,images_edeka/delikatess-leberwurst.jpg
Rotwurst,"€ 1,19",Kein Mengenpreis,"in Fettenden, 100 g",2026-01-26,2026-01-31,images_edeka/rotwurst.jpg
Putenbrust in Mandarinensauce,"€ 1,69",Kein Mengenpreis,"zart gegrillte Putenbrust, knackiger Lauch und Tomaten, in einem raffinierten Mandarinen-Joghurt-Dressing mit Currynote, 100 g",2026-01-26,2026-01-31,images_edeka/putenbrust-in-mandarinensauce.jpg
Italienischer Landschinken Villa Bianca,"€ 2,69",Kein Mengenpreis,"luftgetrocknet, typisch im Geschmack, 100 g",2026-01-26,2026-01-31,images_edeka/italienischer-landschinken-villa-bianca.jpg
Stockmeyer Salami Auslese,"€ 1,99","1 kg = 13,27 €","verschiedene Sorten, 150 g Packung, (1 kg = 13,27 €)",2026-01-26,2026-01-31,images_edeka/stockmeyer-salami-auslese.jpg
Rügenwalder Mühle Mühlen Schinken,"€ 1,79","1 kg = 17,90 €","verschiedene Sorten, 100 g Packung, (1 kg = 17,90 €)",2026-01-26,2026-01-31,images_edeka/r-genwalder-m-hle-m-hlen-schinken.jpg
Hackfleisch gemischt,"€ 0,99",Kein Mengenpreis,"Schwein und Rind, 100 g",2026-01-26,2026-01-31,images_edeka/hackfleisch-gemischt.jpg
Schweinekotelett,"€ 0,55",Kein Mengenpreis,100 g,2026-01-26,2026-01-31,images_edeka/schweinekotelett.jpg
Deutsche Rinderbeinscheiben,"€ 1,19",Kein Mengenpreis,"mit Markknochen, 100 g",2026-01-26,2026-01-31,images_edeka/deutsche-rinderbeinscheiben.jpg
Rindergulasch,"€ 1,66",Kein Mengenpreis,100 g,2026-01-26,2026-01-31,images_edeka/rindergulasch.jpg
Lachsrolle,"€ 0,66",Kein Mengenpreis,"vom Schweinerücken, natur, am Stück, 100 g",2026-01-26,2026-01-31,images_edeka/lachsrolle.jpg
Schweinerückensteaks oder Schmetterlingsschnitzel,"€ 0,79",Kein Mengenpreis,"natur auch in gewürzt erhältlich, 100 g = 0,89 €, 100 g",2026-01-26,2026-01-31,images_edeka/schweiner-ckensteaks-oder-schmetterlingsschnitzel.jpg
Bauernschätze Schweinegulasch,"€ 1,11",Kein Mengenpreis,"aus der Keule, 100 g",2026-01-26,2026-01-31,images_edeka/bauernsch-tze-schweinegulasch.jpg
Bauernschätze Gefüllte Paprika,"€ 0,99",Kein Mengenpreis,"mit Bratwurstgehäck, ofenfertig, 100 g",2026-01-26,2026-01-31,images_edeka/bauernsch-tze-gef-llte-paprika.jpg
Bauernschätze Putenschnitzel,"€ 1,66",Kein Mengenpreis,"auch in gewürzt erhältlich, 100 g = 1,77 €, 100 g",2026-01-26,2026-01-31,images_edeka/bauernsch-tze-putenschnitzel.jpg
Kasseler Nacken,"€ 5,55","1 kg = 7,93 €","ohne Knochen, vom Schwein, verschiedene Gewichte, z. B. 700 g SB-Packung, (1 kg = 7,93 €)",2026-01-26,2026-01-31,images_edeka/kasseler-nacken.jpg
Mini-Rostbratwurst,"€ 3,59","1 kg = 11,97 €","300 g SB-Packung, (1 kg = 11,97 €)",2026-01-26,2026-01-31,images_edeka/mini-rostbratwurst.jpg
Hähnchen Unterkeulen,"€ 3,49","1 kg = 5,82 €","frisch, verschiedene Gewichte, z. B. 600 g SB-Packung, (1 kg = 5,82 €)",2026-01-26,2026-01-31,images_edeka/h-hnchen-unterkeulen.jpg
Unbekannt 123,"€ ,00",Kein Mengenpreis,,2026-01-26,2026-01-31,
Mumm Jahrgangs Sekt oder Alkoholfrei,"€ 3,66","1 l = 4,88 €","verschiedene Sorten, 0,75 Liter Flasche, (1 l = 4,88 €)",2026-01-26,2026-01-31,images_edeka/mumm-jahrgangs-sekt-oder-alkoholfrei.jpg
Bayreuther Hell oder Alkoholfrei,"€ 14,99","1 l = 1,50 €","Je nach Verfügbarkeit des Marktes., 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,50 €)",2026-01-26,2026-01-31,images_edeka/bayreuther-hell-oder-alkoholfrei.jpg
Paulaner Spezi oder Limonade,"€ 10,99","1 l = 1,10 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes. *koffeinhaltige Limonade, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,10 €)",2026-01-26,2026-01-31,images_edeka/paulaner-spezi-oder-limonade.jpg
Residenz Quelle Mineralwasser,"€ 4,99","1 l = 0,42 €","verschiedene Sorten, 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 0,42 €)",2026-01-26,2026-01-31,images_edeka/residenz-quelle-mineralwasser.jpg
Skyy Vodka,"€ 10,99","1 l = 15,70 €","40 % Vol., 0,7 Liter Flasche, (1 l = 15,70 €)",2026-01-26,2026-01-31,images_edeka/skyy-vodka.jpg
MM Extra Sekt,"€ 2,99","1 l = 3,99 €","verschiedene Sorten oder Alkoholfrei, 0,75 Liter Flasche, (1 l = 3,99 €)",2026-01-26,2026-01-31,images_edeka/mm-extra-sekt.jpg
Le Filou Wein oder Bubble,"€ 2,99","1 l = 3,99 €","aus Frankreich, verschiedene Sorten *Je nach Verfügbarkeit des Marktes., 0,75 Liter Flasche, (1 l = 3,99 €)",2026-01-26,2026-01-31,images_edeka/le-filou-wein-oder-bubble.jpg
