Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Bad Reichenhaller Alpen JodSalz,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 1,98 €","mit Selen, 500 g Packung, (1 kg = 1,98 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/bad-reichenhaller-alpen-jodsalz.jpg
Oryza Linsen,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 3,98 €","verschiedene Sorten, 500 g Packung, (1 kg = 3,98 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/oryza-linsen.jpg
Bernbacher Die Guten Feine Frischei-Teigwaren,Keine Marke,"€ 0,79",Kein vorheriger Preis,"1 kg = 3,16 €","verschiedene Ausformungen, 250 g Packung, (1 kg = 3,16 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/bernbacher-die-guten-feine-frischei-teigwaren.jpg
EDEKA Herzstücke Champignons,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45 €","1. Wahl, ganze Köpfe oder Scheiben Ausgenommen Champignons 1. Wahl Mini., 330 g Glas (Abtropfgewicht 200 g), (1 kg = 7,45 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-champignons.jpg
Gut Günstig Maiskölbchen,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 5,21 €","330 g Glas (Abtropfgewicht 190 g), (1 kg = 5,21 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gut-g-nstig-maisk-lbchen.jpg
Gut Günstig Mixed Pickles,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 5,21 €","330 g Glas (Abtropfgewicht 190 g), (1 kg = 5,21 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gut-g-nstig-mixed-pickles.jpg
Hengstenberg Mildessa Mildes Wein Sauer Kraut,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 1,94 €","810 g Dose (Abtropfgewicht 770 g), (1 kg = 1,94 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/hengstenberg-mildessa-mildes-wein-sauer-kraut.jpg
Kühne Peperoni,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten oder Jalapeno,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/k-hne-peperoni.jpg
EDEKA Herzstücke Spargel-Köpfe,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 17,30 €","190 g Glas (Abtropfgewicht 115 g), (1 kg = 17,30 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-spargel-k-pfe.jpg
KoRo Bio Flapjack,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 24,83 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 60 g Riegel, (1 kg = 24,83 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/koro-bio-flapjack.jpg
d arbo Naturrein Konfitüre Extra,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 6,64 €","verschiedene Sorten, 450 g Glas, (1 kg = 6,64 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/d-arbo-naturrein-konfit-re-extra.jpg
Dr Oetker Vitalis Müsli oder Paula Müslispaß,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten Ausgenommen Müsli ohne Zucker Zusatz.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/dr-oetker-vitalis-m-sli-oder-paula-m-slispa.jpg
