Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Knopfzellen,Activ Energy,"€ 2,29",Kein vorheriger Preis,"€ 0,11 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Arbeitshandschuhe,Topcraft Arbeitsbekleidung,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Kinder-Thermostiefel,Lily & Dan,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Herren Arbeits-Fleecejacke,Topcraft Arbeitsbekleidung,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Damen Softshell-Laufjacke,Crane,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Jogginghose,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Damen Loungewear-Set,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Müllermilch Shake,Müller,"€ 0,69","€ 1,49","€ 1,72 / l -",02.10. - 04.10.,2025-10-02,2025-10-04
Kinder Schneestiefel,Lily & Dan,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Haarschmuck,Lacura,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Ländertee Pflaume,Meßmer,"€ 1,59","€ 2,39","€ 31,80 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Haltungstrainer,Crane,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Linsen Chips,Funny Frisch,"€ 1,49","€ 1,99","€ 16,56 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Ionen Haartrockner,Ambiano,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Milka & Oreo,Milka,"€ 2,99","€ 4,99","€ 9,97 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Kinder Ski-Unterwäsche,Crane,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Be Floral EdP,#b.e. Routine,"€ 4,99","€ 5,99","€ 166,33 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Triple Distilled Irish Whiskey,Jameson,"€ 14,99","€ 21,99","€ 21,41 / l -",02.10. - 04.10.,2025-10-02,2025-10-04
Traditional Irish Whiskey,Kilbeggan,"€ 10,99","€ 15,99","€ 15,70 / l -",02.10. - 04.10.,2025-10-02,2025-10-04
Bodymilk,Nivea,"€ 5,99","€ 7,89","€ 14,97 / l -",02.10. - 04.10.,2025-10-02,2025-10-04
LED-Lichterschlauch,Home Creation,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Ristorante Pizza Margherita,Dr. Oetker,"€ 1,99","€ 3,49","€ 5,10 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Bio-Gemüsesaft,Nur Nur Natur,"€ 1,35",Kein vorheriger Preis,"€ 1,80 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen Plüsch-Bademantel,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Chianti Riserva,Trambusti,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -",02.10. - 04.10.,2025-10-02,2025-10-04
Bio-Haferflocken,Nur Nur Natur,"€ 0,85",Kein vorheriger Preis,"€ 1,70 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Gästehandtücher,Novitesse,"€ 4,99",Kein vorheriger Preis,"€ 1,25 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Südtiroler Speck,Cucina,"€ 10,79",Kein vorheriger Preis,"€ 11,99 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Mixed Minis,Mars,"€ 3,89","€ 5,99","€ 9,72 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Mini-Pinsa,Cucina,"€ 1,19",Kein vorheriger Preis,"€ 9,15 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Bio-Joghurt,Nur Nur Natur,"€ 0,89",Kein vorheriger Preis,"€ 3,56 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen Wollsocken,Up2Fashion,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Prosciutto Cotto XXL,Cucina Nobile,"€ 1,99",Kein vorheriger Preis,"€ 8,29 / kg -",02.10. - 04.10.,2025-10-02,2025-10-04
Bio-Frischmilch,Nur Nur Natur,"€ 1,45",Kein vorheriger Preis,"€ 1,45 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Jacquard-Geschirrtücher,Crofton,"€ 4,99",Kein vorheriger Preis,"€ 1,66 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Teleskop-Astschere,Gardenline,"€ 11,99",Kein vorheriger Preis,"€ 11,99 / Stk -",04.10. - 04.10.,2025-10-04,2025-10-04
Sedum-Mix,Gardenline,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Caffè Crema & Aroma,Barissimo,"€ 13,99",Kein vorheriger Preis,"€ 13,99 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Bandagen,Vitalis,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Unser Bester Mahlkaffee Charaktervoll & Aromatisch,Barissimo,"€ 7,59",Kein vorheriger Preis,"€ 15,18 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Knoppers Minis,Storck,"€ 1,99","€ 2,59","€ 9,95 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Premium Katzennassfutter,Cachet,"€ 0,69",Kein vorheriger Preis,"€ 3,37 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Amaryllis,Gardenline,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Leber-Aktiv-Kapseln,Vitalis,"€ 3,49",Kein vorheriger Preis,"€ 0,12 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Feine Pastete,Cachet,"€ 0,49",Kein vorheriger Preis,"€ 5,76 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Magnesium,Vitalis,"€ 2,95",Kein vorheriger Preis,"€ 0,02 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Knusperkissen XXL,Cachet,"€ 0,95",Kein vorheriger Preis,"€ 6,33 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Choco Changer,Choceur,"€ 3,49",Kein vorheriger Preis,"€ 23,27 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
