Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
ja Kidneybohnen,Keine Marke,"€ 0,69",,"1 kg = 2,71","je 400-g-Dose, 255-g-Abtropfgew.",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_124.jpg,bamberg
Dr Oetker Götterspeise,Keine Marke,"€ 0,49",,"1 kg = 3,27","versch. Sorten, je 150-g-Becher",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_064.jpg,bamberg
Bürger Gnocchi,Keine Marke,"€ 1,79",,"1 kg = 3,58","versch. Sorten, je 500-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_095.jpg,bamberg
REWE Bio Joghurt mild,Keine Marke,"€ 0,45",,"1 kg = 3,00","mind. 3,8% Fett, je 150-g-Becher",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_114.jpg,bamberg
Ponnath Delikatess Prosciutto Cotto,Keine Marke,"€ 2,29",,"1 kg = 15,27",je 150-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_093.jpg,bamberg
REWE Regional Gulasch gemischt,Keine Marke,"€ 6,66",,"1 kg = 13,32","vom Schwein und Rind, je 500-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_066.jpg,bamberg
Innocent Smoothie Mango Maracuja,Keine Marke,"€ 1,69",,"1 l = 6,76","je 250-ml-Fl, zzgl. 0,25 Pfand",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_094.jpg,bamberg
Citterio Italienische Mortadella,Keine Marke,"€ 1,29",,Kein Mengenpreis,"mit Pistazien, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_067.jpg,bamberg
Metten Salami-Aufschnitt Spezial,Keine Marke,"€ 1,59",,Kein Mengenpreis,"versch. Sorten, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_068.jpg,bamberg
Kasseler Nacken,Keine Marke,"€ 9,99",,Kein Mengenpreis,"ohne Knochen, am Stück, SB-verpackt, je 1 kg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_069.jpg,bamberg
Käserei Champignon Cambozola oder Rougette,Keine Marke,"€ 1,79",,Kein Mengenpreis,"Weichkäse, versch. Sorten, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_070.jpg,bamberg
Henglein Eierspätzle,Keine Marke,"€ 1,89",,"1 kg = 4,73","pfannenfertig, je 400-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_071.jpg,bamberg
Schweizer Emmentaler AOP,Keine Marke,"€ 1,99",,Kein Mengenpreis,"Hartkäse, mind. 45% Fett i.Tr., je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_073.jpg,bamberg
Violife Pizza Mix,Keine Marke,"€ 1,99",,"1 kg = 13,27","gerieben, je 150-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_074.jpg,bamberg
REWE Regional Schweine-Minutenbauch,Keine Marke,"€ 5,55",,"1 kg = 11,10",je 500-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_075.jpg,bamberg
Pustertaler,Keine Marke,"€ 1,99",,Kein Mengenpreis,"ital. Schnittkäse, 50% Fett i.Tr., je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_076.jpg,bamberg
REWE Bio Schweine-Bratwurst,Keine Marke,"€ 5,99",,"1 kg = 19,97","grob, je 300-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_077.jpg,bamberg
REWE Regional Hähnchen-Leber -Mägen oder -Herzen,Keine Marke,"€ 1,79",,"1 kg = 5,11",je 350-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_078.jpg,bamberg
Kasseler- Minuten-Lachs,Keine Marke,"€ 4,44",,"1 kg = 11,10","in Scheiben, je 400-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_079.jpg,bamberg
Butcher s Angus XXL Irish Beef Burger Patties,Keine Marke,"€ 11,99",,"1 kg = 14,99","feinstes irisches Rindfleisch, je 800-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_072.jpg,bamberg
REWE Regional Frisches Hähnchen-Brustfilet,Keine Marke,"€ 6,99",,"1 kg = 12,71","Teilstück, je 550-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_081.jpg,bamberg
Campofrio Serrano-Schinken,Keine Marke,"€ 2,29",,Kein Mengenpreis,je 100 g,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_091.jpg,bamberg
Deli Reform Für meine Familie,Keine Marke,"€ 1,29",,"1 kg = 2,58",je 500-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_092.jpg,bamberg
Nature Respect Pollofino Frische Freiland- Hähnchen-Oberschenkel,Keine Marke,"€ 14,99",,Kein Mengenpreis,"mit Haut, ohne Knochen, SB-verpackt, je 1 kg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_080.jpg,bamberg
Gutfried Geflügel-Aufschnitt,Keine Marke,"€ 1,29",,"1 kg = 16,13","versch. Sorten, je 80-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_090.jpg,bamberg
Aoste Stickado,Keine Marke,"€ 1,79",,"1 kg = 25,57","versch. Sorten, je 70-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_089.jpg,bamberg
Starbucks Frappuccino Coffee,Keine Marke,"€ 1,49",,"1 l = 5,96","koffeinhaltig, je 250-ml-Fl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_087.jpg,bamberg
Milram Müritzer Original,Keine Marke,"€ 0,99",,Kein Mengenpreis,"Schnittkäse, 55% Fett i.Tr., je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_086.jpg,bamberg
Wiltmann Salami,Keine Marke,"€ 1,49",,"1 kg = 18,63","versch. Sorten, je 80-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_088.jpg,bamberg
Chavroux Ziegenfrischkäse,Keine Marke,"€ 2,29",,"1 kg = 15,27","45% Fett i.Tr., je 150-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_085.jpg,bamberg
Hackfleisch gemischt,Keine Marke,"€ 2,99",,"1 kg = 11,96","vom Rind und Schwein, je 250-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_084.jpg,bamberg
Timmendorfer Rügenwalder Teewurst,Keine Marke,"€ 1,79",,Kein Mengenpreis,"versch. Sorten, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_083.jpg,bamberg
Frische Hähnchen-Schenkel,Keine Marke,"€ 6,66",,"1 kg = 3,33","natur, Hkl. A, oder gewürzt, je 2000-g-Pckg",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_082.jpg,bamberg
REWE Beste Wahl Double Choc Cookie,Keine Marke,"€ 1,99",,"1 kg = 8,84",je 225-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_111.jpg,immenstaad
Alwa Mineralwasser,Keine Marke,"€ 5,49",,"1 l = 0,46","versch. Sorten, je 12 x 1-l-Fl.-Kasten, zzgl. 3,30 Pfand",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_143.jpg,immenstaad
Franziskaner Weißbier,Keine Marke,"€ 4,29",,"1 l = 2,17","versch. Sorten, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_145.jpg,immenstaad
Landbauern Rind Rinder-Filet,Keine Marke,"€ 4,99",,Kein Mengenpreis,"am Stück oder in Scheiben, Haltungsform 3, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_026.jpg,immenstaad
Landbauern Rind Tafelspitz oder Bürgermeisterstück,Keine Marke,"€ 1,99",,Kein Mengenpreis,"Haltungsform 3, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_027.jpg,immenstaad
Kalbs-Leber,Keine Marke,"€ 1,99",,Kein Mengenpreis,"in Scheiben, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_028.jpg,immenstaad
Schweine-Pfanne,Keine Marke,"€ 0,99",,Kein Mengenpreis,"Geschnetzeltes mit versch. Würzungen, Haltungsform 2, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_029.jpg,immenstaad
Frische Puten-Schnitzel,Keine Marke,"€ 1,49",,Kein Mengenpreis,"von der Freiraumpute, natur oder mariniert, Haltungsform 3, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_030.jpg,immenstaad
Schweine-Braten oder -Rollbraten,Keine Marke,"€ 0,77",,Kein Mengenpreis,"aus der Schulter, ohne Knochen, Haltungsform 2, je 100 g",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/immenstaad_offer_031.jpg,immenstaad
