Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
SCHULTE,Sportler-Salami,"€ 1,19",,Kein Mengenpreis,fettreduziert,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_130.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,ref_000414,obs_0000009283|obs_0000013894|obs_0000008824|obs_0000008470|obs_0000010056|obs_0000012234|obs_0000029401|obs_0000027996|obs_0000014853|obs_0000003093|obs_0000002071|obs_0000015900|obs_0000009762|obs_0000013457|obs_0000017555|obs_0000002743|obs_0000007871|obs_0000010456|obs_0000021730|obs_0000007433|obs_0000018191|obs_0000015127|obs_0000026400|obs_0000019751|obs_0000007485|obs_0000002397|obs_0000015709|obs_0000031640|obs_0000015280|obs_0000023482|obs_0000005567|obs_0000025025|obs_0000009680|obs_0000003025|obs_0000018932|obs_0000024061,obs_0000009283|obs_0000013894|obs_0000008824|obs_0000029401|obs_0000008470|obs_0000010056|obs_0000012234
KAISER,Springform Gourmet,"€ 4,99",UVP 18.99,Kein Mengenpreis,Aus antihaftbeschichtetem Stahlblech Größe ca. Ø 26 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_477.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_vegetarian",,ref_000415,obs_0000013268|obs_0000023643,obs_0000013268
Keine Marke,Spritzring,"€ 0,55",0.89,Kein Mengenpreis,Siedegebäck mit Fondantglasur,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_200.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000416,obs_0000010967,obs_0000010967
ERBEN,Spätlese Scheurebe Grauburgunder oder Riesling,"€ 2,99",4.99,1 l = 6.66) / (1 l = 3.99)**,"Spätlese, Scheurebe, Grauburgunder, Riesling, Spätlese Bio oder Süße Lese alkoholfrei, z. B. Spätlese: Prädikatswein, Rheinhessen, feine Säure, zarte Fruchtaromen, passt zu würzigem Ragout",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_340.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,ref_000417,obs_0000010195|obs_0000009245|obs_0000019503|obs_0000023736|obs_0000008774|obs_0000018684|obs_0000019080|obs_0000009755|obs_0000029342|obs_0000007461|obs_0000024881|obs_0000002489|obs_0000019899|obs_0000031292|obs_0000023548|obs_0000018265|obs_0000032097|obs_0000003299,obs_0000010195
BOSCH,Stabmixer-Set MSM6B500K,"€ 34,99",,Kein Mengenpreis,4-Klingen-Edelstahlmesser Abnehmbarer Mixfuß aus Edelstahl Mit Messbecher und Zerkleinerer (ca. 500 ml) Mixfuß spülmaschinengeeignet 350 W,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_407.jpg,cat_non_food,,ref_000418,obs_0000002005|obs_0000023880|obs_0000022089,
PARKSIDE,Stechbeitel-Set,"€ 12,99",,Kein Mengenpreis,Für weiches bis mittelhartes Holz Holzgriffe mit parallel abgeflachten Seiten Klingenspitzen mit Schutzkappen Klingenbreite 6/14/18/24/32/35 mm Inkl. Tasche 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_451.jpg,cat_non_food,,ref_000419,obs_0000021293|obs_0000011108,obs_0000021293|obs_0000011108
FUNNY-FRISCH,Sticks oder Brezli,"€ 1,19",1.69,1 kg = 5.95 - 7.44,knusprige Salzstangen oder -brezeln,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_265.jpg,"cat_knabbern_naschen,sub_huelsenfruechte,tag_ultra_processed",,ref_000420,obs_0000014410|obs_0000013329,
Keine Marke,Stiefmütterchen oder Hornveilchen in Holzkiste,"€ 6,99",,Kein Mengenpreis,versch. Farben,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_081.jpg,"cat_obst_gemuese,diet_vegetarian,tag_ultra_processed",,ref_000421,,
PARKSIDE,Streich-Set Lack,"€ 2,99",,Kein Mengenpreis,Zur Verarbeitung von Lacken Inkl. 6 Schaumstoffrollen,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_444.jpg,"cat_non_food,sub_butter_margarine",,ref_000422,,
PARKSIDE,Streich-Set Lasur,"€ 2,99",,Kein Mengenpreis,Für Farben auf Lösungsmittelbasis Inkl. 6 Mikrofaserrollen,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_437.jpg,"cat_non_food,sub_butter_margarine",,ref_000423,,
SANELLA,Streichfett,"€ 1,29",2.19,1 kg = 3.23,"ideal auch zum Kochen, Backen oder Braten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_164.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed",,ref_000424,obs_0000026407|obs_0000009590|obs_0000013023|obs_0000021829|obs_0000008574|obs_0000012580|obs_0000010926|obs_0000029407|obs_0000028305|obs_0000031448|obs_0000015685,obs_0000021829|obs_0000026407|obs_0000009590|obs_0000013023
Keine Marke,Südafrik Tafeltrauben hell und rot gemischt,"€ 1,99",3.49,1 kg = 3.98)**,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_089.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000425,obs_0000012118|obs_0000011697|obs_0000007973|obs_0000008156|obs_0000008211|obs_0000009657|obs_0000009758|obs_0000012613|obs_0000026462|obs_0000026962|obs_0000029337|obs_0000008238|obs_0000009070|obs_0000026848,obs_0000012118
TEMPO,Taschentücher,"€ 1,69",1.95,Kein Mengenpreis,"in der Box, 4-lagig, Original",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_367.jpg,cat_drogerie,,ref_000426,obs_0000030466|obs_0000018826|obs_0000011045|obs_0000023079|obs_0000019645|obs_0000011453|obs_0000031137|obs_0000012325|obs_0000008743|obs_0000009207|obs_0000011904|obs_0000009605|obs_0000029228|obs_0000005640|obs_0000032366|obs_0000006035|obs_0000005270|obs_0000006561|obs_0000032279|obs_0000005843|obs_0000007509|obs_0000006742|obs_0000031095|obs_0000013191|obs_0000029501,obs_0000030466|obs_0000005640|obs_0000018826|obs_0000006035|obs_0000031137|obs_0000011045|obs_0000012325|obs_0000008743|obs_0000023079|obs_0000029228|obs_0000019645|obs_0000011453|obs_0000009207|obs_0000011904
DOVGAN,Taschki Teigtaschen,"€ 2,00",,1 kg = 4.00 - 5.00,"nach russ. Art, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_174.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte",,ref_000427,obs_0000012683|obs_0000008594|obs_0000011225|obs_0000014205|obs_0000002093,obs_0000012683|obs_0000008594|obs_0000011225|obs_0000014205
FULYA,Tavuk Salami,"€ 2,22",2.79,1 kg = 11.10,"geräucherte Geflügelfleischwurst, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_116.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,ref_000428,obs_0000011202|obs_0000014853|obs_0000003093|obs_0000002071|obs_0000015900|obs_0000009762|obs_0000013457|obs_0000017555|obs_0000002743|obs_0000007871|obs_0000010456|obs_0000021730|obs_0000007433|obs_0000018191|obs_0000015127|obs_0000026400|obs_0000019751|obs_0000007485|obs_0000002397|obs_0000015709|obs_0000031640|obs_0000015280|obs_0000023482|obs_0000005567|obs_0000025025|obs_0000009680|obs_0000003025|obs_0000018932|obs_0000024061,obs_0000011202
RÜGENWALDER MÜHLE,Teewurst,"€ 1,79",,Kein Mengenpreis,fein oder grob,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_128.jpg,"cat_fleisch_wurst,diet_vegan,sub_fleischersatz,sub_wurst,tag_ultra_processed",,ref_000429,obs_0000008715|obs_0000032055|obs_0000011645|obs_0000009181|obs_0000012895|obs_0000009568|obs_0000001033|obs_0000012223|obs_0000010381|obs_0000027668|obs_0000006316|obs_0000005573|obs_0000006861|obs_0000026201|obs_0000006496|obs_0000029022|obs_0000030001|obs_0000029661,obs_0000001033|obs_0000008715|obs_0000032055|obs_0000012223|obs_0000005573|obs_0000011645|obs_0000009181|obs_0000012895|obs_0000009568
