Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
MÜLLER,Doppel-Decker oder Wackelpudding,"€ 0,88",1.59,1 kg = 3.18) / (1 kg = 1.76)**,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_137.jpg,"cat_molkerei_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,ref_000097,obs_0000010799|obs_0000012905|obs_0000012669,obs_0000010799|obs_0000012905
K-CLASSIC,Doppelkeks,"€ 1,39",1.79,1 kg = 2.78,mit Kakaocreme gefüllt,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_308.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_milchprodukte,tag_ultra_processed",,ref_000098,obs_0000008554|obs_0000008993|obs_0000009453|obs_0000025884|obs_0000007773|obs_0000009690|obs_0000004329|obs_0000000406|obs_0000004756|obs_0000003902|obs_0000028051,obs_0000008554|obs_0000008993|obs_0000009453|obs_0000025884|obs_0000007773
FELIX,Doppelt lecker,"€ 2,39",2.99,1 kg = 2.99,"Katzentrockenfutter, versch. Sorten",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_806.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000099,obs_0000029506,
TIC TAC,Dragees,"€ 1,39",,1 kg = 25.75,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_304.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000100,obs_0000013571|obs_0000011845,obs_0000013571|obs_0000011845
PARKSIDE,Druckluft-Tacker- Nagelgerät PDT 40 F4,"€ 24,99",,Kein Mengenpreis,"Passend für handelsübliche Kompressoren Leichtmetallgehäuse mit gummiertem Griff 100er-Magazin mit Füllstandanzeige Regulierbare Einschlagtiefe Kontaktgesicherte Auslösung Nagellänge 15 - 50 mm Klammerlänge 10 - 40 mm Klammerbreite 5,7 mm Einstellbare Abluftführung Arbeitsdruck max. 8 bar Inkl. je 1.000 Klammern und Nägel Inkl. Spezialöl, Schutzbrille und Koffer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_462.jpg,cat_non_food,,ref_000101,,
Keine Marke,Dtsch Möhren,"€ 0,89",1.29,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_074.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000102,obs_0000010002|obs_0000010425|obs_0000012093|obs_0000012156|obs_0000014243|obs_0000010842|obs_0000007896|obs_0000008311|obs_0000009932|obs_0000016005|obs_0000023491|obs_0000025872|obs_0000026185|obs_0000012952|obs_0000005492|obs_0000024471|obs_0000024980,obs_0000010002|obs_0000010425|obs_0000010842|obs_0000012093|obs_0000012156|obs_0000014243
Keine Marke,Dtsch Speisekartoffeln XXL,"€ 1,99",,1 kg = 0.40,"vorwiegend festkochend, Sorte laut Auszeichnung, Qualität I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_062.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,ref_000103,obs_0000010010|obs_0000010840|obs_0000013764|obs_0000014252|obs_0000013334|obs_0000007721|obs_0000009672|obs_0000010409|obs_0000011268|obs_0000011682|obs_0000012851|obs_0000013862|obs_0000010017|obs_0000010842|obs_0000010853|obs_0000011705|obs_0000012950|obs_0000000006|obs_0000003502|obs_0000007985|obs_0000008634|obs_0000009118|obs_0000014849|obs_0000015551|obs_0000026526|obs_0000028267|obs_0000028742|obs_0000028964|obs_0000012952|obs_0000012209|obs_0000024795|obs_0000025637|obs_0000026113|obs_0000031339|obs_0000031552|obs_0000031776|obs_0000032199,obs_0000007721|obs_0000009672|obs_0000010010|obs_0000010409|obs_0000010840|obs_0000011268|obs_0000011682|obs_0000012851|obs_0000012950|obs_0000013334|obs_0000013764|obs_0000013862|obs_0000014252
Keine Marke,Dtsch Zwiebeln,"€ 1,11",1.79,1 kg = 0.56,Kl. II,Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_780.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000104,obs_0000010001|obs_0000013802|obs_0000010853|obs_0000011278|obs_0000011706|obs_0000007460|obs_0000007889|obs_0000008961|obs_0000009423|obs_0000009778|obs_0000011628|obs_0000012173|obs_0000013414|obs_0000017635|obs_0000023518|obs_0000024601|obs_0000025168|obs_0000026188|obs_0000025411|obs_0000025566|obs_0000026142|obs_0000031374|obs_0000014246,obs_0000010001|obs_0000010853|obs_0000013802|obs_0000021856
Keine Marke,Dtsch ital Tafeläpfel,"€ 1,99",3.49,1 kg = 1.00,Kl. I,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_063.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,ref_000105,obs_0000010784|obs_0000009953|obs_0000010421|obs_0000010431|obs_0000011634|obs_0000013762|obs_0000014240|obs_0000014641|obs_0000011273|obs_0000010371|obs_0000010420|obs_0000010426|obs_0000010781|obs_0000011647|obs_0000011680|obs_0000012189|obs_0000014175|obs_0000012945|obs_0000005490|obs_0000026691|obs_0000026811,obs_0000009953|obs_0000010421|obs_0000010431|obs_0000010784|obs_0000011273|obs_0000011634|obs_0000011647|obs_0000013762|obs_0000014240|obs_0000014641
OLD SPICE,Duschgel,"€ 2,99",3.65,1 l = 7.48,Wolfthorn oder Captain,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_388.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000106,obs_0000029314|obs_0000013207|obs_0000024474|obs_0000014497|obs_0000024621|obs_0000008500|obs_0000010620|obs_0000027066|obs_0000011070|obs_0000029388|obs_0000027090|obs_0000007775|obs_0000014048|obs_0000024417|obs_0000011234|obs_0000015984|obs_0000032354|obs_0000005642|obs_0000008714|obs_0000006029|obs_0000011919|obs_0000013204|obs_0000030233|obs_0000030238|obs_0000006560|obs_0000006949|obs_0000029605|obs_0000029739|obs_0000028205|obs_0000029743|obs_0000029500|obs_0000012350|obs_0000007366|obs_0000013641|obs_0000031307|obs_0000031309|obs_0000005076|obs_0000026586|obs_0000009180|obs_0000030812|obs_0000031710|obs_0000027500|obs_0000006389|obs_0000009731|obs_0000018690|obs_0000015508|obs_0000024483|obs_0000008229|obs_0000022309|obs_0000009136,obs_0000029314|obs_0000030986|obs_0000013207|obs_0000024474|obs_0000014497|obs_0000024621|obs_0000008500|obs_0000010620|obs_0000027066|obs_0000011070|obs_0000029388|obs_0000027090|obs_0000007775|obs_0000014048|obs_0000024417|obs_0000011234|obs_0000015984|obs_0000032354
DÜBELIX,Dübelentferner-Aufsatz,"€ 9,99",,Kein Mengenpreis,"Passend für alle gängigen Akkuschrauber Zum rückstandslosen Entfernen ohne Wandschäden Schnell, sauber und einfach Für Dübelgrößen Ø 6, 8 und 10 Inkl. Einstellschablone und Aufbewahrungsbox",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_433.jpg,"cat_non_food,tag_ultra_processed",,ref_000107,,
ALLGÄUER BÜBLE BIER,Edelbräu,"€ 14,99",,1 l = 1.50,in der Bügelflasche (+ 4.50 Pfand),Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_346.jpg,"cat_getraenke,sub_kaese",,ref_000108,obs_0000026852|obs_0000029287|obs_0000007336|obs_0000027888|obs_0000028880,
ECKES,Edelkirsch- oder Edler Eierlikör,"€ 10,00",11.98,1 l = 10.00,20 Vol. %,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_325.jpg,"cat_getraenke,tag_ultra_processed",,ref_000109,obs_0000014929|obs_0000015779,
SEVERIN,Eierkocher EK 3165 schwarz,"€ 17,99",UVP 29.99,Kein Mengenpreis,"Für 1 bis 6 Eier Härtegrad einstellbar (weich, mittelhart, hart) Beleuchteter Ein/Aus-Schalter Signalton am Kochzeitende Max. 420 W Inkl. Messbecher mit Eier-Anstecher",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_409.jpg,cat_drogerie,,ref_000110,obs_0000025358|obs_0000025938,
SEVERIN,Eierkocher EK 4329,"€ 17,99",UVP 29.99,Kein Mengenpreis,"Für 1 bis 6 Eier Härtegrad einstellbar (weich, mittelhart, hart) Beleuchteter Ein-/Ausschalter Signalton am Kochzeitende 420 W Inkl. Messbecher mit Eier-Anstecher",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_413.jpg,cat_non_food,,ref_000111,obs_0000025358|obs_0000025938,
ERASCO,Eintopf,"€ 2,00",3.29,1 kg = 2.50,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_189.jpg,"cat_grundnahrung,diet_vegetarian",BLS-H861100,ref_000112,obs_0000026540|obs_0000007895|obs_0000001758|obs_0000009092|obs_0000026116|obs_0000013507|obs_0000007501|obs_0000000614|obs_0000005909|obs_0000028841|obs_0000031661|obs_0000031278|obs_0000029881|obs_0000004955|obs_0000006446|obs_0000007017|obs_0000032151|obs_0000006475|obs_0000004982,obs_0000009092|obs_0000026116|obs_0000005909|obs_0000026540|obs_0000013507|obs_0000007501|obs_0000007895|obs_0000004955|obs_0000001758
HÄAGEN-DAZS,Eiscreme,"€ 3,49",6.99,1 l = 15.20 - 16.65) / (1 l = 7.59 - 8.31)**,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_171.jpg,"cat_tiefkuehl,sub_tk_eis,tag_ultra_processed",,ref_000113,obs_0000013030|obs_0000010345|obs_0000012114|obs_0000012735|obs_0000008180|obs_0000007737|obs_0000031151|obs_0000031252|obs_0000028636|obs_0000027293|obs_0000030105|obs_0000029457|obs_0000027294,obs_0000013030|obs_0000010345|obs_0000012114|obs_0000008180|obs_0000007737|obs_0000012735
RAUCH,Eistee,"€ 1,29",1.69,1 l = 1.04,versch. Sorten (+ 0.25 Pfand),Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_358.jpg,"cat_getraenke,tag_ultra_processed",BLS-W291200,ref_000114,obs_0000024963|obs_0000002949|obs_0000025363|obs_0000012575|obs_0000016416|obs_0000013621|obs_0000008507|obs_0000020541|obs_0000022606|obs_0000002129|obs_0000021842|obs_0000011898|obs_0000010601|obs_0000007532|obs_0000023027|obs_0000017914|obs_0000016507|obs_0000026112|obs_0000021776|obs_0000008348|obs_0000028444|obs_0000000733|obs_0000030177|obs_0000005810|obs_0000007125|obs_0000029067|obs_0000007119,obs_0000024963|obs_0000002949|obs_0000025363|obs_0000012575|obs_0000016416|obs_0000013621|obs_0000008507|obs_0000020541|obs_0000022606|obs_0000002129|obs_0000021842|obs_0000011898|obs_0000010601|obs_0000007532|obs_0000023027|obs_0000017914|obs_0000016507|obs_0000026112
PHILIPS,Elektrische Zahnbürste Sonicare Series 1100,"€ 22,22",,Kein Mengenpreis,"Zahnreinigung durch Schallvibrationen, 4-Quadranten- und 2-min-Timer",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_382.jpg,cat_drogerie,,ref_000115,obs_0000011915|obs_0000030773,obs_0000030773|obs_0000011915
PARKSIDE,Elektrohobel PEH 30 E5,"€ 29,99",,Kein Mengenpreis,"Zum Hobeln, Anfasen und Beschichtungs-Entfernen Präzise Hobelwelle mit Hartmetall-Wendemesser Leerlaufdrehzahl 16.500 min-1 Stufenlose Spantiefeneinstellung 0 - 3 mm Hobelbreite 82 mm Falztiefe max. 18 mm Rutschhemmende Softgrip-Ausstattung Spanauswurf durch kraftvolles Gebläse Anschluss zur externen Staubabsaugung Automatisch ausklappender Parkschuh Kabel ca. 3 m Anschlussleistung 750 W Inkl. Parallel- und Falztiefenanschlag Inkl. Werkzeug und Adapter zum externen Absaugen 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_453.jpg,cat_non_food,,ref_000116,,
L OR AL PARIS,Elvital Shampoo oder Spülung,"€ 2,99",3.99,1 l = 9.97 - 11.96,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_379.jpg,cat_drogerie,,ref_000117,obs_0000013623|obs_0000012142|obs_0000010219|obs_0000012342|obs_0000014654|obs_0000011055|obs_0000011463|obs_0000011911|obs_0000014043|obs_0000015345|obs_0000018296|obs_0000008071|obs_0000030655|obs_0000014488|obs_0000006947|obs_0000005271|obs_0000011464|obs_0000005638|obs_0000005082|obs_0000005837|obs_0000031313|obs_0000006032|obs_0000026687|obs_0000002125|obs_0000030836|obs_0000010359|obs_0000030862|obs_0000022703|obs_0000026807|obs_0000030924|obs_0000030993|obs_0000004392|obs_0000031087|obs_0000031113|obs_0000000446|obs_0000008771|obs_0000004819|obs_0000008940|obs_0000031516|obs_0000011056|obs_0000019353|obs_0000031703|obs_0000009242|obs_0000017578|obs_0000009401|obs_0000007513|obs_0000032126|obs_0000009600|obs_0000030304|obs_0000032355,obs_0000005082|obs_0000013623|obs_0000005837|obs_0000012142|obs_0000010219
ROCKSTAR,Energy Drink,"€ 2,97",3.96,1 l = 1.50,"taurin- und koffeinhaltig, versch. Sorten (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_810.jpg,"cat_getraenke,tag_ultra_processed",,ref_000118,obs_0000021048|obs_0000019037|obs_0000015571|obs_0000016719|obs_0000011650|obs_0000021389|obs_0000019856|obs_0000023475|obs_0000026582|obs_0000015332|obs_0000010779|obs_0000026653|obs_0000017456|obs_0000010801|obs_0000025658|obs_0000020552|obs_0000004175|obs_0000014939|obs_0000024169|obs_0000019583|obs_0000026770|obs_0000022679|obs_0000003748|obs_0000001703|obs_0000029351|obs_0000000193|obs_0000026307|obs_0000016588|obs_0000008406|obs_0000002276|obs_0000012518|obs_0000024811|obs_0000030961|obs_0000022258|obs_0000009496|obs_0000024869|obs_0000017711|obs_0000000304|obs_0000021826|obs_0000023369|obs_0000018764|obs_0000031574|obs_0000025437|obs_0000009062|obs_0000013183|obs_0000020371|obs_0000017300|obs_0000026004|obs_0000001944|obs_0000024480,obs_0000010779|obs_0000026653|obs_0000017456|obs_0000010801|obs_0000021048|obs_0000025658|obs_0000020552|obs_0000004175|obs_0000014939|obs_0000019037|obs_0000024169|obs_0000019583|obs_0000026770|obs_0000022679|obs_0000003748|obs_0000001703|obs_0000029351|obs_0000000193|obs_0000026307|obs_0000016588|obs_0000015571|obs_0000008406|obs_0000002276|obs_0000012518|obs_0000024811|obs_0000030961|obs_0000022258|obs_0000009496|obs_0000024869|obs_0000017711|obs_0000000304|obs_0000021826|obs_0000023369|obs_0000018764|obs_0000016719|obs_0000031574|obs_0000025437|obs_0000009062|obs_0000006002|obs_0000013183|obs_0000011650|obs_0000021389|obs_0000019856|obs_0000020371|obs_0000017300|obs_0000026004|obs_0000001944|obs_0000024480|obs_0000023475|obs_0000025013
K-PURLAND,Entrec te vom Jungbullen,"€ 24,96",27.99,entspr. z. B. für eine 300-g-Packg. 7.49,"feinstes Rindfleisch vom Jungbullen, in Scheiben, mind. 21 Tage gereift",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_099.jpg,"cat_fleisch_wurst,sub_rind,tag_high_protein,tag_proteinreich,tag_whole_food",,ref_000119,obs_0000010872|obs_0000013872|obs_0000014271|obs_0000028590,obs_0000010872
Keine Marke,Erdbeerpflanzen,"€ 4,44",,Kein Mengenpreis,"versch. Sorten, als 6er-Pack",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_080.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000120,,
LORENZ,Erdnuss-Locken,"€ 0,99",2.29,1 kg = 13.09 - 17.62) / (1 kg = 5.66 - 7.62)**,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_262.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",BLS-S492000,ref_000121,obs_0000029773,obs_0000002619|obs_0000005828
ÜLTJE,Erdnüsse,"€ 1,49",2.49,1 kg = 7.45,geröstet und gesalzen,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_268.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_high_protein,tag_proteinreich",BLS-Q210000,ref_000122,obs_0000017922|obs_0000000013|obs_0000001319|obs_0000003514|obs_0000026086|obs_0000010996|obs_0000007927|obs_0000025994|obs_0000010173|obs_0000029643|obs_0000029145|obs_0000024923|obs_0000018017|obs_0000024435|obs_0000016736|obs_0000026793|obs_0000026676|obs_0000006020|obs_0000024715|obs_0000016661|obs_0000006935|obs_0000013850|obs_0000025242|obs_0000028442|obs_0000009885|obs_0000006048|obs_0000004006|obs_0000011690|obs_0000003251|obs_0000017090|obs_0000009155|obs_0000021324|obs_0000007632|obs_0000004433|obs_0000000481|obs_0000008674|obs_0000028796|obs_0000020590|obs_0000007538|obs_0000004860|obs_0000001449|obs_0000006634|obs_0000008322|obs_0000001508,obs_0000017922|obs_0000006020|obs_0000025994|obs_0000000013|obs_0000001319|obs_0000003514|obs_0000010173|obs_0000029643|obs_0000029145|obs_0000024923|obs_0000018017|obs_0000026086|obs_0000024435|obs_0000010996|obs_0000007927
COCA-COLA oder FANTA,Erfrischungsgetränk,"€ 1,49",2.19,1 l = 0.75) / (1 l = 0.65)**,"Cola Original oder Zero oder Fanta Orange, z. T. koffeinhaltig (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_314.jpg,"cat_getraenke,tag_ultra_processed",,ref_000123,obs_0000011414|obs_0000013577|obs_0000021772|obs_0000007824|obs_0000022680|obs_0000022269|obs_0000022693|obs_0000008877|obs_0000014004|obs_0000017077|obs_0000010182|obs_0000012110|obs_0000011859|obs_0000016473|obs_0000013149|obs_0000014431|obs_0000020710|obs_0000020583|obs_0000010600|obs_0000022253|obs_0000009459|obs_0000009341|obs_0000008959|obs_0000011897|obs_0000011006|obs_0000013184|obs_0000012823|obs_0000010205|obs_0000024188|obs_0000014614|obs_0000013821|obs_0000005810|obs_0000011446|obs_0000005058|obs_0000007125|obs_0000006346,obs_0000013577|obs_0000021772|obs_0000007824|obs_0000011414|obs_0000022680|obs_0000022269|obs_0000022693|obs_0000008877|obs_0000014004|obs_0000017077|obs_0000010182|obs_0000012110|obs_0000011859|obs_0000016473|obs_0000013149|obs_0000014431|obs_0000020710|obs_0000020583|obs_0000010600|obs_0000022253|obs_0000009459|obs_0000009341|obs_0000011006|obs_0000008959
POWERADE,Erfrischungsgetränk isotonisch,"€ 1,00",,1 l = 2.00,versch. Sorten (+ 0.25 Pfand),Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_356.jpg,"cat_getraenke,tag_ultra_processed",,ref_000124,obs_0000011897|obs_0000013184|obs_0000008877|obs_0000009341|obs_0000013577|obs_0000021772|obs_0000007824|obs_0000011414|obs_0000022680|obs_0000022269|obs_0000022693|obs_0000014004|obs_0000017077|obs_0000010182|obs_0000012110|obs_0000011859|obs_0000016473|obs_0000013149|obs_0000014431|obs_0000020710|obs_0000020583|obs_0000010600|obs_0000022253|obs_0000009459|obs_0000008959,obs_0000011897|obs_0000013184
BÄRENMARKE,Ergiebige Kaffee-Milch,"€ 0,99",1.85,1 kg = 2.92,"Kondensmilch, 10 % Fett",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_150.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte",,ref_000125,obs_0000014207|obs_0000010790|obs_0000027154|obs_0000012302|obs_0000011821|obs_0000021042|obs_0000011400|obs_0000024305|obs_0000000796|obs_0000013118|obs_0000003400|obs_0000010165|obs_0000013804,obs_0000014207
SWITCH ON,Espressomaschine Slim SOEMS 1350,"€ 79,99",79.99,Kein Mengenpreis,"Siebträger-Espressomaschine Hochwertiges Edelstahl-Design Pumpendruck 19 bar 2-in-1-Dampfdüse (für Heißwasser und Dampf) Abnehmbarer Wassertank (ca. 1 l) Abtropfschale mit Wasserstandsanzeige Automatische Abschaltung nach ca. 30 min 3-stufige Temperatureinstellung Kabellänge ca. 100 cm 1.350 W Inkl. 2 Siebeinsätze (1 oder 2 Tassen), Tamper 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_410.jpg,cat_non_food,,ref_000126,obs_0000002569|obs_0000022481|obs_0000022903,
LINDT,Excellence Schokolade,"€ 3,49",,1 kg = 34.90 - 69.80,"in sehr flacher Tafelform, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_269.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,ref_000127,obs_0000010810|obs_0000008253|obs_0000014419|obs_0000012490|obs_0000017954|obs_0000003112|obs_0000003637|obs_0000004659|obs_0000018997|obs_0000002122|obs_0000014418|obs_0000000091|obs_0000024683|obs_0000008307|obs_0000031872|obs_0000029313|obs_0000031875|obs_0000004232|obs_0000000138|obs_0000013979|obs_0000016064|obs_0000003805|obs_0000025827|obs_0000000230|obs_0000013551|obs_0000009968|obs_0000026359|obs_0000016120|obs_0000031477|obs_0000020224|obs_0000016130|obs_0000026371|obs_0000026376|obs_0000016680|obs_0000023348|obs_0000030520|obs_0000023866|obs_0000010558|obs_0000017223|obs_0000012629|obs_0000008041|obs_0000019816|obs_0000015216|obs_0000008056|obs_0000004491|obs_0000009612|obs_0000011665|obs_0000008595|obs_0000011211|obs_0000011229,obs_0000010810|obs_0000008253|obs_0000014419|obs_0000012490
KERRYGOLD,Extra,"€ 1,99",3.49,1 kg = 7.96,"aus irischer Butter und wertvollem Rapsöl, gesalzen oder ungesalzen",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_148.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,sub_tk_gemuese,tag_high_protein",,ref_000128,obs_0000012892|obs_0000011622|obs_0000011892|obs_0000014026|obs_0000011039|obs_0000013613|obs_0000001855|obs_0000017794|obs_0000020518|obs_0000016986|obs_0000009338|obs_0000000170|obs_0000008874|obs_0000018230|obs_0000025548|obs_0000025093|obs_0000028737|obs_0000027223|obs_0000019548|obs_0000032381|obs_0000019137|obs_0000009411|obs_0000013534|obs_0000008950|obs_0000026871|obs_0000007929|obs_0000018729|obs_0000012134|obs_0000029543|obs_0000029035|obs_0000020882|obs_0000024979|obs_0000018326|obs_0000020900|obs_0000010153|obs_0000012719|obs_0000026605|obs_0000019956|obs_0000009218|obs_0000005636|obs_0000011797|obs_0000000536|obs_0000025628|obs_0000012829|obs_0000014377|obs_0000031270|obs_0000019511|obs_0000006202|obs_0000027202|obs_0000000095,obs_0000012892|obs_0000011892|obs_0000014026|obs_0000011039|obs_0000013613|obs_0000001855|obs_0000011622|obs_0000017794
PARKSIDE,Exzenterschleifer PEXS 300 C3,"€ 19,99",,Kein Mengenpreis,"Zum Schleifen von Holz, Metall und Lack Griff mit rutschhemmender Softgrip-Ausstattung 6-stufig einstellbare Schwingzahl Leerlaufschwingzahl 14.000 - 24.000 min-1 Schleifteller-Ø 125 mm Schwingkreisdurchmesser 3,2 mm Einfacher Blattwechsel durch Kletthaftung Integrierte Absaugfunktion mit Staubfangbox Anschluss zur externen Staubabsaugung Netzkabel ca. 4 m Nennaufnahme 300 W Inkl. 4 Klett-Schleifblätter und Absaug-Adapter 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_450.jpg,cat_non_food,,ref_000129,obs_0000021578,
PARKSIDE,Farb- und Putzrührer,"€ 2,99",,Kein Mengenpreis,Aus verzinktem Stahl Korbdurchmesser 100 mm Sechskantaufnahme 8 mm Max. 600 U/min Für Rührmengen bis 20 kg 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_459.jpg,cat_non_food,,ref_000130,obs_0000011087,obs_0000011087
PARKSIDE,Farbwalzen Dispersionsfarbe,"€ 2,99",,Kein Mengenpreis,Für Dispersions- und Silikatfarben Hohe Farbaufnahme,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_442.jpg,cat_non_food,,ref_000131,,
