Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Keine Marke,Dtsch Tafeläpfel lose,"€ 0,99",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_012.jpg
COPPENRATH WIESE,Unsere Goldstücke,"€ 1,29",2.29,1 kg = 2.39 - 4.30,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_013.jpg
KÜHNE,Schlemmertöpfchen,"€ 1,99",3.49,Abtropfgewicht 300 g (1 kg = 6.64,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_014.jpg
PFANNI,Kartoffelgericht,"€ 1,49",2.49,1 kg = 3.73) / (1 kg = 3.23)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_015.jpg
EHRMANN,High Protein Mousse,"€ 1,19",1.99,1 kg = 5.95,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_016.jpg
NESTL,Choco Crossies oder Choclait Chips,"€ 2,29",3.79,1 kg = 15.27 - 19.92) / (1 kg = 13.27 - 17.31)**,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_017.jpg
Keine Marke,Madagass Litschi lose,"€ 4,99",7.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_018.jpg
BABYBEL,Mini,"€ 1,59",2.49,1 kg = 15.90,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_019.jpg
DOMESTOS,WC-Stein,"€ 1,11",1.75,1 kg = 22.20 - 23.13,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_020.jpg
Keine Marke,Peruan kolumb Avocados,"€ 1,99",2.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_021.jpg
RÜGENWALDER MÜHLE,Teewurst oder Leberwurst,"€ 1,11",2.69,1 kg = 21.52) / (1 kg = 8.88)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_022.jpg
OATLY,Haferdrink,"€ 1,79",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_023.jpg
ZOTT,Monte Snack,"€ 1,99",2.79,1 kg = 8.58) / (1 kg = 7.72)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_024.jpg
IGLO,Backfisch-Stäbchen oder Filegro XXL,"€ 3,79",,1 kg = 5.49 - 8.32) / (1 kg = 5.21 - 7.90)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_025.jpg
POPP,Pikanter Brotaufstrich,"€ 0,88",1.79,1 kg = 11.94) / (1 kg = 5.87)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_026.jpg
HENGLEIN,Gnocchi,"€ 1,99",,1 kg = 3.98) / (1 kg = 3.58)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_027.jpg
DELPHI,Grüne Oliven,"€ 6,99",,Abtropfgewicht 850 g (1 kg = 8.23) / Abtropfgewicht 850 g (1 kg = 7.05)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_028.jpg
HARRY,Körner Balance Sandwich,"€ 1,69",2.49,1 kg = 3.32) / (1 kg = 2.26)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_029.jpg
SCHWARTAU,Samt,"€ 1,99",2.69,1 kg = 7.37 - 7.81) / (1 kg = 6.63 - 7.02)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_031.jpg
TEEKANNE,Internationaler Teegenuss,"€ 1,39",2.29,1 kg = 41.64 - 63.62) / (1 kg = 25.28 - 38.62)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_032.jpg
K-CLASSIC,Kaliforn Pistazien,"€ 2,69",3.49,1 kg = 13.96) / (1 kg = 10.76)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_033.jpg
KINDER,Bueno,"€ 1,79",3.29,1 kg = 25.51 - 28.12) / (1 kg = 13.88 - 15.30)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_034.jpg
HARIBO,Fruchtgummi-Minis Portionspackungen,"€ 1,79",2.49,1 kg = 7.16 - 8.14) / (1 kg = 5.96 - 6.78)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_035.jpg
TRUE FRUITS,Smoothie,"€ 2,99",4.69,1 l = 6.26) / (1 l = 3.99)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_036.jpg
VOLVIC,Juicy,"€ 0,99",1.89,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_037.jpg
YO,Sirup,"€ 2,49",,1 l = 3.56) / (1 l = 3.18)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_038.jpg
CAPTAIN MORGAN,Spiced Gold oder White Rum,"€ 8,99",12.99,1 l = 18.56) / (1 l = 12.85)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_039.jpg
LENOR,Weichspüler,"€ 2,89",,pro Anwendung = 0.05) / (pro Anwendung = 0.05)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_040.jpg
DANKLORIX,Reiniger,"€ 1,99",2.75,1 l = 1.33 - 2.66) / (1 l = 1.20 - 2.39)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_041.jpg
SOMAT,Geschirrreiniger-Tabs oder -Caps,"€ 11,99",14.49,pro Anwendung = 0.16 - 0.20) / (pro Anwendung = 0.13 - 0.16)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_042.jpg
HEAD SHOULDERS,Shampoo XXL,"€ 8,88",,1 l = 11.10) / (1 l = 9.99)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_043.jpg
SHEBA,Sauce Collection oder Selection,"€ 0,44",0.65,1 kg = 7.65) / (1 kg = 5.18)**,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_044.jpg
TRISTAR,Smoothie-Maker BL-4485KL,"€ 14,99",14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_045.jpg
PARKSIDE,Alu-Haushaltsleiter 3-stufig,"€ 27,99",27.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_046.jpg
BESTRON,Elektrische Pfanne AHP1200SAT,"€ 19,99",UVP 39.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_047.jpg
OYANDA,Damen-Thermo-Steppmantel,"€ 19,99",24.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_048.jpg
K-CLASSIC,Hähnchenbrustfilet,"€ 1,79",2.49,1 kg = 11.94) / (1 kg = 10.60)**,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_053.jpg
KÄFER,Caff Crema Lungo oder Espresso Forte,"€ 10,99",14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-12,2026-01-14,images_kaufland/kaufland_offer_054.jpg
Keine Marke,Dtsch Speisekartoffeln,"€ 1,99",2.99,1 kg = 0.80,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_056.jpg
Keine Marke,Marokk Stangenbohnen,"€ 1,99",2.49,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_057.jpg
Keine Marke,Zwiebelpflanzen,"€ 1,79",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_058.jpg
Keine Marke,Blühpflanzen,"€ 1,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_060.jpg
Keine Marke,Marokk Buschbohnen,"€ 1,99",2.49,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_061.jpg
Keine Marke,Bromelie im Keramik-Übertopf,"€ 5,55",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_062.jpg
Keine Marke,Ecuador kolumb Bananen lose,"€ 0,88",1.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_063.jpg
Keine Marke,Chin Bio-Ingwer,"€ 1,29",1.99,1 kg = 6.45,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_065.jpg
Keine Marke,Peruan Mango lose,"€ 1,29",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_066.jpg
Keine Marke,Dtsch Cocktailrispentomaten,"€ 2,99",3.99,1 kg = 8.55,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_067.jpg
Keine Marke,Span ital Bio-Zitronen,"€ 1,29",1.79,1 kg = 2.58,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_068.jpg
Keine Marke,Dtsch Tafeläpfel Cameo,"€ 3,33",,1 kg = 1.67,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_072.jpg
Keine Marke,Dtsch ital Tafeläpfel Kanzi,"€ 1,99",2.99,1 kg = 2.49,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_073.jpg
Keine Marke,Span Orangen,"€ 2,49",3.79,1 kg = 1.66,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_074.jpg
Keine Marke,Dtsch Chicor e,"€ 1,49",1.99,1 kg = 2.98,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_075.jpg
Keine Marke,Peruan chil Kulturheidelbeeren,"€ 2,99",,1 kg = 5.98,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_076.jpg
Keine Marke,Dtsch Möhren,"€ 1,29",1.69,1 kg = 0.65,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_077.jpg
Keine Marke,Demeter dtsch Tafeläpfel,"€ 1,99",2.49,1 kg = 3.62,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_079.jpg
Keine Marke,Ital Kiwi gold,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_082.jpg
Keine Marke,Ital Kopfsalat,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_083.jpg
Keine Marke,Orchidee im Keramik-Übertopf,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_084.jpg
Keine Marke,Wochenstrauß,"€ 12,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_085.jpg
Keine Marke,Dtsch ital Tafeläpfel rot,"€ 0,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_086.jpg
K-PURLAND Schnelle Küche,Geschnetzeltes Ungar Art,"€ 3,33",,1 kg = 6.66,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_089.jpg
K-PURLAND,Kasseler Nacken Kamm XXL,"€ 5,79",,"entspr. z. B. für eine 2,3-kg-Packg. 13.32",,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_090.jpg
K-PURLAND,Schinkeneisbein gepökelt,"€ 3,33",5.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_091.jpg
BECK,Spanferkelkotelett mit Schwarte mariniert,"€ 12,99",,entspr. z. B. für eine 430-g-Packg. 5.59,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_092.jpg
K-PURLAND,Fleischpaket XXL vom Schwein,"€ 5,99",,entspr. z. B. für eine 5-kg-Packg. 29.95,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_093.jpg
K-PURLAND,Schweinerücken,"€ 5,49",8.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_094.jpg
Keine Marke,Schweine-Nuggets XXL,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_095.jpg
K-PURLAND,Kasseler Nussschinken,"€ 7,29",10.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_096.jpg
K-PURLAND,Schweinegulasch,"€ 3,29",4.19,1 kg = 6.58,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_097.jpg
K-PURLAND,Bauernrollbraten,"€ 5,99",6.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_098.jpg
K-PURLAND,Beef Brisket,"€ 13,99",,"entspr. z. B. für eine 1,3-kg-Packg. 18.19",,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_099.jpg
K-PURLAND,Rinderschmorbraten aus der Keule vom Jungbullen,"€ 15,99",18.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_100.jpg
K-PURLAND,Hüftsteak,"€ 18,95",,entspr. z. B. für eine 200-g-Packg. 3.79,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_101.jpg
K-PURLAND,Rinderhackfleisch,"€ 5,49",,1 kg = 10.98,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_102.jpg
K-PURLAND,Hähnchenflügel XXL,"€ 4,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_103.jpg
DAILY KITCHEN,Hähnchen-Schnitte Cordon Bleu,"€ 2,99",3.79,1 kg = 7.98,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_104.jpg
HEIDEMARK,Puten-Mittelflügel Paprika,"€ 4,99",,1 kg = 4.16,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_105.jpg
K-PURLAND,Hähnchenbrustfilet- Teilstücke,"€ 4,99",,1 kg = 8.32,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_106.jpg
K-PURLAND,Gemischtes Hackfleisch Natürlich High Protein,"€ 3,49",4.49,1 kg = 8.73,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_107.jpg
ZIMMERMANN,Münchner Weißwürste,"€ 2,69",3.39,1 kg = 8.97,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_108.jpg
K-CLASSIC,Schinkenfleischwurst,"€ 2,99",3.49,1 kg = 4.60,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_109.jpg
K-CLASSIC,Curry-Bockwurst,"€ 3,29",3.99,1 kg = 6.10,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_110.jpg
TULIP,Bacon,"€ 1,59",,1 kg = 12.72,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_112.jpg
ABRAHAM,Serrano-Schinken,"€ 1,59",,1 kg = 19.88,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_113.jpg
WILTMANN,Salami,"€ 1,11",,1 kg = 13.88 - 22.20,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_114.jpg
HOUDEK,Kabanos,"€ 1,99",,1 kg = 13.27,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_115.jpg
SNACK IT,Vege Story Snack,"€ 1,49",1.99,1 kg = 16.56,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_116.jpg
MEHLIG HELLER,Hausmacher Spezialitäten,"€ 1,99",2.69,1 kg = 7.96,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_117.jpg
HOUDEK,Kabanos Klassik,"€ 1,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_118.jpg
Aus eigener Herstellung,Krakauer,"€ 1,29",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_119.jpg
Aus eigener Herstellung,Kalbsleberwurst,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_120.jpg
NOTHWANG,Delikatess-Schinkenspeck,"€ 1,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_121.jpg
Keine Marke,Baguette- oder Bistro-Salami,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_122.jpg
SCHULTE,La Prima Edelsalami,"€ 2,22",2.89,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_123.jpg
Keine Marke,Coho-Lachsfilet XXL,"€ 14,99",,entspr. z. B. für eine 800-g-Packg. 12.00,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_124.jpg
K-BLUE BAY,Crevettes Roses,"€ 2,49",3.49,1 kg = 9.96,,Nein,Dieses Angebot findest du vom 08.01. bis 14.01. in deiner Kaufland-Filiale.,2026-01-08,2026-01-14,images_kaufland/kaufland_offer_125.jpg
