Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Grillbratwurst,Keine Marke,"€ 4,79",,"1 kg = 9,58 €","gebrüht, vom Schwein, 500 g SB-Packung, (1 kg = 9,58 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/grillbratwurst.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_wurst,tag_ultra_processed,tag_whole_food"
Monster Energy Drink,Keine Marke,"€ 0,79",,"1 l = 1,58 €","verschiedene Sorten, 0,5 Liter Dose + 0,25 Pfand, (1 l = 1,58 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/monster-energy-drink.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,tag_ultra_processed"
Saft,hohes C,"€ 9,54",,"1 l = 1,79 €","verschiedene Sorten Ausgenommen 100 % Orange., 1 Liter Flasche + 0,25 Pfand, (1 l = 1,79 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/hohes-c-saft.jpg,cat_getraenke
Volvic natürliches Mineralwasser,Keine Marke,"€ 3,54",,"1 l = 0,46 €","1,5 Liter Flasche + 0,25 Pfand, (1 l = 0,46 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/volvic-nat-rliches-mineralwasser.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Vitrex flavoured Water,Keine Marke,"€ 0,79",,"1 l = 0,53 €","verschiedene Sorten, 1,5 Liter Flasche + 0,25 Pfand, (1 l = 0,53 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/vitrex-flavoured-water.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Coca-Cola,Keine Marke,"€ 1,11",,"1 l = 0,89 €","verschiedene Sorten, Fanta, Sprite oder Mezzo Mix* *koffeinhaltige Limonade, 1,25 Liter Flasche + 0,25 Pfand, (1 l = 0,89 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/coca-cola.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Henkell Sekt,Keine Marke,"€ 3,99",,"1 l = 5,32 €","verschiedene Sorten oder Alkoholfrei, 0,75 Liter Flasche, (1 l = 5,32 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/henkell-sekt.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
GWF Volkacher Kirchberg,Keine Marke,"€ 4,99",,"1 l = 4,99 €","aus Franken, verschiedene Sorten, 1 Liter Flasche, (1 l = 4,99 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/gwf-volkacher-kirchberg.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Genieße den Augenblick Wein,Keine Marke,"€ 4,99",,"1 l = 6,65 €","aus Franken, verschiedene Sorten, 0,75 Liter Flasche, (1 l = 6,65 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/genie-e-den-augenblick-wein.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Chandon Garden Spritz,Keine Marke,"€ 15,99",,"1 l = 21,32 €","0,75 Liter Flasche, (1 l = 21,32 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/chandon-garden-spritz.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
