Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Original Wagner Die Backfrische Big City Pizza oder Piccolinis,"€ 2,22",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-12,2026-01-17,images_edeka/original-wagner-die-backfrische-big-city-pizza-oder-piccolinis.jpg
Coppenrath Wiese Lust auf Kuchen Torte oder Vegan,"€ 3,79",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-12,2026-01-17,images_edeka/coppenrath-wiese-lust-auf-kuchen-torte-oder-vegan.jpg
Milka Oreo Daim oder Nuii Eis,"€ 2,22",Kein Mengenpreis,"verschiedene Sorten, 3/4er *Je nach Verfügbarkeit des Marktes.",2026-01-12,2026-01-17,images_edeka/milka-oreo-daim-oder-nuii-eis.jpg
Costa MSC Ofen Fisch,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten oder Fischstäbchen, tiefgefroren",2026-01-12,2026-01-17,images_edeka/costa-msc-ofen-fisch.jpg
Original Wagner Rustipani,"€ 1,79",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-12,2026-01-17,images_edeka/original-wagner-rustipani.jpg
Nestl Schöller Eis,"€ 1,99",Kein Mengenpreis,verschiedene Sorten,2026-01-12,2026-01-17,images_edeka/nestl-sch-ller-eis.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 92,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,
Dillhappen,"€ 1,19",Kein Mengenpreis,"Heringshappen und deftige Zwiebeln in sahniger Dilltunke mit Joghurt und Crème fraîche, 100 g",2026-01-12,2026-01-17,images_edeka/dillhappen.jpg
Frisches Seelachsfilet,"€ 1,49",Kein Mengenpreis,"ideal zum Dünsten und Braten, 100 g",2026-01-12,2026-01-17,images_edeka/frisches-seelachsfilet.jpg
Heilbutt,"€ 2,79",Kein Mengenpreis,"geräuchertes Mittelstück, 100 g",2026-01-12,2026-01-17,images_edeka/heilbutt.jpg
Dorade,"€ 1,59",Kein Mengenpreis,"weißes, aromatisch festes und schmackhaftes Fleisch, natur oder mariniert, pfannenfertig, 100 g",2026-01-12,2026-01-17,images_edeka/dorade.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 98,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,
Bauernschätze Putenbrust,"€ 1,99",Kein Mengenpreis,"gegart, mit Paprika, 100 g",2026-01-12,2026-01-17,images_edeka/bauernsch-tze-putenbrust.jpg
Krustenschinken,"€ 1,69",Kein Mengenpreis,"heißgegart, saftige Scheiben, 100 g",2026-01-12,2026-01-17,images_edeka/krustenschinken.jpg
Schwarzwälder Schinken,"€ 1,99",Kein Mengenpreis,"kräftig über Tannenreisig geräuchert, 100 g",2026-01-12,2026-01-17,images_edeka/schwarzw-lder-schinken.jpg
Pfefferschinken,"€ 1,99",Kein Mengenpreis,"gegart, 100 g",2026-01-12,2026-01-17,images_edeka/pfefferschinken.jpg
Geflügelsalami,"€ 1,99",Kein Mengenpreis,"natur, mit Käse- oder Pfeffermantel, 100 g",2026-01-12,2026-01-17,images_edeka/gefl-gelsalami.jpg
Landsalami,"€ 1,89",Kein Mengenpreis,"grob, herzhaft deftig, 100 g",2026-01-12,2026-01-17,images_edeka/landsalami.jpg
Pilzpastete mit Champignons und Mu-Err-Pilzen oder Imitierte Wildschweinpastete,"€ 1,59",Kein Mengenpreis,"pikant gewürzt, 100 g",2026-01-12,2026-01-17,images_edeka/pilzpastete-mit-champignons-und-mu-err-pilzen-oder-imitierte-wildschweinpastete.jpg
Nothwang Schwarzwurst Scharfer Johann,"€ 1,39",Kein Mengenpreis,"mit Chili, 100 g",2026-01-12,2026-01-17,images_edeka/nothwang-schwarzwurst-scharfer-johann.jpg
Corned Beef,"€ 1,99",Kein Mengenpreis,"mager, saftig, 100 g",2026-01-12,2026-01-17,images_edeka/corned-beef.jpg
Käsewürstchen,"€ 1,19",Kein Mengenpreis,"herzhaft, deftig im Geschmack, 100 g",2026-01-12,2026-01-17,images_edeka/k-sew-rstchen.jpg
Schweineschnitzel,"€ 1,49",Kein Mengenpreis,"paniert, gebraten, 100 g",2026-01-12,2026-01-17,images_edeka/schweineschnitzel.jpg
