Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Lätta,"€ 1,19","1 kg = 2,64 €","verschiedene Sorten und Fettstufen, 450 g Becher, (1 kg = 2,64 €)",2026-01-05,2026-01-10,images_edeka/l-tta.jpg
Ehrmann High Protein Pudding oder Joghurt,"€ 1,00","1 kg = 5,00 €","verschiedene Sorten, 200 g Becher, (1 kg = 5,00 €)",2026-01-05,2026-01-10,images_edeka/ehrmann-high-protein-pudding-oder-joghurt.jpg
Gut Günstig Mini Mozzarella,"€ 1,00",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-01-05,2026-01-10,images_edeka/gut-g-nstig-mini-mozzarella.jpg
mila Alta Badia,"€ 2,29",Kein Mengenpreis,"italienischer Hartkäse aus Südtirol, 50 % Fett i. Tr., 6 Monate Reifezeit, aromatisch würzig, auch als SB* erhältlich *Je nach Verfügbarkeit des Marktes., 100 g",2026-01-05,2026-01-10,images_edeka/mila-alta-badia.jpg
Mövenpick Klein Fein,"€ 1,99","1 kg = 4,98 €","verschiedene Sorten, 4er, 400 g Packung, (1 kg = 4,98 €)",2026-01-05,2026-01-10,images_edeka/m-venpick-klein-fein.jpg
Danone Activia Joghurt,"€ 1,49","1 kg = 3,24 €","verschiedene Sorten und Fettstufen, 4er, 460 g Packung, (1 kg = 3,24 €)",2026-01-05,2026-01-10,images_edeka/danone-activia-joghurt.jpg
Arla Skyr,"€ 1,49",Kein Mengenpreis,verschiedene Sorten,2026-01-05,2026-01-10,images_edeka/arla-skyr.jpg
Yakult,"€ 2,99","1 l = 7,67 €","verschiedene Sorten, 6er, 390 ml Packung, (1 l = 7,67 €)",2026-01-05,2026-01-10,images_edeka/yakult.jpg
Milka Schokoladen Milch,"€ 1,00","1 l = 4,00 €","verschiedene Sorten, 250 ml Flasche + 0,25 Pfand, (1 l = 4,00 €)",2026-01-05,2026-01-10,images_edeka/milka-schokoladen-milch.jpg
Dr Oetker Paula Snack,"€ 1,69","1 kg = 15,09 €","Creme Vanillegeschmack mit Schokosoße, 4er, 112 g Packung, (1 kg = 15,09 €)",2026-01-05,2026-01-10,images_edeka/dr-oetker-paula-snack.jpg
Frankenland Deutsche MarkenButter,"€ 1,29","1 kg = 5,16 €","mildgesäuert, 250 g Stück, (1 kg = 5,16 €)",2026-01-05,2026-01-10,images_edeka/frankenland-deutsche-markenbutter.jpg
Bergader Lottes Liebling,"€ 1,29",Kein Mengenpreis,"deutscher Weichkäse aus Alpenmilch, 50 % Fett i. Tr., cremig-mild, 100 g",2026-01-05,2026-01-10,images_edeka/bergader-lottes-liebling.jpg
Switzerland Appenzeller,"€ 1,99",Kein Mengenpreis,"schweizer Hartkäse mit Rohmilch, 48 % Fett i. Tr., mild würzig, auch als SB-Stück erhältlich, 100 g",2026-01-05,2026-01-10,images_edeka/switzerland-appenzeller.jpg
Erlebnis Käserei Zillertal Zillertaler Bergkäse,"€ 1,99",Kein Mengenpreis,"österreichischer Hartkäse aus Heurohmilch, 50 % Fett i. Tr., 6 Monate gereift, kräftig-würzig, 100 g",2026-01-05,2026-01-10,images_edeka/erlebnis-k-serei-zillertal-zillertaler-bergk-se.jpg
Gut Günstig Körniger Frischkäse,"€ 1,00","1 kg = 5,00 €","verschiedene Sorten und Fettstufen, 200 g Becher, (1 kg = 5,00 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-k-rniger-frischk-se.jpg
St Mang Original Allgäuer Limburger oder Rubius,"€ 2,00",Kein Mengenpreis,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,2026-01-05,2026-01-10,images_edeka/st-mang-original-allg-uer-limburger-oder-rubius.jpg
Müller Müllermilch High Protein,"€ 1,29","1 l = 3,23 €","verschiedene Sorten, 26 g Protein pro Flasche, 400 ml + 0,25 € Pfand, (1 l = 3,23 €)",2026-01-05,2026-01-10,images_edeka/m-ller-m-llermilch-high-protein.jpg
Ehrmann High Protein Creatine Pudding,"€ 1,29","1 kg = 5,61 €","verschiedene Sorten, 1,5 g Creatine, 230 g Becher, (1 kg = 5,61 €)",2026-01-05,2026-01-10,images_edeka/ehrmann-high-protein-creatine-pudding.jpg
Quäse oder Hausmacher,"€ 2,29",Kein Mengenpreis,verschiedene Sorten,2026-01-05,2026-01-10,images_edeka/qu-se-oder-hausmacher.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 52,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,
Dallmayr Home Barista,"€ 12,99","1 kg = 12,99 €","verschiedene Sorten, ganze Bohnen, 1 kg Packung, (1 kg = 12,99 €)",2026-01-05,2026-01-10,images_edeka/dallmayr-home-barista.jpg
Melitta Kaffee,"€ 6,99","1 kg = 13,98 €","verschiedene Sorten, 500 g Packung, (1 kg = 13,98 €)",2026-01-05,2026-01-10,images_edeka/melitta-kaffee.jpg
Erasco Eintopf,"€ 2,00",Kein Mengenpreis,"verschiedene Sorten oder Serbische Bohnensuppe Ausgenommen Chili Con Carne, Maccaroni-Käse und Indisches Gemüsecurry.",2026-01-05,2026-01-10,images_edeka/erasco-eintopf.jpg
Melitta oder coffeeB Kaffee Kugeln,"€ 2,99","1 kg = 58,63 €","verschiedene Sorten, 9er, 51 g Packung, (1 kg = 58,63 €)",2026-01-05,2026-01-10,images_edeka/melitta-oder-coffeeb-kaffee-kugeln.jpg
Yogi Tea Bio Gewürzteemischung,"€ 2,49","1 kg = 66,58-81,37 €","verschiedene Sorten, 17er, 30,6-37,4 g Packung, (1 kg = 66,58-81,37 €)",2026-01-05,2026-01-10,images_edeka/yogi-tea-bio-gew-rzteemischung.jpg
Krüger Family Cappuccino,"€ 2,79","1 kg = 5,58 €","verschiedene Sorten, Eiskaffee oder Latte Macchiato, 500 g Packung, (1 kg = 5,58 €)",2026-01-05,2026-01-10,images_edeka/kr-ger-family-cappuccino.jpg
Surig Essigessenz,"€ 1,11","1 kg = 2,78 €","verschiedene Sorten, 400 g Flasche, (1 kg = 2,78 €)",2026-01-05,2026-01-10,images_edeka/surig-essigessenz.jpg
Kühne Trink Apfel Essig-Mix,"€ 2,79","1 l = 5,58 €","verschiedene Sorten, 500 ml Flasche, (1 l = 5,58 €)",2026-01-05,2026-01-10,images_edeka/k-hne-trink-apfel-essig-mix.jpg
EDEKA Bio Hartweizen- oder Vollkornpasta,"€ 0,75","1 kg = 1,50 €","verschiedene Ausformungen, 500 g Packung, (1 kg = 1,50 €)",2026-01-05,2026-01-10,images_edeka/edeka-bio-hartweizen-oder-vollkornpasta.jpg
Barilla Collezione oder Al Bronzo,"€ 2,00","1 kg = 4,00 €","verschiedene Sorten, 500 g Packung, (1 kg = 4,00 €)",2026-01-05,2026-01-10,images_edeka/barilla-collezione-oder-al-bronzo.jpg
Monini Natives Olivenöl Extra,"€ 5,99","1 l = 11,98 €","verschiedene Sorten, 500 ml Flasche, (1 l = 11,98 €)",2026-01-05,2026-01-10,images_edeka/monini-natives-oliven-l-extra.jpg
EDEKA Herzstücke Pastasauce,"€ 2,00","1 kg = 5,71 €","verschiedene Sorten, 350 g Glas, (1 kg = 5,71 €)",2026-01-05,2026-01-10,images_edeka/edeka-herzst-cke-pastasauce.jpg
Develey Feinkostsauce,"€ 1,29","1 l = 5,16 €","verschiedene Sorten, 250 ml Flasche, (1 l = 5,16 €)",2026-01-05,2026-01-10,images_edeka/develey-feinkostsauce.jpg
Händlmaier Senf,"€ 1,00","1 l = 5,00 €","verschiedene Sorten, 200 ml Glas/Tube, (1 l = 5,00 €)",2026-01-05,2026-01-10,images_edeka/h-ndlmaier-senf.jpg
Mehlig Heller Ofenleberkäs,"€ 2,49","1 kg = 9,96 €","verschiedene Sorten, 250 g Glas, (1 kg = 9,96 €)",2026-01-05,2026-01-10,images_edeka/mehlig-heller-ofenleberk-s.jpg
Gut Günstig MSC Thunfisch Filets,"€ 1,19",Kein Mengenpreis,verschiedene Sorten Ausgenommen Filets in Olivenöl.,2026-01-05,2026-01-10,images_edeka/gut-g-nstig-msc-thunfisch-filets.jpg
Bresso 100 pflanzlich,"€ 2,00","1 kg = 14,29 €","verschiedene Sorten, auf Mandel-Basis, vegan, 140 g Becher, (1 kg = 14,29 €)",2026-01-05,2026-01-10,images_edeka/bresso-100-pflanzlich.jpg
EDEKA Bio My Veggie Hafer Drink,"€ 0,90","1 l = 0,90 €","verschiedene Sorten oder Hafer-Mandel Drink vegan Ausgenommen Hafer Drink mit Geschmack., 1 Liter Packung, (1 l = 0,90 €)",2026-01-05,2026-01-10,images_edeka/edeka-bio-my-veggie-hafer-drink.jpg
Langnese Honig,"€ 3,49","1 kg = 6,98 €","verschiedene Sorten, 500 g Glas, (1 kg = 6,98 €)",2026-01-05,2026-01-10,images_edeka/langnese-honig.jpg
Milka Haselnusscreme,"€ 2,49","1 kg = 7,11 €","mit Rapsöl, 350 g Glas, (1 kg = 7,11 €)",2026-01-05,2026-01-10,images_edeka/milka-haselnusscreme.jpg
Corny Müsliriegel,"€ 1,59",Kein Mengenpreis,verschiedene Sorten Ausgenommen Skyr.,2026-01-05,2026-01-10,images_edeka/corny-m-sliriegel.jpg
IronMaxx Lava Bar,"€ 1,49",Kein Mengenpreis,"verschiedene Sorten, Prookie oder Protein & Nut",2026-01-05,2026-01-10,images_edeka/ironmaxx-lava-bar.jpg
IronMaxx Clear Plant Protein Zero,"€ 17,99","1 kg = 44,98 €","Pfirsich-Eistee, 400 g Dose, (1 kg = 44,98 €)",2026-01-05,2026-01-10,images_edeka/ironmaxx-clear-plant-protein-zero.jpg
IronMaxx 100 Whey Protein,"€ 12,99","1 kg = 25,98 €","verschiedene Sorten, 500 g Packung, (1 kg = 25,98 €)",2026-01-05,2026-01-10,images_edeka/ironmaxx-100-whey-protein.jpg
Power System Lower Carb Bar,"€ 1,29",Kein Mengenpreis,verschiedene Sorten,2026-01-05,2026-01-10,images_edeka/power-system-lower-carb-bar.jpg
Barebells Protein Bar Riegel,"€ 1,99","1 kg = 36,18 €","verschiedene Sorten, 55 g Packung, (1 kg = 36,18 €)",2026-01-05,2026-01-10,images_edeka/barebells-protein-bar-riegel.jpg
Mövenpick Gourmet-Frühstück,"€ 2,00","1 kg = 8,00 €","verschiedene Sorten, 250 g Glas, (1 kg = 8,00 €)",2026-01-05,2026-01-10,images_edeka/m-venpick-gourmet-fr-hst-ck.jpg
Gut Günstig Raffinade Zucker,"€ 0,79","1 kg = 0,79 €","Höchstabgabemenge: 12 Packungen, 1000 g Packung, (1 kg = 0,79 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-raffinade-zucker.jpg
Tante Fanny Frischer Dinkel Pizzateig,"€ 1,99","1 kg = 4,98 €","100 % Dinkel, backfertig auf Backpapier, 400 g Packung, (1 kg = 4,98 €)",2026-01-05,2026-01-10,images_edeka/tante-fanny-frischer-dinkel-pizzateig.jpg
demeter Tress Brüder Bio Suppe oder Eintopf,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, vegan",2026-01-05,2026-01-10,images_edeka/demeter-tress-br-der-bio-suppe-oder-eintopf.jpg
Dr Karg s Snack,"€ 1,79",Kein Mengenpreis,verschiedene Sorten Je nach Verfügbarkeit des Marktes.,2026-01-05,2026-01-10,images_edeka/dr-karg-s-snack.jpg
Gut Günstig Tortilla Wraps,"€ 1,00","1 kg = 2,70 €","verschiedene Sorten, zum Einwickeln, 6er, vegan, 370 g Packung, (1 kg = 2,70 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-tortilla-wraps.jpg
Ibis 4 Sandwich Baguettes XXL,"€ 1,99","1 kg = 5,85 €","vorgeschnitten, 340 g Packung, (1 kg = 5,85 €)",2026-01-05,2026-01-10,images_edeka/ibis-4-sandwich-baguettes-xxl.jpg
Grüne Oliven,"€ 1,79",Kein Mengenpreis,"mit Basilikum, ohne Stein, 100 g",2026-01-05,2026-01-10,images_edeka/gr-ne-oliven.jpg
Pikanter Weißkrautsalat,"€ 0,69",Kein Mengenpreis,"herzhaftes Weißkraut, verfeinert mit frischer Paprika und Zwiebeln, in einer wu?rzigen Vinaigrette aus Essig und Öl, 100 g",2026-01-05,2026-01-10,images_edeka/pikanter-wei-krautsalat.jpg
Like Meat Fleischersatzprodukt,"€ 2,49","1 kg = 13,83 €","verschiedene Sorten, rein pflanzlich, vegan, 180 g Packung, (1 kg = 13,83 €)",2026-01-05,2026-01-10,images_edeka/like-meat-fleischersatzprodukt.jpg
Nordsee MSC Backfisch Fischfrikadellen,"€ 2,49",Kein Mengenpreis,"2er, mit Dip, Matjesfilets oder Heringsfilet verschiedene Sorten",2026-01-05,2026-01-10,images_edeka/nordsee-msc-backfisch-fischfrikadellen.jpg
Rügenwalder Mühle veganer Schinken Spicker Hauchgenuss Mühlen Salami,"€ 1,19",Kein Mengenpreis,verschiedene Sorten oder Abenteuer Mortadella,2026-01-05,2026-01-10,images_edeka/r-genwalder-m-hle-veganer-schinken-spicker-hauchgenuss-m-hlen-salami.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 92,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,
Dr Oetker Ristorante Pizza Piccola,"€ 1,88",Kein Mengenpreis,"verschiedene Sorten oder Bistro Flammkuchen Elsässer Art, tiefgefroren Ausgenommen glutenfrei.",2026-01-05,2026-01-10,images_edeka/dr-oetker-ristorante-pizza-piccola.jpg
Frosta MSC Schlemmerfilet oder Fischstäbchen,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-05,2026-01-10,images_edeka/frosta-msc-schlemmerfilet-oder-fischst-bchen.jpg
Coppenrath Wiese Cafeteria fein sahnig,"€ 3,49",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-05,2026-01-10,images_edeka/coppenrath-wiese-cafeteria-fein-sahnig.jpg
Mövenpick Eis,"€ 1,99",Kein Mengenpreis,verschiedene Sorten,2026-01-05,2026-01-10,images_edeka/m-venpick-eis.jpg
Frosta Gemüse Pfanne oder -Mix,"€ 2,22",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-05,2026-01-10,images_edeka/frosta-gem-se-pfanne-oder-mix.jpg
Costa Lachsfilets,"€ 12,99","1 kg = 30,93 €","ohne Haut, praktisch grätenfrei, 3er, tiefgefroren, 420 g Packung, (1 kg = 30,93 €)",2026-01-05,2026-01-10,images_edeka/costa-lachsfilets.jpg
iglo Green Cuisine,"€ 2,79",Kein Mengenpreis,"verschiedene Sorten, vegetarisch oder vegan, tiefgefroren",2026-01-05,2026-01-10,images_edeka/iglo-green-cuisine.jpg
Alberto Pasta Fertiggericht,"€ 2,22","1 kg = 5,55 €","verschiedene Sorten, tiefgefroren, 400 g Packung, (1 kg = 5,55 €)",2026-01-05,2026-01-10,images_edeka/alberto-pasta-fertiggericht.jpg
Dr Oetker suprema Pizza,"€ 5,99",Kein Mengenpreis,"verschiedene Sorten, tiefgefroren",2026-01-05,2026-01-10,images_edeka/dr-oetker-suprema-pizza.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 103,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,
Welsfilet Claresse,"€ 1,79",Kein Mengenpreis,"sehr festes, schmackhaftes Filet, praktisch grätenfrei, 100 g",2026-01-05,2026-01-10,images_edeka/welsfilet-claresse.jpg
Bücklinge,"€ 0,99",Kein Mengenpreis,"rund oder ausgenommen, geräuchert, 100 g",2026-01-05,2026-01-10,images_edeka/b-cklinge.jpg
Bratheringe,"€ 1,19",Kein Mengenpreis,"mildsauer eingelegt, 100 g",2026-01-05,2026-01-10,images_edeka/bratheringe.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 108,"€ ,00",Kein Mengenpreis,,2026-01-05,2026-01-10,
Metzgerhinterschinken gekocht,"€ 1,39",Kein Mengenpreis,"mager, mild im Geschmack, 100 g",2026-01-05,2026-01-10,images_edeka/metzgerhinterschinken-gekocht.jpg
Hähnchengrillbrust,"€ 1,69",Kein Mengenpreis,"gegart, saftig, magere Scheiben, 100 g",2026-01-05,2026-01-10,images_edeka/h-hnchengrillbrust.jpg
Mini Knabber-Kabanos,"€ 1,79",Kein Mengenpreis,"herzhaft im Geschmack, 100 g",2026-01-05,2026-01-10,images_edeka/mini-knabber-kabanos.jpg
Pfälzer Leberwurst,"€ 1,19",Kein Mengenpreis,"deftig im Geschmack, 100 g",2026-01-05,2026-01-10,images_edeka/pf-lzer-leberwurst.jpg
Aspikaufschnitt,"€ 1,19",Kein Mengenpreis,"verschiedene Sorten, 100 g",2026-01-05,2026-01-10,images_edeka/aspikaufschnitt.jpg
Steinhaus Krustenbraten,"€ 1,99",Kein Mengenpreis,"Klassik, deftig, 100 g",2026-01-05,2026-01-10,images_edeka/steinhaus-krustenbraten.jpg
Vesperbauch,"€ 1,99",Kein Mengenpreis,"vom Schwein, mit Bacongewürz, gegart, 100 g",2026-01-05,2026-01-10,images_edeka/vesperbauch.jpg
Mendel Bauchspeck Pancetta Twenty,"€ 2,19",Kein Mengenpreis,"mit Buchenholz geräuchert und Naturkräutern gewürzt, 100 g",2026-01-05,2026-01-10,images_edeka/mendel-bauchspeck-pancetta-twenty.jpg
Schlackwurst,"€ 1,99",Kein Mengenpreis,"nach überlieferter Rezeptur hergestellt, 100 g",2026-01-05,2026-01-10,images_edeka/schlackwurst.jpg
Wiltmann Katenrauchwurst,"€ 1,99",Kein Mengenpreis,"mild gewürzt, 100 g",2026-01-05,2026-01-10,images_edeka/wiltmann-katenrauchwurst.jpg
Pfeffer- oder Paprikabeißer,"€ 1,29",Kein Mengenpreis,"knackig, mild geräuchert, 100 g",2026-01-05,2026-01-10,images_edeka/pfeffer-oder-paprikabei-er.jpg
Presssack rot weiß,"€ 1,19",Kein Mengenpreis,"gut gewürzt im Magen oder Kunstdarm Je nach Verfügbarkeit des Marktes., 100 g",2026-01-05,2026-01-10,images_edeka/presssack-rot-wei.jpg
Bierschinken oder Kaiserjagdwurst,"€ 0,99",Kein Mengenpreis,"mit viel magerer Einlage, 100 g",2026-01-05,2026-01-10,images_edeka/bierschinken-oder-kaiserjagdwurst.jpg
Krakauer,"€ 1,19",Kein Mengenpreis,"gekocht, im Ring, 100 g",2026-01-05,2026-01-10,images_edeka/krakauer.jpg
Fleischsalat nach Metzger Art,"€ 0,89",Kein Mengenpreis,"fein geschnittene Schinkenwurst mit Gewürzgurken und einer cremig-klassischen Salatmayonnaise, 100 g",2026-01-05,2026-01-10,images_edeka/fleischsalat-nach-metzger-art.jpg
Bauernschätze Putenfleischwurst,"€ 1,29",Kein Mengenpreis,100 g,2026-01-05,2026-01-10,images_edeka/bauernsch-tze-putenfleischwurst.jpg
Wiltmann Salami,"€ 1,49","1 kg = 18,63 €","verschiedene Sorten Ausgenommen Bio Salami 80 g., 80 g Packung, (1 kg = 18,63 €)",2026-01-05,2026-01-10,images_edeka/wiltmann-salami.jpg
Gut Günstig Delikatess Brühwurst-Aufschnitt,"€ 1,00","1 kg = 5,00 €","verschiedene Sorten, 200 g Packung, (1 kg = 5,00 €)",2026-01-05,2026-01-10,images_edeka/gut-g-nstig-delikatess-br-hwurst-aufschnitt.jpg
Ferdi Fuchs Mini Würstchen,"€ 1,00",Kein Mengenpreis,"verschiedene Sorten, 2-5er Je nach Verfügbarkeit des Marktes.",2026-01-05,2026-01-10,images_edeka/ferdi-fuchs-mini-w-rstchen.jpg
Schweinekammbraten,"€ 0,66",Kein Mengenpreis,"ohne Knochen, 100 g",2026-01-05,2026-01-10,images_edeka/schweinekammbraten.jpg
Schweinekammsteaks,"€ 0,79",Kein Mengenpreis,"natur auch in gewürzt erhältlich, 100 g = 0,89 €, 100 g",2026-01-05,2026-01-10,images_edeka/schweinekammsteaks.jpg
Rinderrouladen -schmorbraten oder -gulasch,"€ 1,99",Kein Mengenpreis,"aus der Keule, 100 g",2026-01-05,2026-01-10,images_edeka/rinderrouladen-schmorbraten-oder-gulasch.jpg
Rinderroulade,"€ 2,19",Kein Mengenpreis,"aus der Oberschale, dem besten Stück der Keule, natur, 100 g",2026-01-05,2026-01-10,images_edeka/rinderroulade.jpg
