Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Genuss Pur,3 Glocken,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_104.jpg
Croissant,Nutella,"€ 3,99",Kein vorheriger Preis,1 kg = 11.74,,Nein,,,,images_lidl/lidl_offer_105.jpg
Veganes Vegetarisches Sortiment,Rügenwalder Mühle,"€ 2,49",Kein vorheriger Preis,"3,29 €",,Nein,,,,images_lidl/lidl_offer_106.jpg
Mini Würstchen XXL,Ferdi Fuchs,"€ 2,19",Kein vorheriger Preis,1 kg = 8.76,,Nein,,,,images_lidl/lidl_offer_107.jpg
Milch-Schnitte,Kinder,"€ 2,19",Kein vorheriger Preis,1 kg = 11.17,,Nein,,,,images_lidl/lidl_offer_108.jpg
Schlagsahne,Weihenstephan,"€ 2,29",Kein vorheriger Preis,"UVP
3,39 €",,Nein,,,,images_lidl/lidl_offer_109.jpg
Meistertorte,Coppentath Wiese,"€ 5,99",Kein vorheriger Preis,"8,49 €",,Nein,,,,images_lidl/lidl_offer_110.jpg
Basmati Reis,Golden Sun,"€ 2,19",Kein vorheriger Preis,"2,99 €",,Nein,,,,images_lidl/lidl_offer_111.jpg
Milchbrötchen,0 55,"€ 0,55",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_112.jpg
Weihnachtssterne,3 49,"€ 3,49",Kein vorheriger Preis,1 kg = 11.19,,Nein,,,,images_lidl/lidl_offer_113.jpg
Apfeltasche,1 38 2 07,"€ 1,38",Kein vorheriger Preis,"2,07 €",,Nein,,,,images_lidl/lidl_offer_114.jpg
Zimtstange,2 49,"€ 2,49",Kein vorheriger Preis,1 kg = 6.01,,Nein,,,,images_lidl/lidl_offer_115.jpg
Delikatess Lachsschinken,Dulano,"€ 1,99",Kein vorheriger Preis,"2,49 €",,Nein,,,,images_lidl/lidl_offer_116.jpg
Bauernbaguette,0 49 0 79,"€ 0,49",Kein vorheriger Preis,"0,79 €",,Nein,,,,images_lidl/lidl_offer_117.jpg
Delikatess Geflügel-Wiener,Dulano,"€ 2,19",Kein vorheriger Preis,"2,59 €",,Nein,,,,images_lidl/lidl_offer_118.jpg
Delikatess Mini Wiener Klassik,Dulano,"€ 2,49",Kein vorheriger Preis,1 kg = 7.78,,Nein,,,,images_lidl/lidl_offer_119.jpg
Delikatess Wiener Würstchen,Dulano,"€ 5,79",Kein vorheriger Preis,"6,79 €",,Nein,,,,images_lidl/lidl_offer_120.jpg
Delikatess Wiener Würstchen,Dulano,"€ 2,45",Kein vorheriger Preis,"2,99 €",,Nein,,,,images_lidl/lidl_offer_121.jpg
Delikatess Bockwurst,Dulano,"€ 2,99",Kein vorheriger Preis,"3,69 €",,Nein,,,,images_lidl/lidl_offer_122.jpg
Karottensalat,Chef Select,"€ 1,49",Kein vorheriger Preis,1 kg = 4.97/3.73,,Nein,,,,images_lidl/lidl_offer_123.jpg
Regionale Kartoffelsalate Rheinischer Art,Chef Select,"€ 1,29",Kein vorheriger Preis,1 kg = 5.16,,Nein,,,,images_lidl/lidl_offer_124.jpg
Guacamole Avocadocreme,Chef Select,"€ 1,59",Kein vorheriger Preis,1 kg = 9.09,,Nein,,,,images_lidl/lidl_offer_125.jpg
Nudelsalat,Chef Select,"€ 1,49",Kein vorheriger Preis,1 kg = 3.73,,Nein,,,,images_lidl/lidl_offer_126.jpg
Antipasticreme Kirschpaprika,Chef Select,"€ 1,59",Kein vorheriger Preis,1 kg = 10.60,,Nein,,,,images_lidl/lidl_offer_127.jpg
Oliven,Chef Select,"€ 1,79",Kein vorheriger Preis,1 kg = 11.93,,Nein,,,,images_lidl/lidl_offer_128.jpg
Kartoffelsalat mit Ei und Gurken,Chef Select,"€ 1,99",Kein vorheriger Preis,"2,49 €",,Nein,,,,images_lidl/lidl_offer_129.jpg
Grüne Peperoni,Chef Select,"€ 1,99",Kein vorheriger Preis,1 kg = 13.27,,Nein,,,,images_lidl/lidl_offer_130.jpg
Mini-Kontaktgrill,Silvercrest Kitchen Tools,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_131.jpg
Königskuchenform,Kaiser,"€ 6,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_132.jpg
Heißluftfritteuse,Cosori,"€ 79,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_133.jpg
Kaffeevollautomat,Philips,"€ 299,00",Kein vorheriger Preis,"UVP
649,99 €",,Nein,,,,images_lidl/lidl_offer_134.jpg
Whisky-Set 12-teilig,Livarno Home,"€ 4,99",Kein vorheriger Preis,"7,99 €",,Nein,,,,images_lidl/lidl_offer_135.jpg
Gusseisen-Bräter,Livarno Home,"€ 24,99",Kein vorheriger Preis,"29,99 €",,Nein,,,,images_lidl/lidl_offer_136.jpg
Entsafter,Philips,"€ 49,99",Kein vorheriger Preis,"UVP
119,99 €",,Nein,,,,images_lidl/lidl_offer_137.jpg
Kitchen Tools Elektrischer Korkenzieher,Silvercrest,"€ 4,99",Kein vorheriger Preis,"9,99 €",,Nein,,,,images_lidl/lidl_offer_138.jpg
Gesellschaftsspiel,Lupilu,"€ 9,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_139.jpg
15 Zoll Notebook,Hp,"€ 259,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_140.jpg
DAB -Bluetooth-Radio,Tronic,"€ 29,99",Kein vorheriger Preis,"34,99 €",,Nein,,,,images_lidl/lidl_offer_141.jpg
Vier gewinnt,Lupilu,"€ 8,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_142.jpg
Volkswagen T1 Hippie Style,Ravensburger,,Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_143.jpg
Thermo- und Hygrometer-Set,Auriol,"€ 4,99",Kein vorheriger Preis,"7,99 €",,Nein,,,,images_lidl/lidl_offer_144.jpg
Handbrausen-Set,Livarno Home,"€ 6,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_145.jpg
Waschmaschinen-Überbauregal,Livarno,"€ 17,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_146.jpg
Einhebel-Armatur,Livarno Home,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_147.jpg
Ultraschall-Aroma-Diffuser,Livarno Home,"€ 13,99",Kein vorheriger Preis,"29,99 €",,Nein,,,,images_lidl/lidl_offer_148.jpg
Lockenstab,Cien Beauty,"€ 14,99",Kein vorheriger Preis,"21,99 €",,Nein,,,,images_lidl/lidl_offer_149.jpg
Haarglättungsbürste,Cien Beauty,"€ 12,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_150.jpg
Haartrockner,Remington,"€ 15,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_151.jpg
Beleuchteter Vergrößerungs- Make-up-Spiegel,Cien Beauty,"€ 9,99",Kein vorheriger Preis,"14,99 €",,Nein,,,,images_lidl/lidl_offer_152.jpg
Badematte,Livarno,"€ 7,99",Kein vorheriger Preis,"11,99 €",,Nein,,,,images_lidl/lidl_offer_153.jpg
Elektrorasierer Series 5,Braun,"€ 69,99",Kein vorheriger Preis,"UVP
149,99 €",,Nein,,,,images_lidl/lidl_offer_154.jpg
Akku-Zahnbürste,Cien Beauty,"€ 14,99",Kein vorheriger Preis,"17,99 €",,Nein,,,,images_lidl/lidl_offer_155.jpg
6-in-1 Polierfeile,Cien Beauty,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_156.jpg
WC-Garnitur,Livarno Home,"€ 1,99",Kein vorheriger Preis,"2,99 €",,Nein,,,,images_lidl/lidl_offer_157.jpg
Frottierware 2 Handtücher,Livarno,"€ 3,99",Kein vorheriger Preis,"7,99 €",,Nein,,,,images_lidl/lidl_offer_158.jpg
Badmöbel-Set,Livarno Home,"€ 49,99",Kein vorheriger Preis,"59,99 €",,Nein,,,,images_lidl/lidl_offer_159.jpg
Badmöbel-Set,Livarno Home,"€ 109,00",Kein vorheriger Preis,"124,98 €",,Nein,,,,images_lidl/lidl_offer_160.jpg
Duschtuch,Gözze,"€ 6,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_161.jpg
WC-Sitz,Livarno Home,"€ 14,99",Kein vorheriger Preis,"17,99 €",,Nein,,,,images_lidl/lidl_offer_162.jpg
Kinder Seamless-Funktionsunterwäsche 2-teilig,Lupilu,"€ 7,99",Kein vorheriger Preis,"14,99 €",,Nein,,,,images_lidl/lidl_offer_163.jpg
Baby Kleinkinder-Matsch- und Buddel-Latzhose,Lupilu,"€ 6,99",Kein vorheriger Preis,"9,99 €",,Nein,,,,images_lidl/lidl_offer_164.jpg
Baby Kleinkinder-Matsch- und Buddeljacke,Lupilu,"€ 8,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_165.jpg
Baby Kleinkinder-Matsch- und Buddel Overall,Lupilu,"€ 12,99",Kein vorheriger Preis,"16,99 €",,Nein,,,,images_lidl/lidl_offer_166.jpg
Kleinkinder-Regenstiefel mit Licht,Lupilu,"€ 9,99",Kein vorheriger Preis,"14,99 €",,Nein,,,,images_lidl/lidl_offer_167.jpg
Kinderküche,Roba,"€ 59,99",Kein vorheriger Preis,"UVP
152,10 €",,Nein,,,,images_lidl/lidl_offer_168.jpg
Mega Construx Pok mon Charizard,Mattel,"€ 14,99",Kein vorheriger Preis,"UVP
27,99 €",,Nein,,,,images_lidl/lidl_offer_169.jpg
Beschäftigungs-Set,5 99,"€ 5,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_170.jpg
Paw Patrol Puzzlebuch,Keine Marke,,Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_171.jpg
Plüschfigur,Spinmaster,"€ 5,49",Kein vorheriger Preis,"UVP
9,99 €",,Nein,,,,images_lidl/lidl_offer_172.jpg
Bluey Spielfiguren-Set,Bluey,"€ 12,99",Kein vorheriger Preis,"UVP
19,99 €",,Nein,,,,images_lidl/lidl_offer_173.jpg
Zweisprachiger Laptop,Lexibook,,Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_174.jpg
Zaubertafel,Clementoni,"€ 9,99",Kein vorheriger Preis,"UVP
24,99 €",,Nein,,,,images_lidl/lidl_offer_175.jpg
Luv-A-Boos Fluffy Monster,Hti,"€ 4,99",Kein vorheriger Preis,"UVP
5,99 €",,Nein,,,,images_lidl/lidl_offer_176.jpg
Barbie-Puppe,Barbie,"€ 9,99",Kein vorheriger Preis,"14,99 €",,Nein,,,,images_lidl/lidl_offer_177.jpg
Rollregal,Livarno,"€ 14,99",Kein vorheriger Preis,"24,99 €",,Nein,,,,images_lidl/lidl_offer_178.jpg
Sitztruhe,Livarno,"€ 9,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_179.jpg
Kuscheltier mit LED-Nachtlicht,Playtive,"€ 12,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_180.jpg
Kindertisch mit 2 Stühlen,Livarno,"€ 29,99",Kein vorheriger Preis,"44,99 €",,Nein,,,,images_lidl/lidl_offer_181.jpg
Kinder-Bademantel,Livarno,"€ 6,99",Kein vorheriger Preis,"17,99 €",,Nein,,,,images_lidl/lidl_offer_182.jpg
Kinder-Spielteppich,Livarno,"€ 8,88",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_183.jpg
Kuscheldecke,Livarno,"€ 5,99",Kein vorheriger Preis,"7,99 €",,Nein,,,,images_lidl/lidl_offer_184.jpg
Kleiderständer,Livarno,"€ 17,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_185.jpg
Samt-Tagesdecke,Livarno,"€ 9,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_186.jpg
