Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
tegut Bio-Zitrone,demeter,"€ 0,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_042.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",BLS-F601100,ref_000042,obs_0000031396|obs_0000031583|obs_0000031778|obs_0000031988|obs_0000028068|obs_0000029044|obs_0000031377|obs_0000027707|obs_0000029969,obs_0000031396
Weintrauben blau kernlos,Weintrauben blau kernlos,"€ 1,49",,"1 kg = 2,98 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_043.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000043,obs_0000032205|obs_0000031393|obs_0000031587|obs_0000031334|obs_0000031784|obs_0000031994,obs_0000032205
Orangen,Götterfrucht,"€ 2,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_044.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",BLS-F603100,ref_000044,obs_0000025985|obs_0000014982|obs_0000008201|obs_0000009610|obs_0000025482|obs_0000027404|obs_0000009233|obs_0000028692|obs_0000028954|obs_0000015530|obs_0000027950|obs_0000008762|obs_0000026175|obs_0000026183|obs_0000027719|obs_0000022988|obs_0000020431|obs_0000023119|obs_0000029523|obs_0000012886|obs_0000023895|obs_0000029787|obs_0000008423|obs_0000024681|obs_0000017644|obs_0000027258|obs_0000013835|obs_0000014735|obs_0000001301|obs_0000012188|obs_0000014236|obs_0000009630|obs_0000025883|obs_0000031779|obs_0000028070|obs_0000031398|obs_0000010422|obs_0000031484|obs_0000027718|obs_0000011208|obs_0000031180|obs_0000028247|obs_0000031318|obs_0000013402|obs_0000031998|obs_0000024293|obs_0000032204|obs_0000023552|obs_0000011654|obs_0000005659,obs_0000025985|obs_0000014982|obs_0000008201|obs_0000009610|obs_0000025482|obs_0000027404|obs_0000009233|obs_0000028692|obs_0000028954|obs_0000015530|obs_0000027950|obs_0000008762|obs_0000026175|obs_0000026183|obs_0000027719|obs_0000022988|obs_0000020431|obs_0000023119|obs_0000029523|obs_0000012886|obs_0000023895|obs_0000029787|obs_0000008423|obs_0000024681|obs_0000017644|obs_0000027258
Bio-Avocado,Bio-Avocado,"€ 2,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_045.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000045,obs_0000031181|obs_0000026923|obs_0000028251|obs_0000028339|obs_0000028384|obs_0000028593|obs_0000029086|obs_0000029981|obs_0000000058|obs_0000000694|obs_0000017273|obs_0000025668|obs_0000001305|obs_0000025981|obs_0000018642|obs_0000027250|obs_0000027328|obs_0000019461|obs_0000028689|obs_0000012598|obs_0000031569|obs_0000031980|obs_0000015691|obs_0000008174|obs_0000000895,obs_0000026923|obs_0000028251|obs_0000028339|obs_0000028384|obs_0000028593|obs_0000029086|obs_0000029981|obs_0000031181
Ananas Sweet,Ananas Sweet,"€ 1,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_046.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,ref_000046,obs_0000028009|obs_0000028592|obs_0000013339|obs_0000011428|obs_0000005298|obs_0000006583|obs_0000027094|obs_0000025204|obs_0000012663,
LandPrimus Rinderbraten,tegut,"€ 1,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_047.jpg,"cat_fleisch_wurst,sub_rind,tag_ultra_processed,tag_whole_food",,ref_000047,obs_0000032003|obs_0000026628|obs_0000026742|obs_0000031401|obs_0000008923|obs_0000009016|obs_0000008584,obs_0000032003|obs_0000031596
Maigriller,LandPrimus,"€ 0,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_048.jpg,"cat_fleisch_wurst,tag_ultra_processed",BLS-C346000,ref_000048,obs_0000031403,obs_0000031403
Bio-Putenoberkeule,Bio-Putenoberkeule,"€ 1,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_049.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_gefluegel,tag_proteinreich,tag_whole_food",,ref_000049,obs_0000031193,obs_0000031193
Feinstes Dry Aged Rinderhüftsteak,tegut,"€ 7,42",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_050.jpg,"cat_fleisch_wurst,sub_rind,tag_whole_food",,ref_000050,obs_0000008916,
Schweinebauch,LandPrimus,"€ 0,79",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_051.jpg,"cat_fleisch_wurst,sub_schwein,tag_ultra_processed",BLS-Y381352,ref_000051,obs_0000003080|obs_0000005772|obs_0000018453|obs_0000004635|obs_0000002728|obs_0000003781|obs_0000009929|obs_0000020819|obs_0000024278|obs_0000016617|obs_0000002411|obs_0000004208|obs_0000009200|obs_0000007674|obs_0000001917|obs_0000032004|obs_0000021165|obs_0000018608|obs_0000022327|obs_0000031185|obs_0000022747|obs_0000019427|obs_0000023406|obs_0000010866|obs_0000014297,obs_0000003080|obs_0000005772|obs_0000018453|obs_0000004635|obs_0000002728|obs_0000003781|obs_0000009929|obs_0000020819|obs_0000024278|obs_0000016617|obs_0000002411|obs_0000004208|obs_0000009200|obs_0000007674|obs_0000001917
Lammhüfte,Lammhüfte,"€ 3,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_052.jpg,cat_fleisch_wurst,,ref_000052,obs_0000031588|obs_0000027321|obs_0000029033,obs_0000027321|obs_0000031588|obs_0000029033
Hähnchenschenkel,LandPrimus,"€ 0,99",,"1,29 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_053.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich",BLS-Y599012,ref_000053,obs_0000003727|obs_0000024599|obs_0000000293|obs_0000007081|obs_0000004154|obs_0000004581|obs_0000029301|obs_0000025595|obs_0000029324|obs_0000022671|obs_0000028589|obs_0000002354|obs_0000016957|obs_0000031167|obs_0000022248|obs_0000032213|obs_0000027637|obs_0000003200|obs_0000023916,obs_0000003727|obs_0000024599|obs_0000000293|obs_0000007081|obs_0000004154|obs_0000004581|obs_0000029301|obs_0000025595
Rindergulasch,Rindergulasch,"€ 1,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_054.jpg,"cat_fleisch_wurst,sub_rind,tag_ultra_processed,tag_whole_food",BLS-U151100,ref_000054,obs_0000032163|obs_0000008718|obs_0000012207|obs_0000020945|obs_0000005586|obs_0000009939|obs_0000010035|obs_0000031187|obs_0000008408|obs_0000008698|obs_0000013436|obs_0000016991|obs_0000016175,obs_0000032163|obs_0000008718|obs_0000012207|obs_0000020945|obs_0000005586|obs_0000009939|obs_0000010035|obs_0000031187|obs_0000008408|obs_0000008698|obs_0000013436|obs_0000016991
Schweinemett,Schweinemett,"€ 0,69",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_055.jpg,"cat_fleisch_wurst,diet_gluten_free,sub_schwein,tag_whole_food",BLS-U622100,ref_000055,obs_0000031597|obs_0000028093|obs_0000012197,obs_0000031597
Lammspieß mit Speckbohnen,Lammspieß mit Speckbohnen,"€ 3,49",,"3,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_056.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte",,ref_000056,,
Schweinegeschnetzeltes,Schweinegeschnetzeltes,"€ 0,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_057.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_schwein,tag_high_protein,tag_proteinreich,tag_whole_food",BLS-Y144512,ref_000057,obs_0000032007|obs_0000031410|obs_0000025306|obs_0000028925|obs_0000007865,obs_0000032007|obs_0000031410|obs_0000025306
Osso-Buco,Osso-Buco,"€ 2,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_058.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,ref_000058,obs_0000031794,obs_0000031794
Büffel Rib-Eye,Büffel Rib-Eye,"€ 3,99",,"4,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_059.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000059,obs_0000032222|obs_0000031409,obs_0000032222
frischer Saibling,frischer Saibling,"€ 1,99",,"2,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,,"cat_molkerei_kaese,sub_milchprodukte,tag_high_protein",,ref_000060,obs_0000006660|obs_0000029361,
Fleischkäse Brötchen Leberkäse Semmel,Fleischkäse Brötchen Leberkäse Semmel,"€ 2,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_061.jpg,"cat_fleisch_wurst,sub_kaese,sub_milchprodukte,sub_schwein,sub_wurst,tag_ultra_processed",,ref_000061,obs_0000031805|obs_0000031413|obs_0000032018|obs_0000031606|obs_0000031198|obs_0000032227|obs_0000006666|obs_0000025224|obs_0000024274|obs_0000008147|obs_0000026094,obs_0000031805|obs_0000031413|obs_0000032018|obs_0000031606|obs_0000031198|obs_0000032227
Smoky Rauchmatjesfilet,Smoky Rauchmatjesfilet,"€ 1,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_062.jpg,"cat_fisch_meeresfruechte,diet_lactose_free",,ref_000062,obs_0000031801|obs_0000013900|obs_0000011320,obs_0000013900|obs_0000011320|obs_0000031801
