Produkt,Marke,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Especial,SAN MIGUEL,"€ 4,49",5.49,1 l = 2.27,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_247.jpg
Hell,BENEDIKTINER,"€ 14,99",20.99,1 l = 1.50,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_248.jpg
Pils oder Gold,BECK S,"€ 10,99",,1 l = 1.10,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_249.jpg
Keller,WEIHERER,"€ 14,99",16.99,1 l = 1.50,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_250.jpg
Brotzeitseidla,GÖLLER,"€ 10,99",13.99,1 l = 1.10,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_251.jpg
Altfränkisches Lagerbier oder Pilsener,ADLER BRÄU,"€ 12,49",,1 l = 1.25,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_252.jpg
Weißbier-Zitrone alkoholfrei,PAULANER,"€ 3,99",5.29,1 l = 2.02,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_253.jpg
Energy Drink oder Erfrischungsgetränk,RED BULL,"€ 0,85",,1 l = 2.58 - 3.40,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_254.jpg
Teegetränk,ARIZONA,"€ 1,49",,1 l = 1.00,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_255.jpg
Voll- oder Colorwaschmittel,ARIEL,"€ 15,99",,pro Anwendung = 0.16 - 0.21,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_256.jpg
Wäsche-Hygienespüler,SAGROTAN,"€ 2,99",3.75,pro Anwendung = 0.15,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_257.jpg
Weichspüler XXL,LENOR,"€ 3,59",4.55,pro Anwendung = 0.05,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_259.jpg
Fleckenentferner,ACE,"€ 3,79",4.99,1 l = 1.90,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_260.jpg
Toilettenpapier XXL,K-CLASSIC,"€ 5,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_261.jpg
Taschentücher,TEMPO,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_262.jpg
Kraft-Alufolie,TOPPITS,"€ 3,99",5.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_263.jpg
Slipeinlagen,COSMEA,"€ 1,79",2.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_264.jpg
Rohrfrei,RORAX,"€ 2,99",3.75,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_265.jpg
Reiniger,SIDOLIN,"€ 1,49",,1 l = 2.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_266.jpg
Spülmaschinen-Tabs oder -Caps,FINISH,"€ 11,99",14.99,pro Stück = 0.13 - 0.16,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_267.jpg
WC-Stein Power 5,DOMESTOS,"€ 3,33",,1 kg = 22.20,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_268.jpg
Folgemilch 2 oder 3,BEBIVITA,"€ 5,49",6.25,1 kg = 10.98,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_269.jpg
Milch- oder Abendbrei,BEBIVITA,"€ 3,33",3.85,1 kg = 6.66,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_270.jpg
Bio-Mahlzeit oder -Fruchtbrei,HIPP,"€ 1,11",1.55,1 kg = 4.44 - 6.94,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_271.jpg
Shampoo oder Spülung,SYOSS,"€ 3,99",,1 l = 9.07 - 15.96,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_272.jpg
Gliss Shampoo oder Spülung,SCHWARZKOPF,"€ 2,49",,1 l = 9.96 - 12.45,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_273.jpg
Excellence Creme,L OR AL PARIS,"€ 5,55",6.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_274.jpg
Taft Haarlack -spray oder Schaumfestiger,SCHWARZKOPF,"€ 2,89",,1 l = 11.56 - 19.27,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_275.jpg
Trockenshampoo,BATISTE,"€ 3,29",3.75,1 l = 16.45,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_276.jpg
Feuchtigskeitscreme oder Gesichtspflegecreme,NIVEA MEN,"€ 6,99",7.95,1 l = 93.20 - 139.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_277.jpg
Mundwasser,ODOL,"€ 2,95",4.25,1 l = 23.60,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_278.jpg
Zahncreme,SENSODYNE,"€ 3,33",3.95,1 l = 44.40,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_279.jpg
Haftcreme Extra Stark,BLEND-A-DENT,"€ 3,49",4.95,1 kg = 74.26,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_280.jpg
Labs Rasierer,GILLETTE,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_281.jpg
Fusion5 Rasierer,GILLETTE,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_282.jpg
Deo-Roll-on oder -Spray,FA,"€ 2,78",4.17,1 l = 6.20 - 18.60,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_283.jpg
Schaumbad,BEVOLA,"€ 1,11",1.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_284.jpg
Proteinriegel,LAYENBERGER,"€ 0,99",1.35,1 kg = 28.29,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_285.jpg
No Whey Bar,ROCKA,"€ 1,99",2.49,1 kg = 39.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_287.jpg
Lower Carb Bar,POWERX SYSTEM,"€ 1,39",1.85,1 kg = 34.75,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_289.jpg
Protein-Shake 90,K-CONCEPT SPORTS,"€ 6,66",8.45,1 kg = 19.03,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_292.jpg
Hundefutter,CRAVE,"€ 5,99",6.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_293.jpg
Hundesnack XXL,VITAKRAFT,"€ 4,49",,1 kg = 17.96 - 22.45,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_294.jpg
Häppchen in Gelee XXL,K-CLASSIC,"€ 4,49",,1 kg = 1.88,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_295.jpg
Katzensnacks,WHISKAS,"€ 0,99",1.35,1 kg = 9.90 - 19.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_296.jpg
Kleiderschrank Metrik,DOMOPAK LIVING,"€ 17,99",UVP 29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_297.jpg
LED-Badleuchte,LIV BO,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_298.jpg
Filterkaffeemaschine Easy Therm,MELITTA,"€ 34,99",UVP 49.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_299.jpg
Kapselkaffeemaschine Tassimo Style TAS117E,BOSCH,"€ 29,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_300.jpg
Haarschneider HC3505 15,PHILIPS,"€ 19,99",UVP 26.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_301.jpg
Akku-Standmixer NBP003NBL,NUTRIBULLET,"€ 19,99",UVP 39.00,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_302.jpg
Haarglätter HS 7034,GRUNDIG,"€ 19,99",29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_303.jpg
Handmixer Quickmix HT3101,TEFAL,"€ 19,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_304.jpg
Allesschneider AS 3912,SEVERIN,"€ 29,99",UVP 49.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_305.jpg
Rotationsrasierer S1134 00,PHILIPS,"€ 29,99",UVP 39.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_306.jpg
Rasierer One Blade QP2724 17,PHILIPS,"€ 29,99",UVP 39.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_307.jpg
Nasenhaartrimmer NT2650 16,PHILIPS,"€ 12,99",UVP 14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_308.jpg
Induktionskochplatte SOIKP 2200 B1,SWITCH ON,"€ 29,99",34.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_309.jpg
Kapselkaffeemaschine Tassimo Style TAS112E,BOSCH,"€ 29,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_310.jpg
Mini-Backofen OV-3610KL,TRISTAR,"€ 19,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_311.jpg
6-in-1-Multigroomer MG3710 15,PHILIPS,"€ 19,99",UVP 32.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_312.jpg
Volumen- und Lockenstyler HS 7082,GRUNDIG,"€ 24,99",32.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_313.jpg
Kontaktgrill OptiGrill GC7058,TEFAL,"€ 89,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_315.jpg
Epilierer BRE238 00,PHILIPS,"€ 24,99",UVP 29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_316.jpg
Fenstersauger Dry Clean,LEIFHEIT,"€ 39,99",UVP 64.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_317.jpg
Glasreiniger,LEIFHEIT,"€ 3,99",UVP 7.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_319.jpg
Dampfreiniger Steam Plus,VILEDA,"€ 54,99",UVP 119.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_320.jpg
Dampfreiniger-Ersatzbezüge,VILEDA,"€ 7,99",UVP 19.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_321.jpg
Beutelloser Bodenstaubsauger VCC 3170 L,GRUNDIG,"€ 69,99",79.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_322.jpg
Bodenstaubsauger VCC 3851,GRUNDIG,"€ 59,99",79.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_323.jpg
Staubsaugerbeutel K 050,K-CLASSIC,"€ 3,33",4.45,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_324.jpg
Klebenägel Powerstrips höhenverstellbar,TESA,"€ 2,99",UVP 7.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_325.jpg
Klebenägel Powerstrips,TESA,"€ 2,99",UVP 8.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_326.jpg
Schneide- und Abdeckplatte ca 50 x 28 cm,KESPER,"€ 5,99",UVP 22.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_329.jpg
Schneide- und Abdeckplatte ca 60 x 52 cm,KESPER,"€ 9,99",UVP 39.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_330.jpg
Nudelmaschine,STYLE N COOK,"€ 19,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_331.jpg
Blechkuchencontainer,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_332.jpg
Tortenbehälter,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_333.jpg
Kuchenbehälter,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_334.jpg
Thermobecher,GOURMETMAXX,"€ 9,99",UVP 19.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_335.jpg
Teller flach CADIX,LUMINARC,"€ 5,99",12.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_336.jpg
Teller tief CADIX,LUMINARC,"€ 5,99",12.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_337.jpg
Dessertteller CADIX,LUMINARC,"€ 5,99",12.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_338.jpg
Isolierkanne Samba,EMSA,"€ 12,99",UVP 24.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_339.jpg
Glas-Stapelbecher Event ca 315 ml,LEONARDO,"€ 1,11",UVP 1.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_341.jpg
Glas-Stapelbecher Event ca 280 ml,LEONARDO,"€ 1,11",UVP 1.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_342.jpg
Wäschekorb Flexi,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_343.jpg
Scharnierdeckel-Box,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_344.jpg
Henkeleimer,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_345.jpg
Eurobox 15 Liter,Keine Marke,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_346.jpg
Eurobox 5 Liter,Keine Marke,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_347.jpg
Eurobox 55 Liter,Keine Marke,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_348.jpg
Unterbettenbox,Keine Marke,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_349.jpg
Einkaufskorb,Keine Marke,"€ 4,44",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_350.jpg
Recyclingstation,K-CLASSIC,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_351.jpg
Wäschekorb,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_352.jpg
Kleiderhülle Metrik,DOMOPAK LIVING,"€ 2,99",UVP 4.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_353.jpg
XXL-Flügelwäschetrockner MAGNUM,VILEDA,"€ 34,99",UVP 59.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_354.jpg
Kleiderhülle rechteckig Metrik,DOMOPAK LIVING,"€ 2,99",UVP 4.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_356.jpg
Aufbewahrungsbox Metrik,DOMOPAK LIVING,"€ 5,99",UVP 8.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_358.jpg
Staubmagnet Starterset,SWIFFER,"€ 4,99",5.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_359.jpg
Handbrause Eco schwarz,LIV BO,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_360.jpg
Handbrause Eco chrom,LIV BO,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_361.jpg
Schuhabtropfschale ca 60 x 40 cm,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_362.jpg
Schuhabtropfschale ca 45 x 30 cm,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_363.jpg
Digital-Personenwaage Style Sense Comfort 100,SOEHNLE,"€ 14,99",UVP 29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_364.jpg
Bad- und Duschabzieher,LIV BO,"€ 0,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_365.jpg
2-in-1-Komplett-Set TURBO,VILEDA,"€ 29,99",UVP 71.39,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_366.jpg
Profi-Fensterwischer mit Stiel,VILEDA,"€ 12,99",UVP 26.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_368.jpg
Kosmetikeimer,LIV BO,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_369.jpg
WC-Garnitur,K-CLASSIC,"€ 0,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_370.jpg
