Produkt,Marke,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Span ital Bio-Orangen,Keine Marke,"€ 1,99",2.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_048.jpg
Chil marokk Avocado lose,Keine Marke,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_049.jpg
Brasil ghan Papaya,Keine Marke,"€ 2,29",2.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_050.jpg
Demeter dominik ecuador Bananen lose,Keine Marke,"€ 1,99",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_051.jpg
Dtsch Multicolor-Salat,Keine Marke,"€ 1,29",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_053.jpg
Dtsch Cocktailrispentomaten,Keine Marke,"€ 2,99",3.99,1 kg = 8.55,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_054.jpg
Dtsch Speisekartoffeln,Keine Marke,"€ 1,99",2.99,1 kg = 0.80,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_055.jpg
Span ital Bio-Broccoli,Keine Marke,"€ 1,49",1.99,1 kg = 4.26,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_056.jpg
Amaryllis,Keine Marke,"€ 3,79",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_057.jpg
Grünpflanze XL,Keine Marke,"€ 16,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_058.jpg
Kamelie,Keine Marke,"€ 13,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_059.jpg
Ital Tafeläpfel,Keine Marke,"€ 1,99",2.99,1 kg = 2.22,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_061.jpg
Grünpflanze,Keine Marke,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_062.jpg
Zwiebelpflanze Mehrfarbig,Keine Marke,"€ 3,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_064.jpg
Zwiebelpflanze Festival,Keine Marke,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_065.jpg
Dtsch Miniromarispentomaten,Keine Marke,"€ 2,99",,1 kg = 14.95,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_066.jpg
Bioland dtsch Zwiebeln,Keine Marke,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_067.jpg
Cordon Bleu,WILLMS,"€ 3,79",4.99,1 kg = 7.58,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_068.jpg
Schweinehackfleisch,K-PURLAND,"€ 2,22",,1 kg = 4.44,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_069.jpg
Spezialitäten vom Ib rico-Schwein,C SAR NIETO,"€ 27,96",,entspr. z. B. für eine 300-g-Packg. 8.39,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_070.jpg
Backschinken,K-PURLAND,"€ 4,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_071.jpg
Schweinekotelett,K-PURLAND,"€ 4,49",5.45,1 kg = 5.29,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_072.jpg
Kasseler Nacken mit Knochen vom Schwein,K-PURLAND,"€ 5,99",7.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_073.jpg
Spießbraten,SCHWAMM,"€ 8,39",,"entspr. z. B. für eine 1,2-kg-Packg. 10.07",,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_075.jpg
Schweinefilet am Stück,K-PURLAND,"€ 8,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_076.jpg
Geschnetzeltes Gyros Art XXL,K-PURLAND,"€ 4,79",,1 kg = 5.99,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_077.jpg
Schinkenschnitzel,K-PURLAND,"€ 3,99",,1 kg = 6.65,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_078.jpg
Rinderzunge,K-PURLAND,"€ 8,49",11.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_079.jpg
Tafelspitz vom Jungbullen,K-PURLAND,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_080.jpg
Suppenfleisch ohne Knochen,K-PURLAND,"€ 12,99",16.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_081.jpg
Rumpsteak,K-PURLAND,"€ 22,96",27.49,entspr. z. B. für eine 300-g-Packg. 6.89,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_082.jpg
Hähnchen-Geschnetzeltes,K-PURLAND,"€ 3,79",4.99,1 kg = 9.48,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_083.jpg
Souzouki-Stixs Gyros Style,Keine Marke,"€ 2,22",2.79,1 kg = 7.40,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_084.jpg
Hähnchen-Schenkel XXL,K-PURLAND,"€ 6,79",,1 kg = 3.40,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_085.jpg
Fleischwurst XXL,HEIDEGRUND,"€ 1,99",2.65,1 kg = 3.32,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_086.jpg
Münchner Weißwürste,ZIMMERMANN,"€ 2,69",,1 kg = 8.97,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_087.jpg
Kochhinterschinken,K-CLASSIC,"€ 1,29",1.49,1 kg = 6.45,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_088.jpg
Hähnchenbraten,GUTFRIED,"€ 1,49",2.29,1 kg = 14.90,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_089.jpg
Fränk Kellerplatte,BÖHNLEIN,"€ 2,99",3.79,1 kg = 10.88,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_090.jpg
Schwarzwälder Schinken XXL,K-CLASSIC,"€ 2,49",,1 kg = 9.96,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_091.jpg
Salami XXL,K-CLASSIC,"€ 1,79",,1 kg = 7.46,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_092.jpg
Chambelle,REINERT,"€ 1,79",,1 kg = 22.38,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_093.jpg
Wurstspezialitäten,BÖHNLEIN,"€ 2,99",3.99,1 kg = 14.95,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_094.jpg
Sucuk,YAYLA,"€ 2,39",,1 kg = 9.56 - 11.95,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_095.jpg
Bärchen-Wurstspezialität,REINERT,"€ 1,49",,1 kg = 8.28 - 16.56,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_097.jpg
Salami-Sticks,K-CLASSIC,"€ 1,49",1.99,1 kg = 14.90,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_098.jpg
Original Polnische Krakauer,TARCZYNSKI,"€ 2,79",3.79,1 kg = 8.72,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_099.jpg
Fleischwurst,Aus eigener Herstellung,"€ 0,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_100.jpg
Delikatess-Fleischkäse,Aus eigener Herstellung,"€ 0,99",1.39,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_101.jpg
Frischwurst-Aufschnitt,Aus eigener Herstellung,"€ 0,99",1.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_102.jpg
Gin-Schinken,ZIMMERMANN,"€ 1,79",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_103.jpg
Zungenwurst,Aus eigener Herstellung,"€ 0,99",1.89,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_104.jpg
Zwiebelmettwurst,Aus eigener Herstellung,"€ 1,39",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_105.jpg
Alaska-Seelachsloin- Portionen,K-BLUE BAY,"€ 3,49",,1 kg = 15.87,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_106.jpg
