Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Backzutaten,Dr Oetker,"€ 0,99",,"1,29 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_044.jpg,"cat_grundnahrung,tag_ultra_processed"
nimm2 Soft Brause,Storck,"€ 1,69",,"1,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_045.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Pesto Rosso,Barilla,"€ 1,79",,"3,49 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_046.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_ultra_processed"
Backfisch-Stäbchen,Iglo,"€ 2,22",,"4,49 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_047.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,tag_ultra_processed"
Milch-Schnitte,Ferrero,"€ 2,49",,8.89 €/kg,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_048.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Fahrradsocken,CRANE,"€ 2,69",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_049.jpg,cat_non_food
Fahrradhandschuhe,CRANE,"€ 4,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_050.jpg,cat_non_food
Fahrradhelm,RIDE GO,"€ 13,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_051.jpg,cat_non_food
Kinder-Fahrrad-Zubehör,Disney,"€ 1,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_052.jpg,cat_non_food
Fahrradjacke,Crane,"€ 14,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_053.jpg,cat_non_food
