Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Gefüllte Eierlikör-Eier,Favorina,"€ 1,59",,"2,29 €",,Nein,,,,images_lidl/lidl_offer_130.jpg,"cat_getraenke,tag_ultra_processed"
Edel-Marzipan Baumstamm,Favorina,"€ 0,99",,"1,29 €",,Nein,,,,images_lidl/lidl_offer_131.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Edel-Marzipan Eier,Favorina,"€ 1,39",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_132.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Ostereier,Favorina,"€ 2,79",,"3,99 €",,Nein,,,,images_lidl/lidl_offer_133.jpg,cat_getraenke
Schokoladen Eier,Favorina,"€ 2,29",,"2,99 €",,Nein,,,,images_lidl/lidl_offer_134.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Edel Marzipan Ei,Favorina,"€ 1,09",,"1,49 €",,Nein,,,,images_lidl/lidl_offer_135.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,tag_ultra_processed"
Edel Nougat-Eier,Favorina,"€ 1,79",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_136.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Blätterkrokant Eier,Favorina,"€ 1,59",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_137.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Trüffel-Eier,Favorina,"€ 1,99",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_138.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
Körniger Frischkäse,Milbona,"€ 1,49",,"1,79 €",,Nein,,,,images_lidl/lidl_offer_139.jpg,cat_molkerei_kaese
Emmentaler,Milbona,"€ 2,99",,"3,79 €",,Nein,,,,images_lidl/lidl_offer_140.jpg,cat_molkerei_kaese
