Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
XXL Hähnchen- oder Schweineschnitzel,Keine Marke,"€ 2,79","€ 3,29",11.16 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_052.png
Käsekrainer oder Debrecziner,Keine Marke,"€ 3,49","€ 4,49",8.73 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_053.png
Lachsfleisch,Keine Marke,"€ 2,49",Kein vorheriger Preis,22.64 / kg,mit pikanter Meerrettichsauce,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_054.png
Weihnachtsmann & Co. KG Pizza,Keine Marke,"€ 2,99",Kein vorheriger Preis,8.42 - 9.06 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_055.png
Gutshof-Ei frische Wachteleier,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_056.png
Like Meat vegane Spezialitäten,Keine Marke,"€ 2,69","€ 3,29",14.94 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_057.png
Bergader Almzeit Weichkäse oder Bavaria Blu,Keine Marke,"€ 1,99",Kein vorheriger Preis,11.37 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_058.png
Zott Monte Snack,Keine Marke,"€ 1,99",Kein vorheriger Preis,8.58 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_059.png
Weihenstephan Naturjoghurt,Keine Marke,"€ 0,99",Kein vorheriger Preis,1.98 / kg,"gekühlt, 1,5% oder 3,5% Fett",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_060.png
Haltbarer Schmand,Keine Marke,"€ 0,79","€ 0,89",3.95 / kg,24% Fett,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_061.png
Arla Skyr,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,gekühlt,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_062.png
Ehrmann Almighurt Joghurt,Keine Marke,"€ 1,19","€ 2,39",2.38 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_063.png
The Bitery Cookie Teig,Keine Marke,"€ 3,79","€ 4,49",10.53 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_064.png
Le Rustique Weichkäse,Keine Marke,"€ 2,79",Kein vorheriger Preis,11.16 - 13.95 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_065.png
Käsefondue,Keine Marke,"€ 3,49","€ 3,99",8.73 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_066.png
Cheesecake,Keine Marke,"€ 2,99",Kein vorheriger Preis,17.59 - 18.69 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_067.png
Nöm Kefir,Keine Marke,"€ 0,79",Kein vorheriger Preis,3.95 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_068.png
Milram Gewürzquark,Keine Marke,"€ 0,99",Kein vorheriger Preis,5.35 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_069.png
Gamberina Fancy Eiscreme,Keine Marke,"€ 2,99",Kein vorheriger Preis,5.98 / l,"versch. Sorten, tiefgekühlt",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_070.png
Kühlstern Mövenpick Eis,Keine Marke,"€ 1,99","€ 3,99",2.21 - 2.49 / l,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_071.png
iglo Fertiggerichte,Keine Marke,"€ 2,99","€ 3,99",6.64 - 7.04 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_072.png
Wildschweingulasch,Keine Marke,"€ 8,99",Kein vorheriger Preis,17.98 / kg,tiefgekühlt,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_073.png
