Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
KNACK BACK,Frischteig-Produkt,"€ 2,29",2.99,1 kg = 3.82 - 8.81) / (1 kg = 3.32 - 7.66)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_026.jpg
MUTTI,Polpa,"€ 0,99",1.99,1 kg = 4.98) / (1 kg = 2.48)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_027.jpg
K-CLASSIC,Thunfischfilets,"€ 1,11",1.29,1 kg = 6.00) / (1 kg = 5.36)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_028.jpg
BEN S ORIGINAL,Expressreis,"€ 1,49",2.29,1 kg = 5.96) / (1 kg = 5.16)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_029.jpg
PFANNI,Kartoffelgericht,"€ 1,49",,1 kg = 3.73) / (1 kg = 3.23)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_030.jpg
SCHWARTAU,Konfitüre Extra,"€ 1,99",2.69,1 kg = 5.86 - 7.11) / (1 kg = 5.27 - 6.40)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_031.jpg
RAFFAELLO,Kokos-Mandel-Konfekt,"€ 3,49",4.39,1 kg = 15.18) / (1 kg = 13.00)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_032.jpg
PICK UP,Keksriegel,"€ 1,99",,1 kg = 14.22) / (1 kg = 12.79)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_034.jpg
HOHES C,Fruchtsaft,"€ 1,79",2.89,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_036.jpg
BERENTZEN oder PUSCHKIN,Party-Becher oder -Shooter Mini-Liköre,"€ 8,99",,1 l = 16.65 - 18.73) / (1 l = 14.80 - 16.65)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_037.jpg
CHIVAS REGAL,Blended Scotch Whisky,"€ 22,99",29.99,1 l = 32.85) / (1 l = 28.56)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_038.jpg
MM EXTRA,Sekt,"€ 2,77",4.69,1 l = 6.26) / (1 l = 3.70)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_039.jpg
PAULANER,Hefe-Weißbier,"€ 14,99",19.99,1 l = 1.50) / (1 l = 1.40)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_040.jpg
L OR AL PARIS,Elvital Shampoo oder Spülung,"€ 2,88",3.79,1 l = 12.64 - 15.16) / (1 l = 9.60 - 11.52)**,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_041.jpg
PARKSIDE,Doppelschleifer PDOS 200 C2,"€ 29,99",29.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_042.jpg
BOSCH,2-in-1-Akkustaubsauger BCHF2BST,"€ 111,00",111.00,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_043.jpg
EASYMAXX,Pfandflaschen-Sammelbehälter,"€ 17,99",19.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_044.jpg
PUMA,Herren-T-Shirt,"€ 14,99",UVP 22.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_045.jpg
PUMA,Damen-T-Shirt,"€ 14,99",UVP 22.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_046.jpg
MELITTA,BellaCrema,"€ 12,99",19.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_047.jpg
MÜLLER,Reine Buttermilch,"€ 0,69",0.99,1 kg = 1.38) / (1 kg = 1.18)**,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_049.jpg
HEIDEGRUND,Mettwurst,"€ 1,59",1.99,1 kg = 7.95) / (1 kg = 6.95)**,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_050.jpg
TENA,Discreet,"€ 2,99",3.75,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 16.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-16,2026-02-18,images_kaufland/kaufland_offer_051.jpg
Keine Marke,Ital franz Tafeläpfel Pink Lady,"€ 3,49",,1 kg = 1.75,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_052.jpg
Keine Marke,Rosen-Chrysanthemenstrauß,"€ 12,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_053.jpg
Keine Marke,Ital Broccoli,"€ 1,29",1.59,1 kg = 2.58,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_054.jpg
Keine Marke,Tulpenstrauß,"€ 5,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_055.jpg
Keine Marke,Dtsch Möhren,"€ 1,29",1.59,1 kg = 0.65,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_056.jpg
Keine Marke,Geschenkstrauß,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_057.jpg
Keine Marke,Katzengras,"€ 2,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_058.jpg
Keine Marke,Demeter dtsch Pastinaken oder Petersilienwurzeln,"€ 1,79",2.49,1 kg = 5.97,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_059.jpg
Keine Marke,Span Bio-Gurke,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_061.jpg
Keine Marke,Rosenstrauß,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_062.jpg
Keine Marke,Fairer Strauß oder Rosenstrauß Fairtrade,"€ 11,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_063.jpg
Keine Marke,Orchidee im Keramik Übertopf,"€ 10,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_064.jpg
Keine Marke,Ital Kopfsalat oder Endiviensalat lose,"€ 0,99",1.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_065.jpg
Keine Marke,Bromelie oder Ananaspflanze im Keramik-Übertopf,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_066.jpg
Keine Marke,Orchidee im Keramik-Übertopf,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_067.jpg
Keine Marke,Nelken-Sprayrosenstrauß,"€ 5,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_068.jpg
Keine Marke,Premiumstrauß,"€ 29,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_069.jpg
Keine Marke,Valentinsstrauß,"€ 4,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_070.jpg
Keine Marke,Mini Orchidee im Glas,"€ 12,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_073.jpg
Keine Marke,Premium Rosenstrauß,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_074.jpg
Keine Marke,Designbouquet,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_075.jpg
Keine Marke,Dtsch niederl Zwiebeln rot,"€ 0,99",1.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_076.jpg
Keine Marke,Dtsch belg Multicolor-Salat,"€ 1,49",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_078.jpg
Keine Marke,Korallenraute,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_079.jpg
Keine Marke,Frühlingsprimel,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_080.jpg
Keine Marke,Span Bio-Avocados,"€ 1,99",2.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_081.jpg
Keine Marke,Dtsch ital Rettich weiß oder Sellerie lose,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_082.jpg
Keine Marke,Rosen-Eukalyptusstrauß oder Rosen-Gerministrauß,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_083.jpg
Keine Marke,Alpenveilchen,"€ 3,29",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_084.jpg
Keine Marke,Span Tomaten,"€ 1,99",2.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_085.jpg
Keine Marke,Exklusivstrauß,"€ 24,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_086.jpg
Keine Marke,Ital Kräuter in Terrakotta,"€ 3,29",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_087.jpg
Keine Marke,Rosen-Lilienstrauß,"€ 5,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_088.jpg
Keine Marke,Premium Einzelstielrose,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_089.jpg
Keine Marke,Chilen Kirschen lose,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_090.jpg
Keine Marke,Kamelie,"€ 8,88",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_091.jpg
Keine Marke,Span Orangen,"€ 2,49",3.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_092.jpg
Keine Marke,Dtsch Tafeläpfel lose,"€ 1,99",2.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_093.jpg
Keine Marke,Chilen kolumb Avocado lose,"€ 1,49",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_094.jpg
Keine Marke,Span ital Bio-Orangen,"€ 1,79",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_095.jpg
Keine Marke,Blumenbouquet,"€ 19,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_096.jpg
Keine Marke,Mini Kalanchoe im Keramik-Überopf,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_097.jpg
Keine Marke,Ägypt Zuckererbsen,"€ 1,79",2.49,1 kg = 8.95,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_099.jpg
Keine Marke,Trinkkokosnuss,"€ 1,99",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_100.jpg
K-PURLAND Schnelle Küche,Geschnetzeltes Ungar Art,"€ 3,33",,1 kg = 6.66,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_101.jpg
K-PURLAND,Hackepeter Schweinemett XXL,"€ 5,39",,1 kg = 7.19,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_102.jpg
K-PURLAND,Dicke Rippe Brustrippe vom Schwein,"€ 4,99",5.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_103.jpg
K-PURLAND,Schweinebraten XXL,"€ 4,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_104.jpg
K-PURLAND,Schweinehackfleisch,"€ 1,99",,1 kg = 3.98,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_105.jpg
K-PURLAND,Kaiserbraten aus der Hüfte,"€ 7,49",10.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_106.jpg
K-PURLAND,Knödelbraten,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_107.jpg
Keine Marke,Schweine-Nuggets XXL,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_108.jpg
K-PURLAND,Schweinefilet am Stück,"€ 8,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_109.jpg
K-PURLAND,Schinkenschnitzel,"€ 3,99",,1 kg = 6.65,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_110.jpg
K-PURLAND,Tafelspitz vom Jungbullen,"€ 15,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_111.jpg
K-PURLAND,Rindergulasch,"€ 6,69",7.89,1 kg = 13.38,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_112.jpg
K-PURLAND,Hähnchenflügel XXL,"€ 4,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_113.jpg
Hähnchen-Minis Cornflakes,XXL,"€ 7,99",,1 kg = 8.88,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_114.jpg
K-PURLAND,Hähnchengeschnetzeltes XXL,"€ 6,99",8.49,1 kg = 8.74,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_115.jpg
K-PURLAND,Hähnchen-Minutenschnitzel,"€ 3,79",4.99,1 kg = 9.48,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_116.jpg
K-PURLAND,Puten-Hacksteaks mariniert,"€ 2,19",3.39,1 kg = 6.85,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_117.jpg
WILLMS,Kohlrouladen,"€ 5,79",,1 kg = 8.28,,Nein,Dieses Angebot findest du vom 12.02. bis 18.02. in deiner Kaufland-Filiale.,2026-02-12,2026-02-18,images_kaufland/kaufland_offer_118.jpg
