Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Original österreichische Wurstspezialitäten,Keine Marke,"€ 3,38","€ 3,38",18.75 / kg,versch. Sorten Einzelpreis 1.69 (21.13 / kg),Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_074.png
Bacon,Keine Marke,"€ 1,11",Kein vorheriger Preis,11.10 / kg,mild geräucherter Frühstücksspeck Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_075.png
Leberwurst oder Blutwurst,Keine Marke,"€ 1,99","€ 2,29",9.95 / kg,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_076.png
Rinder-Burger Chicken-Burger oder Hot-Dog,Keine Marke,"€ 2,29",Kein vorheriger Preis,7.63 - 11.45 / kg,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_077.png
Kinder Choco fresh oder Paradiso,Keine Marke,"€ 1,69","€ 2,19",14.57 - 16.49 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_078.png
Müller Reine Butter Milch,Keine Marke,"€ 0,69","€ 0,99",1.38 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_079.png
Loose Quäse Minis,Keine Marke,"€ 1,79",Kein vorheriger Preis,15.57 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_080.png
Quarki Quark Frischkäse,Keine Marke,"€ 1,69","€ 1,99",6.76 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_081.png
Mini Babybel,Keine Marke,"€ 2,99",Kein vorheriger Preis,16.61 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_082.png
Ehrmann Früchte- Vanille- oder Grießtraum,Keine Marke,"€ 0,69",Kein vorheriger Preis,6.- / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_083.png
Ehrmann Früchte- Vanille- oder Grießtraum,Keine Marke,"€ 0,50",Kein vorheriger Preis,4.35 / kg,"gekühlt, versch. Sorten  Beim Kauf von 2 Packungen 0.38 GESPART!",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_084.png
Ehrmann Früchte- Vanille- oder Grießtraum,Keine Marke,"€ 0,40",Kein vorheriger Preis,3.48 / kg,"gekühlt, versch. Sorten  Beim Kauf ab 3 Packungen 0.87 GESPART! ²Ab 3 Packungenn bleibt der Einzelpreis gleich",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_085.png
Weihenstephan Cremig Quarkig,Keine Marke,"€ 1,69",Kein vorheriger Preis,3.38 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_086.png
Heringsfilet,Keine Marke,"€ 1,79","€ 1,99",4.48 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_087.png
yfood This is Food Trinkmahlzeit,Keine Marke,"€ 2,99","€ 3,99",5.98 / l,"gekühlt,  versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_088.png
Milram Gewürzquark,Keine Marke,"€ 0,99",Kein vorheriger Preis,5.35 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_089.png
Gemüse,Keine Marke,"€ 1,99","€ 2,39",Kein Mengenpreis,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_090.png
Knusper Dinos,Keine Marke,"€ 2,79","€ 3,29",6.98 / kg,"tiefgekühlt, paniert",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_091.png
Popp Fit Aufstrich,Keine Marke,"€ 2,22",Kein vorheriger Preis,14.80 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_092.png
