Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
1-2-3 Frites Original,McCain,"€ 1,49",,1 kg = 1.47,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_132.jpg,"cat_tiefkuehl,tag_high_protein,tag_ultra_processed",,ref_000132,obs_0000029373|obs_0000017504|obs_0000025923|obs_0000007984|obs_0000021495|obs_0000019073|obs_0000019892|obs_0000020307|obs_0000027468|obs_0000026643|obs_0000008223|obs_0000026757|obs_0000008352|obs_0000020709|obs_0000026857|obs_0000018706|obs_0000024899|obs_0000014692|obs_0000024959|obs_0000018823|obs_0000027023|obs_0000012774|obs_0000031227|obs_0000025132|obs_0000008780|obs_0000029264|obs_0000025175|obs_0000019136|obs_0000031439|obs_0000008971|obs_0000019525|obs_0000023674|obs_0000019642|obs_0000009433|obs_0000013576|obs_0000023832|obs_0000032025|obs_0000032039|obs_0000025918|obs_0000009563|obs_0000019955|obs_0000015909|obs_0000011869|obs_0000024162|obs_0000018030|obs_0000032341|obs_0000014027|obs_0000020283|obs_0000020393|obs_0000026556,obs_0000029373|obs_0000021495|obs_0000017504|obs_0000025923|obs_0000007984
Roastbeef am Stück,Gourmet Finest Cuisine,"€ 19,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_133.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_rind,tag_high_protein,tag_proteinreich",,ref_000133,obs_0000001731|obs_0000001010|obs_0000011286|obs_0000013870|obs_0000008812|obs_0000013435|obs_0000022154|obs_0000020166|obs_0000023292|obs_0000010025|obs_0000019347|obs_0000012204|obs_0000016096|obs_0000029957|obs_0000017293,
Rinderfilet am Stück,Rinderfilet am Stück,"€ 29,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_134.jpg,"cat_fisch_meeresfruechte,sub_rind,tag_proteinreich,tag_ultra_processed",,ref_000134,obs_0000001731|obs_0000001010|obs_0000013435|obs_0000022154|obs_0000019347|obs_0000011286|obs_0000010025|obs_0000012204|obs_0000013870|obs_0000020166|obs_0000008812|obs_0000023292|obs_0000010891|obs_0000028959|obs_0000016690|obs_0000009175|obs_0000026978,obs_0000001731|obs_0000001010|obs_0000013435
Chipsfrisch ungarisch,funny-frisch,"€ 1,99",,kg-Preis 7.96,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_135.jpg,"cat_fleisch_wurst,sub_huelsenfruechte,tag_ultra_processed",,ref_000135,obs_0000016912|obs_0000017908|obs_0000014980|obs_0000003346|obs_0000016018|obs_0000016789|obs_0000008096|obs_0000002472|obs_0000001321|obs_0000030787|obs_0000020953|obs_0000025727,obs_0000016912|obs_0000017908
Balsamico Bianco,Hengstenberg,"€ 2,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_136.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian",,ref_000136,obs_0000012826|obs_0000018321|obs_0000015003|obs_0000031044,
Halbe Ente,Gourmet Finest Cuisine,"€ 9,99",,kg-Preis 12.49,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_137.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegetarian,sub_gefluegel,sub_wurst,tag_proteinreich,tag_ultra_processed",BLS-P287000,ref_000137,,obs_0000001770|obs_0000002799
Coca-Cola,Coca-Cola,"€ 7,99",,1-Preis 1.35,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_138.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed",,ref_000138,obs_0000001110|obs_0000022111|obs_0000022690|obs_0000022265|obs_0000031506|obs_0000032112|obs_0000031145|obs_0000031698|obs_0000029718|obs_0000028807|obs_0000005807|obs_0000006347|obs_0000029904|obs_0000006355|obs_0000028429|obs_0000005424|obs_0000027545|obs_0000028106|obs_0000007115|obs_0000030169|obs_0000005613|obs_0000016900|obs_0000026153|obs_0000025142|obs_0000025164|obs_0000008367|obs_0000029364|obs_0000024773|obs_0000004817|obs_0000020188|obs_0000026353|obs_0000002828|obs_0000008469|obs_0000016164|obs_0000004390|obs_0000000810|obs_0000024414|obs_0000015211|obs_0000008565|obs_0000003963|obs_0000020863|obs_0000024450|obs_0000015771|obs_0000019369|obs_0000015279|obs_0000000445|obs_0000017889|obs_0000007324|obs_0000022727|obs_0000022299,obs_0000029718|obs_0000001110|obs_0000022111|obs_0000028807|obs_0000022690|obs_0000005807|obs_0000006347|obs_0000029904|obs_0000006355|obs_0000022265|obs_0000028429|obs_0000031506|obs_0000005424|obs_0000032112|obs_0000027545|obs_0000031145|obs_0000028106|obs_0000007115|obs_0000031698|obs_0000030169|obs_0000005613
Classic,Fol Epi,"€ 2,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_139.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,tag_ultra_processed",,ref_000139,obs_0000025011|obs_0000029122|obs_0000032390|obs_0000019121|obs_0000013543|obs_0000010989|obs_0000023795|obs_0000026878|obs_0000032113|obs_0000019940|obs_0000023942|obs_0000026637|obs_0000008209|obs_0000017452|obs_0000014399|obs_0000025152|obs_0000022603|obs_0000019028|obs_0000012889|obs_0000013913|obs_0000000102|obs_0000011381|obs_0000032351|obs_0000026751|obs_0000002691|obs_0000019084|obs_0000027284|obs_0000015513|obs_0000012444|obs_0000007850|obs_0000016593|obs_0000006915|obs_0000016134|obs_0000020235|obs_0000015116|obs_0000028967|obs_0000013161|obs_0000020841|obs_0000008045|obs_0000012657|obs_0000008574|obs_0000027009|obs_0000019847|obs_0000009106|obs_0000021406|obs_0000031653|obs_0000010152|obs_0000007595|obs_0000008622|obs_0000031664,obs_0000032390|obs_0000013543|obs_0000010989|obs_0000026878|obs_0000032113|obs_0000025011|obs_0000029122
Schwarzwälder Schinken,Gut Drei Eichen,"€ 2,49",,9.96 €/kg,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_140.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",BLS-W442000,ref_000140,obs_0000006663|obs_0000005196|obs_0000007290|obs_0000010896|obs_0000009893|obs_0000031429|obs_0000013004|obs_0000026470|obs_0000025968|obs_0000024489|obs_0000004112|obs_0000003097|obs_0000003685|obs_0000002416|obs_0000004539|obs_0000011301|obs_0000018485|obs_0000023649|obs_0000031842|obs_0000027413|obs_0000015149|obs_0000016182|obs_0000026514|obs_0000029091,obs_0000006663|obs_0000004112|obs_0000003097|obs_0000011301|obs_0000005196|obs_0000003685|obs_0000007290|obs_0000010896|obs_0000009893|obs_0000031429|obs_0000013004|obs_0000026470|obs_0000025968|obs_0000002416|obs_0000024489|obs_0000004539
Sahne-Heringsfilets,Nadler,"€ 1,99",,4.52 €/kg,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_141.jpg,"cat_fisch_meeresfruechte,sub_sahne_creme",,ref_000141,obs_0000001196|obs_0000017611|obs_0000021901|obs_0000031608|obs_0000010796|obs_0000008422|obs_0000028937|obs_0000030020|obs_0000013896|obs_0000031881|obs_0000031485|obs_0000025991|obs_0000002516,obs_0000025750|obs_0000001196|obs_0000017611|obs_0000031608|obs_0000021901
Bio-Hackfleisch gemischt,Bio-Hackfleisch gemischt,"€ 11,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_142.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich",,ref_000142,obs_0000000505|obs_0000008970|obs_0000009909|obs_0000026560|obs_0000027693|obs_0000029096|obs_0000029102|obs_0000008302|obs_0000016610|obs_0000008668|obs_0000008694|obs_0000025090|obs_0000009021|obs_0000009148|obs_0000025744|obs_0000025935|obs_0000026160|obs_0000018832|obs_0000010876|obs_0000019651|obs_0000027910|obs_0000028019|obs_0000011728|obs_0000028301|obs_0000028396|obs_0000020812|obs_0000029021|obs_0000029049|obs_0000029089|obs_0000012988|obs_0000005406|obs_0000005583|obs_0000006320|obs_0000006523|obs_0000031347|obs_0000015469|obs_0000023805|obs_0000032000|obs_0000015729|obs_0000017137|obs_0000018177|obs_0000018210|obs_0000012214|obs_0000013442|obs_0000016279|obs_0000000646|obs_0000000826|obs_0000001083|obs_0000028571,obs_0000008302|obs_0000016610|obs_0000008668|obs_0000008694|obs_0000000505|obs_0000008970|obs_0000009021|obs_0000009148|obs_0000026160|obs_0000009909|obs_0000026560|obs_0000018832|obs_0000010876|obs_0000027693|obs_0000019651|obs_0000027910|obs_0000028019|obs_0000011728|obs_0000028301|obs_0000028396|obs_0000012214|obs_0000020812|obs_0000029021|obs_0000029049|obs_0000029089|obs_0000029102|obs_0000012988|obs_0000013442|obs_0000005406|obs_0000005583|obs_0000006320|obs_0000006523|obs_0000031347|obs_0000015469|obs_0000023805|obs_0000032000|obs_0000015729
Mozzarella,Milsani,"€ 2,99",,kg-Preis 5.98,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_143.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_sahne_creme",BLS-X208312,ref_000143,obs_0000000816|obs_0000014851|obs_0000021010|obs_0000016955|obs_0000025678|obs_0000031346|obs_0000025740|obs_0000021134|obs_0000016556|obs_0000021727|obs_0000022759|obs_0000010489|obs_0000020766|obs_0000022331|obs_0000008523|obs_0000020919|obs_0000016891|obs_0000019982|obs_0000032269|obs_0000016958|obs_0000020266|obs_0000011337|obs_0000029275|obs_0000009314|obs_0000031355|obs_0000027784|obs_0000010917|obs_0000017037|obs_0000008854|obs_0000020635|obs_0000007850|obs_0000029866|obs_0000019163|obs_0000021726|obs_0000023260|obs_0000017124|obs_0000031979|obs_0000003353|obs_0000028445|obs_0000021817|obs_0000006992|obs_0000026977|obs_0000017789|obs_0000031639|obs_0000026034|obs_0000006074|obs_0000021156|obs_0000012247|obs_0000026597|obs_0000023540,obs_0000014851|obs_0000021010|obs_0000016955|obs_0000025678|obs_0000031346|obs_0000025740|obs_0000021134|obs_0000016556|obs_0000021727|obs_0000022759|obs_0000010489|obs_0000020766|obs_0000000816|obs_0000022331|obs_0000008523|obs_0000020919|obs_0000016891
Mini-Babybel,Babybel,"€ 2,99",,16.61 €/kg,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_144.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,ref_000144,obs_0000031646|obs_0000006238|obs_0000000803|obs_0000021820|obs_0000010378|obs_0000011774|obs_0000016653|obs_0000014741|obs_0000024151|obs_0000016055,obs_0000006238|obs_0000031646
