Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
,Einsteiger-Keyboard,24.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_425.jpg
EDDING,Handlettering-Starter-Set »XMAS«,9.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_426.jpg
EDDING,Textilstift-Nikolausset,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_427.jpg
LEGO DUPLO,»Pinguine und Löwen« Bau- und Spielset 10442,6.99,UVP9.99,,-30%,je 10-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_428.jpg
DICKIE,Rally-Monster-Auto,4.99,UVP9.99,,-50%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_429.jpg
KENWOOD,Waage für »Prospero+« (KAP00.000GY),19.99,UVP50.00,,-60%,kenwood,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_430.jpg
TEFAL,Heißluftfritteuse »EY1458« Easy Fry Compact,59.99,UVP119.99,,-50%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_431.jpg
BIRKMANN,Ausstech-Set »Eule«,4.99,UVP7.95,,-37%,je 2-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_432.jpg
LIV&BO®,LED-Weihnachtsfigur selbstaufblasend,34.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_433.jpg
KAISER,Königskuchenform »Gourmet«,4.99,UVP10.99,,-54%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_434.jpg
