Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Nitril Einmal-Handschuhe schwarz,W5,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_152.jpg
Felgenreiniger Insektenentferner,W5,"€ 2,49",,1 l = 3.32,,Nein,,,,images_lidl/lidl_offer_153.jpg
AdBlue,W5,"€ 9,95",,1 l = 1.00,,Nein,,,,images_lidl/lidl_offer_154.jpg
Autoscheibenwischwasser Sommer,W5,"€ 2,99",,1 l = 0.60,,Nein,,,,images_lidl/lidl_offer_155.jpg
Aluminium-Trekkingstöcke,CRIVIT,"€ 14,99",,"19,99 €",,Nein,,,,images_lidl/lidl_offer_156.jpg
Strickfleecejacke,Crivit,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_157.jpg
Outdoor-Handwärmer,CRIVIT,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_158.jpg
Allwetterjacke Damen,CRIVIT,"€ 19,99",,"24,99 €",,Nein,,,,images_lidl/lidl_offer_159.jpg
Trekking-Socken,CRIVIT,"€ 1,99",,"3,99 €",,Nein,,,,images_lidl/lidl_offer_160.jpg
LED-Stirnlampe,Bresser,"€ 12,99",,"UVP
29,90 €",,Nein,,,,images_lidl/lidl_offer_161.jpg
Wanderrucksack,Crivit,"€ 12,99",,"19,99 €",,Nein,,,,images_lidl/lidl_offer_162.jpg
Wanderrucksack,CRIVIT,"€ 24,99",,"34,99 €",,Nein,,,,images_lidl/lidl_offer_163.jpg
Multifunktionsmesser Campingbesteck,CRIVIT,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_164.jpg
Messer Taschenmesser,CRIVIT,"€ 3,99",,"5,99 €",,Nein,,,,images_lidl/lidl_offer_165.jpg
Trinkflasche,CRIVIT,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_166.jpg
Decken- Mumienschlafsack,CRIVIT,"€ 17,99",,"22,99 €",,Nein,,,,images_lidl/lidl_offer_167.jpg
Herren-Sweatpullover,CRIVIT,"€ 9,99",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_168.jpg
Damen-Sweatjacke,Crivit,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_169.jpg
Funktionsshirt,CRIVIT,"€ 12,99",,"24,99 €",,Nein,,,,images_lidl/lidl_offer_170.jpg
Damen-Funktionstights,CRIVIT,"€ 7,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_171.jpg
Kraftstation Modell FERRUM TX4,Hammer,"€ 799,00",,"UVP
1.299,00 €",,Nein,,,,images_lidl/lidl_offer_172.jpg
Ergometer Modell Eco 1000,Christopeit Sport,"€ 349,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_173.jpg
Crosstrainer,Christopeit Sport,"€ 429,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_174.jpg
Trainingsbank,CRIVIT,"€ 69,99",,"99,99 €",,Nein,,,,images_lidl/lidl_offer_175.jpg
Walking Pad,Christopeit Sport,"€ 169,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_176.jpg
Rudergerät RW 2000 Black Edition,Christopeit Sport,"€ 129,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_177.jpg
Regenstiefel,Lupilu,"€ 9,99",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_178.jpg
Matsch- und Buddel-Overall,Lupilu,"€ 7,99",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_179.jpg
Matsch- und Buddel-Hose,Lupilu,"€ 4,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_180.jpg
Regenstiefel,Lupilu,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_181.jpg
Matsch- und Buddel-Jacke,Lupilu,"€ 7,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_182.jpg
Automatik-Partnerschirm,Esmara,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_183.jpg
Regenparka,CRIVIT,"€ 9,99",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_184.jpg
2 Paar Socken,Esmara,"€ 1,99",,"2,99 €",,Nein,,,,images_lidl/lidl_offer_185.jpg
Langarmshirts,Lupilu,"€ 4,49",,"5,99 €",,Nein,,,,images_lidl/lidl_offer_186.jpg
Baby-Merinojacke,Lupilu,"€ 19,99",,"24,99 €",,Nein,,,,images_lidl/lidl_offer_187.jpg
Sweathosen,Lupilu,"€ 6,99",,"8,99 €",,Nein,,,,images_lidl/lidl_offer_188.jpg
Kinder-Funktionsunterwäsche,Lupilu,"€ 7,99",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_189.jpg
Kinder-Funktionsschlupfhose,Lupilu,"€ 7,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_190.jpg
Kinder-Softshelljacke gefüttert,Lupilu,"€ 9,99",,"11,99 €",,Nein,,,,images_lidl/lidl_offer_191.jpg
Kinder-Matsch- und Buddel-Hose,Lupilu,"€ 6,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_192.jpg
Matschküche,Playtive,"€ 34,99",,"44,99 €",,Nein,,,,images_lidl/lidl_offer_193.jpg
Men Steppjacke,Esmara,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_194.jpg
Strickjacke,Esmara Men,"€ 12,99",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_195.jpg
Denim-Joggers,Esmara Men,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_196.jpg
Men Polo-Strickpullover,Esmara,"€ 9,99",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_197.jpg
Men Sweathoodie,Esmara,"€ 12,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_198.jpg
Slip-on-Sneaker,Esmara,"€ 14,99",,"19,99 €",,Nein,,,,images_lidl/lidl_offer_199.jpg
Feinstrickkleid,Esmara,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_200.jpg
Lightweight-Jacke,Esmara,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_201.jpg
Wide-Leg-Hose,Esmara,"€ 9,99",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_202.jpg
Leggings,Esmara,"€ 4,99",,"6,99 €",,Nein,,,,images_lidl/lidl_offer_203.jpg
Spaghettiträgerhemd,Esmara,"€ 1,99",,"2,99 €",,Nein,,,,images_lidl/lidl_offer_204.jpg
Langarmshirts,Esmara,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_205.jpg
Shaping-Jeggings,Esmara,"€ 7,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_206.jpg
Hipster,Esmara,"€ 3,99",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_207.jpg
Strickhoodie -hose gerippt,Esmara,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_208.jpg
Socken,Esmara,"€ 3,59",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_209.jpg
Jersey-Spannbettlaken,Livarno,"€ 2,69",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_210.jpg
Mikrofaser-Satin-Bettwäsche,Livarno,"€ 4,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_211.jpg
Doppel-Gästematratze,Livarno Home,"€ 49,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_212.jpg
Beistelltisch,Livarno,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_213.jpg
Smartes Heizkörper-Thermostat-Starter-Set,Tado,"€ 59,99",,"UVP
149,00 €",,Nein,,,,images_lidl/lidl_offer_214.jpg
Kuscheldecke,Livarno,"€ 5,99",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_215.jpg
Teppich,Livarno,"€ 7,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_216.jpg
Standregal,Livarno,"€ 17,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_217.jpg
