Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Möhren,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_031.png,1
Rapso Rapsöl,Keine Marke,"€ 10,97","€ 14,97",4.44 / l,Einzelpreis: 4.99 (6.65 / l),Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_004.png,0
Mönchshof Biere,Keine Marke,"€ 11,99",Kein vorheriger Preis,1.20 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_012.png,0
YumYum Instantnudeln,Keine Marke,"€ 4,9","€ 6,90",6.67 / kg,versch. Sorten Einzelpreis: 0.69 (11.50 / kg),Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_003.png,0
Hawesta Heringsfilets,Keine Marke,"€ 5,45","€ 6,45",5.- – 5.26 / kg,versch. Sorten Einzelpreis: 1.29 (6.45 – 6.79 / kg),Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_002.png,0
Südzucker Feiner Rübenzucker,Keine Marke,"€ 3,96","€ 3,96",0.75 / kg,Einzelpreis: 0.99,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_001.png,0
Frischwurst-Aufschnitt,Keine Marke,"€ 1,0",Kein vorheriger Preis,4.95 / kg,versch. Sorten Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_009.png,0
Ritter Sport Bunte Vielfalt,Keine Marke,"€ 1,11","€ 1,99",11.10 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_010.png,0
Müller Joghurt mit der Ecke,Keine Marke,"€ 0,35",Kein vorheriger Preis,2.33 - 3.10 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_007.png,0
Hackfleisch gemischt,Keine Marke,"€ 3,49",Kein vorheriger Preis,6.98 / kg,aus 50% Schwein und 50% Rind,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_005.png,0
Pink Lady Äpfel,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,"Frankreich/Italien, Kl. I, Sorte: Cripps Pink",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_020.png,0
Orangen,Keine Marke,"€ 2,49",Kein vorheriger Preis,1.25 / kg,"Griechenland/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_021.png,0
Chiquita Mango,Keine Marke,"€ 0,8",Kein vorheriger Preis,Kein Mengenpreis,"Brasilien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_023.png,0
