Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
NISSIN,Cup Noodles,"€ 0,89",1.19,1 kg = 13.29 - 14.13,-25%,je 63 - 67-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_185.jpg,0
KNORR,Feinschmecker Suppe,"€ 0,79",,1 l = 1.06 - 1.58,nur,je Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_186.jpg,0
ÜLTJE,Swavy,"€ 1,99",,1 kg = 11.71 - 16.59,nur,je 120 - 170-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_224.jpg,0
K-WINTER EDITION,Mini-Weihnachtsfiguren,"€ 2,22",2.99,1 kg = 17.76,-25%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_226.jpg,0
K-WINTER EDITION,Marzipankartoffeln,"€ 1,19",1.49,1 kg = 9.52,-20%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_227.jpg,0
K-WINTER EDITION,Marzipanbrot,"€ 1,19",,1 kg = 6.80,nur,je 175-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_228.jpg,0
K-WINTER EDITION,Eierlikörfässchen,"€ 1,89",2.29,1 kg = 15.12,-17%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_229.jpg,0
MILKA,Weihnachts- oder Schneemann,"€ 1,19",1.89,1 kg = 23.80 - 26.45,-37%,je 45 - 50-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_232.jpg,0
KINDER,Überraschung Riesen-Ei,"€ 7,29",,1 kg = 33.14,nur,je 220-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_233.jpg,0
STORCK,Toffifee,"€ 3,49",4.49,1 kg = 9.31,-22%,je 375-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_234.jpg,0
LINDT,Weihnachtliche Kugeln oder Zapfen,"€ 3,49",4.99,1 kg = 34.56 - 38.78,-30%,je 90 - 101-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_235.jpg,0
KINDER & FERRERO,Gefüllte Weihnachtssocke,"€ 7,99",,1 kg = 37.69,nur,je 212-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_239.jpg,0
NUTELLA,Winterstiefel,"€ 7,99",,1 kg = 38.23,nur,je 209-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_240.jpg,0
KINDER,Mix Stiefel oder Maxi Mix Stofftier,"€ 7,99",,1 kg = 36.49 - 60.08,nur,je 133 - 219-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_241.jpg,0
BAD REICHENHALLER,Alpensalz,"€ 0,59",0.75,1 kg = 1.18,-21%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_199.jpg,0
MONDAMIN,Soßenbinder oder Mehlschwitze,"€ 1,29",,1 kg = 5.16,nur,je 250-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_200.jpg,0
DR. OETKER,Kuchenbackmischung »Wolke«,"€ 2,49",,1 kg = 5.48 - 5.80,nur,je 430 - 455-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_201.jpg,0
DR. OETKER,Paradiescreme,"€ 0,79",1.29,1 kg = 10.68 - 14.37,-38%,je 55 - 74-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_202.jpg,0
FERRERO,Die Besten,"€ 5,99",7.49,1 kg = 22.27,-20%,je 26 St. = 269-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_220.jpg,0
"LION, NUTS, KITKAT oder",SMARTIES,"€ 1,79",,1 kg = 10.79 - 13.17,nur,je 4 - 5 St. = 136 - 166-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_222.jpg,0
OSANN,Kindersitz »Four360 S«,"€ 129,00",UVP229.95,Kein Mengenpreis,"-43%; 111.00€, mit Kaufland Card",je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_43.jpg,0
LENOR,Wäscheparfüm,"€ 4,99",,1 kg = 18.15 / 1 kg = 16.15**,"nur; 4.44€, mit Kaufland Card",je 275-g-Fl.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_44.jpg,0
LILLET,Weinaperitif,"€ 10,99",16.49,1 l = 14.66 / 1 l = 13.32**,"-33%; 9.99€, mit Kaufland Card","je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_45.jpg,0
WEIHENSTEPHAN,Haltbarer od. frischer Kakao,"€ 1,59",2.19,Kein Mengenpreis,"-27%; 1.39€, mit Kaufland Card",je 1-l-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_46.jpg,0
LANGNESE,Flotte Biene Honig,"€ 2,49",,1 kg = 9.96 / 1 kg = 7.96**,"nur; 1.99€, mit Kaufland Card",je 250-g-Fl.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_47.jpg,0
Keine Marke,Span. Orangen,"€ 2,49",3.49,1 kg = 1.66,-28%,"je 1,5-kg-Netz",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_50.jpg,0
Keine Marke,Span./ital. Bio-Clementinen,"€ 2,49",2.99,1 kg = 3.32,-16%,je 750-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_52.jpg,0
Keine Marke,Span./ital. Bio-Orangen,"€ 2,29",3.29,Kein Mengenpreis,-30%,je 1-kg-Netz,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_53.jpg,0
Keine Marke,"Span. Grapefruit rot oder Grapefruit »Sweetie«, lose","€ 0,79",0.99,Kein Mengenpreis,-20%,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_54.jpg,0
Keine Marke,"Demeter dominik./ecuador. Bananen, lose","€ 1,99",2.49,Kein Mengenpreis,-20%,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_56.jpg,0
WEIHENSTEPHAN,Butter oder Die Streichzarte,"€ 1,59",,1 kg = 6.36 / 1 kg = 5.96**,"nur; 1.49€, mit Kaufland Card",je 250-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_22.jpg,0
ROUGETTE,Ofenkäse,"€ 3,99",5.99,1 kg = 12.47 / 1 kg = 10.91**,"-33%; 3.49€, mit Kaufland Card",je 320-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_23.jpg,0
COPPENRATH & WIESE,Unsere Goldstücke,"€ 1,49",2.29,1 kg = 2.76 - 4.97 / 1 kg = 2.39 - 4.30**,"-34%; 1.29€, mit Kaufland Card",je 9 St. = 300 - 540-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_24.jpg,0
KINDER,Happy Hippo,"€ 1,79",,1 kg = 17.30,nur,"je 5 St. = 103,5-g-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_223.jpg,0
GLENFIDDICH,»Projekt XX« Single Malt Scotch Whisky,"€ 39,99",49.99,1 l = 57.13,-20%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_281.jpg,0
DICKMANN'S,»Oh Tannenschaum«,"€ 2,22",2.99,1 kg = 12.91,-25%,je 8 St. = 172-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_242.jpg,0
KLETT,Schoko-Weihnachtsmann vegan,"€ 0,99",1.49,1 kg = 19.80,-33%,je 50-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_244.jpg,0
TIC TAC,Dragees,"€ 1,49",,1 kg = 27.60,nur,je 54-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_246.jpg,0
PICK UP!,Keksriegel,"€ 1,99",,1 kg = 14.22,nur,je 5 x 28-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_247.jpg,0
LEIBNIZ,Zoo,"€ 1,49",1.89,1 kg = 11.92,-21%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_248.jpg,0
VIO,Bio-Limo,"€ 1,29",1.69,Kein Mengenpreis,-23%,je 1-l-PET-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_251.jpg,0
ORANGINA,Original,"€ 0,88",,1 l = 1.76,nur,"je 0,5-l-PET-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_252.jpg,0
PREMIUM QUALITY,Erfrischungsgetränk,"€ 0,69",0.89,Kein Mengenpreis,-22%,je 1-l-PET-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_253.jpg,0
VOLVIC,Touch oder Tee,"€ 1,19",,1 l = 0.80,nur,"je 1,5-l-PET-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_255.jpg,0
NEUHÖFER,Saft oder Nektar,"€ 1,19",1.55,Kein Mengenpreis,-23%,je 1-l-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_256.jpg,0
PARROT BAY,Coconut,"€ 5,99",,1 l = 8.56,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_259.jpg,0
LE FAVORI,Triple Sec,"€ 8,49",,1 l = 12.13,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_260.jpg,0
AMARULA,Cream & Marula Fruit,"€ 9,99",13.99,1 l = 14.28,-28%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_261.jpg,0
SIERRA,Tequila Blanco o. Reposado,"€ 10,99",,1 l = 15.70,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_262.jpg,0
BOMBAY,Sapphire London Dry Gin oder Citron Pressé,"€ 16,79",,1 l = 23.99,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_263.jpg,0
OBERDORFER,Helles,"€ 13,99",18.99,1 l = 1.40,-26%,"je Ka. 20 x 0,5-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_296.jpg,0
BECK'S,Pils oder Gold,"€ 9,99",,1 l = 1.00,nur,"je Ka. 20 x 0,5-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_297.jpg,0
ORIGINAL OETTINGER,Bier oder Biermischgetränk,"€ 6,99",,1 l = 0.70,nur,"je Ka. 20 x 0,5-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_298.jpg,0
FERNET-BRANCA,Kräuterbitter,"€ 11,99",16.99,1 l = 17.13,-29%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_265.jpg,0
HAVANA CLUB,Alkoholisches Mixgetränk,"€ 1,99",,1 l = 6.03,nur,"je 0,33-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_267.jpg,0
"CAPTAIN MORGAN, SMIRNOFF,",GORDON'S oder JOHNNIE WALKER Alkoholisches Mixgetränk,"€ 1,99",2.69,1 l = 7.96,-26%,"je 0,25-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_268.jpg,0
MARIACRON,Weinbrand,"€ 6,49",8.49,1 l = 9.28,-23%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_269.jpg,0
BULLEIT,Bourbon Frontier Whiskey,"€ 19,99",,1 l = 28.56,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_270.jpg,0
TULLAMORE DEW,Irish Whiskey,"€ 13,99",,1 l = 19.99,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_271.jpg,0
DUBLINER,Irish Whiskey Bourbon Cask,"€ 14,99",,1 l = 21.42,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_272.jpg,0
HARDENBERG CLUB,Triple Malt Whiskey,"€ 19,99",,1 l = 28.56,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_273.jpg,0
BEVERBACH,Single Malt German Whiskey Double Oak Aged,"€ 34,99",,1 l = 49.99,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_274.jpg,0
LABEL 5,Blended Scotch Whisky,"€ 11,99",15.99,Kein Mengenpreis,-25%,je 1-l-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_275.jpg,0
GLENMORANGIE,Triple Cask Reserve Single Malt Scotch Whisky,"€ 22,99",,1 l = 32.85,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_277.jpg,0
BOWMORE,Single Malt Scotch Whisky The Original Islay,"€ 23,99",29.99,1 l = 34.28,-20%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_278.jpg,0
LAPHROAIG ISLAY,Single Malt Scotch Whisky 10 Jahre,"€ 29,99",39.99,1 l = 42.85,-25%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_280.jpg,0
TENA,Inkontinenz-Unterwäsche,"€ 7,99",9.95,Kein Mengenpreis,-19%,je 8 - 12-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_311.jpg,0
HEITMANN,Reine Citronensäure,"€ 2,49",3.25,1 kg = 7.12,-23%,je 350-g-Packg. oder 500-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_312.jpg,0
DRANO,Rohrfrei,"€ 2,79",,Kein Mengenpreis,nur,je 1-l-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_313.jpg,0
WC-FRISCH,Kraft Aktiv,"€ 1,11",,1 kg = 22.20,nur,je 50-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_314.jpg,0
GORBATSCHOW,Wodka Original oder Citron,"€ 5,88",,1 l = 8.40,nur,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_282.jpg,0
WZG MÖGLINGEN,Württemberger Rebsortenwein,"€ 3,49",,1 l = 4.66,nur,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_283.jpg,0
REBENBLICK,Dornfelder,"€ 1,99",2.39,1 l = 2.66,-16%,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_284.jpg,0
GRAND SUD,Merlot oder Chardonnay,"€ 8,88",12.99,1 l = 2.96,-31%,je 3-l-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_286.jpg,0
BECKSTEINER WEINHAUS,Grauer Burgunder oder Schwarzriesling,"€ 3,99",,1 l = 5.32,nur,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_287.jpg,0
BLANCHET,"Blanc de Blancs, Rosé oder Rouge de France","€ 2,99",3.99,1 l = 3.99,-25%,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_288.jpg,0
MUMM,Jahrgangssekt,"€ 3,99",,1 l = 5.32,nur,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_290.jpg,0
ROTKÄPPCHEN,Fruchtsecco,"€ 0,99",,1 l = 4.95,nur,"je 0,2-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_291.jpg,0
JEVER,Pilsener oder Fun Alkoholfrei,"€ 11,99",,1 l = 1.20,nur,"je Ka. 20 x 0,5-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_292.jpg,0
PERONI,Nastro Azzurro,"€ 4,99",,1 l = 2.52,nur,"je Packg. 6 x 0,33-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_293.jpg,0
SAN MIGUEL,Especial,"€ 15,99",,1 l = 2.02,nur,"je Ka. 24 x 0,33-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_294.jpg,0
CORONA,Extra,"€ 9,99",12.19,1 l = 2.35,-18%,"je Packg. 12 x 0,355-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_295.jpg,0
COREGA,Ultra Haftcreme,"€ 2,99",3.95,1 kg = 74.75,-24%,je 40-g-Tube,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_330.jpg,0
PHILIPS,"LED-Filament-Birnen E27 4,3 W, 470 lm, 2.700 K","€ 2,99",,Kein Mengenpreis,nur,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_331.jpg,0
BOSCH,Beutelloser Bodenstaubsauger »BGS05A225«,"€ 69,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_332.jpg,0
COOCAA,UHD-Smart-TV »43R5GY«,"€ 199,00",UVP399.00,Kein Mengenpreis,-50%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_333.jpg,0
DENVER,Tragbarer Monitor »PMO-15604K«,"€ 79,99",UVP199.00,Kein Mengenpreis,-59%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_334.jpg,0
ERDINGER,Weißbier oder Alkoholfrei,"€ 13,99",,1 l = 1.40,nur,"je Ka. 20 x 0,5-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_299.jpg,0
KARLSBERG,Mixery,"€ 0,99",,1 l = 1.98,nur,"je 0,5-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_300.jpg,0
GÖNRGY,Energy Drink by MontanaBlack,"€ 1,29",,1 l = 2.58,nur,"je 0,5-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_302.jpg,0
K-CLASSIC,Iso-Drink,"€ 0,59",0.79,1 l = 0.79,-25%,"je 0,75-l-PET-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_303.jpg,0
ARIZONA,Eistee,"€ 0,79",,1 l = 1.58,nur,"je 0,5-l-PET-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_304.jpg,0
HIPP,Bio-Fertiggericht,"€ 1,79",,1 kg = 7.16,nur,je 250-g-Schale,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_305.jpg,0
L'ORÉAL PARIS,Elvital Shampoo oder Spülung,"€ 2,99",3.79,1 l = 9.97 - 11.96,-21%,je 250 - 300-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_306.jpg,0
SYOSS,Haarspray,"€ 3,99",,1 l = 9.98,nur,je 400-ml-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_307.jpg,0
JOSI CAT oder JOSI DOG,Katzen- oder Hundenahrung,"€ 0,88",,1 kg = 2.12 - 2.20,nur,je 400 - 415-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_308.jpg,0
