Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Dr. Oetker Mousse,Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 kg = 15,11-23,17 €","verschiedene Sorten oder Tiramisu Creme, 60-92 g Packung, (1 kg = 15,11-23,17 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dr-oetker-mousse.jpg,0
Alberto Pasta Fertiggericht,Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 kg = 5,55 €","verschiedene Sorten, tiefgefroren, 400 g Packung, (1 kg = 5,55 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/alberto-pasta-fertiggericht.jpg,0
Coppenrath & Wiese Meister Torte,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 kg = 5,45-11,98 €","verschiedene Sorten, tiefgefroren, 500-1100 g Packung, (1 kg = 5,45-11,98 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/coppenrath-wiese-meister-torte.jpg,0
Gut & Günstig Gemüse,Keine Marke,"€ 2,00",Kein vorheriger Preis,"1 kg = 2,00 €","verschiedene Sorten, erntefrisch tiefgefroren Ausgenommen Suppengemüse 1 kg., 1000 g Packung, (1 kg = 2,00 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-gem-se.jpg,0
"Original Wagner Die Backfrische, Big City Pizza oder Piccolinis",Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 4,57-8,19 €","verschiedene Sorten, tiefgefroren, 243-435 g Packung, (1 kg = 4,57-8,19 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/original-wagner-die-backfrische-big-city-pizza-oder-piccolinis.jpg,0
Langnese Magnum Eis,Keine Marke,"€ 3,29",Kein vorheriger Preis,"1 l = 11,75/5,48 €","verschiedene Sorten, 6/8er, 280/600 ml Packung, (1 l = 11,75/5,48 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/langnese-magnum-eis.jpg,0
Gustavo Gusto Steinofenpizza,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 kg = 7,35-9,06 €","verschiedene Sorten, tiefgefroren, 385-475 g Packung, (1 kg = 7,35-9,06 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gustavo-gusto-steinofenpizza.jpg,0
EDEKA Herzstücke Butter Croissants,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 8,31 €","zum Fertigbacken, 6er, tiefgefroren, 360 g Packung, (1 kg = 8,31 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-herzst-cke-butter-croissants.jpg,0
EDEKA Genussmomente Barbarieente,Keine Marke,"€ 6,66",Kein vorheriger Preis,Kein Mengenpreis,"Hkl. A, mit Hals, ohne Innereien, verschiedene Gewichte, tiefgefroren Abbildung ähnlich., 1 kg",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-genussmomente-barbarieente.jpg,0
Victoriabarschfilet,Keine Marke,"€ 1,89",Kein vorheriger Preis,Kein Mengenpreis,"ohne Haut, ideal zum Braten, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/victoriabarschfilet.jpg,0
