Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Lillet Apéritif,Keine Marke,"€ 10,99",Kein vorheriger Preis,"1 l = 14,65 €","verschiedene Sorten, 17 % Vol., 0,75 Liter Flasche, (1 l = 14,65 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lillet-ap-ritif.jpg,0
Red Bull Energy Drink oder Bio Organics Erfrischungsgetränk,Keine Marke,"€ 1,00",Kein vorheriger Preis,"1 l = 4,00/3,03 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 0,25/0,33 Liter Dose + 0,25 Pfand, (1 l = 4,00/3,03 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/red-bull-energy-drink-oder-bio-organics-erfrischungsgetr-nk.jpg,0
EDEKA Herzstücke Sirup,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 l = 3,58 €","verschiedene Sorten, 0,5 Liter Flasche, (1 l = 3,58 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-herzst-cke-sirup.jpg,0
Volvic Juicy,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 l = 1,29 €","verschiedene Sorten, 1 Liter Flasche + 0,25 Pfand, (1 l = 1,29 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/volvic-juicy.jpg,0
Gut & Günstig Smoothie,Keine Marke,"€ 1,00",Kein vorheriger Preis,"1 l = 4,00 €","verschiedene Sorten, 250 ml Flasche + 0,25 Pfand, (1 l = 4,00 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-smoothie.jpg,0
Carlsberg Beer,Keine Marke,"€ 14,99",Kein vorheriger Preis,"1 l = 1,50 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,50 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/carlsberg-beer.jpg,0
Köstritzer Schwarzbier,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 1,40 €","20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/k-stritzer-schwarzbier.jpg,0
Campari Bitter Aperitive,Keine Marke,"€ 10,99",Kein vorheriger Preis,"1 l = 15,70 €","25 % Vol., 0,7 Liter Flasche, (1 l = 15,70 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/campari-bitter-aperitive.jpg,0
Krombacher Bier,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 2,02 €","verschiedene Sorten, 6 x 0,33 Liter Packung + 0,48 Pfand, (1 l = 2,02 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/krombacher-bier.jpg,0
Paulaner Münchner Hell,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 1,40 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/paulaner-m-nchner-hell.jpg,0
Mönchshof Bier,Keine Marke,"€ 12,99",Kein vorheriger Preis,"1 l = 1,30 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 20 x 0,5 Liter Kasten + 4,50 Pfand, (1 l = 1,30 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/m-nchshof-bier.jpg,0
Maisel's Weisse,Keine Marke,"€ 14,99",Kein vorheriger Preis,"1 l = 1,50 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,50 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/maisel-s-weisse.jpg,0
Milka Schokolade,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 9,97-11,96 €","verschiedene Sorten, 250-300 g Tafel, (1 kg = 9,97-11,96 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/milka-schokolade.jpg,0
Lindt Maître Chocolatier Schokolade,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 17,90 €","verschiedene Sorten, 100 g Tafel, (1 kg = 17,90 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lindt-ma-tre-chocolatier-schokolade.jpg,0
Lindt Pralinés,Keine Marke,"€ 11,99",Kein vorheriger Preis,"1 kg = 59,95 €","Confiserie für Kenner, verschiedene Sorten Je nach Verfügbarkeit des Marktes., 200 g Packung, (1 kg = 59,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lindt-pralin-s.jpg,0
Lays Kartoffelchips,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 6,60 €","verschiedene Sorten, 150 g Packung, (1 kg = 6,60 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lays-kartoffelchips.jpg,0
Katjes Family Fruchtgummi,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"verschiedene Sorten, vegetarisch Je nach Verfügbarkeit des Marktes.",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/katjes-family-fruchtgummi.jpg,0
Milka Weihnachtsmann,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 24,67/22,20 €","verschiedene Sorten oder Schneemann Nur solange der Vorrat reicht., 45/50 g Stück, (1 kg = 24,67/22,20 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/milka-weihnachtsmann.jpg,0
Milka Feine Kugeln oder Bonbons,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 kg = 26,63/25,44 €","verschiedene Sorten Nur solange der Vorrat reicht., 86/90 g Packung, (1 kg = 26,63/25,44 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/milka-feine-kugeln-oder-bonbons.jpg,0
Milka Snow Balls,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 kg = 31,16 €","verschiedene Sorten Nur solange der Vorrat reicht., 112 g Packung, (1 kg = 31,16 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/milka-snow-balls.jpg,0
Milka Weihnachts-Mischbeutel,Keine Marke,"€ 3,33",Kein vorheriger Preis,"1 kg = 26,43 €","Nur solange der Vorrat reicht., 126 g Packung, (1 kg = 26,43 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/milka-weihnachts-mischbeutel.jpg,0
Bahlsen Spekulatius,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,76/7,45 €","verschiedene Sorten Nur solange der Vorrat reicht., 192/200 g Packung, (1 kg = 7,76/7,45 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bahlsen-spekulatius.jpg,0
Ferrero hanuta Minis,Keine Marke,"€ 2,59",Kein vorheriger Preis,"1 kg = 11,77 €","Nur solange der Vorrat reicht., 200 g Packung + 10% GRATIS, (1 kg = 11,77 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ferrero-hanuta-minis.jpg,0
Haribo Minis,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 7,16-8,14 €","verschiedene Sorten, 220-250 g Packung, (1 kg = 7,16-8,14 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/haribo-minis.jpg,0
Lindt Weihnachts-Mischbeutel,Keine Marke,"€ 4,99",Kein vorheriger Preis,"1 kg = 33,27 €","Tanne Nur solange der Vorrat reicht., 150 g Packung, (1 kg = 33,27 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lindt-weihnachts-mischbeutel.jpg,0
Ferrero duplo,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 12,20 €","18er, 327,6 g Packung, (1 kg = 12,20 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ferrero-duplo.jpg,0
kinder Riegel,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 10,56 €","18er, 378 g Packung, (1 kg = 10,56 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/kinder-riegel.jpg,0
"Nestlé KitKat, Lion",Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 11,99-14,63 €","verschiedene Sorten, Smarties oder Nuts, 136-166 g Packung, (1 kg = 11,99-14,63 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/nestl-kitkat-lion.jpg,0
duplo Weihnachtsmann oder Yogurette Eisbär,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 33,20 €","Nur solange der Vorrat reicht., 75 g Stück, (1 kg = 33,20 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/duplo-weihnachtsmann-oder-yogurette-eisb-r.jpg,0
Gut & Günstig Stollen,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45 €","verschiedene Sorten Nur solange der Vorrat reicht., 200 g Stück, (1 kg = 7,45 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-stollen.jpg,0
Gut & Günstig Aachener Domino Steine,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 11,96 €","verschiedene Sorten Nur solange der Vorrat reicht., 250 g Packung, (1 kg = 11,96 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-aachener-domino-steine.jpg,0
Gut & Günstig Stollenkonfekt,Keine Marke,"€ 3,29",Kein vorheriger Preis,"1 kg = 10,97/9,40 €","verschiedene Sorten Nur solange der Vorrat reicht., 300/350 g Packung, (1 kg = 10,97/9,40 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-stollenkonfekt.jpg,0
Gut & Günstig Lebkuchen,Keine Marke,"€ 3,79",Kein vorheriger Preis,"1 kg = 7,58 €","Herzen, Sterne, Brezeln, verschiedene Sorten Nur solange der Vorrat reicht., 500 g Packung, (1 kg = 7,58 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-lebkuchen.jpg,0
Gut & Günstig Lebkuchen Herzen,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 9,97 €","gefüllt oder ungefüllt, verschiedene Sorten Nur solange der Vorrat reicht., 300 g Packung, (1 kg = 9,97 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-lebkuchen-herzen.jpg,0
Gut & Günstig Oblaten Lebkuchen,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 9,95 €","verschiedene Sorten Nur solange der Vorrat reicht., 200 g Packung, (1 kg = 9,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-oblaten-lebkuchen.jpg,0
duplo Knusperperlen,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 28,76 €","Nur solange der Vorrat reicht., 97,5 g Packung, (1 kg = 28,76 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/duplo-knusperperlen.jpg,0
Gut & Günstig Gewürz Spekulatius,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 2,48 €","Nur solange der Vorrat reicht., 600 g Packung, (1 kg = 2,48 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-gew-rz-spekulatius.jpg,0
Storck Mamba,Keine Marke,"€ 0,79",Kein vorheriger Preis,"1 kg = 7,45 €","verschiedene Sorten, 4er Je nach Verfügbarkeit des Marktes., 106 g Packung, (1 kg = 7,45 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/storck-mamba.jpg,0
Dermaris Steinofen Weihnachtssterne,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 6,26 €","verschiedene Sorten Nur solange der Vorrat reicht., 270 g Packung, (1 kg = 6,26 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dermaris-steinofen-weihnachtssterne.jpg,0
Gut & Günstig design Toilettenpapier,Keine Marke,"€ 5,99",Kein vorheriger Preis,Kein Mengenpreis,"3-lagig Nur solange der Vorrat reicht., 20 x 200 Blatt XXL Packung",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-design-toilettenpapier.jpg,0
Weißer Riese oder Spee Vollwaschmittel,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 Waschladung = 0,16-0,19 €","verschiedene Sorten, 18-22 WL Packung/Flasche, (1 Waschladung = 0,16-0,19 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/wei-er-riese-oder-spee-vollwaschmittel.jpg,0
Softlan Weichspüler,Keine Marke,"€ 0,94",Kein vorheriger Preis,"1 Waschladung = 0,03/0,02 €","verschiedene Sorten, 31/45 WL Flasche, (1 Waschladung = 0,03/0,02 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/softlan-weichsp-ler.jpg,0
Regina Haushaltstücher mit Herzen,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,"3-lagig, 4 x 43 Blatt Packung",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/regina-haushaltst-cher-mit-herzen.jpg,0
Axe Duschgel,Keine Marke,"€ 2,00",Kein vorheriger Preis,"1 l = 8,00 €","verschiedene Sorten, 250 ml Flasche, (1 l = 8,00 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/axe-duschgel.jpg,0
Axe Deodorant Bodyspray,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 l = 23,27 €","verschiedene Sorten Ausgenommen Premium., 150 ml Dose, (1 l = 23,27 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/axe-deodorant-bodyspray.jpg,0
Sensodyne Fluorid Zahncreme,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 l = 33,20 €","verschiedene Sorten, 75 ml Tube, (1 l = 33,20 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/sensodyne-fluorid-zahncreme.jpg,0
Listerine Mundspülung,Keine Marke,"€ 3,00",Kein vorheriger Preis,"1 l = 6,00 €","verschiedene Sorten Ausgenommen Total Care, Advanced White und Smart Kidz., 500 ml Flasche, (1 l = 6,00 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/listerine-mundsp-lung.jpg,0
Ajax Allzweckreiniger,Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 l = 1,39 €","verschiedene Sorten, 1 Liter Flasche, (1 l = 1,39 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ajax-allzweckreiniger.jpg,0
Somat Maschinengeschirr-Reiniger,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten,Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/somat-maschinengeschirr-reiniger.jpg,0
Gut & Günstig Hello my cat Schlemmerhappen,Keine Marke,"€ 0,25",Kein vorheriger Preis,"1 kg = 2,50 €","verschiedene Sorten, 100 g Schale, (1 kg = 2,50 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-hello-my-cat-schlemmerhappen.jpg,0
Vitakraft Hunde-Snacks,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 22,38 €","verschiedene Sorten, 80 g Packung, (1 kg = 22,38 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/vitakraft-hunde-snacks.jpg,0
Roggenkruste,Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 kg = 1,31 €","Abbildung ähnlich., 1000 g Laib, (1 kg = 1,31 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/roggenkruste.jpg,0
Mehrkornbrötchen,Keine Marke,"€ 0,25",Kein vorheriger Preis,Kein Mengenpreis,"Abbildung ähnlich., Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/mehrkornbr-tchen.jpg,0
Laugenecke,Keine Marke,"€ 0,39",Kein vorheriger Preis,Kein Mengenpreis,"Abbildung ähnlich., Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/laugenecke.jpg,0
Spinat-Käse-Schiffchen,Keine Marke,"€ 0,89",Kein vorheriger Preis,Kein Mengenpreis,"Plunderteigtasche mit Spinat- und käsehaltiger Füllung, bestreut mit geriebenem Gouda Abbildung ähnlich., Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/spinat-k-se-schiffchen.jpg,0
Nuss-Nougat Croissant,Keine Marke,"€ 0,55",Kein vorheriger Preis,Kein Mengenpreis,"Abbildung ähnlich., Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/nuss-nougat-croissant.jpg,0
