Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Le Rustique Camembert,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 11,16","frz. Weichkäse, 45% Fett i.Tr., je 250-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_04.jpg,0
Granini Trinkgenuss,Keine Marke,"€ 1,69",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_03.jpg,0
Granini Selection,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 l = 2,25","versch. Sorten, je 0,75-l-Fl, zzgl. 0,25 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_02.jpg,0
Popp Kartoffel- oder Coleslaw-Salat,Keine Marke,"€ 1,89",Kein vorheriger Preis,"1 kg = 4,73",je 400-g-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_11.jpg,0
Radieschen,Keine Marke,"€ 0,55",Kein vorheriger Preis,Kein Mengenpreis,"Kl. I, je Bund",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_17.jpg,0
Clementinen/Mandarinen,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"Sorte: siehe Etikett, Kl. I, je 1-kg-Netz",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_18.jpg,0
Baby Spinat,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 6,76","Kl. I, je 250-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_19.jpg,0
Stockmeyer Sportler-Salami,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,je 100 g,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_09.jpg,0
Bahlsen Mini Stollen,Keine Marke,"€ 2,59",Kein vorheriger Preis,"1 kg = 12,95","versch. Sorten, je 200-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_13.jpg,0
Wiesenhof Geflügel Mortadella,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 kg = 11,90","versch. Sorten, je 100-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_14.jpg,0
Rote Tafeläpfel,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,"»Cripps Pink«, Kl. I, je 1-kg-Schale/je 1 kg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_15.jpg,0
Appenzeller kräftig-würzig oder Appenzellerin elegant,Keine Marke,"€ 2,29",Kein vorheriger Preis,Kein Mengenpreis,"Schweizer Hartkäse, mind. 48% Fett i.Tr., je 100 g",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_12.jpg,0
